name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhizobium	379	G	64597	43733	108330	0.01951
Agrobacterium	357	G	14968	3453	18421	0.00332
Neorhizobium	1525371	G	14529	1731	16260	0.00293
Pseudorhizobium	1903858	G	9176	1040	10216	0.00184
Sinorhizobium	28105	G	66181	21770	87951	0.01584
Ensifer	106591	G	15329	1385	16714	0.00301
Shinella	323620	G	48336	17584	65920	0.01187
Georhizobium	2661800	G	2028	232	2260	0.00041
Ciceribacter	1648508	G	1523	138	1661	0.00030
Peteryoungia	2853332	G	583	45	628	0.00011
Liberibacter	34019	G	33	1	34	0.00001
Mesorhizobium	68287	G	151911	16745	168656	0.03038
Aquibium	2911176	G	10659	1738	12397	0.00223
Aminobacter	31988	G	10082	4366	14448	0.00260
Nitratireductor	245876	G	7133	725	7858	0.00142
Phyllobacterium	28100	G	2743	158	2901	0.00052
Roseitalea	1915401	G	1706	183	1889	0.00034
Hoeflea	274591	G	1561	84	1645	0.00030
Oricola	1594166	G	1478	124	1602	0.00029
Salaquimonas	2712688	G	533	13	546	0.00010
Lentilitoribacter	1649463	G	24	0	24	0.00000
Bradyrhizobium	374	G	78243	6769	85012	0.01531
Rhodopseudomonas	1073	G	7636	1708	9344	0.00168
Nitrobacter	911	G	3339	349	3688	0.00066
Tardiphaga	1395974	G	2515	305	2820	0.00051
Afipia	1033	G	1812	710	2522	0.00045
Variibacter	1649510	G	1631	73	1704	0.00031
Devosia	46913	G	79031	3701	82732	0.01490
Youhaiella	1827478	G	3791	710	4501	0.00081
Paradevosia	1573407	G	3750	1043	4793	0.00086
Pelagibacterium	1082930	G	2203	176	2379	0.00043
Maritalea	623276	G	156	2	158	0.00003
Microvirga	186650	G	33091	2106	35197	0.00634
Methylobacterium	407	G	26584	3046	29630	0.00534
Methylorubrum	2282523	G	6030	1813	7843	0.00141
Pseudolabrys	556257	G	9010	740	9750	0.00176
Starkeya	152053	G	5146	895	6041	0.00109
Ancylobacter	99	G	4541	1015	5556	0.00100
Xanthobacter	279	G	4239	612	4851	0.00087
Labrys	204476	G	1600	89	1689	0.00030
Azorhizobium	6	G	1504	187	1691	0.00030
Hyphomicrobium	81	G	4854	227	5081	0.00092
Rhodoplanes	29407	G	3734	207	3941	0.00071
Methyloceanibacter	1484898	G	3598	189	3787	0.00068
Methyloligella	1485594	G	1759	152	1911	0.00034
Aquabacter	45402	G	1183	107	1290	0.00023
Caenibius	2827482	G	1057	310	1367	0.00025
Filomicrobium	119044	G	1028	27	1055	0.00019
Rhodomicrobium	1068	G	924	42	966	0.00017
Bosea	85413	G	18105	1532	19637	0.00354
Aureimonas	414371	G	9270	1146	10416	0.00188
Martelella	293088	G	4845	575	5420	0.00098
Aurantimonas	182269	G	3092	604	3696	0.00067
