name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1261909	351486	1613395	0.12204
Microbacteriaceae	85023	F	316816	54062	370878	0.02805
Micrococcaceae	1268	F	121795	33427	155222	0.01174
Cellulomonadaceae	85016	F	62897	25560	88457	0.00669
Intrasporangiaceae	85021	F	39207	12916	52123	0.00394
Promicromonosporaceae	85017	F	30153	13896	44049	0.00333
Ornithinimicrobiaceae	2805590	F	26790	6836	33626	0.00254
Dermabacteraceae	85020	F	18694	4395	23089	0.00175
Brevibacteriaceae	85019	F	17699	4404	22103	0.00167
Bogoriellaceae	145358	F	14646	5422	20068	0.00152
Dermacoccaceae	145357	F	11465	3274	14739	0.00111
Ruaniaceae	1331736	F	11325	12068	23393	0.00177
Beutenbergiaceae	125316	F	7409	2906	10315	0.00078
Sanguibacteraceae	145360	F	4846	1843	6689	0.00051
Dermatophilaceae	85018	F	2545	300	2845	0.00022
Kytococcaceae	2805426	F	2361	1805	4166	0.00032
Demequinaceae	1042322	F	861	85	946	0.00007
Jonesiaceae	85022	F	151	33	184	0.00001
Tropherymataceae	2805591	F	38	0	38	0.00000
Mycobacteriaceae	1762	F	299385	51701	351086	0.02656
Nocardiaceae	85025	F	165031	44918	209949	0.01588
Corynebacteriaceae	1653	F	49004	14212	63216	0.00478
Gordoniaceae	85026	F	39435	11395	50830	0.00384
Tsukamurellaceae	85028	F	12303	3660	15963	0.00121
Dietziaceae	85029	F	7452	7649	15101	0.00114
Segniliparaceae	316606	F	1220	80	1300	0.00010
Lawsonellaceae	2805586	F	193	26	219	0.00002
Micromonosporaceae	28056	F	604726	104455	709181	0.05364
Pseudonocardiaceae	2070	F	441389	83274	524663	0.03969
Nocardioidaceae	85015	F	303457	75861	379318	0.02869
Propionibacteriaceae	31957	F	66653	17972	84625	0.00640
Kribbellaceae	2726069	F	28266	5513	33779	0.00256
Actinopolymorphaceae	2805400	F	8254	1203	9457	0.00072
Streptosporangiaceae	2004	F	132913	27262	160175	0.01212
Thermomonosporaceae	2012	F	99337	24287	123624	0.00935
Nocardiopsaceae	83676	F	38161	7531	45692	0.00346
Geodermatophilaceae	85030	F	55173	17547	72720	0.00550
Frankiaceae	74712	F	38027	4534	42561	0.00322
Actinomycetaceae	2049	F	33097	5751	38848	0.00294
Jiangellaceae	1217100	F	21495	4673	26168	0.00198
Nakamurellaceae	85031	F	13463	2208	15671	0.00119
Bifidobacteriaceae	31953	F	12932	3675	16607	0.00126
Catenulisporaceae	414877	F	8752	1608	10360	0.00078
Jatrophihabitantaceae	2805416	F	7090	777	7867	0.00060
Glycomycetaceae	85034	F	5716	573	6289	0.00048
Kineosporiaceae	83778	F	4011	1394	5405	0.00041
Sporichthyaceae	85033	F	2730	1670	4400	0.00033
Actinopolysporaceae	622451	F	2549	328	2877	0.00022
Acidothermaceae	85032	F	2268	142	2410	0.00018
Candidatus Nanopelagicaceae	2162846	F	414	9	423	0.00003
Conexibacteraceae	320583	F	114027	18866	132893	0.01005
Miltoncostaeaceae	2843199	F	27459	4001	31460	0.00238
Rubrobacteraceae	84997	F	61457	3149	64606	0.00489
Baekduiaceae	2600303	F	41203	7771	48974	0.00370
Iamiaceae	633392	F	49341	6930	56271	0.00426
Ilumatobacteraceae	2448023	F	4373	298	4671	0.00035
Acidimicrobiaceae	84994	F	1972	171	2143	0.00016
Eggerthellaceae	1643826	F	10482	1996	12478	0.00094
Atopobiaceae	1643824	F	5298	1423	6721	0.00051
Coriobacteriaceae	84107	F	2182	648	2830	0.00021
Egicoccaceae	1755824	F	5586	971	6557	0.00050
Egibacteraceae	1747769	F	5572	373	5945	0.00045
Euzebyaceae	908622	F	5069	475	5544	0.00042
Bacillaceae	186817	F	76308	85809	162117	0.01226
Paenibacillaceae	186822	F	44636	4335	48971	0.00370
Alicyclobacillaceae	186823	F	5882	1084	6966	0.00053
Planococcaceae	186818	F	2007	682	2689	0.00020
Thermoactinomycetaceae	186824	F	1779	1573	3352	0.00025
Staphylococcaceae	90964	F	845	1687	2532	0.00019
Listeriaceae	186820	F	260	2764	3024	0.00023
Sporolactobacillaceae	186821	F	94	16	110	0.00001
Lactobacillaceae	33958	F	2940	1327	4267	0.00032
Streptococcaceae	1300	F	1013	831	1844	0.00014
Enterococcaceae	81852	F	492	708	1200	0.00009
Carnobacteriaceae	186828	F	209	108	317	0.00002
Aerococcaceae	186827	F	192	73	265	0.00002
Clostridiales Family XVII. Incertae Sedis	539000	F	7546	1547	9093	0.00069
Eubacteriales Family XIII. Incertae Sedis	543314	F	260	346	606	0.00005
Clostridiales Family XVI. Incertae Sedis	543347	F	135	46	181	0.00001
Oscillospiraceae	216572	F	8106	3244	11350	0.00086
Symbiobacteriaceae	543349	F	2918	292	3210	0.00024
Lachnospiraceae	186803	F	2274	907	3181	0.00024
Clostridiaceae	31979	F	2168	385	2553	0.00019
Peptococcaceae	186807	F	1682	195	1877	0.00014
Christensenellaceae	990719	F	921	487	1408	0.00011
Heliobacteriaceae	31984	F	793	395	1188	0.00009
Eubacteriaceae	186806	F	728	153	881	0.00007
Desulfitobacteriaceae	2937909	F	700	78	778	0.00006
Syntrophomonadaceae	68298	F	263	14	277	0.00002
Peptostreptococcaceae	186804	F	228	1475	1703	0.00013
Desulfallaceae	2867375	F	178	17	195	0.00001
Desulfotomaculaceae	2937910	F	95	42	137	0.00001
Thermincolaceae	2937911	F	84	8	92	0.00001
Vallitaleaceae	2603322	F	55	6	61	0.00000
Thermohalobacteraceae	2848916	F	31	5	36	0.00000
Proteinivoraceae	1491775	F	17	2	19	0.00000
Thermoanaerobacteraceae	186814	F	3656	570	4226	0.00032
Thermoanaerobacterales Family III. Incertae Sedis	543371	F	195	29	224	0.00002
Thermoanaerobacterales Family IV. Incertae Sedis	543372	F	123	73	196	0.00001
Zhaonellaceae	2748673	F	86	14	100	0.00001
Thermodesulfobiaceae	227387	F	73	1	74	0.00001
Halanaerobiaceae	972	F	172	21	193	0.00001
Halobacteroidaceae	53434	F	97	139	236	0.00002
Thermosediminibacteraceae	2770093	F	139	11	150	0.00001
Tepidanaerobacteraceae	2770092	F	110	5	115	0.00001
Natranaerofabaceae	2807496	F	76	3	79	0.00001
Natranaerobiaceae	485255	F	33	3	36	0.00000
Koleobacteraceae	2786988	F	110	11	121	0.00001
Selenomonadaceae	1843491	F	3256	199	3455	0.00026
Sporomusaceae	1843490	F	385	34	419	0.00003
Veillonellaceae	31977	F	920	306	1226	0.00009
Acidaminococcaceae	909930	F	455	102	557	0.00004
Limnochordaceae	1676650	F	3046	143	3189	0.00024
Peptoniphilaceae	1570339	F	303	228	531	0.00004
Tissierellaceae	1737406	F	93	18	111	0.00001
Gottschalkiaceae	2042895	F	59	425	484	0.00004
Erysipelotrichaceae	128827	F	516	149	665	0.00005
Turicibacteraceae	2810281	F	31	273	304	0.00002
Deinococcaceae	183710	F	27533	1744	29277	0.00221
Thermaceae	188786	F	12406	844	13250	0.00100
Trueperaceae	332247	F	2268	138	2406	0.00018
Synechococcaceae	1890426	F	12351	1440	13791	0.00104
Prochlorococcaceae	2881426	F	2827	664	3491	0.00026
Acaryochloridaceae	1890429	F	207	8	215	0.00002
Chamaesiphonaceae	1890431	F	179	11	190	0.00001
Merismopediaceae	1890428	F	141	10	151	0.00001
Nostocaceae	1162	F	3211	944	4155	0.00031
Calotrichaceae	2661849	F	1383	119	1502	0.00011
Scytonemataceae	1182	F	801	105	906	0.00007
Aphanizomenonaceae	1892259	F	569	498	1067	0.00008
Tolypothrichaceae	119859	F	184	42	226	0.00002
Hapalosiphonaceae	1892263	F	182	27	209	0.00002
Rivulariaceae	1185	F	49	3	52	0.00000
Leptolyngbyaceae	1890438	F	3410	255	3665	0.00028
Oculatellaceae	2303507	F	610	61	671	0.00005
Thermosynechococcaceae	2881378	F	349	36	385	0.00003
Prochlorotrichaceae	2303730	F	303	13	316	0.00002
Pseudanabaenaceae	1890436	F	191	9	200	0.00002
Gloeobacteraceae	1890422	F	4355	107	4462	0.00034
Oscillatoriaceae	1892254	F	806	103	909	0.00007
