name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	1203634	352529	1556163	0.11772
Kitasatospora	2063	G	21067	8668	29735	0.00225
Streptacidiphilus	228398	G	15195	5203	20398	0.00154
Yinghuangia	2805681	G	5954	1159	7113	0.00054
Microbacterium	33882	G	103042	21153	124195	0.00940
Agromyces	33877	G	31162	8746	39908	0.00302
Curtobacterium	2034	G	20684	5098	25782	0.00195
Rathayibacter	33886	G	18349	4933	23282	0.00176
Leifsonia	110932	G	15293	6466	21759	0.00165
Leucobacter	55968	G	14735	3234	17969	0.00136
Agrococcus	46352	G	13937	4435	18372	0.00139
Clavibacter	1573	G	13722	11740	25462	0.00193
Protaetiibacter	2680004	G	6210	2117	8327	0.00063
Salinibacterium	235888	G	5516	1033	6549	0.00050
Cryobacterium	69578	G	5294	896	6190	0.00047
Frondihabitans	447237	G	4219	777	4996	0.00038
Microterricola	518733	G	3666	1051	4717	0.00036
Plantibacter	190323	G	3392	501	3893	0.00029
Microcella	337004	G	3283	1360	4643	0.00035
Cnuibacter	1759331	G	2708	683	3391	0.00026
Gryllotalpicola	1195526	G	2666	604	3270	0.00025
Herbiconiux	881616	G	2427	566	2993	0.00023
Mycetocola	76634	G	2412	357	2769	0.00021
Subtercola	120212	G	2304	224	2528	0.00019
Frigoribacterium	96492	G	2246	768	3014	0.00023
Humibacter	427753	G	2127	551	2678	0.00020
Chryseoglobus	1331730	G	1923	449	2372	0.00018
Amnibacterium	1029631	G	1861	522	2383	0.00018
Marisediminicola	1230698	G	1594	231	1825	0.00014
Gulosibacter	256818	G	1590	544	2134	0.00016
Diaminobutyricimonas	1433997	G	1441	316	1757	0.00013
Glaciihabitans	1649454	G	1149	106	1255	0.00009
Agreia	110934	G	1106	156	1262	0.00010
Aquiluna	529881	G	222	13	235	0.00002
Rhodoluna	529883	G	207	13	220	0.00002
Pseudoclavibacter	255204	G	304	69	373	0.00003
Aurantimicrobium	1705353	G	197	12	209	0.00002
Pontimonas	1434032	G	143	8	151	0.00001
Arthrobacter	1663	G	59367	16517	75884	0.00574
Kocuria	57493	G	15185	5434	20619	0.00156
Pseudarthrobacter	1742993	G	12099	4705	16804	0.00127
Micrococcus	1269	G	6789	5119	11908	0.00090
Sinomonas	596707	G	6478	2018	8496	0.00064
Glutamicibacter	1742989	G	4094	1696	5790	0.00044
Rothia	32207	G	3187	1649	4836	0.00037
Paenarthrobacter	1742992	G	2767	1691	4458	0.00034
Citricoccus	169133	G	2666	859	3525	0.00027
Nesterenkonia	57494	G	839	65	904	0.00007
Paeniglutamicibacter	1742990	G	478	90	568	0.00004
Psychromicrobium	2078575	G	378	64	442	0.00003
Neomicrococcus	1868332	G	286	154	440	0.00003
Auritidibacter	1160973	G	260	32	292	0.00002
Renibacterium	1645	G	233	16	249	0.00002
Cellulomonas	1707	G	51586	22609	74195	0.00561
Actinotalea	458839	G	3465	1593	5058	0.00038
Pseudactinotalea	1926259	G	2590	478	3068	0.00023
Oerskovia	162491	G	2557	1039	3596	0.00027
Paraoerskovia	665568	G	1907	631	2538	0.00019
Janibacter	53457	G	10114	3779	13893	0.00105
Phycicoccus	367298	G	8796	3129	11925	0.00090
Pedococcus	2805645	G	5720	2084	7804	0.00059
Intrasporangium	53357	G	5266	1750	7016	0.00053
Tetrasphaera	99479	G	4685	1506	6191	0.00047
Arsenicicoccus	267408	G	3574	1717	5291	0.00040
Cellulosimicrobium	157920	G	14379	7286	21665	0.00164
Xylanimonas	186188	G	8757	3547	12304	0.00093
Isoptericola	254250	G	6418	3661	10079	0.00076
Ornithinimicrobium	125287	G	15326	4028	19354	0.00146
Serinicoccus	265976	G	10640	3632	14272	0.00108
Brachybacterium	43668	G	16979	3458	20437	0.00155
Dermabacter	36739	G	1349	978	2327	0.00018
Devriesea	472568	G	303	21	324	0.00002
Brevibacterium	1696	G	17699	4404	22103	0.00167
Georgenia	154116	G	14646	5422	20068	0.00152
Dermacoccus	57495	G	3996	1750	5746	0.00043
Luteipulveratus	745364	G	3192	563	3755	0.00028
Allobranchiibius	2040262	G	2669	741	3410	0.00026
Yimella	908935	G	1457	369	1826	0.00014
Ruania	626119	G	11325	1696	13021	0.00099
Pengzhenrongella	2888818	G	4052	1424	5476	0.00041
