name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetales	85011	O	1261909	351486	1613395	0.12204
Micrococcales	85006	O	744696	128244	872940	0.06603
Corynebacteriales	85007	O	607987	99681	707668	0.05353
Micromonosporales	85008	O	604726	104455	709181	0.05364
Pseudonocardiales	85010	O	441389	83274	524663	0.03969
Propionibacteriales	85009	O	413646	93534	507180	0.03836
Streptosporangiales	85012	O	276034	53458	329492	0.02492
Geodermatophilales	1643682	O	55173	17547	72720	0.00550
Frankiales	85013	O	38027	4534	42561	0.00322
Actinomycetales	2037	O	33097	5751	38848	0.00294
Jiangellales	1217098	O	21495	4673	26168	0.00198
Nakamurellales	1643684	O	13463	2208	15671	0.00119
Bifidobacteriales	85004	O	12932	3675	16607	0.00126
Catenulisporales	414714	O	8752	1608	10360	0.00078
Jatrophihabitantales	2805415	O	7090	777	7867	0.00060
Glycomycetales	85014	O	5716	573	6289	0.00048
Kineosporiales	622452	O	4011	1394	5405	0.00041
Sporichthyales	2495578	O	2730	1670	4400	0.00033
Actinopolysporales	622450	O	2549	328	2877	0.00022
Acidothermales	1643683	O	2268	142	2410	0.00018
Candidatus Nanopelagicales	2039638	O	414	9	423	0.00003
Solirubrobacterales	588673	O	114027	18866	132893	0.01005
Miltoncostaeales	2843198	O	27459	4001	31460	0.00238
Rubrobacterales	84996	O	102781	10800	113581	0.00859
Acidimicrobiales	84993	O	56144	6941	63085	0.00477
Eggerthellales	1643822	O	10482	1996	12478	0.00094
Coriobacteriales	84999	O	7715	1837	9552	0.00072
Egicoccales	1755823	O	5586	971	6557	0.00050
Egibacterales	1747768	O	5572	373	5945	0.00045
Euzebyales	908621	O	5069	475	5544	0.00042
Bacillales	1385	O	136219	93545	229764	0.01738
Lactobacillales	186826	O	5050	2843	7893	0.00060
Eubacteriales	186802	O	30953	7883	38836	0.00294
Thermoanaerobacterales	68295	O	4142	679	4821	0.00036
Halanaerobiales	53433	O	408	22	430	0.00003
Thermosediminibacterales	2770089	O	251	15	266	0.00002
Natranaerobiales	485256	O	111	5	116	0.00001
Koleobacterales	2786987	O	110	11	121	0.00001
Selenomonadales	909929	O	3644	230	3874	0.00029
Veillonellales	1843489	O	920	306	1226	0.00009
Acidaminococcales	1843488	O	455	102	557	0.00004
Limnochordales	1676649	O	3046	143	3189	0.00024
Tissierellales	1737405	O	459	667	1126	0.00009
Erysipelotrichales	526525	O	549	421	970	0.00007
Deinococcales	118964	O	27533	1744	29277	0.00221
Thermales	68933	O	12406	844	13250	0.00100
Trueperales	2762275	O	2268	138	2406	0.00018
Synechococcales	1890424	O	16595	1245	17840	0.00135
Nostocales	1161	O	7544	576	8120	0.00061
Pseudanabaenales	2881377	O	4895	345	5240	0.00040
Gloeobacterales	307595	O	4355	107	4462	0.00034
Oscillatoriales	1150	O	2523	232	2755	0.00021
Chroococcales	1118	O	1001	159	1160	0.00009
Chroococcidiopsidales	1890505	O	530	91	621	0.00005
Pleurocapsales	52604	O	205	24	229	0.00002
Gloeomargaritales	1955042	O	137	5	142	0.00001
Thermostichales	2881383	O	65	35	100	0.00001
Sphaerobacterales	85001	O	7777	546	8323	0.00063
Thermomicrobiales	189776	O	1699	42	1741	0.00013
Chloroflexales	32064	O	9010	371	9381	0.00071
Ardenticatenales	1382929	O	4269	100	4369	0.00033
Tepidiformales	2682226	O	4033	199	4232	0.00032
Caldilineales	475963	O	1996	148	2144	0.00016
Anaerolineales	292629	O	1907	43	1950	0.00015
Ktedonobacterales	388448	O	1652	996	2648	0.00020
Dehalococcoidales	1202465	O	380	1191	1571	0.00012
Phototrophicales	2364208	O	554	7	561	0.00004
Fimbriimonadales	1663425	O	2554	17	2571	0.00019
Chthonomonadales	1077263	O	645	6	651	0.00005
Mycoplasmatales	2085	O	315	40	355	0.00003
Acholeplasmatales	186329	O	133	10	143	0.00001
Entomoplasmatales	186328	O	127	11	138	0.00001
Mycoplasmoidales	2790996	O	26	32	58	0.00000
Hyphomicrobiales	356	O	1287910	79939	1367849	0.10346
Sphingomonadales	204457	O	640072	64588	704660	0.05330
Rhodospirillales	204441	O	239646	224574	464220	0.03511
Rhodobacterales	204455	O	141281	11034	152315	0.01152
Caulobacterales	204458	O	115850	12373	128223	0.00970
Maricaulales	2800059	O	4548	505	5053	0.00038
Hyphomonadales	2800060	O	3995	167	4162	0.00031
Parvularculales	255473	O	1423	100	1523	0.00012
Rickettsiales	766	O	818	15	833	0.00006
Emcibacterales	2066490	O	717	774	1491	0.00011
Holosporales	1921002	O	261	8	269	0.00002
Magnetococcales	1191478	O	179	5	184	0.00001
Pelagibacterales	54526	O	126	2	128	0.00001
Kordiimonadales	362534	O	75	1	76	0.00001
Burkholderiales	80840	O	910777	224985	1135762	0.08591
Rhodocyclales	206389	O	60748	19507	80255	0.00607
Nitrosomonadales	32003	O	44648	6493	51141	0.00387
Neisseriales	206351	O	36012	10163	46175	0.00349
Xanthomonadales	135614	O	344100	67942	412042	0.03117
Pseudomonadales	72274	O	213686	69984	283670	0.02146
Enterobacterales	91347	O	78577	142099	220676	0.01669
Chromatiales	135613	O	50202	4361	54563	0.00413
Oceanospirillales	135619	O	41932	6303	48235	0.00365
Methylococcales	135618	O	16784	870	17654	0.00134
Aeromonadales	135624	O	15780	11603	27383	0.00207
Nevskiales	1775403	O	13828	2522	16350	0.00124
Acidiferrobacterales	1692040	O	10434	586	11020	0.00083
Alteromonadales	135622	O	8518	1212	9730	0.00074
Cellvibrionales	1706369	O	8320	483	8803	0.00067
Vibrionales	135623	O	4926	865	5791	0.00044
Moraxellales	2887326	O	2846	1571	4417	0.00033
Immundisolibacterales	1934945	O	2596	2944	5540	0.00042
Legionellales	118969	O	2204	98	2302	0.00017
Thiotrichales	72273	O	1897	872	2769	0.00021
Salinisphaerales	742030	O	1713	82	1795	0.00014
Pasteurellales	135625	O	1326	2416	3742	0.00028
Cardiobacteriales	135615	O	957	153	1110	0.00008
Kangiellales	2887327	O	143	10	153	0.00001
Orbales	1240482	O	78	23	101	0.00001
Myxococcales	29	O	416588	46884	463472	0.03506
Desulfuromonadales	69541	O	40095	3715	43810	0.00331
Desulfovibrionales	213115	O	26399	2192	28591	0.00216
Desulfobacterales	213118	O	9526	957	10483	0.00079
Bradymonadales	1779134	O	6950	226	7176	0.00054
Syntrophobacterales	213462	O	2302	552	2854	0.00022
Desulfarculales	453227	O	1957	1126	3083	0.00023
Syntrophales	2914038	O	1271	468	1739	0.00013
Desulfurellales	213113	O	39	2	41	0.00000
Campylobacterales	213849	O	3297	203	3500	0.00026
Nautiliales	235899	O	327	37	364	0.00003
Acidithiobacillales	225057	O	1891	234	2125	0.00016
Bdellovibrionales	213481	O	740	13	753	0.00006
Bacteriovoracales	2024979	O	108	1	109	0.00001
Silvanigrellales	2024973	O	78	2	80	0.00001
Hydrogenophilales	119069	O	622	143	765	0.00006
Mariprofundales	580371	O	466	16	482	0.00004
Gemmatales	2691355	O	184521	6331	190852	0.01444
Isosphaerales	2691356	O	108661	10541	119202	0.00902
Planctomycetales	112	O	56110	6684	62794	0.00475
Pirellulales	2691354	O	51264	1198	52462	0.00397
Tepidisphaerales	1771349	O	10425	263	10688	0.00081
Phycisphaerales	666506	O	5367	322	5689	0.00043
Sedimentisphaerales	2483366	O	666	35	701	0.00005
Candidatus Brocadiales	1127829	O	141	0	141	0.00001
Candidatus Uabimicrobiales	2897347	O	102	1	103	0.00001
Opitutales	415000	O	21614	916	22530	0.00170
Puniceicoccales	415001	O	915	121	1036	0.00008
Verrucomicrobiales	48461	O	10849	2331	13180	0.00100
Methylacidiphilales	717963	O	167	10	177	0.00001
Kiritimatiellales	1921782	O	970	1119	2089	0.00016
Tichowtungiales	2907185	O	380	12	392	0.00003
Parachlamydiales	1963360	O	386	3	389	0.00003
Chlamydiales	51291	O	118	351	469	0.00004
Gemmatimonadales	219686	O	231699	16341	248040	0.01876
Cytophagales	768507	O	37477	963	38440	0.00291
Chitinophagales	1853229	O	21919	396	22315	0.00169
Bacteroidetes Order II. Incertae sedis	1100069	O	12313	688	13001	0.00098
Bacteroidales	171549	O	11270	3106	14376	0.00109
Marinilabiliales	1970189	O	233	6	239	0.00002
Flavobacteriales	200644	O	10216	1088	11304	0.00086
Sphingobacteriales	200666	O	5570	636	6206	0.00047
Saprospirales	1936988	O	332	5	337	0.00003
Candidatus Sulfidibacteriales	2923288	O	84	3	87	0.00001
Chlorobiales	191411	O	4009	490	4499	0.00034
Ignavibacteriales	795748	O	241	5	246	0.00002
Fibrobacterales	218872	O	168	77	245	0.00002
Vicinamibacterales	2910145	O	67328	4507	71835	0.00543
Acidobacteriales	204433	O	38365	987	39352	0.00298
Bryobacterales	332160	O	9237	4401	13638	0.00103
Acanthopleuribacterales	533206	O	1976	51	2027	0.00015
