name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinobacteria	201174	P	5606426	291809	5898235	0.44614
Firmicutes	1239	P	191795	101401	293196	0.02218
Deinococcus-Thermus	1297	P	42683	2251	44934	0.00340
Cyanobacteria	1117	P	39478	1195	40673	0.00308
Chloroflexi	200795	P	36174	751	36925	0.00279
Armatimonadetes	67819	P	3212	23	3235	0.00024
Tenericutes	544448	P	653	43	696	0.00005
Proteobacteria	1224	P	5415073	436556	5851629	0.44261
Planctomycetes	203682	P	435448	7188	442636	0.03348
Verrucomicrobia	74201	P	35766	1159	36925	0.00279
Kiritimatiellaeota	134625	P	1355	1127	2482	0.00019
Chlamydiae	204428	P	515	16	531	0.00004
Candidatus Omnitrophica	67812	P	326	1	327	0.00002
Gemmatimonadetes	142182	P	231699	16341	248040	0.01876
Bacteroidetes	976	P	103918	2393	106311	0.00804
Chlorobi	1090	P	4009	167	4176	0.00032
Balneolaeota	1936987	P	293	30	323	0.00002
Ignavibacteriae	1134404	P	241	5	246	0.00002
Fibrobacteres	65842	P	168	3	171	0.00001
Candidatus Cloacimonetes	456828	P	72	1	73	0.00001
Acidobacteria	57723	P	122674	4261	126935	0.00960
Nitrospirae	40117	P	13926	235	14161	0.00107
Spirochaetes	203691	P	3584	224	3808	0.00029
Synergistetes	508458	P	3409	332	3741	0.00028
Candidatus Bipolaricaulota	67810	P	642	31	673	0.00005
Candidatus Saccharibacteria	95818	P	310	30	340	0.00003
Candidatus Absconditabacteria	221235	P	42	81	123	0.00001
Thermotogae	200918	P	907	54	961	0.00007
Aquificae	200783	P	687	11	698	0.00005
Thermodesulfobacteria	200940	P	546	11	557	0.00004
Calditrichaeota	1930617	P	357	4	361	0.00003
Deferribacteres	200930	P	313	12	325	0.00002
Chrysiogenetes	200938	P	281	149	430	0.00003
Fusobacteria	32066	P	275	42	317	0.00002
Elusimicrobia	74152	P	201	2	203	0.00002
Dictyoglomi	68297	P	112	0	112	0.00001
Coprothermobacterota	2138240	P	85	20	105	0.00001
Caldiserica	67814	P	74	0	74	0.00001
Atribacterota	67818	P	67	2	69	0.00001
Ascomycota	4890	P	45896	746	46642	0.00353
Basidiomycota	5204	P	2815	82	2897	0.00022
Microsporidia	6029	P	26	0	26	0.00000
Oomycota	4762	P	4861	457	5318	0.00040
