"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Bradyrhizobium_sp._200","64799","45961","18856","1625","72373","31410","7108","44853"
"Bradyrhizobium_sp._CCGE-LA001","52902","14109","4557","568","12909","12189","1882","11800"
"Bradyrhizobium_sp._170","48697","47618","17290","1438","61096","25125","7048","47700"
"Bradyrhizobium_sp._CCBAU_051011","30932","29073","15982","1283","52300","20457","5792","31770"
"Bradyrhizobium_sp._CCBAU_53351","19383","6958","5468","581","20567","8826","1337","7814"
"Bradyrhizobium_sp._CCBAU_51753","15585","13420","7764","729","18724","11738","2282","15690"
"Bradyrhizobium_sp._195","16088","8531","4712","539","14013","7521","1912","8898"
"Bradyrhizobium_sp._1(2017)","13257","10158","5218","607","13631","9229","1657","7673"
"Bradyrhizobium_sp._CCBAU_51765","15109","5809","13797","1171","66976","20582","1136","6479"
"Bradyrhizobium_sp._SK17","10767","9946","5722","555","12445","7992","1753","11625"
"Bradyrhizobium_sp._191","15422","6483","13403","1130","29335","23088","1456","6979"
"Bradyrhizobium_sp._186","10062","7565","5127","468","11782","7249","1457","9172"
"Bradyrhizobium_sp._A19","9249","9258","5971","554","10904","7853","1624","11331"
"Bradyrhizobium_sp._BTAi1","8974","8798","5952","561","11052","7669","1621","10932"
"Bradyrhizobium_sp._ORS_285","9119","8929","5797","549","11217","7870","1652","11275"
"Bradyrhizobium_sp._ORS_278","8887","9110","6104","547","11378","7703","1687","11316"
"Bradyrhizobium_sp._I71","12834","5590","7495","771","25109","13577","1214","6540"
"Bradyrhizobium_sp._CCBAU_53340","8632","6087","4273","451","10336","6492","1213","7464"
"Bradyrhizobium_sp._CCBAU_53338","8688","6589","4546","462","9924","6325","1198","7796"
"Bradyrhizobium_sp._CCBAU_53421","8235","7365","4638","458","10101","6268","1370","8783"
"Bradyrhizobium_sp._S2-11-2","8395","9422","4131","400","8655","5589","1503","10393"
"Bradyrhizobium_sp._6(2017)","6851","6449","3690","358","8549","5153","1119","7805"
"Bradyrhizobium_sp._S2-11-4","7595","8117","3519","370","7738","4810","1321","8977"
"Bradyrhizobium_sp._S2-20-1","7142","8147","3650","356","7288","4777","1236","9177"
"Bradyrhizobium_sp._41S5","5841","5884","3355","339","7035","4590","1060","6945"
"Bradyrhizobium_sp._C-145","5060","3333","2865","360","6670","4155","637","4298"
"Bradyrhizobium_sp.","7094","5713","4378","450","8904","5870","1160","7684"
"Bradyrhizobium_sp._40","5331","4118","2361","221","5114","3453","747","4930"
"Bradyrhizobium_sp._4","4886","3686","2432","269","4932","3273","680","4713"
"Bradyrhizobium_sp._192","4207","3076","2181","223","4470","3006","556","3725"
"Bradyrhizobium_sp._323S2","4253","3295","2371","300","4992","3218","671","4020"
"Bradyrhizobium_sp._144S4","4111","3816","2494","312","5245","3553","713","4804"
"Bradyrhizobium_sp._LCT2","2631","2195","1588","152","3353","2368","443","2626"
"Bradyrhizobium_sp._TM102","4684","3024","2276","190","4979","3165","572","3554"
"Bradyrhizobium_sp._SG09","4812","3293","2352","173","5215","3337","570","3803"
"Bradyrhizobium_sp._187","2468","2100","1567","145","2812","2106","359","2464"
"Bradyrhizobium_sp._38S5","2336","2460","1730","0","2117","2149","523","3067"
"Bradyrhizobium_sp._131","2887","2369","1126","200","2549","1845","468","4006"
"Bradyrhizobium_sp._CW1","2661","2816","1992","158","2807","2211","493","3811"
"Bradyrhizobium_sp._1S5","1916","2853","1558","153","2476","1586","486","3162"
"Bradyrhizobium_sp._172","2012","2323","1822","0","2584","2156","317","2593"
"Bradyrhizobium_sp._155","2194","1914","1117","0","2955","1397","293","2692"
"Bradyrhizobium_sp._CCBAU_21365","721","1057","0","0","1040","821","0","1346"
"Bradyrhizobium_diazoefficiens","61482","50532","33013","3095","67518","44714","10681","63232"
"Bradyrhizobium_erythrophlei","28911","29535","17039","1592","33281","22232","5239","35500"
"Bradyrhizobium_paxllaeri","25763","23929","13981","1086","45411","17480","4997","28283"
"Bradyrhizobium_icense","23213","22272","14248","1143","40169","18126","4244","26551"
"Bradyrhizobium_vignae","11345","5061","5018","597","11681","7782","1075","6553"
"Bradyrhizobium_lablabi","17458","19280","10934","1074","20637","13905","3368","24683"
"Bradyrhizobium_japonicum","19009","16482","11959","1150","22999","15831","2860","20110"
"Bradyrhizobium_daqingense","12561","5662","4131","481","9986","8504","1028","6602"
"Bradyrhizobium_canariense","18840","20318","11350","1146","21855","15159","3555","25194"
"Bradyrhizobium_guangxiense","11299","5349","4772","554","18578","7593","1055","6418"
"Bradyrhizobium_genosp._L","9556","8989","5390","512","11781","7651","1535","11186"
"Bradyrhizobium_arachidis","9952","7007","5085","552","11744","7235","1288","8308"
"Bradyrhizobium_oligotrophicum","7204","7294","5216","521","9128","6773","1423","9427"
"Bradyrhizobium_cosmicum","7735","5721","4022","435","8473","5890","1088","6857"
"Bradyrhizobium_guangdongense","7954","5621","4275","418","9086","5890","1164","7417"
"Bradyrhizobium_genosp._B","6392","5008","3597","359","7455","5257","989","6480"
"Bradyrhizobium_guangzhouense","6853","5181","3833","367","7874","5500","1007","6399"
"Bradyrhizobium_amphicarpaeae","6689","3962","2930","303","6469","4388","759","4848"
"Bradyrhizobium_symbiodeficiens","10455","6440","4466","583","9192","6808","1116","7987"
"Bradyrhizobium_quebecense","6952","6916","4394","411","8595","5833","1242","8838"
"Bradyrhizobium_septentrionale","5773","6206","3674","364","7377","5058","1080","7429"
"Bradyrhizobium_betae","5337","3817","2747","270","6032","3945","772","5101"
"Bradyrhizobium_zhanjiangense","3789","2875","2443","233","5564","3272","618","4178"
"Bradyrhizobium_elkanii","5100","5441","3320","313","5980","4328","913","7488"
"Bradyrhizobium_ottawaense","7316","7305","4423","372","8387","6010","1276","8817"
"Rhodopseudomonas_palustris","27706","31006","20016","1990","31924","27991","6075","41638"
"Rhodopseudomonas_sp._SK50-23","4468","4297","2432","291","4050","3382","768","5306"
"Rhodopseudomonas_boonkerdii","4080","4192","2534","256","4088","3392","842","5456"
