name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	1012967	84010	1096977	0.07863
Rhizobiaceae	82115	F	234552	58714	293266	0.02102
Phyllobacteriaceae	69277	F	219024	34099	253123	0.01814
Methylobacteriaceae	119045	F	161357	20222	181579	0.01302
Hyphomicrobiaceae	45401	F	100166	7734	107900	0.00773
Xanthobacteraceae	335928	F	87936	12450	100386	0.00720
Boseaceae	2831100	F	43483	5614	49097	0.00352
Devosiaceae	2831106	F	34524	2534	37058	0.00266
Aurantimonadaceae	255475	F	28802	29977	58779	0.00421
Methylocystaceae	31993	F	20727	1485	22212	0.00159
Phreatobacteraceae	2843305	F	18269	2614	20883	0.00150
Stappiaceae	2821832	F	16685	3223	19908	0.00143
Parvibaculaceae	2813035	F	11347	2440	13787	0.00099
Blastochloridaceae	2831090	F	10642	2114	12756	0.00091
Beijerinckiaceae	45404	F	10237	632	10869	0.00078
Chelatococcaceae	2036754	F	10227	1921	12148	0.00087
Brucellaceae	118882	F	6107	2755	8862	0.00064
Amorphaceae	2685818	F	5743	543	6286	0.00045
Kaistiaceae	2831111	F	5403	1120	6523	0.00047
Pleomorphomonadaceae	2843308	F	3558	530	4088	0.00029
Lichenihabitantaceae	2723775	F	3517	144	3661	0.00026
Breoghaniaceae	2831104	F	3243	365	3608	0.00026
Cohaesibacteraceae	655351	F	689	25	714	0.00005
Bartonellaceae	772	F	662	38	700	0.00005
Sphingomonadaceae	41297	F	606332	71439	677771	0.04858
Erythrobacteraceae	335929	F	72965	12885	85850	0.00615
Sphingosinicellaceae	2820280	F	20153	1572	21725	0.00156
Zymomonadaceae	2844881	F	192	156	348	0.00002
Azospirillaceae	2829815	F	101347	9888	111235	0.00797
Acetobacteraceae	433	F	81734	9072	90806	0.00651
Rhodospirillaceae	41295	F	60005	215839	275844	0.01977
Stellaceae	2844601	F	11294	732	12026	0.00086
Elioraeaceae	2690195	F	4892	229	5121	0.00037
Thalassospiraceae	2844866	F	2962	183	3145	0.00023
Terasakiellaceae	2813951	F	121	2	123	0.00001
Rhodobacteraceae	31989	F	92666	11900	104566	0.00750
Roseobacteraceae	2854170	F	63516	7830	71346	0.00511
Caulobacteraceae	76892	F	127429	11615	139044	0.00997
Maricaulaceae	2800061	F	5104	475	5579	0.00040
Hyphomonadaceae	69657	F	4650	166	4816	0.00035
Parvularculaceae	255474	F	1628	102	1730	0.00012
Anaplasmataceae	942	F	424	6	430	0.00003
Rickettsiaceae	775	F	328	16	344	0.00002
Candidatus Midichloriaceae	1328881	F	55	33	88	0.00001
Candidatus Deianiraeaceae	2603433	F	12	0	12	0.00000
Emcibacteraceae	2066491	F	748	785	1533	0.00011
Holosporaceae	44746	F	209	4	213	0.00002
Candidatus Paracaedibacteraceae	1777752	F	88	4	92	0.00001
Caedimonadaceae	2100208	F	76	3	79	0.00001
Magnetococcaceae	1191479	F	228	5	233	0.00002
Pelagibacteraceae	1655514	F	94	47	141	0.00001
Kordiimonadaceae	1331809	F	99	1	100	0.00001
Comamonadaceae	80864	F	541557	163991	705548	0.05057
Burkholderiaceae	119060	F	489126	152945	642071	0.04602
Alcaligenaceae	506	F	144876	63187	208063	0.01491
Oxalobacteraceae	75682	F	144598	182200	326798	0.02342
Sutterellaceae	995019	F	2564	208	2772	0.00020
Zoogloeaceae	2008794	F	50579	18517	69096	0.00495
Rhodocyclaceae	75787	F	37698	11688	49386	0.00354
Azonexaceae	2008795	F	13122	1393	14515	0.00104
Fluviibacteraceae	2808923	F	254	85	339	0.00002
Usitatibacteraceae	2803844	F	43140	3360	46500	0.00333
Sterolibacteriaceae	2008793	F	13116	3431	16547	0.00119
Nitrosomonadaceae	206379	F	9589	353	9942	0.00071
Gallionellaceae	90627	F	8842	1097	9939	0.00071
Thiobacillaceae	2008790	F	7397	2085	9482	0.00068
Sulfuricellaceae	2772226	F	5340	658	5998	0.00043
Methylophilaceae	32011	F	1774	173	1947	0.00014
Chromobacteriaceae	1499392	F	36812	7348	44160	0.00317
Neisseriaceae	481	F	13853	3084	16937	0.00121
Casimicrobiaceae	2705999	F	2702	1272	3974	0.00028
Xanthomonadaceae	32033	F	246621	46720	293341	0.02103
Rhodanobacteraceae	1775411	F	66733	10683	77416	0.00555
Pseudomonadaceae	135621	F	250989	84361	335350	0.02404
Marinobacteraceae	2887365	F	6544	557	7101	0.00051
Enterobacteriaceae	543	F	39419	141875	181294	0.01299
Yersiniaceae	1903411	F	14160	4386	18546	0.00133
Erwiniaceae	1903409	F	11128	1717	12845	0.00092
Pectobacteriaceae	1903410	F	7212	916	8128	0.00058
Hafniaceae	1903412	F	2114	533	2647	0.00019
Morganellaceae	1903414	F	1685	769	2454	0.00018
Bruguierivoracaceae	2812006	F	1278	80	1358	0.00010
Budviciaceae	1903416	F	255	31	286	0.00002
Ectothiorhodospiraceae	72276	F	28309	2707	31016	0.00222
Chromatiaceae	1046	F	20213	1356	21569	0.00155
Wenzhouxiangellaceae	1676141	F	3112	2942	6054	0.00043
Thioalkalibacteraceae	2035710	F	1923	466	2389	0.00017
Thioalkalispiraceae	1096778	F	1843	698	2541	0.00018
Halothiobacillaceae	255526	F	1223	101	1324	0.00009
Woeseiaceae	1738654	F	1092	18	1110	0.00008
Granulosicoccaceae	449719	F	716	17	733	0.00005
Halomonadaceae	28256	F	38357	4132	42489	0.00305
Alcanivoracaceae	224372	F	4022	1740	5762	0.00041
Oceanospirillaceae	135620	F	2685	295	2980	0.00021
Hahellaceae	224379	F	851	33	884	0.00006
Saccharospirillaceae	255527	F	839	42	881	0.00006
Litoricolaceae	449732	F	253	12	265	0.00002
Oleiphilaceae	191033	F	105	8	113	0.00001
Endozoicomonadaceae	2066474	F	102	5	107	0.00001
Zooshikellaceae	2898533	F	40	1	41	0.00000
Methylococcaceae	403	F	19986	867	20853	0.00149
Aeromonadaceae	84642	F	17831	12564	30395	0.00218
Succinivibrionaceae	83763	F	48	2	50	0.00000
Sinobacteraceae	568386	F	8334	1048	9382	0.00067
Steroidobacteraceae	2689614	F	7876	2164	10040	0.00072
Acidiferrobacteraceae	1692041	F	13068	610	13678	0.00098
Shewanellaceae	267890	F	4934	811	5745	0.00041
Alteromonadaceae	72275	F	2299	312	2611	0.00019
Pseudoalteromonadaceae	267888	F	1522	201	1723	0.00012
Ferrimonadaceae	267892	F	651	77	728	0.00005
Colwelliaceae	267889	F	330	28	358	0.00003
Idiomarinaceae	267893	F	286	26	312	0.00002
Moritellaceae	267891	F	115	24	139	0.00001
Psychromonadaceae	267894	F	82	7	89	0.00001
Microbulbiferaceae	1706373	F	5004	273	5277	0.00038
Halieaceae	1706372	F	2191	200	2391	0.00017
Cellvibrionaceae	1706371	F	2140	73	2213	0.00016
Spongiibacteraceae	1706375	F	883	63	946	0.00007
Vibrionaceae	641	F	5860	2038	7898	0.00057
Moraxellaceae	468	F	3882	2699	6581	0.00047
Legionellaceae	444	F	2263	111	2374	0.00017
Coxiellaceae	118968	F	1161	34	1195	0.00009
Immundisolibacteraceae	1934946	F	3087	3481	6568	0.00047
Celerinatantimonadaceae	412032	F	60	139	199	0.00001
Piscirickettsiaceae	135616	F	1294	105	1399	0.00010
Thiotrichaceae	135617	F	1096	32	1128	0.00008
Francisellaceae	34064	F	171	11	182	0.00001
Salinisphaeraceae	742031	F	1900	1944	3844	0.00028
Pasteurellaceae	712	F	1496	832	2328	0.00017
Cardiobacteriaceae	868	F	1137	140	1277	0.00009
Kangiellaceae	1920240	F	178	12	190	0.00001
Orbaceae	1240483	F	90	17	107	0.00001
Anaeromyxobacteraceae	1524215	F	206743	13107	219850	0.01576
Myxococcaceae	31	F	107079	100635	207714	0.01489
Archangiaceae	39	F	101200	3701	104901	0.00752
Vulgatibacteraceae	1524213	F	8066	531	8597	0.00062
Polyangiaceae	49	F	190498	13183	203681	0.01460
Sandaracinaceae	1055686	F	44574	2236	46810	0.00336
Labilitrichaceae	1524216	F	22605	977	23582	0.00169
Kofleriaceae	224464	F	22964	997	23961	0.00172
Geobacteraceae	213422	F	52857	4145	57002	0.00409
Desulfuromonadaceae	213421	F	10899	1559	12458	0.00089
Syntrophotaleaceae	2812024	F	1717	180	1897	0.00014
Desulfovibrionaceae	194924	F	27906	2063	29969	0.00215
Desulfomicrobiaceae	213116	F	1566	156	1722	0.00012
Desulfohalobiaceae	213117	F	360	16	376	0.00003
Desulfobacteraceae	213119	F	6594	489	7083	0.00051
Desulfobulbaceae	213121	F	2743	318	3061	0.00022
Desulfosudaceae	2904715	F	770	55	825	0.00006
Desulfocapsaceae	2886822	F	435	46	481	0.00003
Bradymonadaceae	1779135	F	7751	954	8705	0.00062
Syntrophobacteraceae	213465	F	2663	472	3135	0.00022
Desulfarculaceae	453228	F	2200	917	3117	0.00022
Syntrophaceae	213468	F	1324	287	1611	0.00012
Candidatus Desulfofervidaceae	1902584	F	109	2	111	0.00001
Desulfurellaceae	117942	F	73	3	76	0.00001
Campylobacteraceae	72294	F	1000	218	1218	0.00009
Thiovulaceae	2771471	F	757	46	803	0.00006
Helicobacteraceae	72293	F	663	31	694	0.00005
Sulfurovaceae	2771472	F	513	33	546	0.00004
Hydrogenimonaceae	292630	F	300	22	322	0.00002
Sulfurospirillaceae	2932623	F	197	10	207	0.00001
Arcobacteraceae	2808963	F	176	18	194	0.00001
Nitratiruptoraceae	2795691	F	167	13	180	0.00001
Nautiliaceae	224467	F	113	13	126	0.00001
Acidithiobacillaceae	225058	F	2129	179	2308	0.00017
Bdellovibrionaceae	213483	F	1015	12	1027	0.00007
Bacteriovoracaceae	263369	F	70	8	78	0.00001
Halobacteriovoraceae	1652132	F	49	9	58	0.00000
Silvanigrellaceae	2024974	F	77	1	78	0.00001
Hydrogenophilaceae	206349	F	793	147	940	0.00007
Mariprofundaceae	580372	F	460	12	472	0.00003
Streptomycetaceae	2062	F	867788	210527	1078315	0.07729
Microbacteriaceae	85023	F	268443	50681	319124	0.02287
Micrococcaceae	1268	F	75508	18792	94300	0.00676
Cellulomonadaceae	85016	F	53195	19351	72546	0.00520
Intrasporangiaceae	85021	F	29622	8912	38534	0.00276
Promicromonosporaceae	85017	F	24767	10401	35168	0.00252
Ornithinimicrobiaceae	2805590	F	18277	4317	22594	0.00162
Dermabacteraceae	85020	F	14563	3165	17728	0.00127
Brevibacteriaceae	85019	F	13799	3197	16996	0.00122
Bogoriellaceae	145358	F	10041	3412	13453	0.00096
Dermacoccaceae	145357	F	8743	2334	11077	0.00079
Ruaniaceae	1331736	F	8108	9433	17541	0.00126
Beutenbergiaceae	125316	F	5835	2050	7885	0.00057
Sanguibacteraceae	145360	F	4125	1422	5547	0.00040
Dermatophilaceae	85018	F	1993	212	2205	0.00016
Kytococcaceae	2805426	F	1623	672	2295	0.00016
Demequinaceae	1042322	F	766	69	835	0.00006
Jonesiaceae	85022	F	127	25	152	0.00001
Tropherymataceae	2805591	F	45	0	45	0.00000
Mycobacteriaceae	1762	F	282761	49015	331776	0.02378
Nocardiaceae	85025	F	121691	25800	147491	0.01057
Corynebacteriaceae	1653	F	38767	9920	48687	0.00349
Gordoniaceae	85026	F	31499	7431	38930	0.00279
Tsukamurellaceae	85028	F	9896	2754	12650	0.00091
Dietziaceae	85029	F	5635	5581	11216	0.00080
Segniliparaceae	316606	F	888	54	942	0.00007
Lawsonellaceae	2805586	F	112	13	125	0.00001
Micromonosporaceae	28056	F	442848	68806	511654	0.03667
Nocardioidaceae	85015	F	229878	53431	283309	0.02031
Propionibacteriaceae	31957	F	47169	10017	57186	0.00410
Kribbellaceae	2726069	F	16892	3051	19943	0.00143
Actinopolymorphaceae	2805400	F	4325	582	4907	0.00035
Pseudonocardiaceae	2070	F	297230	55100	352330	0.02525
Streptosporangiaceae	2004	F	66300	12571	78871	0.00565
Thermomonosporaceae	2012	F	56225	12650	68875	0.00494
Nocardiopsaceae	83676	F	23375	4211	27586	0.00198
Geodermatophilaceae	85030	F	36768	10865	47633	0.00341
Actinomycetaceae	2049	F	25412	4159	29571	0.00212
Frankiaceae	74712	F	22554	2498	25052	0.00180
Jiangellaceae	1217100	F	13153	2673	15826	0.00113
Bifidobacteriaceae	31953	F	10955	2888	13843	0.00099
Nakamurellaceae	85031	F	7913	1181	9094	0.00065
Catenulisporaceae	414877	F	5447	925	6372	0.00046
Jatrophihabitantaceae	2805416	F	3916	396	4312	0.00031
Glycomycetaceae	85034	F	3566	331	3897	0.00028
Kineosporiaceae	83778	F	2948	948	3896	0.00028
Sporichthyaceae	85033	F	1874	1073	2947	0.00021
Actinopolysporaceae	622451	F	1490	176	1666	0.00012
Acidothermaceae	85032	F	1246	69	1315	0.00009
Candidatus Nanopelagicaceae	2162846	F	424	8	432	0.00003
Conexibacteraceae	320583	F	67974	10670	78644	0.00564
Miltoncostaeaceae	2843199	F	19010	2618	21628	0.00155
Rubrobacteraceae	84997	F	25258	1103	26361	0.00189
Baekduiaceae	2600303	F	22238	4051	26289	0.00188
Iamiaceae	633392	F	38467	5252	43719	0.00313
Ilumatobacteraceae	2448023	F	4331	274	4605	0.00033
Acidimicrobiaceae	84994	F	1524	120	1644	0.00012
Eggerthellaceae	1643826	F	9802	1721	11523	0.00083
Atopobiaceae	1643824	F	4817	1192	6009	0.00043
Coriobacteriaceae	84107	F	1977	527	2504	0.00018
Egicoccaceae	1755824	F	3682	619	4301	0.00031
Egibacteraceae	1747769	F	3548	228	3776	0.00027
Euzebyaceae	908622	F	3345	301	3646	0.00026
Bacillaceae	186817	F	59172	73428	132600	0.00950
Paenibacillaceae	186822	F	41835	3512	45347	0.00325
Alicyclobacillaceae	186823	F	5560	929	6489	0.00047
Planococcaceae	186818	F	2217	677	2894	0.00021
Thermoactinomycetaceae	186824	F	1724	1622	3346	0.00024
Staphylococcaceae	90964	F	926	4528	5454	0.00039
Listeriaceae	186820	F	278	97	375	0.00003
Sporolactobacillaceae	186821	F	113	17	130	0.00001
Lactobacillaceae	33958	F	3001	1197	4198	0.00030
Streptococcaceae	1300	F	1152	975	2127	0.00015
Enterococcaceae	81852	F	591	706	1297	0.00009
Aerococcaceae	186827	F	240	76	316	0.00002
Carnobacteriaceae	186828	F	229	97	326	0.00002
Oscillospiraceae	216572	F	7790	3067	10857	0.00078
Clostridiales Family XVII. Incertae Sedis	539000	F	5858	984	6842	0.00049
Eubacteriales Family XIII. Incertae Sedis	543314	F	297	646	943	0.00007
Clostridiales Family XVI. Incertae Sedis	543347	F	105	42	147	0.00001
Clostridiaceae	31979	F	5976	1591	7567	0.00054
Symbiobacteriaceae	543349	F	2516	224	2740	0.00020
Lachnospiraceae	186803	F	2503	968	3471	0.00025
Peptococcaceae	186807	F	1619	149	1768	0.00013
Christensenellaceae	990719	F	894	399	1293	0.00009
Heliobacteriaceae	31984	F	791	343	1134	0.00008
Desulfitobacteriaceae	2937909	F	713	70	783	0.00006
Eubacteriaceae	186806	F	665	157	822	0.00006
Peptostreptococcaceae	186804	F	323	78	401	0.00003
Syntrophomonadaceae	68298	F	251	11	262	0.00002
Desulfallaceae	2867375	F	141	11	152	0.00001
Desulfotomaculaceae	2937910	F	96	41	137	0.00001
Vallitaleaceae	2603322	F	95	7	102	0.00001
Thermincolaceae	2937911	F	77	7	84	0.00001
Thermohalobacteraceae	2848916	F	48	6	54	0.00000
Proteinivoraceae	1491775	F	15	2	17	0.00000
Thermoanaerobacteraceae	186814	F	3210	440	3650	0.00026
Thermoanaerobacterales Family III. Incertae Sedis	543371	F	226	34	260	0.00002
Thermoanaerobacterales Family IV. Incertae Sedis	543372	F	140	70	210	0.00002
Zhaonellaceae	2748673	F	90	13	103	0.00001
Thermodesulfobiaceae	227387	F	57	0	57	0.00000
Halanaerobiaceae	972	F	149	144	293	0.00002
Halobacteroidaceae	53434	F	73	17	90	0.00001
Thermosediminibacteraceae	2770093	F	141	10	151	0.00001
Tepidanaerobacteraceae	2770092	F	130	6	136	0.00001
Koleobacteraceae	2786988	F	94	8	102	0.00001
Natranaerofabaceae	2807496	F	55	2	57	0.00000
Natranaerobiaceae	485255	F	23	1	24	0.00000
Selenomonadaceae	1843491	F	3069	169	3238	0.00023
Sporomusaceae	1843490	F	456	40	496	0.00004
Veillonellaceae	31977	F	935	290	1225	0.00009
Acidaminococcaceae	909930	F	506	112	618	0.00004
Limnochordaceae	1676650	F	2286	95	2381	0.00017
Peptoniphilaceae	1570339	F	301	204	505	0.00004
Tissierellaceae	1737406	F	101	16	117	0.00001
Gottschalkiaceae	2042895	F	37	468	505	0.00004
Erysipelotrichaceae	128827	F	532	167	699	0.00005
Turicibacteraceae	2810281	F	42	235	277	0.00002
Synechococcaceae	1890426	F	12030	1238	13268	0.00095
Prochlorococcaceae	2881426	F	2587	561	3148	0.00023
Acaryochloridaceae	1890429	F	220	6	226	0.00002
Chamaesiphonaceae	1890431	F	205	10	215	0.00002
Merismopediaceae	1890428	F	194	8	202	0.00001
Nostocaceae	1162	F	8283	1335	9618	0.00069
Calotrichaceae	2661849	F	3270	352	3622	0.00026
Aphanizomenonaceae	1892259	F	963	503	1466	0.00011
Scytonemataceae	1182	F	724	70	794	0.00006
Tolypothrichaceae	119859	F	429	80	509	0.00004
Hapalosiphonaceae	1892263	F	320	40	360	0.00003
Rivulariaceae	1185	F	64	3	67	0.00000
Leptolyngbyaceae	1890438	F	5196	330	5526	0.00040
Oculatellaceae	2303507	F	645	40	685	0.00005
Prochlorotrichaceae	2303730	F	306	11	317	0.00002
Thermosynechococcaceae	2881378	F	306	24	330	0.00002
Pseudanabaenaceae	1890436	F	204	8	212	0.00002
Coleofasciculaceae	1892251	F	1005	124	1129	0.00008
Oscillatoriaceae	1892254	F	914	147	1061	0.00008
Microcoleaceae	1892252	F	655	348	1003	0.00007
Gomontiellaceae	1892255	F	91	10	101	0.00001
Sirenicapillariaceae	2934961	F	59	6	65	0.00000
Microcystaceae	1890449	F	472	130	602	0.00004
Aphanothecaceae	1890450	F	389	41	430	0.00003
Chroococcaceae	1890464	F	293	28	321	0.00002
Geminocystaceae	2815910	F	65	12	77	0.00001
Gloeobacteraceae	1890422	F	4301	90	4391	0.00031
Chroococcidiopsidaceae	1890528	F	579	79	658	0.00005
Hyellaceae	1890500	F	167	18	185	0.00001
Dermocarpellaceae	1890498	F	75	6	81	0.00001
Gloeomargaritaceae	1955043	F	117	3	120	0.00001
Thermostichaceae	2881384	F	67	43	110	0.00001
Deinococcaceae	183710	F	25192	1303	26495	0.00190
Thermaceae	188786	F	10729	699	11428	0.00082
Trueperaceae	332247	F	2038	117	2155	0.00015
Roseiflexaceae	1508635	F	5480	332	5812	0.00042
Chloroflexaceae	1106	F	1654	77	1731	0.00012
Sphaerobacteraceae	85002	F	5453	333	5786	0.00041
Thermomicrobiaceae	189777	F	1282	27	1309	0.00009
Tepidiformaceae	2682227	F	4058	174	4232	0.00030
Ardenticatenaceae	1382930	F	3936	81	4017	0.00029
Anaerolineaceae	292628	F	2943	59	3002	0.00022
Caldilineaceae	475964	F	2041	1016	3057	0.00022
Dehalococcoidaceae	1202464	F	327	13	340	0.00002
Ktedonosporobacteraceae	2692416	F	1088	33	1121	0.00008
Phototrophicaceae	2922432	F	687	790	1477	0.00011
Fimbriimonadaceae	1663426	F	2647	15	2662	0.00019
Chthonomonadaceae	1077264	F	649	5	654	0.00005
Mycoplasmataceae	2092	F	297	46	343	0.00002
Acholeplasmataceae	2146	F	152	12	164	0.00001
Spiroplasmataceae	2131	F	96	13	109	0.00001
Entomoplasmataceae	33925	F	18	29	47	0.00000
Metamycoplasmataceae	2895623	F	24	25	49	0.00000
Mycoplasmoidaceae	2790998	F	22	15	37	0.00000
Gemmataceae	1914233	F	240179	8245	248424	0.01781
Isosphaeraceae	1763524	F	111508	11205	122713	0.00880
Planctomycetaceae	126	F	68669	7611	76280	0.00547
Lacipirellulaceae	2691359	F	33650	1690	35340	0.00253
Pirellulaceae	2691357	F	32083	1394	33477	0.00240
Thermoguttaceae	2691358	F	854	28	882	0.00006
Tepidisphaeraceae	1771355	F	11703	291	11994	0.00086
Phycisphaeraceae	666507	F	6053	348	6401	0.00046
Anaerohalosphaeraceae	2690158	F	423	18	441	0.00003
Sedimentisphaeraceae	2483367	F	331	82	413	0.00003
Candidatus Brocadiaceae	1127830	F	143	0	143	0.00001
Candidatus Uabimicrobiaceae	2897348	F	125	2	127	0.00001
Opitutaceae	134623	F	27105	1089	28194	0.00202
Puniceicoccaceae	415002	F	1201	141	1342	0.00010
Verrucomicrobiaceae	203557	F	13880	573	14453	0.00104
Akkermansiaceae	1647988	F	1610	2053	3663	0.00026
Methylacidiphilaceae	717964	F	167	7	174	0.00001
Kiritimatiellaceae	1921783	F	971	1196	2167	0.00016
Tichowtungiaceae	2907186	F	425	15	440	0.00003
Parachlamydiaceae	92713	F	257	14	271	0.00002
Rhabdochlamydiaceae	689704	F	54	4	58	0.00000
Simkaniaceae	92712	F	51	2	53	0.00000
Waddliaceae	92714	F	46	4	50	0.00000
Chlamydiaceae	809	F	132	379	511	0.00004
Gemmatimonadaceae	219687	F	138535	8046	146581	0.01051
Hymenobacteraceae	1853232	F	26062	1117	27179	0.00195
Cytophagaceae	89373	F	5498	267	5765	0.00041
Spirosomaceae	2896860	F	4017	231	4248	0.00030
Fulvivirgaceae	2762286	F	2079	67	2146	0.00015
Cyclobacteriaceae	563798	F	1086	121	1207	0.00009
Flammeovirgaceae	200667	F	100	7	107	0.00001
Amoebophilaceae	1501348	F	86	7	93	0.00001
Mangrovivirgaceae	2858885	F	74	5	79	0.00001
Marivirgaceae	2762301	F	60	21	81	0.00001
Bernardetiaceae	1937968	F	33	2	35	0.00000
Chitinophagaceae	563835	F	34803	524	35327	0.00253
Flavobacteriaceae	49546	F	9659	617	10276	0.00074
Weeksellaceae	2762318	F	5019	1513	6532	0.00047
Blattabacteriaceae	39782	F	219	21	240	0.00002
Crocinitomicaceae	1853230	F	145	6	151	0.00001
Schleiferiaceae	1333713	F	130	54	184	0.00001
Ichthyobacteriaceae	1755828	F	15	0	15	0.00000
Rikenellaceae	171550	F	5090	1678	6768	0.00049
Prevotellaceae	171552	F	1926	299	2225	0.00016
Bacteroidaceae	815	F	1824	817	2641	0.00019
Tannerellaceae	2005525	F	997	320	1317	0.00009
Muribaculaceae	2005473	F	787	169	956	0.00007
Porphyromonadaceae	171551	F	627	63	690	0.00005
Dysgonomonadaceae	2005520	F	313	10	323	0.00002
Barnesiellaceae	2005519	F	199	249	448	0.00003
Odoribacteraceae	1853231	F	198	70	268	0.00002
Paludibacteraceae	2005523	F	57	1	58	0.00000
Salinivirgaceae	1970190	F	54	1	55	0.00000
Tenuifilaceae	2760872	F	52	1	53	0.00000
Prolixibacteraceae	1471398	F	253	6	259	0.00002
Marinilabiliaceae	558415	F	48	4	52	0.00000
Marinifilaceae	1573805	F	39	3	42	0.00000
Rhodothermaceae	563843	F	11511	541	12052	0.00086
Sphingobacteriaceae	84566	F	7553	945	8498	0.00061
Haliscomenobacteraceae	1937961	F	376	5	381	0.00003
Saprospiraceae	89374	F	67	120	187	0.00001
Chlorobiaceae	191412	F	4455	515	4970	0.00036
Melioribacteraceae	1334117	F	120	11	131	0.00001
Ignavibacteriaceae	795749	F	85	10	95	0.00001
Fibrobacteraceae	204431	F	195	71	266	0.00002
Vicinamibacteraceae	2211325	F	83994	4843	88837	0.00637
Acidobacteriaceae	204434	F	48550	1083	49633	0.00356
Bryobacteraceae	1962910	F	11666	5219	16885	0.00121
Acanthopleuribacteraceae	533207	F	2438	73	2511	0.00018
Thermotomaculaceae	2562244	F	93	4	97	0.00001
Nitrospiraceae	189779	F	14279	198	14477	0.00104
Dissulfurispiraceae	2811505	F	106	9	115	0.00001
Thermodesulfovibrionaceae	2811504	F	92	3	95	0.00001
Treponemataceae	2845253	F	1178	141	1319	0.00009
Spirochaetaceae	137	F	992	27	1019	0.00007
Sphaerochaetaceae	2791015	F	360	185	545	0.00004
Borreliaceae	1643685	F	136	4	140	0.00001
Leptospiraceae	170	F	941	8	949	0.00007
Brachyspiraceae	143786	F	43	1	44	0.00000
Synergistaceae	649777	F	3246	904	4150	0.00030
Candidatus Nanosynbacteraceae	2093822	F	162	268	430	0.00003
Candidatus Babeliaceae	2497645	F	58	1	59	0.00000
Candidatus Chazhemtobacteraceae	2715733	F	41	0	41	0.00000
Candidatus Absconditicoccaceae	2900569	F	33	0	33	0.00000
Thermotogaceae	188709	F	431	10	441	0.00003
Fervidobacteriaceae	1643950	F	136	25	161	0.00001
Kosmotogaceae	1643948	F	163	6	169	0.00001
Petrotogaceae	1643949	F	75	27	102	0.00001
Mesoaciditogaceae	1769717	F	41	1	42	0.00000
Aquificaceae	64898	F	227	3	230	0.00002
Hydrogenothermaceae	224027	F	159	110	269	0.00002
Desulfurobacteriaceae	558314	F	143	14	157	0.00001
Thermodesulfobacteriaceae	188711	F	547	9	556	0.00004
Deferribacteraceae	191394	F	380	12	392	0.00003
Calditrichaceae	1962854	F	377	3	380	0.00003
Chrysiogenaceae	189770	F	317	143	460	0.00003
Fusobacteriaceae	203492	F	167	38	205	0.00001
Leptotrichiaceae	1129771	F	124	19	143	0.00001
Elusimicrobiaceae	641876	F	111	1	112	0.00001
Endomicrobiaceae	1783343	F	109	1	110	0.00001
Coprothermobacteraceae	2138247	F	101	20	121	0.00001
Dictyoglomaceae	203488	F	95	0	95	0.00001
Caldisericaceae	693073	F	90	0	90	0.00001
Atribacteraceae	2847776	F	64	1	65	0.00000
Nectriaceae	110618	F	10632	706	11338	0.00081
