name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	2209357	115826	2325183	0.16667
Sphingomonadales	204457	O	723777	61919	785696	0.05632
Rhodospirillales	204441	O	271777	226527	498304	0.03572
Rhodobacterales	204455	O	164605	11308	175913	0.01261
Caulobacterales	204458	O	127429	11615	139044	0.00997
Maricaulales	2800059	O	5104	475	5579	0.00040
Hyphomonadales	2800060	O	4650	166	4816	0.00035
Parvularculales	255473	O	1628	102	1730	0.00012
Rickettsiales	766	O	864	12	876	0.00006
Emcibacterales	2066490	O	748	785	1533	0.00011
Holosporales	1921002	O	375	9	384	0.00003
Magnetococcales	1191478	O	228	5	233	0.00002
Pelagibacterales	54526	O	139	2	141	0.00001
Kordiimonadales	362534	O	99	1	100	0.00001
Burkholderiales	80840	O	1551732	333522	1885254	0.13513
Rhodocyclales	206389	O	106170	27167	133337	0.00956
Nitrosomonadales	32003	O	90578	9781	100359	0.00719
Neisseriales	206351	O	51622	13450	65072	0.00466
Xanthomonadales	135614	O	322188	48569	370757	0.02658
Pseudomonadales	72274	O	258215	84236	342451	0.02455
Enterobacterales	91347	O	84288	143273	227561	0.01631
Chromatiales	135613	O	62141	4598	66739	0.00478
Oceanospirillales	135619	O	47550	5976	53526	0.00384
Methylococcales	135618	O	19986	867	20853	0.00149
Aeromonadales	135624	O	17879	12567	30446	0.00218
Nevskiales	1775403	O	16236	3186	19422	0.00139
Acidiferrobacterales	1692040	O	13068	610	13678	0.00098
Alteromonadales	135622	O	10433	1277	11710	0.00084
Cellvibrionales	1706369	O	10313	516	10829	0.00078
Vibrionales	135623	O	5860	2038	7898	0.00057
Moraxellales	2887326	O	3882	2699	6581	0.00047
Legionellales	118969	O	3443	127	3570	0.00026
Immundisolibacterales	1934945	O	3087	3681	6768	0.00049
Thiotrichales	72273	O	2574	136	2710	0.00019
Salinisphaerales	742030	O	1900	1944	3844	0.00028
Pasteurellales	135625	O	1496	832	2328	0.00017
Cardiobacteriales	135615	O	1137	140	1277	0.00009
Kangiellales	2887327	O	178	12	190	0.00001
Orbales	1240482	O	90	17	107	0.00001
Myxococcales	29	O	735436	103664	839100	0.06015
Desulfuromonadales	69541	O	66925	4434	71359	0.00511
Desulfovibrionales	213115	O	30108	1960	32068	0.00230
Desulfobacterales	213118	O	10719	733	11452	0.00082
Bradymonadales	1779134	O	8489	216	8705	0.00062
Syntrophobacterales	213462	O	2663	472	3135	0.00022
Desulfarculales	453227	O	2200	917	3117	0.00022
Syntrophales	2914038	O	1324	399	1723	0.00012
Desulfurellales	213113	O	73	3	76	0.00001
Campylobacterales	213849	O	3717	270	3987	0.00029
Nautiliales	235899	O	286	20	306	0.00002
Acidithiobacillales	225057	O	2129	179	2308	0.00017
Bdellovibrionales	213481	O	1015	12	1027	0.00007
Bacteriovoracales	2024979	O	135	1	136	0.00001
Silvanigrellales	2024973	O	77	1	78	0.00001
Hydrogenophilales	119069	O	793	147	940	0.00007
Mariprofundales	580371	O	460	12	472	0.00003
Streptomycetales	85011	O	867788	210527	1078315	0.07729
Micrococcales	85006	O	580992	97040	678032	0.04860
Corynebacteriales	85007	O	516368	75453	591821	0.04242
Micromonosporales	85008	O	442848	68806	511654	0.03667
Propionibacteriales	85009	O	302627	62720	365347	0.02619
Pseudonocardiales	85010	O	297230	55100	352330	0.02525
Streptosporangiales	85012	O	148642	26692	175334	0.01257
Geodermatophilales	1643682	O	36768	10865	47633	0.00341
Actinomycetales	2037	O	25412	4159	29571	0.00212
Frankiales	85013	O	22554	2498	25052	0.00180
Jiangellales	1217098	O	13153	2673	15826	0.00113
Bifidobacteriales	85004	O	10955	2888	13843	0.00099
Nakamurellales	1643684	O	7913	1181	9094	0.00065
Catenulisporales	414714	O	5447	925	6372	0.00046
Jatrophihabitantales	2805415	O	3916	396	4312	0.00031
Glycomycetales	85014	O	3566	331	3897	0.00028
Kineosporiales	622452	O	2948	948	3896	0.00028
Sporichthyales	2495578	O	1874	1073	2947	0.00021
Actinopolysporales	622450	O	1490	176	1666	0.00012
Acidothermales	1643683	O	1246	69	1315	0.00009
Candidatus Nanopelagicales	2039638	O	424	8	432	0.00003
Solirubrobacterales	588673	O	67974	10670	78644	0.00564
Miltoncostaeales	2843198	O	19010	2618	21628	0.00155
Rubrobacterales	84996	O	47555	5096	52651	0.00377
Acidimicrobiales	84993	O	44672	5297	49969	0.00358
Eggerthellales	1643822	O	9802	1721	11523	0.00083
Coriobacteriales	84999	O	6970	1543	8513	0.00061
Egicoccales	1755823	O	3682	619	4301	0.00031
Egibacterales	1747768	O	3548	228	3776	0.00027
Euzebyales	908621	O	3345	301	3646	0.00026
Bacillales	1385	O	115899	80740	196639	0.01409
Lactobacillales	186826	O	5379	2886	8265	0.00059
Eubacteriales	186802	O	32620	6964	39584	0.00284
Thermoanaerobacterales	68295	O	3740	543	4283	0.00031
Halanaerobiales	53433	O	365	19	384	0.00003
Thermosediminibacterales	2770089	O	274	14	288	0.00002
Koleobacterales	2786987	O	94	8	102	0.00001
Natranaerobiales	485256	O	79	3	82	0.00001
Selenomonadales	909929	O	3531	204	3735	0.00027
Veillonellales	1843489	O	935	290	1225	0.00009
Acidaminococcales	1843488	O	506	112	618	0.00004
Limnochordales	1676649	O	2286	95	2381	0.00017
Tissierellales	1737405	O	442	685	1127	0.00008
Erysipelotrichales	526525	O	574	403	977	0.00007
