name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	3546633	274187	3820820	0.28915
Betaproteobacteria	28216	C	1433035	244238	1677273	0.12693
Gammaproteobacteria	1236	C	1148807	251904	1400711	0.10600
Deltaproteobacteria	28221	C	545264	28831	574095	0.04345
Epsilonproteobacteria	29547	C	3408	147	3555	0.00027
Acidithiobacillia	1807140	C	2071	187	2258	0.00017
Oligoflexia	1553900	C	1583	18	1601	0.00012
Hydrogenophilalia	2008785	C	648	112	760	0.00006
Zetaproteobacteria	580370	C	382	10	392	0.00003
Actinomycetia	1760	C	4097893	211514	4309407	0.32612
Thermoleophilia	1497346	C	79455	10294	89749	0.00679
Acidimicrobiia	84992	C	57037	6284	63321	0.00479
Rubrobacteria	84995	C	43983	3810	47793	0.00362
Coriobacteriia	84998	C	13972	2159	16131	0.00122
Nitriliruptoria	908620	C	11372	995	12367	0.00094
Bacilli	91061	C	150851	71096	221947	0.01680
Clostridia	186801	C	33785	8989	42774	0.00324
Negativicutes	909932	C	3965	356	4321	0.00033
Limnochordia	1676648	C	2143	75	2218	0.00017
Erysipelotrichia	526524	C	913	343	1256	0.00010
Tissierellia	1737404	C	554	399	953	0.00007
Deinococci	188787	C	33006	25276	58282	0.00441
Gloeobacteria	307596	C	3053	4229	7282	0.00055
Thermomicrobia	189775	C	7695	334	8029	0.00061
Tepidiformia	2682225	C	5536	223	5759	0.00044
Chloroflexia	32061	C	4274	169	4443	0.00034
Ardenticatenia	1382928	C	3736	71	3807	0.00029
Caldilineae	475962	C	2007	149	2156	0.00016
Anaerolineae	292625	C	1782	39	1821	0.00014
Dehalococcoidia	301297	C	1065	21	1086	0.00008
Candidatus Thermofonsia	2364196	C	739	9	748	0.00006
Ktedonobacteria	388447	C	631	689	1320	0.00010
Fimbriimonadia	1663419	C	1582	8	1590	0.00012
Chthonomonadetes	1077257	C	458	3	461	0.00003
Mollicutes	31969	C	554	130	684	0.00005
Planctomycetia	203683	C	266664	3690	270354	0.02046
Phycisphaerae	666505	C	15811	571	16382	0.00124
Candidatus Brocadiia	2517206	C	112	0	112	0.00001
Candidatus Uabimicrobiia	2897345	C	91	1	92	0.00001
Opitutae	414999	C	65900	2249	68149	0.00516
Verrucomicrobiae	203494	C	15532	1537	17069	0.00129
Spartobacteria	134549	C	111	5	116	0.00001
Methylacidiphilae	1955630	C	105	2	107	0.00001
Kiritimatiellae	1921781	C	795	897	1692	0.00013
Tichowtungiia	2907184	C	325	13	338	0.00003
Chlamydiia	204429	C	811	232	1043	0.00008
Flavobacteriia	117743	C	51583	4305	55888	0.00423
Cytophagia	768503	C	42523	998	43521	0.00329
Chitinophagia	1853228	C	29347	369	29716	0.00225
Sphingobacteriia	117747	C	12629	14001	26630	0.00202
Bacteroidia	200643	C	11511	2626	14137	0.00107
Saprospiria	1937959	C	412	106	518	0.00004
Chlorobia	191410	C	3367	394	3761	0.00028
Ignavibacteria	795747	C	185	3	188	0.00001
Gemmatimonadetes	219685	C	84396	4511	88907	0.00673
Fibrobacteria	204430	C	187	76	263	0.00002
Vicinamibacteria	1813735	C	56031	2921	58952	0.00446
Acidobacteriia	204432	C	24992	356	25348	0.00192
Blastocatellia	1562566	C	2678	93	2771	0.00021
Holophagae	533205	C	1885	33	1918	0.00015
Nitrospira	203693	C	12686	172	12858	0.00097
Thermodesulfovibrionia	2811502	C	156	3	159	0.00001
Spirochaetia	203692	C	3353	199	3552	0.00027
Synergistia	649775	C	2665	201	2866	0.00022
Candidatus Saccharimonia	2093818	C	410	1239	1649	0.00012
Candidatus Babeliae	2497643	C	49	39	88	0.00001
Thermotogae	188708	C	654	36	690	0.00005
Aquificae	187857	C	579	6	585	0.00004
Thermodesulfobacteria	67799	C	404	7	411	0.00003
Calditrichia	1962850	C	347	3	350	0.00003
Fusobacteriia	203490	C	287	54	341	0.00003
Deferribacteres	68337	C	284	7	291	0.00002
Chrysiogenetes	118001	C	236	98	334	0.00003
Endomicrobia	447830	C	77	0	77	0.00001
Elusimicrobia	641853	C	76	0	76	0.00001
Dictyoglomia	203486	C	95	0	95	0.00001
Caldisericia	693071	C	92	0	92	0.00001
Coprothermobacteria	2138243	C	91	16	107	0.00001
Atribacteria	2847774	C	30	0	30	0.00000
Sordariomycetes	147550	C	45852	1394	47246	0.00358
Leotiomycetes	147548	C	1017	8	1025	0.00008
Eurotiomycetes	147545	C	2686	102	2788	0.00021
Dothideomycetes	147541	C	987	169	1156	0.00009
Saccharomycetes	4891	C	1211	88	1299	0.00010
Schizosaccharomycetes	147554	C	56	1	57	0.00000
Ustilaginomycetes	5257	C	1922	27	1949	0.00015
Malasseziomycetes	1538075	C	99	11	110	0.00001
Agaricomycetes	155619	C	485	7	492	0.00004
Tremellomycetes	155616	C	147	13887	14034	0.00106
