name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	331931	38019	369950	0.02800
Rhodopseudomonas	1073	G	25900	6676	32576	0.00247
Nitrobacter	911	G	19865	2361	22226	0.00168
Tardiphaga	1395974	G	8831	1037	9868	0.00075
Afipia	1033	G	6833	2562	9395	0.00071
Variibacter	1649510	G	5448	356	5804	0.00044
Mesorhizobium	68287	G	272524	41997	314521	0.02380
Aquibium	2911176	G	18804	4092	22896	0.00173
Aminobacter	31988	G	17508	10729	28237	0.00214
Nitratireductor	245876	G	11781	1612	13393	0.00101
Phyllobacterium	28100	G	5168	447	5615	0.00042
Roseitalea	1915401	G	4075	608	4683	0.00035
Oricola	1594166	G	3209	384	3593	0.00027
Hoeflea	274591	G	3073	247	3320	0.00025
Salaquimonas	2712688	G	1226	47	1273	0.00010
Lentilitoribacter	1649463	G	76	1	77	0.00001
Rhizobium	379	G	109398	73114	182512	0.01381
Agrobacterium	357	G	24945	6902	31847	0.00241
Neorhizobium	1525371	G	12986	2440	15426	0.00117
Pseudorhizobium	1903858	G	6152	1015	7167	0.00054
Sinorhizobium	28105	G	53212	22753	75965	0.00575
Ensifer	106591	G	23818	3511	27329	0.00207
Shinella	323620	G	53290	30379	83669	0.00633
Ciceribacter	1648508	G	2943	438	3381	0.00026
Georhizobium	2661800	G	2919	513	3432	0.00026
Peteryoungia	2853332	G	1046	134	1180	0.00009
Liberibacter	34019	G	164	24	188	0.00001
Methylobacterium	407	G	78263	12510	90773	0.00687
Microvirga	186650	G	30565	3178	33743	0.00255
Methylorubrum	2282523	G	16881	6473	23354	0.00177
Devosia	46913	G	98657	6921	105578	0.00799
Youhaiella	1827478	G	6001	1286	7287	0.00055
Paradevosia	1573407	G	5929	2073	8002	0.00061
Pelagibacterium	1082930	G	2983	327	3310	0.00025
Maritalea	623276	G	355	10	365	0.00003
Pseudolabrys	556257	G	39566	5126	44692	0.00338
Starkeya	152053	G	16338	4033	20371	0.00154
Xanthobacter	279	G	12226	2410	14636	0.00111
Ancylobacter	99	G	11731	3456	15187	0.00115
Labrys	204476	G	4288	376	4664	0.00035
Azorhizobium	6	G	3959	723	4682	0.00035
Rhodoplanes	29407	G	22045	1842	23887	0.00181
Hyphomicrobium	81	G	13879	901	14780	0.00112
Methyloceanibacter	1484898	G	6888	458	7346	0.00056
Methyloligella	1485594	G	3864	439	4303	0.00033
Aquabacter	45402	G	3475	486	3961	0.00030
Rhodomicrobium	1068	G	2672	169	2841	0.00022
Caenibius	2827482	G	2224	920	3144	0.00024
Filomicrobium	119044	G	1732	52	1784	0.00014
Bosea	85413	G	47027	6246	53273	0.00403
Aureimonas	414371	G	19880	3515	23395	0.00177
Martelella	293088	G	10451	1630	12081	0.00091
Aurantimonas	182269	G	6281	1670	7951	0.00060
Pseudorhodoplanes	1734920	G	13738	846	14584	0.00110
Nordella	169055	G	11850	555	12405	0.00094
Terrihabitans	2874214	G	4750	453	5203	0.00039
Candidatus Hodgkinia	573657	G	68	0	68	0.00001
Stappia	152161	G	8785	1440	10225	0.00077
Pannonibacter	227873	G	4089	2500	6589	0.00050
Roseibium	150830	G	3735	447	4182	0.00032
Labrenzia	478070	G	3200	268	3468	0.00026
Pseudovibrio	258255	G	699	32	731	0.00006
Methylocystis	133	G	12982	997	13979	0.00106
Methylosinus	425	G	6192	818	7010	0.00053
Phreatobacter	1632780	G	16869	2473	19342	0.00146
Kaustia	2838250	G	8124	680	8804	0.00067
Parvibaculum	256616	G	2987	1835	4822	0.00036
Pyruvatibacter	1742974	G	1974	228	2202	0.00017
Candidatus Phaeomarinobacter	1541445	G	727	35	762	0.00006
Chelatococcus	28209	G	11597	2213	13810	0.00105
Blastochloris	59282	G	9595	1927	11522	0.00087
Methylocella	120652	G	4422	353	4775	0.00036
Methylovirgula	1156568	G	3766	270	4036	0.00031
Beijerinckia	532	G	1085	74	1159	0.00009
Brucella	234	G	7771	4407	12178	0.00092
Pseudochrobactrum	354349	G	742	155	897	0.00007
Kaistia	166953	G	7227	1511	8738	0.00066
Acuticoccus	1904377	G	6997	656	7653	0.00058
Breoghania	1406135	G	4371	494	4865	0.00037
Hartmannibacter	1572860	G	4156	628	4784	0.00036
Lichenihabitans	2723776	G	3138	127	3265	0.00025
Cohaesibacter	655352	G	698	24	722	0.00005
Bartonella	773	G	675	37	712	0.00005
Sphingomonas	13687	G	397190	48001	445191	0.03369
Sphingobium	165695	G	97378	40988	138366	0.01047
Sphingopyxis	165697	G	76583	15374	91957	0.00696
Novosphingobium	165696	G	38494	12803	51297	0.00388
Rhizorhabdus	1649486	G	19596	9027	28623	0.00217
Allosphingosinicella	2823232	G	12841	1488	14329	0.00108
Sphingosinithalassobacter	2676233	G	8205	1851	10056	0.00076
Parasphingopyxis	1234545	G	5616	257	5873	0.00044
Sphingorhabdus	1434046	G	4572	261	4833	0.00037
Blastomonas	150203	G	3990	659	4649	0.00035
Tardibacter	2685927	G	3048	2294	5342	0.00040
Hankyongella	1763827	G	2851	526	3377	0.00026
Citromicrobium	72173	G	2273	1001	3274	0.00025
Novosphingopyxis	2709686	G	2037	1087	3124	0.00024
Parasphingorhabdus	2709685	G	1288	36	1324	0.00010
Aquisediminimonas	2676781	G	1170	41	1211	0.00009
Erythrobacter	1041	G	25895	6581	32476	0.00246
Porphyrobacter	1111	G	7492	2017	9509	0.00072
Qipengyuania	1855416	G	16336	4164	20500	0.00155
Altererythrobacter	361177	G	10360	2833	13193	0.00100
Tsuneonella	2800686	G	9326	1798	11124	0.00084
Croceicoccus	1295327	G	8281	4921	13202	0.00100
Pelagerythrobacter	2800685	G	2279	310	2589	0.00020
Aurantiacibacter	2800681	G	1894	320	2214	0.00017
Croceibacterium	2676755	G	1825	795	2620	0.00020
Paraurantiacibacter	2800682	G	1562	195	1757	0.00013
Sphingosinicella	335405	G	21311	2124	23435	0.00177
Polymorphobacter	1508451	G	5121	194	5315	0.00040
Sandaracinobacter	56358	G	2521	165	2686	0.00020
Zymomonas	541	G	198	146	344	0.00003
Azospirillum	191	G	57004	6650	63654	0.00482
Skermanella	204447	G	22460	2870	25330	0.00192
Nitrospirillum	1543705	G	4099	450	4549	0.00034
Indioceanicola	2478349	G	3789	496	4285	0.00032
Niveispirillum	1543704	G	1749	179	1928	0.00015
Ferrovibrio	1231242	G	26125	1505	27630	0.00209
Hypericibacter	2705399	G	21336	1166	22502	0.00170
Magnetospirillum	13134	G	11266	202420	213686	0.01617
Rhodospirillum	1081	G	7138	753	7891	0.00060
Tistrella	171436	G	4923	1921	6844	0.00052
Defluviicoccus	111830	G	2526	205	2731	0.00021
Pararhodospirillum	1612157	G	1519	102	1621	0.00012
Haematospirillum	1804663	G	284	21	305	0.00002
Candidatus Endolissoclinum	1263978	G	134	0	134	0.00001
Roseomonas	125216	G	32711	4161	36872	0.00279
Rhodovastum	504465	G	5872	512	6384	0.00048
Komagataeibacter	1434011	G	4463	1894	6357	0.00048
Acidiphilium	522	G	4320	2087	6407	0.00048
Roseococcus	35812	G	4313	353	4666	0.00035
Sediminicoccus	1706033	G	2870	130	3000	0.00023
Acidibrevibacterium	2603324	G	2592	205	2797	0.00021
Acetobacter	434	G	2561	822	3383	0.00026
Lichenicola	2804525	G	2554	108	2662	0.00020
Gluconobacter	441	G	1738	397	2135	0.00016
Gluconacetobacter	89583	G	1713	327	2040	0.00015
Granulibacter	364409	G	1119	87	1206	0.00009
Asaia	91914	G	780	118	898	0.00007
Neoasaia	320496	G	686	128	814	0.00006
Kozakia	153497	G	458	150	608	0.00005
Novacetimonas	2919364	G	436	186	622	0.00005
Oecophyllibacter	2791118	G	351	10	361	0.00003
Parasaccharibacter	1602345	G	260	9	269	0.00002
Swingsia	1649499	G	187	6	193	0.00001
Neokomagataea	1223423	G	80	11	91	0.00001
Entomobacter	2811380	G	75	4	79	0.00001
Commensalibacter	1079922	G	31	1	32	0.00000
Bombella	1654741	G	22	2	24	0.00000
Stella	93	G	11526	723	12249	0.00093
Elioraea	457933	G	4943	221	5164	0.00039
Thalassospira	168934	G	1882	146	2028	0.00015
Magnetospira	1182780	G	1066	31	1097	0.00008
Terasakiella	196080	G	124	2	126	0.00001
Paracoccus	265	G	36853	6390	43243	0.00327
Cereibacter	1653176	G	9474	2600	12074	0.00091
Rhodobacter	1060	G	8870	2912	11782	0.00089
Rhodovulum	34008	G	5020	1188	6208	0.00047
Paroceanicella	2683599	G	4348	1194	5542	0.00042
Polymorphum	991903	G	4342	1033	5375	0.00041
Pikeienuella	2831955	G	3290	312	3602	0.00027
Pontivivens	1844015	G	2885	222	3107	0.00024
Silicimonas	1955420	G	2778	175	2953	0.00022
Thioclava	285107	G	2711	364	3075	0.00023
Pelagovum	2795377	G	2403	313	2716	0.00021
Frigidibacter	1775705	G	1972	846	2818	0.00021
Brevirhabdus	1855413	G	1711	866	2577	0.00020
Pukyongiella	2831925	G	1700	446	2146	0.00016
Haematobacter	366614	G	1412	579	1991	0.00015
Fuscovulum	2818469	G	1304	181	1485	0.00011
Gymnodinialimonas	2937410	G	1298	130	1428	0.00011
Gemmobacter	204456	G	1166	233	1399	0.00011
Tabrizicola	1443919	G	1163	115	1278	0.00010
Falsirhodobacter	1434002	G	1157	177	1334	0.00010
Pseudopuniceibacterium	2613960	G	1122	94	1216	0.00009
Pacificitalea	2846749	G	987	237	1224	0.00009
Pseudooceanicola	1679449	G	963	101	1064	0.00008
Monaibacterium	2029873	G	911	232	1143	0.00009
