name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	1878919	129521	2008440	0.15199
Sphingomonadales	204457	O	879314	74489	953803	0.07218
Rhodospirillales	204441	O	270511	215161	485672	0.03675
Rhodobacterales	204455	O	196471	12721	209192	0.01583
Caulobacterales	204458	O	132633	11258	143891	0.01089
Hyphomonadales	2800060	O	8210	244	8454	0.00064
Maricaulales	2800059	O	5676	524	6200	0.00047
Parvularculales	255473	O	1689	101	1790	0.00014
Rickettsiales	766	O	978	12	990	0.00007
Emcibacterales	2066490	O	789	823	1612	0.00012
Holosporales	1921002	O	300	7	307	0.00002
Magnetococcales	1191478	O	212	4	216	0.00002
Pelagibacterales	54526	O	149	2	151	0.00001
Kordiimonadales	362534	O	92	1	93	0.00001
Burkholderiales	80840	O	1171095	246904	1417999	0.10731
Rhodocyclales	206389	O	99604	22803	122407	0.00926
Nitrosomonadales	32003	O	78701	7788	86489	0.00655
Neisseriales	206351	O	40790	9562	50352	0.00381
Xanthomonadales	135614	O	476257	79673	555930	0.04207
Pseudomonadales	72274	O	282759	75804	358563	0.02714
Enterobacterales	91347	O	72634	116320	188954	0.01430
Chromatiales	135613	O	62835	4477	67312	0.00509
Oceanospirillales	135619	O	50740	6243	56983	0.00431
Cellvibrionales	1706369	O	36439	1324	37763	0.00286
Methylococcales	135618	O	17807	746	18553	0.00140
Aeromonadales	135624	O	17114	12003	29117	0.00220
Nevskiales	1775403	O	15653	2761	18414	0.00139
Acidiferrobacterales	1692040	O	12495	555	13050	0.00099
Alteromonadales	135622	O	11310	1379	12689	0.00096
Vibrionales	135623	O	6643	1421	8064	0.00061
Moraxellales	2887326	O	4799	3789	8588	0.00065
Thiotrichales	72273	O	4442	544	4986	0.00038
Pasteurellales	135625	O	3267	7162	10429	0.00079
Legionellales	118969	O	3029	136	3165	0.00024
Immundisolibacterales	1934945	O	2835	475	3310	0.00025
Salinisphaerales	742030	O	1646	1679	3325	0.00025
Cardiobacteriales	135615	O	1016	123	1139	0.00009
Kangiellales	2887327	O	210	12	222	0.00002
Orbales	1240482	O	124	22	146	0.00001
Myxococcales	29	O	458397	28383	486780	0.03684
Desulfuromonadales	69541	O	37369	2991	40360	0.00305
Desulfovibrionales	213115	O	22749	1817	24566	0.00186
Desulfobacterales	213118	O	8628	773	9401	0.00071
Bradymonadales	1779134	O	6526	173	6699	0.00051
Syntrophobacterales	213462	O	1829	460	2289	0.00017
Desulfarculales	453227	O	1680	1020	2700	0.00020
Syntrophales	2914038	O	984	263	1247	0.00009
Desulfurellales	213113	O	46	1	47	0.00000
Campylobacterales	213849	O	3137	157	3294	0.00025
Nautiliales	235899	O	246	14	260	0.00002
Acidithiobacillales	225057	O	2071	187	2258	0.00017
Bdellovibrionales	213481	O	1338	15	1353	0.00010
Bacteriovoracales	2024979	O	184	1	185	0.00001
Silvanigrellales	2024973	O	60	1	61	0.00000
Hydrogenophilales	119069	O	648	112	760	0.00006
Mariprofundales	580371	O	382	10	392	0.00003
Streptomycetales	85011	O	1057380	242189	1299569	0.09835
Micrococcales	85006	O	662372	84625	746997	0.05653
Corynebacteriales	85007	O	485113	61793	546906	0.04139
Micromonosporales	85008	O	387145	52588	439733	0.03328
Propionibacteriales	85009	O	375052	75800	450852	0.03412
Pseudonocardiales	85010	O	308252	44632	352884	0.02671
Streptosporangiales	85012	O	259368	40441	299809	0.02269
Geodermatophilales	1643682	O	45982	11499	57481	0.00435
Jiangellales	1217098	O	23905	4297	28202	0.00213
Actinomycetales	2037	O	22531	3176	25707	0.00195
Frankiales	85013	O	18744	1774	20518	0.00155
Bifidobacteriales	85004	O	9212	3450	12662	0.00096
Nakamurellales	1643684	O	6390	806	7196	0.00054
Catenulisporales	414714	O	4114	591	4705	0.00036
Glycomycetales	85014	O	3390	267	3657	0.00028
Jatrophihabitantales	2805415	O	3060	264	3324	0.00025
Kineosporiales	622452	O	2609	712	3321	0.00025
Actinopolysporales	622450	O	1885	190	2075	0.00016
Sporichthyales	2495578	O	1624	778	2402	0.00018
Acidothermales	1643683	O	1049	51	1100	0.00008
Candidatus Nanopelagicales	2039638	O	294	5	299	0.00002
Solirubrobacterales	588673	O	60090	8672	68762	0.00520
Miltoncostaeales	2843198	O	18588	2399	20987	0.00159
Acidimicrobiales	84993	O	57037	6284	63321	0.00479
Rubrobacterales	84996	O	43983	3810	47793	0.00362
Eggerthellales	1643822	O	7563	1240	8803	0.00067
Coriobacteriales	84999	O	6150	1177	7327	0.00055
Euzebyales	908621	O	3766	327	4093	0.00031
Egibacterales	1747768	O	3734	229	3963	0.00030
