name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	7061735	419734	7481469	0.56617
Actinobacteria	201174	P	4345587	193184	4538771	0.34348
Firmicutes	1239	P	195433	78039	273472	0.02070
Deinococcus-Thermus	1297	P	33006	1205	34211	0.00259
Cyanobacteria	1117	P	30677	754	31431	0.00238
Chloroflexi	200795	P	28689	483	29172	0.00221
Armatimonadetes	67819	P	2050	11	2061	0.00016
Tenericutes	544448	P	621	63	684	0.00005
Planctomycetes	203682	P	283942	3000	286942	0.02171
Verrucomicrobia	74201	P	83258	2185	85443	0.00647
Kiritimatiellaeota	134625	P	1133	898	2031	0.00015
Chlamydiae	204428	P	811	13	824	0.00006
Candidatus Omnitrophica	67812	P	218	0	218	0.00002
Bacteroidetes	976	P	166502	3912	170414	0.01290
Chlorobi	1090	P	3367	113	3480	0.00026
Balneolaeota	1936987	P	255	26	281	0.00002
Ignavibacteriae	1134404	P	185	3	188	0.00001
Gemmatimonadetes	142182	P	84396	4511	88907	0.00673
Fibrobacteres	65842	P	187	3	190	0.00001
Candidatus Cloacimonetes	456828	P	71	1	72	0.00001
Acidobacteria	57723	P	86452	2540	88992	0.00673
Nitrospirae	40117	P	12843	175	13018	0.00099
Spirochaetes	203691	P	3353	199	3552	0.00027
Synergistetes	508458	P	2665	201	2866	0.00022
Candidatus Saccharibacteria	95818	P	997	50	1047	0.00008
Candidatus Bipolaricaulota	67810	P	527	124	651	0.00005
Candidatus Absconditabacteria	221235	P	38	0	38	0.00000
Thermotogae	200918	P	654	36	690	0.00005
Aquificae	200783	P	579	6	585	0.00004
Thermodesulfobacteria	200940	P	404	7	411	0.00003
Calditrichaeota	1930617	P	347	3	350	0.00003
Fusobacteria	32066	P	287	54	341	0.00003
Deferribacteres	200930	P	284	7	291	0.00002
Chrysiogenetes	200938	P	236	98	334	0.00003
Elusimicrobia	74152	P	153	1	154	0.00001
Dictyoglomi	68297	P	95	0	95	0.00001
Caldiserica	67814	P	92	0	92	0.00001
Coprothermobacterota	2138240	P	91	16	107	0.00001
Atribacterota	67818	P	30	0	30	0.00000
Ascomycota	4890	P	52549	1025	53574	0.00405
Basidiomycota	5204	P	2664	49	2713	0.00021
Microsporidia	6029	P	28	0	28	0.00000
Oomycota	4762	P	13353	492	13845	0.00105
