name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 200	2782665	S	9440	2064	11504	0.00087
Bradyrhizobium sp. 170	2782641	S	8408	2116	10524	0.00080
Bradyrhizobium sp. CCBAU 051011	858422	S	6116	1153	7269	0.00055
Bradyrhizobium sp. CCBAU 51753	1325100	S	6001	1273	7274	0.00055
Bradyrhizobium sp. BTAi1	288000	S	5496	968	6464	0.00049
Bradyrhizobium sp. ORS 278	114615	S	5363	1180	6543	0.00050
Bradyrhizobium sp. ORS 285	115808	S	5357	1167	6524	0.00049
Bradyrhizobium sp. A19	2898149	S	5271	887	6158	0.00047
Bradyrhizobium sp. SK17	2057741	S	4384	1408	5792	0.00044
Bradyrhizobium sp. 186	2782654	S	4129	1081	5210	0.00039
Bradyrhizobium sp. 1(2017)	1404888	S	4030	1226	5256	0.00040
Bradyrhizobium sp. 195	2782662	S	3586	1254	4840	0.00037
Bradyrhizobium sp. CCBAU 53351	1325114	S	3509	1743	5252	0.00040
Bradyrhizobium sp. CCBAU 53421	1325120	S	3464	1061	4525	0.00034
Bradyrhizobium sp. I71	2590772	S	3336	2845	6181	0.00047
Bradyrhizobium sp. CCGE-LA001	1223566	S	3318	1214	4532	0.00034
Bradyrhizobium sp. CCBAU 53338	1325111	S	3255	1311	4566	0.00035
Bradyrhizobium sp. CCBAU 51765	1325102	S	3232	2879	6111	0.00046
Bradyrhizobium sp. CCBAU 53340	1325112	S	3229	1233	4462	0.00034
Bradyrhizobium sp. 191	2782659	S	3062	2935	5997	0.00045
Bradyrhizobium sp. 6(2017)	1197460	S	2401	1162	3563	0.00027
Bradyrhizobium sp. S2-11-2	2840472	S	2389	1783	4172	0.00032
Bradyrhizobium sp. S2-20-1	2840469	S	2087	1658	3745	0.00028
Bradyrhizobium sp. S2-11-4	2840473	S	1996	1744	3740	0.00028
Bradyrhizobium sp. 41S5	1404443	S	1938	1298	3236	0.00024
Bradyrhizobium sp. C-145	574727	S	1432	1410	2842	0.00022
Bradyrhizobium sp.	376	S	1013	3314	4327	0.00033
Bradyrhizobium sp. 40	2782674	S	770	1696	2466	0.00019
Bradyrhizobium sp. 144S4	2823807	S	762	1861	2623	0.00020
Bradyrhizobium sp. 323S2	1404649	S	731	1823	2554	0.00019
Bradyrhizobium sp. 192	2782660	S	718	1720	2438	0.00018
Bradyrhizobium sp. 4	2782678	S	701	1731	2432	0.00018
Bradyrhizobium sp. LCT2	2493093	S	423	1176	1599	0.00012
Bradyrhizobium sp. 187	2782655	S	310	1483	1793	0.00014
Bradyrhizobium sp. TM102	2599819	S	303	2043	2346	0.00018
Bradyrhizobium sp. SG09	2599805	S	291	2054	2345	0.00018
Bradyrhizobium sp. 38S5	2819348	S	139	1638	1777	0.00013
Bradyrhizobium sp. 1S5	2816456	S	137	1487	1624	0.00012
Bradyrhizobium sp. CW1	2782686	S	136	2031	2167	0.00016
Bradyrhizobium sp. 172	2782643	S	129	1514	1643	0.00012
Bradyrhizobium sp. 131	2782609	S	117	1844	1961	0.00015
Bradyrhizobium sp. 155	2782629	S	61	1060	1121	0.00008
Bradyrhizobium sp. CCBAU 21365	1325083	S	16	775	791	0.00006
Bradyrhizobium erythrophlei	1437360	S	16442	1321	17763	0.00134
Bradyrhizobium diazoefficiens	1355477	S	13828	24386	38214	0.00289
Bradyrhizobium icense	1274631	S	10257	1430	11687	0.00088
Bradyrhizobium paxllaeri	190148	S	5499	1019	6518	0.00049
Bradyrhizobium lablabi	722472	S	5330	6266	11596	0.00088
