name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	778119	103582	881701	0.04442
Rhodopseudomonas	1073	G	51870	15913	67783	0.00342
Tardiphaga	1395974	G	18223	2225	20448	0.00103
Afipia	1033	G	13303	5568	18871	0.00095
Variibacter	1649510	G	13196	1110	14306	0.00072
Nitrobacter	911	G	11244	1542	12786	0.00064
Mesorhizobium	68287	G	280823	58150	338973	0.01708
Aminobacter	31988	G	26983	25100	52083	0.00262
Aquibium	2911176	G	20837	5483	26320	0.00133
Nitratireductor	245876	G	13728	2261	15989	0.00081
Phyllobacterium	28100	G	8069	901	8970	0.00045
Roseitalea	1915401	G	5401	997	6398	0.00032
Hoeflea	274591	G	4841	500	5341	0.00027
Oricola	1594166	G	4300	643	4943	0.00025
Salaquimonas	2712688	G	1790	86	1876	0.00009
Lentilitoribacter	1649463	G	130	2	132	0.00001
Rhizobium	379	G	153346	60543	213889	0.01078
Agrobacterium	357	G	31691	11283	42974	0.00217
Neorhizobium	1525371	G	15361	3871	19232	0.00097
Pseudorhizobium	1903858	G	4936	1016	5952	0.00030
Sinorhizobium	28105	G	47870	24781	72651	0.00366
Ensifer	106591	G	39194	8115	47309	0.00238
Shinella	323620	G	28103	21503	49606	0.00250
Georhizobium	2661800	G	4027	953	4980	0.00025
Ciceribacter	1648508	G	3740	799	4539	0.00023
Peteryoungia	2853332	G	1365	260	1625	0.00008
Liberibacter	34019	G	174	42	216	0.00001
Methylobacterium	407	G	143428	28289	171717	0.00865
Microvirga	186650	G	62777	8291	71068	0.00358
Methylorubrum	2282523	G	30177	13374	43551	0.00219
Rhodoplanes	29407	G	82650	9114	91764	0.00462
Hyphomicrobium	81	G	28588	2236	30824	0.00155
Methyloceanibacter	1484898	G	11352	878	12230	0.00062
Methyloligella	1485594	G	6984	962	7946	0.00040
Aquabacter	45402	G	6061	1136	7197	0.00036
Rhodomicrobium	1068	G	5095	392	5487	0.00028
Caenibius	2827482	G	3408	1563	4971	0.00025
Filomicrobium	119044	G	2774	92	2866	0.00014
Pseudolabrys	556257	G	49249	8309	57558	0.00290
Starkeya	152053	G	23444	6911	30355	0.00153
Xanthobacter	279	G	22668	5749	28417	0.00143
Ancylobacter	99	G	21070	8018	29088	0.00147
Labrys	204476	G	7721	891	8612	0.00043
Azorhizobium	6	G	7437	1773	9210	0.00046
Bosea	85413	G	76128	13141	89269	0.00450
Devosia	46913	G	47756	4249	52005	0.00262
Youhaiella	1827478	G	4566	1099	5665	0.00029
Paradevosia	1573407	G	4483	1811	6294	0.00032
Pelagibacterium	1082930	G	2621	424	3045	0.00015
Maritalea	623276	G	541	19	560	0.00003
Nordella	169055	G	25709	1587	27296	0.00138
Pseudorhodoplanes	1734920	G	23300	1928	25228	0.00127
Terrihabitans	2874214	G	5200	655	5855	0.00030
Candidatus_Hodgkinia	573657	G	59	0	59	0.00000
Aureimonas	414371	G	29412	6638	36050	0.00182
Martelella	293088	G	14876	2978	17854	0.00090
Aurantimonas	182269	G	8326	2783	11109	0.00056
