name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._200	2782665	S	34630	8310	42940	0.00216
Bradyrhizobium_sp._170	2782641	S	32737	9075	41812	0.00211
Bradyrhizobium_sp._CCBAU_051011	858422	S	28631	5958	34589	0.00174
Bradyrhizobium_sp._CCBAU_51753	1325100	S	14900	3538	18438	0.00093
Bradyrhizobium_sp._A19	2898149	S	12230	2337	14567	0.00073
Bradyrhizobium_sp._BTAi1	288000	S	11555	2314	13869	0.00070
Bradyrhizobium_sp._ORS_278	114615	S	11365	2841	14206	0.00072
Bradyrhizobium_sp._ORS_285	115808	S	11077	2728	13805	0.00070
Bradyrhizobium_sp._SK17	2057741	S	10263	3664	13927	0.00070
Bradyrhizobium_sp._186	2782654	S	8939	2593	11532	0.00058
Bradyrhizobium_sp._CCBAU_53421	1325120	S	7872	2664	10536	0.00053
Bradyrhizobium_sp._CCBAU_53338	1325111	S	6719	2963	9682	0.00049
Bradyrhizobium_sp._1(2017)	1404888	S	6594	2223	8817	0.00044
Bradyrhizobium_sp._CCBAU_53340	1325112	S	6553	2742	9295	0.00047
Bradyrhizobium_sp._195	2782662	S	6406	2473	8879	0.00045
Bradyrhizobium_sp._CCBAU_53351	1325114	S	6351	3453	9804	0.00049
Bradyrhizobium_sp._CCGE-LA001	1223566	S	6314	2542	8856	0.00045
Bradyrhizobium_sp._S2-11-2	2840472	S	6163	5013	11176	0.00056
Bradyrhizobium_sp._6(2017)	1197460	S	5965	3151	9116	0.00046
Bradyrhizobium_sp._S2-20-1	2840469	S	5194	4488	9682	0.00049
Bradyrhizobium_sp._S2-11-4	2840473	S	5101	4846	9947	0.00050
Bradyrhizobium_sp._191	2782659	S	4955	5199	10154	0.00051
Bradyrhizobium_sp._41S5	1404443	S	4718	3444	8162	0.00041
Bradyrhizobium_sp._CCBAU_51765	1325102	S	4277	4150	8427	0.00042
Bradyrhizobium_sp._I71	2590772	S	4260	3963	8223	0.00041
Bradyrhizobium_sp._C-145	574727	S	2660	2832	5492	0.00028
Bradyrhizobium_sp.	376	S	2038	7174	9212	0.00046
Bradyrhizobium_sp._144S4	2823807	S	1661	4374	6035	0.00030
Bradyrhizobium_sp._40	2782674	S	1629	3883	5512	0.00028
Bradyrhizobium_sp._4	2782678	S	1565	4181	5746	0.00029
Bradyrhizobium_sp._323S2	1404649	S	1436	3861	5297	0.00027
Bradyrhizobium_sp._192	2782660	S	1249	3230	4479	0.00023
