name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._200	2782665	S	32558	6861	39419	0.00194
Bradyrhizobium_sp._170	2782641	S	31338	7609	38947	0.00192
Bradyrhizobium_sp._CCBAU_051011	858422	S	23708	4192	27900	0.00138
Bradyrhizobium_sp._CCBAU_51753	1325100	S	11621	2272	13893	0.00068
Bradyrhizobium_sp._A19	2898149	S	8600	1320	9920	0.00049
Bradyrhizobium_sp._BTAi1	288000	S	8379	1352	9731	0.00048
Bradyrhizobium_sp._ORS_278	114615	S	8156	1657	9813	0.00048
Bradyrhizobium_sp._ORS_285	115808	S	7828	1580	9408	0.00046
Bradyrhizobium_sp._SK17	2057741	S	7711	2301	10012	0.00049
Bradyrhizobium_sp._CCGE-LA001	1223566	S	6539	2294	8833	0.00044
Bradyrhizobium_sp._186	2782654	S	6192	1575	7767	0.00038
Bradyrhizobium_sp._CCBAU_53421	1325120	S	6007	1748	7755	0.00038
Bradyrhizobium_sp._195	2782662	S	5676	1924	7600	0.00037
Bradyrhizobium_sp._S2-11-2	2840472	S	5669	4258	9927	0.00049
Bradyrhizobium_sp._1(2017)	1404888	S	5162	1495	6657	0.00033
Bradyrhizobium_sp._CCBAU_53338	1325111	S	4865	1877	6742	0.00033
Bradyrhizobium_sp._CCBAU_53351	1325114	S	4846	2314	7160	0.00035
Bradyrhizobium_sp._S2-20-1	2840469	S	4717	3793	8510	0.00042
Bradyrhizobium_sp._CCBAU_53340	1325112	S	4710	1725	6435	0.00032
Bradyrhizobium_sp._S2-11-4	2840473	S	4539	4020	8559	0.00042
Bradyrhizobium_sp._6(2017)	1197460	S	4534	2111	6645	0.00033
Bradyrhizobium_sp._41S5	1404443	S	3749	2427	6176	0.00030
Bradyrhizobium_sp._191	2782659	S	3619	3503	7122	0.00035
Bradyrhizobium_sp._CCBAU_51765	1325102	S	3317	2976	6293	0.00031
Bradyrhizobium_sp._I71	2590772	S	3224	2775	5999	0.00030
Bradyrhizobium_sp._C-145	574727	S	1891	1816	3707	0.00018
Bradyrhizobium_sp.	376	S	1487	4775	6262	0.00031
Bradyrhizobium_sp._40	2782674	S	1355	3060	4415	0.00022
Bradyrhizobium_sp._144S4	2823807	S	1212	2933	4145	0.00020
Bradyrhizobium_sp._4	2782678	S	1166	2959	4125	0.00020
Bradyrhizobium_sp._323S2	1404649	S	1071	2643	3714	0.00018
Bradyrhizobium_sp._192	2782660	S	979	2313	3292	0.00016
Bradyrhizobium_sp._LCT2	2493093	S	638	1732	2370	0.00012
Bradyrhizobium_sp._SG09	2599805	S	439	3070	3509	0.00017
Bradyrhizobium_sp._187	2782655	S	392	1890	2282	0.00011
Bradyrhizobium_sp._TM102	2599819	S	391	2614	3005	0.00015
Bradyrhizobium_sp._172	2782643	S	219	2611	2830	0.00014
Bradyrhizobium_sp._CW1	2782686	S	217	3297	3514	0.00017
Bradyrhizobium_sp._38S5	2819348	S	215	2571	2786	0.00014
Bradyrhizobium_sp._1S5	2816456	S	204	2246	2450	0.00012
Bradyrhizobium_sp._131	2782609	S	177	2836	3013	0.00015
Bradyrhizobium_sp._155	2782629	S	154	2717	2871	0.00014
Bradyrhizobium_sp._CCBAU_21365	1325083	S	22	1043	1065	0.00005
Bradyrhizobium_erythrophlei	1437360	S	30063	2142	32205	0.00159
Bradyrhizobium_paxllaeri	190148	S	21102	3596	24698	0.00122
Bradyrhizobium_icense	1274631	S	19665	2471	22136	0.00109
Bradyrhizobium_diazoefficiens	1355477	S	19576	31017	50593	0.00249
Bradyrhizobium_lablabi	722472	S	9943	11074	21017	0.00104
Bradyrhizobium_canariense	255045	S	8941	13697	22638	0.00112
Bradyrhizobium_genosp._L	83637	S	7937	1421	9358	0.00046
Bradyrhizobium_japonicum	375	S	7303	10427	17730	0.00087
Bradyrhizobium_oligotrophicum	44255	S	7089	1084	8173	0.00040
Bradyrhizobium_arachidis	858423	S	5684	1515	7199	0.00035
Bradyrhizobium_guangdongense	1325090	S	5166	1800	6966	0.00034
Bradyrhizobium_cosmicum	1404864	S	4909	1476	6385	0.00031
Bradyrhizobium_quebecense	2748629	S	4800	2566	7366	0.00036
Bradyrhizobium_vignae	1549949	S	4600	988	5588	0.00028
Bradyrhizobium_genosp._B	83627	S	4594	890	5484	0.00027
Bradyrhizobium_guangzhouense	1325095	S	4290	1534	5824	0.00029
Bradyrhizobium_septentrionale	1404411	S	4179	2415	6594	0.00033
Bradyrhizobium_guangxiense	1325115	S	4039	1652	5691	0.00028
Bradyrhizobium_daqingense	993502	S	3690	1882	5572	0.00027
Bradyrhizobium_amphicarpaeae	1404768	S	3059	1185	4244	0.00021
Bradyrhizobium_symbiodeficiens	1404367	S	2885	4173	7058	0.00035
Bradyrhizobium_betae	244734	S	2829	1460	4289	0.00021
Bradyrhizobium_zhanjiangense	1325107	S	1624	1566	3190	0.00016
Bradyrhizobium_elkanii	29448	S	1283	4780	6063	0.00030
Bradyrhizobium_ottawaense	931866	S	1151	6944	8095	0.00040
Rhodopseudomonas_palustris	1076	S	26784	7935	34719	0.00171
Rhodopseudomonas_sp._SK50-23	340268	S	5363	977	6340	0.00031
Rhodopseudomonas_boonkerdii	475937	S	4376	1042	5418	0.00027
Nitrobacter_hamburgensis	912	S	8363	1271	9634	0.00047
Nitrobacter_winogradskyi	913	S	6997	1058	8055	0.00040
Tardiphaga_sp._37S4	1404741	S	2231	1626	3857	0.00019
Tardiphaga_sp._vice154	2592814	S	136	2015	2151	0.00011
Tardiphaga_sp._vice278	2592815	S	105	2448	2553	0.00013
Tardiphaga_sp._vice304	2592817	S	63	1145	1208	0.00006
Tardiphaga_sp._vice352	2592816	S	30	871	901	0.00004
Tardiphaga_robiniae	943830	S	2245	1464	3709	0.00018
Afipia_carboxidovorans	40137	S	5330	997	6327	0.00031
Afipia_sp._GAS231	1882747	S	4230	2760	6990	0.00034
Variibacter_gotjawalensis	1333996	S	7792	514	8306	0.00041
Rhizobium_sp._BG4	2613770	S	6790	1061	7851	0.00039
Rhizobium_sp._WYJ-E13	2849093	S	5231	545	5776	0.00028
Rhizobium_sp._WL3	2603277	S	4906	781	5687	0.00028
Rhizobium_sp._SL42	2806346	S	4840	711	5551	0.00027
Rhizobium_sp._ACO-34A	1571470	S	4115	705	4820	0.00024
Rhizobium_sp._NXC24	2048897	S	3714	443	4157	0.00020
Rhizobium_sp._AB2/73	2795216	S	2866	1393	4259	0.00021
Rhizobium_sp._11515TR	2028343	S	2775	589	3364	0.00017
Rhizobium_sp._CIAT894	2020312	S	2344	832	3176	0.00016
Rhizobium_sp._NZLR1	2731096	S	2296	635	2931	0.00014
Rhizobium_sp._K102	2918527	S	2123	1161	3284	0.00016
Rhizobium_sp._NXC14	1981173	S	2031	684	2715	0.00013
Rhizobium_sp._C104	2917727	S	1852	811	2663	0.00013
Rhizobium_sp._NLR16a	2731112	S	1827	670	2497	0.00012
Rhizobium_sp._L51/94	2819999	S	1469	1858	3327	0.00016
Rhizobium_sp._X9	2815360	S	1178	2034	3212	0.00016
Rhizobium_sp._Kim5	2020311	S	778	1420	2198	0.00011
Rhizobium_sp._IE4771	1301032	S	725	1213	1938	0.00010
Rhizobium_sp._007	2785056	S	680	909	1589	0.00008
Rhizobium_sp._TAL182	2020313	S	435	1008	1443	0.00007
Rhizobium_sp._ZX09	2291939	S	323	1113	1436	0.00007
Rhizobium_sp._Y9	1914541	S	316	953	1269	0.00006
Rhizobium_sp._NIBRBAC000502774	2590777	S	259	1049	1308	0.00006
Rhizobium_sp._B230/85	2819994	S	173	1890	2063	0.00010
Rhizobium_sp._N324	1703969	S	102	2092	2194	0.00011
Rhizobium_sp._T136	555319	S	85	1804	1889	0.00009
Rhizobium_sp._CCGE531	2364271	S	66	2352	2418	0.00012
Rhizobium_sp._B21/90	2819993	S	62	2212	2274	0.00011
Rhizobium_sp._CCGE532	2364272	S	24	1812	1836	0.00009
Rhizobium_sp._S41	1869170	S	19	3925	3944	0.00019
Rhizobium_sp._BG6	2613771	S	12	1570	1582	0.00008
Rhizobium_sp._N113	1703960	S	12	1441	1453	0.00007
Rhizobium_leguminosarum	384	S	19491	27734	47225	0.00233
Rhizobium_pseudoryzae	379684	S	6368	1108	7476	0.00037
Rhizobium_etli	29449	S	5905	5303	11208	0.00055
Rhizobium_rosettiformans	1368430	S	4151	1604	5755	0.00028
Rhizobium_jaguaris	1312183	S	3791	389	4180	0.00021
Rhizobium_rhizoryzae	451876	S	3533	388	3921	0.00019
Rhizobium_gallicum	56730	S	3502	3452	6954	0.00034
Rhizobium_phaseoli	396	S	3445	5461	8906	0.00044
Rhizobium_daejeonense	240521	S	2979	801	3780	0.00019
Rhizobium_bangladeshense	1138189	S	2725	517	3242	0.00016
Rhizobium_tropici	398	S	2714	568	3282	0.00016
Rhizobium_lentis	1138194	S	2512	614	3126	0.00015
Rhizobium_binae	1138190	S	2049	596	2645	0.00013
Rhizobium_pusense	648995	S	1766	5522	7288	0.00036
Rhizobium_indicum	2583231	S	1508	1018	2526	0.00012
Rhizobium_acidisoli	1538158	S	1145	726	1871	0.00009
Rhizobium_oryzihabitans	2267833	S	1111	1228	2339	0.00012
Rhizobium_hidalgonense	1538159	S	511	894	1405	0.00007
Rhizobium_laguerreae	1076926	S	475	622	1097	0.00005
Rhizobium_ruizarguesonis	2081791	S	374	2090	2464	0.00012
Rhizobium_favelukesii	348824	S	36	919	955	0.00005
Agrobacterium_tumefaciens	358	S	16013	12899	28912	0.00143
Agrobacterium_fabrum	1176649	S	1651	1897	3548	0.00017
Agrobacterium_fabacearum	1183401	S	351	3946	4297	0.00021
Agrobacterium_vitis	373	S	7310	733	8043	0.00040
Agrobacterium_sp._T29	2580515	S	1064	744	1808	0.00009
Agrobacterium_sp._MA01	2664893	S	840	1546	2386	0.00012
Agrobacterium_sp._RAC06	1842536	S	803	1509	2312	0.00011
Agrobacterium_sp._CGMCC_11546	2579248	S	450	844	1294	0.00006
Agrobacterium_sp._S7/73	2820002	S	180	874	1054	0.00005
Agrobacterium_vaccinii	2735528	S	3945	460	4405	0.00022
Agrobacterium_larrymoorei	160699	S	3232	450	3682	0.00018
Agrobacterium_rubi	28099	S	2333	566	2899	0.00014
Agrobacterium_salinitolerans	1183413	S	1772	576	2348	0.00012
Agrobacterium_rhizogenes	359	S	1080	2375	3455	0.00017
Neorhizobium_sp._SOG26	2060726	S	14944	2616	17560	0.00087
