name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	671911	83155	755066	0.04073
Rhodopseudomonas	1073	G	40468	10676	51144	0.00276
Nitrobacter	911	G	19951	2387	22338	0.00121
Tardiphaga	1395974	G	14425	1635	16060	0.00087
Afipia	1033	G	10949	4087	15036	0.00081
Variibacter	1649510	G	9988	737	10725	0.00058
Mesorhizobium	68287	G	268038	49684	317722	0.01714
Aquibium	2911176	G	17998	4394	22392	0.00121
Aminobacter	31988	G	15429	10160	25589	0.00138
Nitratireductor	245876	G	12192	1877	14069	0.00076
Phyllobacterium	28100	G	6512	648	7160	0.00039
Roseitalea	1915401	G	4514	766	5280	0.00028
Hoeflea	274591	G	3815	352	4167	0.00022
Oricola	1594166	G	3478	475	3953	0.00021
Salaquimonas	2712688	G	1467	64	1531	0.00008
Lentilitoribacter	1649463	G	77	1	78	0.00000
Rhizobium	379	G	127044	54540	181584	0.00980
Agrobacterium	357	G	25991	8583	34574	0.00187
Neorhizobium	1525371	G	14648	3312	17960	0.00097
Pseudorhizobium	1903858	G	4601	831	5432	0.00029
Sinorhizobium	28105	G	55891	34791	90682	0.00489
Ensifer	106591	G	33844	5941	39785	0.00215
Shinella	323620	G	21895	14712	36607	0.00197
Georhizobium	2661800	G	3750	779	4529	0.00024
Ciceribacter	1648508	G	3047	552	3599	0.00019
Peteryoungia	2853332	G	1128	179	1307	0.00007
Liberibacter	34019	G	120	77	197	0.00001
Methylobacterium	407	G	117431	20966	138397	0.00747
Microvirga	186650	G	79312	8902	88214	0.00476
Methylorubrum	2282523	G	24559	10388	34947	0.00189
Pseudolabrys	556257	G	46814	6991	53805	0.00290
Starkeya	152053	G	17145	4530	21675	0.00117
Xanthobacter	279	G	16712	3845	20557	0.00111
Ancylobacter	99	G	15539	5421	20960	0.00113
Labrys	204476	G	5943	608	6551	0.00035
Azorhizobium	6	G	5345	1143	6488	0.00035
Rhodoplanes	29407	G	57384	5598	62982	0.00340
Hyphomicrobium	81	G	20601	1460	22061	0.00119
Methyloceanibacter	1484898	G	9124	649	9773	0.00053
Methyloligella	1485594	G	6192	780	6972	0.00038
Aquabacter	45402	G	4554	751	5305	0.00029
Rhodomicrobium	1068	G	3986	279	4265	0.00023
Caenibius	2827482	G	2397	1066	3463	0.00019
Filomicrobium	119044	G	2091	65	2156	0.00012
Devosia	46913	G	47128	3753	50881	0.00274
Youhaiella	1827478	G	4627	1058	5685	0.00031
Paradevosia	1573407	G	4424	1704	6128	0.00033
Pelagibacterium	1082930	G	2286	382	2668	0.00014
Maritalea	623276	G	431	14	445	0.00002
Bosea	85413	G	58026	8849	66875	0.00361
Aureimonas	414371	G	24739	5006	29745	0.00160
Martelella	293088	G	12110	2211	14321	0.00077
Aurantimonas	182269	G	7378	2215	9593	0.00052
Pseudorhodoplanes	1734920	G	14146	1032	15178	0.00082
Nordella	169055	G	13226	734	13960	0.00075
Terrihabitans	2874214	G	4221	480	4701	0.00025
Candidatus_Hodgkinia	573657	G	28	0	28	0.00000
Methylocystis	133	G	18402	1603	20005	0.00108
Methylosinus	425	G	8734	1290	10024	0.00054
Stappia	152161	G	10603	2006	12609	0.00068
Roseibium	150830	G	5100	690	5790	0.00031
Pannonibacter	227873	G	4751	3320	8071	0.00044
Labrenzia	478070	G	4060	382	4442	0.00024
Pseudovibrio	258255	G	920	46	966	0.00005
Phreatobacter	1632780	G	25249	4269	29518	0.00159
Kaustia	2838250	G	9212	892	10104	0.00055
Parvibaculum	256616	G	3690	2669	6359	0.00034
Pyruvatibacter	1742974	G	2556	315	2871	0.00015
Candidatus_Phaeomarinobacter	1541445	G	1032	49	1081	0.00006
Chelatococcus	28209	G	15258	3360	18618	0.00100
Blastochloris	59282	G	14100	3282	17382	0.00094
Methylocella	120652	G	6361	573	6934	0.00037
Methylovirgula	1156568	G	5443	453	5896	0.00032
Beijerinckia	532	G	1500	115	1615	0.00009
Kaistia	166953	G	9480	2322	11802	0.00064
Brucella	234	G	7939	4208	12147	0.00066
Pseudochrobactrum	354349	G	789	143	932	0.00005
Acuticoccus	1904377	G	8285	895	9180	0.00050
Breoghania	1406135	G	5359	705	6064	0.00033
Hartmannibacter	1572860	G	5296	940	6236	0.00034
Lichenihabitans	2723776	G	4742	219	4961	0.00027
Cohaesibacter	655352	G	974	39	1013	0.00005
Bartonella	773	G	875	53	928	0.00005
Sphingomonas	13687	G	400940	51354	452294	0.02440
Sphingobium	165695	G	56868	28412	85280	0.00460
Sphingopyxis	165697	G	55331	12037	67368	0.00363
Novosphingobium	165696	G	41319	14853	56172	0.00303
Rhizorhabdus	1649486	G	18414	9333	27747	0.00150
Allosphingosinicella	2823232	G	10333	1324	11657	0.00063
Sphingosinithalassobacter	2676233	G	7675	1933	9608	0.00052
Parasphingopyxis	1234545	G	5283	264	5547	0.00030
Sphingorhabdus	1434046	G	4681	293	4974	0.00027
Blastomonas	150203	G	4215	730	4945	0.00027
Hankyongella	1763827	G	3114	636	3750	0.00020
Tardibacter	2685927	G	2835	2363	5198	0.00028
Citromicrobium	72173	G	2400	1160	3560	0.00019
Novosphingopyxis	2709686	G	2119	1240	3359	0.00018
Parasphingorhabdus	2709685	G	1370	41	1411	0.00008
Aquisediminimonas	2676781	G	1342	52	1394	0.00008
Erythrobacter	1041	G	28858	7791	36649	0.00198
Porphyrobacter	1111	G	8487	2425	10912	0.00059
Qipengyuania	1855416	G	18584	5068	23652	0.00128
Tsuneonella	2800686	G	11440	2345	13785	0.00074
Altererythrobacter	361177	G	11234	3151	14385	0.00078
Croceicoccus	1295327	G	9318	5874	15192	0.00082
Aurantiacibacter	2800681	G	2193	381	2574	0.00014
Pelagerythrobacter	2800685	G	2110	303	2413	0.00013
Paraurantiacibacter	2800682	G	2019	270	2289	0.00012
Croceibacterium	2676755	G	1940	862	2802	0.00015
Sphingosinicella	335405	G	18728	2025	20753	0.00112
Polymorphobacter	1508451	G	6395	257	6652	0.00036
Sandaracinobacter	56358	G	2916	206	3122	0.00017
Zymomonas	541	G	223	182	405	0.00002
Skermanella	204447	G	81660	12547	94207	0.00508
Azospirillum	191	G	76982	9372	86354	0.00466
Nitrospirillum	1543705	G	5350	582	5932	0.00032
Indioceanicola	2478349	G	4708	599	5307	0.00029
Niveispirillum	1543704	G	2403	252	2655	0.00014
Roseomonas	125216	G	47188	6505	53693	0.00290
Rhodovastum	504465	G	8309	789	9098	0.00049
Komagataeibacter	1434011	G	6141	2633	8774	0.00047
Roseococcus	35812	G	5874	513	6387	0.00034
Acidiphilium	522	G	5467	2793	8260	0.00045
Sediminicoccus	1706033	G	4526	218	4744	0.00026
Lichenicola	2804525	G	3667	167	3834	0.00021
Acidibrevibacterium	2603324	G	3517	311	3828	0.00021
Acetobacter	434	G	3266	1008	4274	0.00023
Gluconobacter	441	G	2464	576	3040	0.00016
Gluconacetobacter	89583	G	2358	456	2814	0.00015
Granulibacter	364409	G	1551	126	1677	0.00009
Asaia	91914	G	1038	163	1201	0.00006
Neoasaia	320496	G	985	184	1169	0.00006
Kozakia	153497	G	671	217	888	0.00005
Novacetimonas	2919364	G	614	271	885	0.00005
Oecophyllibacter	2791118	G	460	14	474	0.00003
Parasaccharibacter	1602345	G	334	13	347	0.00002
Swingsia	1649499	G	277	10	287	0.00002
Neokomagataea	1223423	G	122	18	140	0.00001
Commensalibacter	1079922	G	55	1	56	0.00000
Entomobacter	2811380	G	54	3	57	0.00000
Bombella	1654741	G	23	2	25	0.00000
Hypericibacter	2705399	G	24776	1500	26276	0.00142
Magnetospirillum	13134	G	14151	268699	282850	0.01526
Ferrovibrio	1231242	G	10447	669	11116	0.00060
Rhodospirillum	1081	G	8773	1013	9786	0.00053
Tistrella	171436	G	6099	2813	8912	0.00048
Defluviicoccus	111830	G	3315	296	3611	0.00019
Pararhodospirillum	1612157	G	1964	144	2108	0.00011
Haematospirillum	1804663	G	343	27	370	0.00002
Candidatus_Endolissoclinum	1263978	G	186	1	187	0.00001
Stella	93	G	14423	1004	15427	0.00083
Elioraea	457933	G	6103	300	6403	0.00035
Thalassospira	168934	G	2494	207	2701	0.00015
Magnetospira	1182780	G	1374	44	1418	0.00008
Terasakiella	196080	G	168	3	171	0.00001
Paracoccus	265	G	48197	8144	56341	0.00304
Cereibacter	1653176	G	11873	3591	15464	0.00083
Rhodobacter	1060	G	11607	3717	15324	0.00083
Rhodovulum	34008	G	6644	1346	7990	0.00043
Paroceanicella	2683599	G	5893	1292	7185	0.00039
Polymorphum	991903	G	5339	1373	6712	0.00036
Pikeienuella	2831955	G	4381	428	4809	0.00026
Pontivivens	1844015	G	3978	296	4274	0.00023
Silicimonas	1955420	G	3340	196	3536	0.00019
Thioclava	285107	G	3285	391	3676	0.00020
Pelagovum	2795377	G	3074	370	3444	0.00019
Frigidibacter	1775705	G	2554	1049	3603	0.00019
Pukyongiella	2831925	G	2244	435	2679	0.00014
Brevirhabdus	1855413	G	2186	770	2956	0.00016
Gymnodinialimonas	2937410	G	1825	157	1982	0.00011
Haematobacter	366614	G	1740	704	2444	0.00013
Fuscovulum	2818469	G	1660	220	1880	0.00010
Tabrizicola	1443919	G	1572	152	1724	0.00009
Pseudopuniceibacterium	2613960	G	1508	109	1617	0.00009
Falsirhodobacter	1434002	G	1495	218	1713	0.00009
Pacificitalea	2846749	G	1379	247	1626	0.00009
Gemmobacter	204456	G	1338	276	1614	0.00009
Pseudooceanicola	1679449	G	1332	123	1455	0.00008
Monaibacterium	2029873	G	1304	233	1537	0.00008
Roseicitreum	1209946	G	1124	55	1179	0.00006
Tritonibacter	2083206	G	892	279	1171	0.00006
Rhodophyticola	2680018	G	800	22	822	0.00004
Qingshengfaniella	2816884	G	793	38	831	0.00004
Yoonia	2211641	G	733	113	846	0.00005
Pseudohalocynthiibacter	1759417	G	676	95	771	0.00004
Rhodobaca	119541	G	597	26	623	0.00003
Profundibacter	2778525	G	572	18	590	0.00003
