name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	33739	4843	38582	0.04135
Rhodopseudomonas	1073	G	1940	510	2450	0.00263
Tardiphaga	1395974	G	629	62	691	0.00074
Nitrobacter	911	G	612	77	689	0.00074
Afipia	1033	G	462	252	714	0.00077
Variibacter	1649510	G	404	35	439	0.00047
Rhizobium	379	G	7568	1798	9366	0.01004
Agrobacterium	357	G	1375	555	1930	0.00207
Neorhizobium	1525371	G	807	221	1028	0.00110
Pseudorhizobium	1903858	G	248	60	308	0.00033
Sinorhizobium	28105	G	2835	1383	4218	0.00452
Ensifer	106591	G	1807	415	2222	0.00238
Shinella	323620	G	1298	1069	2367	0.00254
Ciceribacter	1648508	G	187	44	231	0.00025
Georhizobium	2661800	G	176	44	220	0.00024
Peteryoungia	2853332	G	68	14	82	0.00009
Liberibacter	34019	G	14	1	15	0.00002
Mesorhizobium	68287	G	13413	2825	16238	0.01740
Aquibium	2911176	G	949	270	1219	0.00131
Aminobacter	31988	G	711	508	1219	0.00131
Nitratireductor	245876	G	600	107	707	0.00076
Phyllobacterium	28100	G	349	40	389	0.00042
Roseitalea	1915401	G	244	48	292	0.00031
Oricola	1594166	G	193	31	224	0.00024
Hoeflea	274591	G	189	21	210	0.00023
Salaquimonas	2712688	G	84	4	88	0.00009
Methylobacterium	407	G	6892	1426	8318	0.00892
Microvirga	186650	G	3817	526	4343	0.00466
Methylorubrum	2282523	G	1376	628	2004	0.00215
Pseudolabrys	556257	G	1875	337	2212	0.00237
Starkeya	152053	G	1100	355	1455	0.00156
Xanthobacter	279	G	904	243	1147	0.00123
Ancylobacter	99	G	839	333	1172	0.00126
Labrys	204476	G	411	50	461	0.00049
Azorhizobium	6	G	275	69	344	0.00037
Rhodoplanes	29407	G	2472	289	2761	0.00296
Hyphomicrobium	81	G	1155	91	1246	0.00134
Methyloceanibacter	1484898	G	539	46	585	0.00063
Methyloligella	1485594	G	309	46	355	0.00038
Aquabacter	45402	G	246	48	294	0.00032
Rhodomicrobium	1068	G	209	17	226	0.00024
Caenibius	2827482	G	162	72	234	0.00025
Filomicrobium	119044	G	83	3	86	0.00009
Bosea	85413	G	3075	568	3643	0.00391
Devosia	46913	G	2229	212	2441	0.00262
