name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	370437	49427	419864	0.02652
Rhodopseudomonas	1073	G	28950	9218	38168	0.00241
Tardiphaga	1395974	G	10035	1507	11542	0.00073
Afipia	1033	G	7012	3180	10192	0.00064
Variibacter	1649510	G	6716	547	7263	0.00046
Nitrobacter	911	G	6428	894	7322	0.00046
Rhizobium	379	G	98055	53189	151244	0.00955
Agrobacterium	357	G	21135	6932	28067	0.00177
Neorhizobium	1525371	G	11059	2562	13621	0.00086
Pseudorhizobium	1903858	G	3759	718	4477	0.00028
Sinorhizobium	28105	G	39984	20931	60915	0.00385
Ensifer	106591	G	27791	5260	33051	0.00209
Shinella	323620	G	18556	12812	31368	0.00198
Ciceribacter	1648508	G	2739	531	3270	0.00021
Georhizobium	2661800	G	2555	573	3128	0.00020
Peteryoungia	2853332	G	874	148	1022	0.00006
Liberibacter	34019	G	147	176	323	0.00002
Mesorhizobium	68287	G	154863	32577	187440	0.01184
Aquibium	2911176	G	13361	3455	16816	0.00106
Aminobacter	31988	G	9181	5945	15126	0.00096
Nitratireductor	245876	G	8929	1446	10375	0.00066
Phyllobacterium	28100	G	4807	515	5322	0.00034
Roseitalea	1915401	G	3866	693	4559	0.00029
Hoeflea	274591	G	3037	304	3341	0.00021
Oricola	1594166	G	3009	436	3445	0.00022
Salaquimonas	2712688	G	1223	56	1279	0.00008
Lentilitoribacter	1649463	G	82	1	83	0.00001
Methylobacterium	407	G	102348	19311	121659	0.00769
Microvirga	186650	G	48599	6079	54678	0.00345
Methylorubrum	2282523	G	22147	9575	31722	0.00200
Pseudolabrys	556257	G	22448	3625	26073	0.00165
Xanthobacter	279	G	15045	3583	18628	0.00118
Starkeya	152053	G	14593	4095	18688	0.00118
Ancylobacter	99	G	13758	4949	18707	0.00118
Labrys	204476	G	4996	551	5547	0.00035
Azorhizobium	6	G	4846	1097	5943	0.00038
Rhodoplanes	29407	G	28675	3032	31707	0.00200
Hyphomicrobium	81	G	16582	1262	17844	0.00113
Methyloceanibacter	1484898	G	7504	570	8074	0.00051
Methyloligella	1485594	G	4551	607	5158	0.00033
Aquabacter	45402	G	4068	730	4798	0.00030
Rhodomicrobium	1068	G	3473	259	3732	0.00024
Caenibius	2827482	G	2517	1109	3626	0.00023
Filomicrobium	119044	G	1680	55	1735	0.00011
Bosea	85413	G	44454	7334	51788	0.00327
Devosia	46913	G	31203	2580	33783	0.00213
Youhaiella	1827478	G	3574	785	4359	0.00028
Paradevosia	1573407	G	3301	1225	4526	0.00029
Pelagibacterium	1082930	G	1812	244	2056	0.00013
Maritalea	623276	G	416	14	430	0.00003
Aureimonas	414371	G	21081	4503	25584	0.00162
Martelella	293088	G	10295	2043	12338	0.00078
Aurantimonas	182269	G	6172	1974	8146	0.00051
Nordella	169055	G	13582	806	14388	0.00091
Pseudorhodoplanes	1734920	G	9929	788	10717	0.00068
Terrihabitans	2874214	G	4531	551	5082	0.00032
Candidatus_Hodgkinia	573657	G	63	0	63	0.00000
Methylocystis	133	G	17284	1586	18870	0.00119
Methylosinus	425	G	8155	1254	9409	0.00059
Stappia	152161	G	9361	1879	11240	0.00071
Roseibium	150830	G	4241	572	4813	0.00030
Pannonibacter	227873	G	3958	2924	6882	0.00043
Labrenzia	478070	G	3502	323	3825	0.00024
Pseudovibrio	258255	G	845	43	888	0.00006
Phreatobacter	1632780	G	20996	3895	24891	0.00157
Kaustia	2838250	G	9391	978	10369	0.00066
Parvibaculum	256616	G	3990	2733	6723	0.00042
Pyruvatibacter	1742974	G	2636	350	2986	0.00019
Candidatus_Phaeomarinobacter	1541445	G	1009	54	1063	0.00007
Chelatococcus	28209	G	13617	3287	16904	0.00107
Blastochloris	59282	G	12575	3199	15774	0.00100
Methylocella	120652	G	5929	575	6504	0.00041
Methylovirgula	1156568	G	4694	415	5109	0.00032
Beijerinckia	532	G	1385	112	1497	0.00009
Acuticoccus	1904377	G	7933	918	8851	0.00056
Brucella	234	G	6836	3518	10354	0.00065
Pseudochrobactrum	354349	G	616	111	727	0.00005
Kaistia	166953	G	7279	1932	9211	0.00058
Hartmannibacter	1572860	G	4655	894	5549	0.00035
