name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	763494	64744	828238	0.05914
Rhodopseudomonas	1073	G	30249	5713	35962	0.00257
Nitrobacter	911	G	14281	1213	15494	0.00111
Tardiphaga	1395974	G	10918	800	11718	0.00084
Afipia	1033	G	9315	2016	11331	0.00081
Variibacter	1649510	G	6807	336	7143	0.00051
Rhizobium	379	G	148979	20477	169456	0.01210
Agrobacterium	357	G	23043	6538	29581	0.00211
Neorhizobium	1525371	G	16088	2577	18665	0.00133
Pseudorhizobium	1903858	G	8349	1262	9611	0.00069
Sinorhizobium	28105	G	99722	40310	140032	0.01000
Ensifer	106591	G	54864	6494	61358	0.00438
Shinella	323620	G	24545	11226	35771	0.00255
Ciceribacter	1648508	G	2224	261	2485	0.00018
Georhizobium	2661800	G	2111	283	2394	0.00017
Peteryoungia	2853332	G	808	83	891	0.00006
Liberibacter	34019	G	80	11	91	0.00001
Mesorhizobium	68287	G	277566	33601	311167	0.02222
Aminobacter	31988	G	14719	6933	21652	0.00155
Aquibium	2911176	G	14036	2463	16499	0.00118
Nitratireductor	245876	G	9058	978	10036	0.00072
Phyllobacterium	28100	G	4799	323	5122	0.00037
Roseitalea	1915401	G	2769	328	3097	0.00022
Hoeflea	274591	G	2528	156	2684	0.00019
Oricola	1594166	G	2224	211	2435	0.00017
Salaquimonas	2712688	G	878	26	904	0.00006
Lentilitoribacter	1649463	G	58	0	58	0.00000
Methylobacterium	407	G	68094	9120	77214	0.00551
Microvirga	186650	G	65378	4917	70295	0.00502
Methylorubrum	2282523	G	14996	5091	20087	0.00143
Brucella	234	G	126821	54800	181621	0.01297
Pseudochrobactrum	354349	G	2380	310	2690	0.00019
Pseudolabrys	556257	G	35623	3419	39042	0.00279
Starkeya	152053	G	10379	2014	12393	0.00088
Xanthobacter	279	G	9577	1677	11254	0.00080
Ancylobacter	99	G	9518	2496	12014	0.00086
Labrys	204476	G	3757	255	4012	0.00029
Azorhizobium	6	G	3260	485	3745	0.00027
Devosia	46913	G	60891	3656	64547	0.00461
Youhaiella	1827478	G	4362	877	5239	0.00037
Paradevosia	1573407	G	4162	1301	5463	0.00039
Pelagibacterium	1082930	G	1624	135	1759	0.00013
Maritalea	623276	G	332	8	340	0.00002
Rhodoplanes	29407	G	34059	2125	36184	0.00258
Hyphomicrobium	81	G	12622	618	13240	0.00095
Methyloceanibacter	1484898	G	3650	196	3846	0.00027
Aquabacter	45402	G	2782	289	3071	0.00022
Methyloligella	1485594	G	2602	231	2833	0.00020
Caenibius	2827482	G	2164	759	2923	0.00021
Rhodomicrobium	1068	G	2154	108	2262	0.00016
Filomicrobium	119044	G	1152	27	1179	0.00008
Bosea	85413	G	58493	6113	64606	0.00461
Aureimonas	414371	G	14689	2107	16796	0.00120
Martelella	293088	G	7873	1037	8910	0.00064
Aurantimonas	182269	G	4175	888	5063	0.00036
Pseudorhodoplanes	1734920	G	10996	505	11501	0.00082
Nordella	169055	G	9677	348	10025	0.00072
Terrihabitans	2874214	G	2695	196	2891	0.00021
Candidatus_Hodgkinia	573657	G	24	0	24	0.00000
Methylocystis	133	G	10545	661	11206	0.00080
Methylosinus	425	G	5042	559	5601	0.00040
Stappia	152161	G	5980	770	6750	0.00048
Pannonibacter	227873	G	3202	1514	4716	0.00034
Roseibium	150830	G	3081	322	3403	0.00024
Labrenzia	478070	G	2419	179	2598	0.00019
Pseudovibrio	258255	G	534	20	554	0.00004
Phreatobacter	1632780	G	15141	1665	16806	0.00120
Kaustia	2838250	G	4694	306	5000	0.00036
Parvibaculum	256616	G	2391	1221	3612	0.00026
Pyruvatibacter	1742974	G	1576	162	1738	0.00012
Candidatus_Phaeomarinobacter	1541445	G	687	32	719	0.00005
Chelatococcus	28209	G	9236	1332	10568	0.00075
Blastochloris	59282	G	7939	1220	9159	0.00065
Methylocella	120652	G	3758	250	4008	0.00029
Methylovirgula	1156568	G	3017	174	3191	0.00023
Beijerinckia	532	G	896	56	952	0.00007
Kaistia	166953	G	5407	859	6266	0.00045
Acuticoccus	1904377	G	4299	320	4619	0.00033
Hartmannibacter	1572860	G	3264	372	3636	0.00026
Breoghania	1406135	G	3043	266	3309	0.00024
Lichenihabitans	2723776	G	2774	88	2862	0.00020
Bartonella	773	G	634	30	664	0.00005
Cohaesibacter	655352	G	574	16	590	0.00004
Sphingomonas	13687	G	359064	37729	396793	0.02833
Sphingopyxis	165697	G	137870	23519	161389	0.01152
Sphingobium	165695	G	60715	25150	85865	0.00613
Novosphingobium	165696	G	46086	13330	59416	0.00424
Rhizorhabdus	1649486	G	17499	7500	24999	0.00179
Allosphingosinicella	2823232	G	9161	955	10116	0.00072
Sphingosinithalassobacter	2676233	G	6586	1356	7942	0.00057
Parasphingopyxis	1234545	G	4411	177	4588	0.00033
Sphingorhabdus	1434046	G	4242	216	4458	0.00032
Blastomonas	150203	G	3845	531	4376	0.00031
Citromicrobium	72173	G	2462	971	3433	0.00025
Tardibacter	2685927	G	2240	1573	3813	0.00027
Hankyongella	1763827	G	2118	353	2471	0.00018
Novosphingopyxis	2709686	G	1833	876	2709	0.00019
Aquisediminimonas	2676781	G	1123	35	1158	0.00008
Parasphingorhabdus	2709685	G	1107	27	1134	0.00008
Erythrobacter	1041	G	31564	7747	39311	0.00281
Porphyrobacter	1111	G	9305	2330	11635	0.00083
Qipengyuania	1855416	G	19597	4799	24396	0.00174
Altererythrobacter	361177	G	15763	4407	20170	0.00144
Tsuneonella	2800686	G	14837	2639	17476	0.00125
Croceicoccus	1295327	G	9077	5168	14245	0.00102
Croceibacterium	2676755	G	2953	1324	4277	0.00031
Aurantiacibacter	2800681	G	2487	396	2883	0.00021
Pelagerythrobacter	2800685	G	2371	308	2679	0.00019
Paraurantiacibacter	2800682	G	2271	268	2539	0.00018
Sphingosinicella	335405	G	16810	1468	18278	0.00131
Polymorphobacter	1508451	G	4167	145	4312	0.00031
Sandaracinobacter	56358	G	2003	119	2122	0.00015
Zymomonas	541	G	157	104	261	0.00002
Azospirillum	191	G	42244	4270	46514	0.00332
Skermanella	204447	G	22892	2809	25701	0.00184
Nitrospirillum	1543705	G	3488	327	3815	0.00027
Indioceanicola	2478349	G	2500	280	2780	0.00020
Niveispirillum	1543704	G	1639	144	1783	0.00013
Roseomonas	125216	G	29435	3231	32666	0.00233
Rhodovastum	504465	G	5098	394	5492	0.00039
Komagataeibacter	1434011	G	3775	1564	5339	0.00038
Roseococcus	35812	G	3625	268	3893	0.00028
Acidiphilium	522	G	3079	1156	4235	0.00030
Sediminicoccus	1706033	G	2906	119	3025	0.00022
Lichenicola	2804525	G	2283	86	2369	0.00017
Acetobacter	434	G	2062	649	2711	0.00019
Acidibrevibacterium	2603324	G	2034	140	2174	0.00016
Gluconobacter	441	G	1625	357	1982	0.00014
Gluconacetobacter	89583	G	1457	261	1718	0.00012
Granulibacter	364409	G	1033	73	1106	0.00008
Asaia	91914	G	683	93	776	0.00006
Neoasaia	320496	G	640	114	754	0.00005
Kozakia	153497	G	408	128	536	0.00004
