name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	483019	62547	545566	0.02589
Rhodopseudomonas	1073	G	34891	10355	45246	0.00215
Tardiphaga	1395974	G	11852	1500	13352	0.00063
Afipia	1033	G	8953	4657	13610	0.00065
Nitrobacter	911	G	7886	1006	8892	0.00042
Variibacter	1649510	G	7407	568	7975	0.00038
Rhizobium	379	G	115286	47491	162777	0.00772
Agrobacterium	357	G	23681	7846	31527	0.00150
Neorhizobium	1525371	G	16654	3823	20477	0.00097
Pseudorhizobium	1903858	G	4296	805	5101	0.00024
Sinorhizobium	28105	G	46969	24282	71251	0.00338
Ensifer	106591	G	27824	5123	32947	0.00156
Shinella	323620	G	20540	14107	34647	0.00164
Ciceribacter	1648508	G	3137	598	3735	0.00018
Georhizobium	2661800	G	2641	567	3208	0.00015
Peteryoungia	2853332	G	1002	169	1171	0.00006
Liberibacter	34019	G	205	81	286	0.00001
Methylobacterium	407	G	125401	22762	148163	0.00703
Microvirga	186650	G	82234	9547	91781	0.00436
Methylorubrum	2282523	G	25808	10843	36651	0.00174
Mesorhizobium	68287	G	183213	37002	220215	0.01045
Aquibium	2911176	G	13781	3345	17126	0.00081
Aminobacter	31988	G	10140	6516	16656	0.00079
Nitratireductor	245876	G	9444	1434	10878	0.00052
Phyllobacterium	28100	G	5424	557	5981	0.00028
Roseitalea	1915401	G	4069	691	4760	0.00023
Hoeflea	274591	G	3304	311	3615	0.00017
Oricola	1594166	G	3094	424	3518	0.00017
Salaquimonas	2712688	G	1360	59	1419	0.00007
Lentilitoribacter	1649463	G	62	1	63	0.00000
Pseudolabrys	556257	G	37917	5846	43763	0.00208
Xanthobacter	279	G	16927	3932	20859	0.00099
Starkeya	152053	G	15754	4229	19983	0.00095
Ancylobacter	99	G	15187	5306	20493	0.00097
Labrys	204476	G	6032	633	6665	0.00032
Azorhizobium	6	G	5505	1192	6697	0.00032
Rhodoplanes	29407	G	28360	2846	31206	0.00148
Hyphomicrobium	81	G	14059	956	15015	0.00071
Methyloceanibacter	1484898	G	6022	412	6434	0.00031
Aquabacter	45402	G	4599	787	5386	0.00026
Methyloligella	1485594	G	3935	482	4417	0.00021
Rhodomicrobium	1068	G	3559	242	3801	0.00018
Caenibius	2827482	G	3022	1203	4225	0.00020
Filomicrobium	119044	G	1358	39	1397	0.00007
Devosia	46913	G	42090	3371	45461	0.00216
Youhaiella	1827478	G	5092	1154	6246	0.00030
Paradevosia	1573407	G	4755	1787	6542	0.00031
Pelagibacterium	1082930	G	2059	261	2320	0.00011
Maritalea	623276	G	396	12	408	0.00002
Bosea	85413	G	50889	8003	58892	0.00279
Aureimonas	414371	G	23414	4790	28204	0.00134
Martelella	293088	G	11952	2204	14156	0.00067
Aurantimonas	182269	G	6960	2136	9096	0.00043
Methylocystis	133	G	18898	1686	20584	0.00098
Methylosinus	425	G	8889	1316	10205	0.00048
Stappia	152161	G	9914	1889	11803	0.00056
Roseibium	150830	G	4594	574	5168	0.00025
Pannonibacter	227873	G	4540	3202	7742	0.00037
Labrenzia	478070	G	3751	320	4071	0.00019
Pseudovibrio	258255	G	854	40	894	0.00004
Pseudorhodoplanes	1734920	G	9950	754	10704	0.00051
Nordella	169055	G	9513	539	10052	0.00048
Terrihabitans	2874214	G	4427	513	4940	0.00023
Candidatus_Hodgkinia	573657	G	79	1	80	0.00000
Phreatobacter	1632780	G	22598	3957	26555	0.00126
Kaustia	2838250	G	9133	905	10038	0.00048
Parvibaculum	256616	G	4393	3096	7489	0.00036
Pyruvatibacter	1742974	G	2793	362	3155	0.00015
Candidatus_Phaeomarinobacter	1541445	G	1096	59	1155	0.00005
Chelatococcus	28209	G	15287	3534	18821	0.00089
Methylocella	120652	G	6409	619	7028	0.00033
Methylovirgula	1156568	G	5144	438	5582	0.00026
Beijerinckia	532	G	1537	128	1665	0.00008
Blastochloris	59282	G	13015	3138	16153	0.00077
Acuticoccus	1904377	G	8608	939	9547	0.00045
Kaistia	166953	G	7635	1928	9563	0.00045
Brucella	234	G	6860	11671	18531	0.00088
Pseudochrobactrum	354349	G	704	107	811	0.00004
Hartmannibacter	1572860	G	4920	902	5822	0.00028
Breoghania	1406135	G	4882	654	5536	0.00026
Lichenihabitans	2723776	G	4757	223	4980	0.00024
Cohaesibacter	655352	G	952	37	989	0.00005
Bartonella	773	G	866	53	919	0.00004
Sphingomonas	13687	G	706094	82033	788127	0.03740
Sphingobium	165695	G	79677	39162	118839	0.00564
Sphingopyxis	165697	G	77961	17109	95070	0.00451
Novosphingobium	165696	G	49290	18751	68041	0.00323
Rhizorhabdus	1649486	G	25311	12894	38205	0.00181
Allosphingosinicella	2823232	G	13313	1698	15011	0.00071
Sphingosinithalassobacter	2676233	G	11517	2853	14370	0.00068
Parasphingopyxis	1234545	G	7600	377	7977	0.00038
Sphingorhabdus	1434046	G	5698	350	6048	0.00029
Blastomonas	150203	G	5406	967	6373	0.00030
Hankyongella	1763827	G	4180	854	5034	0.00024
Tardibacter	2685927	G	3948	3428	7376	0.00035
Citromicrobium	72173	G	2820	1350	4170	0.00020
Novosphingopyxis	2709686	G	2807	1627	4434	0.00021
Aquisediminimonas	2676781	G	1797	68	1865	0.00009
Parasphingorhabdus	2709685	G	1718	51	1769	0.00008
Erythrobacter	1041	G	33581	8802	42383	0.00201
Porphyrobacter	1111	G	10489	2890	13379	0.00063
Qipengyuania	1855416	G	20962	5503	26465	0.00126
Altererythrobacter	361177	G	12157	3220	15377	0.00073
Tsuneonella	2800686	G	12136	2449	14585	0.00069
Croceicoccus	1295327	G	11335	7047	18382	0.00087
Aurantiacibacter	2800681	G	2348	384	2732	0.00013
Pelagerythrobacter	2800685	G	2282	317	2599	0.00012
Paraurantiacibacter	2800682	G	2177	282	2459	0.00012
Croceibacterium	2676755	G	1898	814	2712	0.00013
Sphingosinicella	335405	G	24932	2644	27576	0.00131
Polymorphobacter	1508451	G	9052	356	9408	0.00045
Sandaracinobacter	56358	G	3858	267	4125	0.00020
Zymomonas	541	G	255	171	426	0.00002
Azospirillum	191	G	100804	12350	113154	0.00537
Skermanella	204447	G	43071	5961	49032	0.00233
Nitrospirillum	1543705	G	7674	880	8554	0.00041
Indioceanicola	2478349	G	6417	873	7290	0.00035
Niveispirillum	1543704	G	3262	346	3608	0.00017
Roseomonas	125216	G	64981	8774	73755	0.00350
Rhodovastum	504465	G	11547	1074	12621	0.00060
Roseococcus	35812	G	8343	725	9068	0.00043
Komagataeibacter	1434011	G	7691	3666	11357	0.00054
Acidiphilium	522	G	7220	3633	10853	0.00052
Sediminicoccus	1706033	G	5741	276	6017	0.00029
Acidibrevibacterium	2603324	G	4994	426	5420	0.00026
Lichenicola	2804525	G	4810	216	5026	0.00024
Acetobacter	434	G	3951	1543	5494	0.00026
Gluconacetobacter	89583	G	3181	647	3828	0.00018
Gluconobacter	441	G	2966	769	3735	0.00018
Granulibacter	364409	G	2097	177	2274	0.00011
Asaia	91914	G	1320	214	1534	0.00007
Neoasaia	320496	G	1225	244	1469	0.00007
Kozakia	153497	G	859	300	1159	0.00006
Novacetimonas	2919364	G	713	325	1038	0.00005
Oecophyllibacter	2791118	G	627	19	646	0.00003
Parasaccharibacter	1602345	G	405	15	420	0.00002
Swingsia	1649499	G	279	11	290	0.00001
Neokomagataea	1223423	G	157	24	181	0.00001
Entomobacter	2811380	G	107	7	114	0.00001
Commensalibacter	1079922	G	54	1	55	0.00000
Bombella	1654741	G	37	4	41	0.00000
Hypericibacter	2705399	G	44182	2519	46701	0.00222
Magnetospirillum	13134	G	19628	374481	394109	0.01870
Rhodospirillum	1081	G	12333	1384	13717	0.00065
Ferrovibrio	1231242	G	11326	687	12013	0.00057
Tistrella	171436	G	7855	3510	11365	0.00054
Defluviicoccus	111830	G	4432	375	4807	0.00023
Pararhodospirillum	1612157	G	2364	168	2532	0.00012
Haematospirillum	1804663	G	405	32	437	0.00002
Candidatus_Endolissoclinum	1263978	G	221	2	223	0.00001
Stella	93	G	18535	1234	19769	0.00094
Elioraea	457933	G	8496	402	8898	0.00042
Thalassospira	168934	G	2912	259	3171	0.00015
Magnetospira	1182780	G	1699	52	1751	0.00008
Terasakiella	196080	G	196	4	200	0.00001
Paracoccus	265	G	45862	8242	54104	0.00257
Cereibacter	1653176	G	11691	3476	15167	0.00072
Rhodobacter	1060	G	10989	3380	14369	0.00068
