name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._170	2782641	S	38244	9374	47618	0.00342
Bradyrhizobium_sp._200	2782665	S	37882	8079	45961	0.00330
Bradyrhizobium_sp._CCBAU_051011	858422	S	24723	4350	29073	0.00209
Bradyrhizobium_sp._CCBAU_51753	1325100	S	11202	2218	13420	0.00096
Bradyrhizobium_sp._CCGE-LA001	1223566	S	10479	3630	14109	0.00101
Bradyrhizobium_sp._A19	2898149	S	7995	1263	9258	0.00066
Bradyrhizobium_sp._1(2017)	1404888	S	7878	2280	10158	0.00073
Bradyrhizobium_sp._SK17	2057741	S	7620	2326	9946	0.00071
Bradyrhizobium_sp._BTAi1	288000	S	7542	1256	8798	0.00063
Bradyrhizobium_sp._ORS_278	114615	S	7532	1578	9110	0.00065
Bradyrhizobium_sp._ORS_285	115808	S	7396	1533	8929	0.00064
Bradyrhizobium_sp._195	2782662	S	6374	2157	8531	0.00061
Bradyrhizobium_sp._186	2782654	S	6023	1542	7565	0.00054
Bradyrhizobium_sp._CCBAU_53421	1325120	S	5707	1658	7365	0.00053
Bradyrhizobium_sp._S2-11-2	2840472	S	5342	4080	9422	0.00068
Bradyrhizobium_sp._CCBAU_53338	1325111	S	4786	1803	6589	0.00047
Bradyrhizobium_sp._CCBAU_53351	1325114	S	4744	2214	6958	0.00050
Bradyrhizobium_sp._CCBAU_53340	1325112	S	4484	1603	6087	0.00044
Bradyrhizobium_sp._S2-20-1	2840469	S	4483	3664	8147	0.00058
Bradyrhizobium_sp._6(2017)	1197460	S	4438	2011	6449	0.00046
Bradyrhizobium_sp._S2-11-4	2840473	S	4271	3846	8117	0.00058
Bradyrhizobium_sp._41S5	1404443	S	3607	2277	5884	0.00042
Bradyrhizobium_sp._191	2782659	S	3276	3207	6483	0.00047
Bradyrhizobium_sp._CCBAU_51765	1325102	S	3055	2754	5809	0.00042
Bradyrhizobium_sp._I71	2590772	S	2989	2601	5590	0.00040
Bradyrhizobium_sp._C-145	574727	S	1736	1597	3333	0.00024
Bradyrhizobium_sp.	376	S	1405	4308	5713	0.00041
Bradyrhizobium_sp._40	2782674	S	1259	2859	4118	0.00030
Bradyrhizobium_sp._144S4	2823807	S	1142	2674	3816	0.00027
Bradyrhizobium_sp._4	2782678	S	1037	2649	3686	0.00026
Bradyrhizobium_sp._323S2	1404649	S	974	2321	3295	0.00024
Bradyrhizobium_sp._192	2782660	S	938	2138	3076	0.00022
Bradyrhizobium_sp._LCT2	2493093	S	612	1583	2195	0.00016
Bradyrhizobium_sp._SG09	2599805	S	425	2868	3293	0.00024
Bradyrhizobium_sp._TM102	2599819	S	405	2619	3024	0.00022
Bradyrhizobium_sp._187	2782655	S	367	1733	2100	0.00015
Bradyrhizobium_sp._1S5	2816456	S	240	2613	2853	0.00020
Bradyrhizobium_sp._38S5	2819348	S	192	2268	2460	0.00018
Bradyrhizobium_sp._172	2782643	S	182	2141	2323	0.00017
Bradyrhizobium_sp._CW1	2782686	S	176	2640	2816	0.00020
Bradyrhizobium_sp._131	2782609	S	141	2228	2369	0.00017
Bradyrhizobium_sp._155	2782629	S	104	1810	1914	0.00014
Bradyrhizobium_sp._CCBAU_21365	1325083	S	23	1034	1057	0.00008
Bradyrhizobium_erythrophlei	1437360	S	27537	1998	29535	0.00212
Bradyrhizobium_paxllaeri	190148	S	20487	3442	23929	0.00172
Bradyrhizobium_icense	1274631	S	19777	2495	22272	0.00160
Bradyrhizobium_diazoefficiens	1355477	S	18268	32264	50532	0.00363
Bradyrhizobium_lablabi	722472	S	9369	9911	19280	0.00138
Bradyrhizobium_canariense	255045	S	8276	12042	20318	0.00146
Bradyrhizobium_genosp._L	83637	S	7615	1374	8989	0.00064
Bradyrhizobium_japonicum	375	S	6973	9509	16482	0.00118
Bradyrhizobium_oligotrophicum	44255	S	6310	984	7294	0.00052
Bradyrhizobium_arachidis	858423	S	5559	1448	7007	0.00050
