name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	276986	41906	318892	0.02456
Rhodopseudomonas	1073	G	21859	7177	29036	0.00224
Tardiphaga	1395974	G	7465	1262	8727	0.00067
Afipia	1033	G	5052	2508	7560	0.00058
Nitrobacter	911	G	4955	724	5679	0.00044
Variibacter	1649510	G	4919	438	5357	0.00041
Rhizobium	379	G	75069	19503	94572	0.00728
Agrobacterium	357	G	15699	5861	21560	0.00166
Neorhizobium	1525371	G	8300	2197	10497	0.00081
Pseudorhizobium	1903858	G	2810	603	3413	0.00026
Sinorhizobium	28105	G	30822	21165	51987	0.00400
Ensifer	106591	G	20654	4380	25034	0.00193
Shinella	323620	G	14118	10982	25100	0.00193
Ciceribacter	1648508	G	2136	472	2608	0.00020
Georhizobium	2661800	G	2054	513	2567	0.00020
Peteryoungia	2853332	G	704	137	841	0.00006
Liberibacter	34019	G	138	132	270	0.00002
Mesorhizobium	68287	G	122390	27143	149533	0.01151
Aquibium	2911176	G	10118	2838	12956	0.00100
Nitratireductor	245876	G	6906	1211	8117	0.00063
Aminobacter	31988	G	6896	4919	11815	0.00091
Phyllobacterium	28100	G	3740	444	4184	0.00032
Roseitalea	1915401	G	3177	622	3799	0.00029
Hoeflea	274591	G	2360	258	2618	0.00020
Oricola	1594166	G	2165	343	2508	0.00019
Salaquimonas	2712688	G	981	49	1030	0.00008
Lentilitoribacter	1649463	G	65	1	66	0.00001
Methylobacterium	407	G	78315	16094	94409	0.00727
Microvirga	186650	G	39187	5383	44570	0.00343
Methylorubrum	2282523	G	16547	7691	24238	0.00187
Pseudolabrys	556257	G	16278	2922	19200	0.00148
Xanthobacter	279	G	11301	2907	14208	0.00109
Starkeya	152053	G	10898	3331	14229	0.00110
Ancylobacter	99	G	10283	3965	14248	0.00110
Labrys	204476	G	3933	479	4412	0.00034
Azorhizobium	6	G	3637	902	4539	0.00035
Rhodoplanes	29407	G	21371	2514	23885	0.00184
Hyphomicrobium	81	G	11515	959	12474	0.00096
Methyloceanibacter	1484898	G	5747	465	6212	0.00048
Methyloligella	1485594	G	3476	506	3982	0.00031
Aquabacter	45402	G	3180	636	3816	0.00029
Rhodomicrobium	1068	G	2532	205	2737	0.00021
Caenibius	2827482	G	1914	875	2789	0.00021
Filomicrobium	119044	G	1129	40	1169	0.00009
Bosea	85413	G	33497	6120	39617	0.00305
Devosia	46913	G	25049	2281	27330	0.00210
Youhaiella	1827478	G	2791	673	3464	0.00027
Paradevosia	1573407	G	2674	1080	3754	0.00029
Pelagibacterium	1082930	G	1371	174	1545	0.00012
Maritalea	623276	G	331	12	343	0.00003
Aureimonas	414371	G	15995	3714	19709	0.00152
Martelella	293088	G	7885	1870	9755	0.00075
Aurantimonas	182269	G	4764	1684	6448	0.00050
Nordella	169055	G	10493	684	11177	0.00086
Pseudorhodoplanes	1734920	G	7390	652	8042	0.00062
Terrihabitans	2874214	G	3242	432	3674	0.00028
Candidatus_Hodgkinia	573657	G	59	0	59	0.00000
Methylocystis	133	G	12900	1312	14212	0.00109
Methylosinus	425	G	6111	1056	7167	0.00055
Stappia	152161	G	7342	1601	8943	0.00069
Roseibium	150830	G	3344	473	3817	0.00029
Pannonibacter	227873	G	3134	2547	5681	0.00044
Labrenzia	478070	G	2704	256	2960	0.00023
Pseudovibrio	258255	G	657	38	695	0.00005
Phreatobacter	1632780	G	15749	3224	18973	0.00146
Kaustia	2838250	G	7486	860	8346	0.00064
Parvibaculum	256616	G	3080	2327	5407	0.00042
Pyruvatibacter	1742974	G	2154	311	2465	0.00019
Candidatus_Phaeomarinobacter	1541445	G	827	49	876	0.00007
Chelatococcus	28209	G	10847	2937	13784	0.00106
Blastochloris	59282	G	9137	2568	11705	0.00090
Methylocella	120652	G	4325	451	4776	0.00037
Methylovirgula	1156568	G	3559	341	3900	0.00030
Beijerinckia	532	G	992	84	1076	0.00008
Acuticoccus	1904377	G	6156	781	6937	0.00053
Kaistia	166953	G	5417	1595	7012	0.00054
Brucella	234	G	4866	5597	10463	0.00081
Pseudochrobactrum	354349	G	466	88	554	0.00004
Breoghania	1406135	G	3654	568	4222	0.00033
Hartmannibacter	1572860	G	3350	715	4065	0.00031
Lichenihabitans	2723776	G	3017	167	3184	0.00025
Cohaesibacter	655352	G	701	32	733	0.00006
Bartonella	773	G	615	45	660	0.00005
Sphingomonas	13687	G	338984	46504	385488	0.02968
Sphingobium	165695	G	54477	27435	81912	0.00631
Sphingopyxis	165697	G	48603	10732	59335	0.00457
Novosphingobium	165696	G	32914	12798	45712	0.00352
Rhizorhabdus	1649486	G	15380	7972	23352	0.00180
Allosphingosinicella	2823232	G	8899	1202	10101	0.00078
Sphingosinithalassobacter	2676233	G	6479	1648	8127	0.00063
Parasphingopyxis	1234545	G	4483	245	4728	0.00036
Sphingorhabdus	1434046	G	3714	266	3980	0.00031
Blastomonas	150203	G	3158	619	3777	0.00029
Hankyongella	1763827	G	2639	552	3191	0.00025
Tardibacter	2685927	G	2507	2129	4636	0.00036
Citromicrobium	72173	G	1817	886	2703	0.00021
Novosphingopyxis	2709686	G	1652	977	2629	0.00020
Parasphingorhabdus	2709685	G	1070	37	1107	0.00009
Aquisediminimonas	2676781	G	981	42	1023	0.00008
Erythrobacter	1041	G	21032	5740	26772	0.00206
Porphyrobacter	1111	G	6699	1967	8666	0.00067
Qipengyuania	1855416	G	13224	3756	16980	0.00131
Altererythrobacter	361177	G	7748	2200	9948	0.00077
Tsuneonella	2800686	G	7498	1632	9130	0.00070
Croceicoccus	1295327	G	7106	4584	11690	0.00090
Aurantiacibacter	2800681	G	1636	284	1920	0.00015
Pelagerythrobacter	2800685	G	1414	214	1628	0.00013
Paraurantiacibacter	2800682	G	1370	194	1564	0.00012
Croceibacterium	2676755	G	1307	589	1896	0.00015
Sphingosinicella	335405	G	15358	1757	17115	0.00132
Polymorphobacter	1508451	G	5058	219	5277	0.00041
Sandaracinobacter	56358	G	2394	183	2577	0.00020
Zymomonas	541	G	191	237	428	0.00003
Azospirillum	191	G	61966	8444	70410	0.00542
Skermanella	204447	G	26831	4078	30909	0.00238
Nitrospirillum	1543705	G	4457	563	5020	0.00039
Indioceanicola	2478349	G	4013	601	4614	0.00036
Niveispirillum	1543704	G	1995	234	2229	0.00017
Roseomonas	125216	G	37128	5634	42762	0.00329
Rhodovastum	504465	G	6299	662	6961	0.00054
Roseococcus	35812	G	4815	463	5278	0.00041
Komagataeibacter	1434011	G	4692	2216	6908	0.00053
Acidiphilium	522	G	4328	2322	6650	0.00051
Sediminicoccus	1706033	G	3247	173	3420	0.00026
Acidibrevibacterium	2603324	G	2886	268	3154	0.00024
Lichenicola	2804525	G	2813	142	2955	0.00023
Acetobacter	434	G	2623	977	3600	0.00028
Gluconobacter	441	G	1888	515	2403	0.00019
Gluconacetobacter	89583	G	1822	390	2212	0.00017
Granulibacter	364409	G	1243	119	1362	0.00010
Asaia	91914	G	804	146	950	0.00007
Neoasaia	320496	G	754	157	911	0.00007
Kozakia	153497	G	494	177	671	0.00005
Novacetimonas	2919364	G	489	235	724	0.00006
Oecophyllibacter	2791118	G	430	15	445	0.00003
Parasaccharibacter	1602345	G	268	11	279	0.00002
Swingsia	1649499	G	210	9	219	0.00002
Neokomagataea	1223423	G	107	18	125	0.00001
Entomobacter	2811380	G	62	4	66	0.00001
Commensalibacter	1079922	G	40	1	41	0.00000
Bombella	1654741	G	25	3	28	0.00000
Hypericibacter	2705399	G	25236	1607	26843	0.00207
Magnetospirillum	13134	G	12662	259094	271756	0.02093
Rhodospirillum	1081	G	7733	982	8715	0.00067
Ferrovibrio	1231242	G	6151	416	6567	0.00051
Tistrella	171436	G	5036	2381	7417	0.00057
Defluviicoccus	111830	G	2814	270	3084	0.00024
Pararhodospirillum	1612157	G	1626	133	1759	0.00014
Haematospirillum	1804663	G	302	28	330	0.00003
Candidatus_Endolissoclinum	1263978	G	157	2	159	0.00001
Stella	93	G	12359	916	13275	0.00102
Elioraea	457933	G	5197	282	5479	0.00042
Thalassospira	168934	G	1892	173	2065	0.00016
Magnetospira	1182780	G	1170	42	1212	0.00009
Terasakiella	196080	G	170	4	174	0.00001
Paracoccus	265	G	30163	5173	35336	0.00272
Cereibacter	1653176	G	7820	2180	10000	0.00077
Rhodobacter	1060	G	7564	2425	9989	0.00077
Rhodovulum	34008	G	4298	985	5283	0.00041
Paroceanicella	2683599	G	3641	762	4403	0.00034
Polymorphum	991903	G	3621	960	4581	0.00035
Pikeienuella	2831955	G	2683	266	2949	0.00023
Pontivivens	1844015	G	2392	182	2574	0.00020
Thioclava	285107	G	2294	262	2556	0.00020
Silicimonas	1955420	G	2156	125	2281	0.00018
Pelagovum	2795377	G	2036	242	2278	0.00018
Frigidibacter	1775705	G	1559	626	2185	0.00017
Pukyongiella	2831925	G	1436	254	1690	0.00013
Brevirhabdus	1855413	G	1414	448	1862	0.00014
Fuscovulum	2818469	G	1198	155	1353	0.00010
Gymnodinialimonas	2937410	G	1189	99	1288	0.00010
Haematobacter	366614	G	1123	450	1573	0.00012
Falsirhodobacter	1434002	G	1068	155	1223	0.00009
