name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._200	2782665	S	26317	5093	31410	0.00244
Bradyrhizobium_sp._170	2782641	S	20556	4569	25125	0.00195
Bradyrhizobium_sp._CCBAU_051011	858422	S	17437	3020	20457	0.00159
Bradyrhizobium_sp._191	2782659	S	12640	10448	23088	0.00179
Bradyrhizobium_sp._CCBAU_51765	1325102	S	11613	8969	20582	0.00160
Bradyrhizobium_sp._CCBAU_51753	1325100	S	9781	1957	11738	0.00091
Bradyrhizobium_sp._CCGE-LA001	1223566	S	9102	3087	12189	0.00095
Bradyrhizobium_sp._I71	2590772	S	7823	5754	13577	0.00105
Bradyrhizobium_sp._1(2017)	1404888	S	7193	2036	9229	0.00072
Bradyrhizobium_sp._A19	2898149	S	6757	1096	7853	0.00061
Bradyrhizobium_sp._BTAi1	288000	S	6556	1113	7669	0.00060
Bradyrhizobium_sp._ORS_285	115808	S	6525	1345	7870	0.00061
Bradyrhizobium_sp._ORS_278	114615	S	6364	1339	7703	0.00060
Bradyrhizobium_sp._SK17	2057741	S	6101	1891	7992	0.00062
Bradyrhizobium_sp._CCBAU_53351	1325114	S	6043	2783	8826	0.00069
Bradyrhizobium_sp._186	2782654	S	5866	1383	7249	0.00056
Bradyrhizobium_sp._195	2782662	S	5706	1815	7521	0.00058
Bradyrhizobium_sp._CCBAU_53421	1325120	S	4885	1383	6268	0.00049
Bradyrhizobium_sp._CCBAU_53340	1325112	S	4790	1702	6492	0.00050
Bradyrhizobium_sp._CCBAU_53338	1325111	S	4602	1723	6325	0.00049
Bradyrhizobium_sp._6(2017)	1197460	S	3562	1591	5153	0.00040
Bradyrhizobium_sp._S2-11-2	2840472	S	3417	2172	5589	0.00043
Bradyrhizobium_sp._S2-20-1	2840469	S	2857	1920	4777	0.00037
Bradyrhizobium_sp._41S5	1404443	S	2843	1747	4590	0.00036
Bradyrhizobium_sp._S2-11-4	2840473	S	2767	2043	4810	0.00037
Bradyrhizobium_sp._C-145	574727	S	2179	1976	4155	0.00032
Bradyrhizobium_sp.	376	S	1470	4400	5870	0.00046
Bradyrhizobium_sp._40	2782674	S	1205	2248	3453	0.00027
Bradyrhizobium_sp._144S4	2823807	S	1112	2441	3553	0.00028
Bradyrhizobium_sp._4	2782678	S	1061	2212	3273	0.00025
Bradyrhizobium_sp._323S2	1404649	S	991	2227	3218	0.00025
Bradyrhizobium_sp._192	2782660	S	948	2058	3006	0.00023
Bradyrhizobium_sp._LCT2	2493093	S	665	1703	2368	0.00018
Bradyrhizobium_sp._SG09	2599805	S	453	2884	3337	0.00026
Bradyrhizobium_sp._TM102	2599819	S	448	2717	3165	0.00025
Bradyrhizobium_sp._187	2782655	S	405	1701	2106	0.00016
Bradyrhizobium_sp._172	2782643	S	193	1963	2156	0.00017
Bradyrhizobium_sp._38S5	2819348	S	192	1957	2149	0.00017
Bradyrhizobium_sp._CW1	2782686	S	159	2052	2211	0.00017
Bradyrhizobium_sp._1S5	2816456	S	153	1433	1586	0.00012
Bradyrhizobium_sp._131	2782609	S	126	1719	1845	0.00014
Bradyrhizobium_sp._155	2782629	S	87	1310	1397	0.00011
Bradyrhizobium_sp._CCBAU_21365	1325083	S	18	803	821	0.00006
Bradyrhizobium_erythrophlei	1437360	S	20633	1599	22232	0.00173
Bradyrhizobium_diazoefficiens	1355477	S	18816	25898	44714	0.00347
Bradyrhizobium_icense	1274631	S	15992	2134	18126	0.00141
Bradyrhizobium_paxllaeri	190148	S	14894	2586	17480	0.00136
Bradyrhizobium_lablabi	722472	S	6803	7102	13905	0.00108
Bradyrhizobium_japonicum	375	S	6782	9049	15831	0.00123
Bradyrhizobium_genosp._L	83637	S	6425	1226	7651	0.00059
Bradyrhizobium_vignae	1549949	S	6370	1412	7782	0.00060
Bradyrhizobium_canariense	255045	S	6194	8965	15159	0.00118
Bradyrhizobium_oligotrophicum	44255	S	5802	971	6773	0.00053
Bradyrhizobium_arachidis	858423	S	5708	1527	7235	0.00056
Bradyrhizobium_daqingense	993502	S	5660	2844	8504	0.00066
Bradyrhizobium_guangxiense	1325115	S	5407	2186	7593	0.00059
Bradyrhizobium_cosmicum	1404864	S	4516	1374	5890	0.00046
Bradyrhizobium_genosp._B	83627	S	4377	880	5257	0.00041
Bradyrhizobium_guangdongense	1325090	S	4375	1515	5890	0.00046
Bradyrhizobium_guangzhouense	1325095	S	4063	1437	5500	0.00043
Bradyrhizobium_quebecense	2748629	S	3828	2005	5833	0.00045
Bradyrhizobium_septentrionale	1404411	S	3235	1823	5058	0.00039
Bradyrhizobium_amphicarpaeae	1404768	S	3163	1225	4388	0.00034
Bradyrhizobium_symbiodeficiens	1404367	S	2857	3951	6808	0.00053
Bradyrhizobium_betae	244734	S	2598	1347	3945	0.00031
Bradyrhizobium_zhanjiangense	1325107	S	1703	1569	3272	0.00025
Bradyrhizobium_elkanii	29448	S	1044	3284	4328	0.00034
Bradyrhizobium_ottawaense	931866	S	903	5107	6010	0.00047
Rhodopseudomonas_palustris	1076	S	20767	7224	27991	0.00217
Rhodopseudomonas_sp._SK50-23	340268	S	2825	557	3382	0.00026
Rhodopseudomonas_boonkerdii	475937	S	2721	671	3392	0.00026
Tardiphaga_sp._37S4	1404741	S	1558	1141	2699	0.00021
Tardiphaga_sp._vice154	2592814	S	120	1682	1802	0.00014
Tardiphaga_sp._vice278	2592815	S	73	1609	1682	0.00013
Tardiphaga_sp._vice304	2592817	S	51	876	927	0.00007
Tardiphaga_sp._vice352	2592816	S	23	631	654	0.00005
Tardiphaga_robiniae	943830	S	1646	1076	2722	0.00021
Nitrobacter_hamburgensis	912	S	6417	981	7398	0.00057
Nitrobacter_winogradskyi	913	S	2453	390	2843	0.00022
Afipia_carboxidovorans	40137	S	4114	547	4661	0.00036
Afipia_sp._GAS231	1882747	S	2860	1729	4589	0.00036
Variibacter_gotjawalensis	1333996	S	5701	441	6142	0.00048
Rhizobium_sp._WYJ-E13	2849093	S	8071	1005	9076	0.00070
Rhizobium_sp._BG4	2613770	S	4791	897	5688	0.00044
Rhizobium_sp._AB2/73	2795216	S	2074	1052	3126	0.00024
Rhizobium_sp._NXC24	2048897	S	2026	286	2312	0.00018
Rhizobium_sp._11515TR	2028343	S	1844	424	2268	0.00018
Rhizobium_sp._ACO-34A	1571470	S	1736	362	2098	0.00016
Rhizobium_sp._SL42	2806346	S	1696	301	1997	0.00016
Rhizobium_sp._WL3	2603277	S	1593	297	1890	0.00015
Rhizobium_sp._NZLR1	2731096	S	1300	430	1730	0.00013
Rhizobium_sp._CIAT894	2020312	S	1256	529	1785	0.00014
Rhizobium_sp._NXC14	1981173	S	1086	431	1517	0.00012
Rhizobium_sp._NLR16a	2731112	S	1070	458	1528	0.00012
Rhizobium_sp._C104	2917727	S	976	511	1487	0.00012
Rhizobium_sp._K102	2918527	S	910	595	1505	0.00012
Rhizobium_sp._L51/94	2819999	S	654	810	1464	0.00011
Rhizobium_sp._007	2785056	S	465	789	1254	0.00010
Rhizobium_sp._X9	2815360	S	463	932	1395	0.00011
Rhizobium_sp._Y9	1914541	S	380	1395	1775	0.00014
Rhizobium_sp._IE4771	1301032	S	313	614	927	0.00007
Rhizobium_sp._Kim5	2020311	S	298	636	934	0.00007
Rhizobium_sp._TAL182	2020313	S	220	610	830	0.00006
Rhizobium_sp._ZX09	2291939	S	168	710	878	0.00007
Rhizobium_sp._NIBRBAC000502774	2590777	S	165	671	836	0.00006
Rhizobium_sp._B230/85	2819994	S	72	756	828	0.00006
Rhizobium_sp._CCGE531	2364271	S	56	1936	1992	0.00015
Rhizobium_sp._N324	1703969	S	45	914	959	0.00007
Rhizobium_sp._T136	555319	S	36	971	1007	0.00008
Rhizobium_sp._B21/90	2819993	S	22	753	775	0.00006
Rhizobium_sp._CCGE532	2364272	S	15	1098	1113	0.00009
Rhizobium_leguminosarum	384	S	11112	14125	25237	0.00196
Rhizobium_etli	29449	S	3259	3658	6917	0.00054
Rhizobium_pseudoryzae	379684	S	2281	473	2754	0.00021
Rhizobium_jaguaris	1312183	S	2244	276	2520	0.00020
Rhizobium_gallicum	56730	S	2000	2516	4516	0.00035
Rhizobium_phaseoli	396	S	1790	3640	5430	0.00042
Rhizobium_bangladeshense	1138189	S	1783	420	2203	0.00017
Rhizobium_lentis	1138194	S	1451	441	1892	0.00015
Rhizobium_tropici	398	S	1394	359	1753	0.00014
Rhizobium_binae	1138190	S	1308	475	1783	0.00014
Rhizobium_pusense	648995	S	1271	4805	6076	0.00047
Rhizobium_rosettiformans	1368430	S	1212	535	1747	0.00014
Rhizobium_daejeonense	240521	S	1180	380	1560	0.00012
Rhizobium_rhizoryzae	451876	S	1082	149	1231	0.00010
Rhizobium_indicum	2583231	S	812	697	1509	0.00012
Rhizobium_acidisoli	1538158	S	607	487	1094	0.00008
Rhizobium_oryzihabitans	2267833	S	365	476	841	0.00007
Rhizobium_hidalgonense	1538159	S	260	583	843	0.00007
Rhizobium_laguerreae	1076926	S	243	407	650	0.00005
Rhizobium_ruizarguesonis	2081791	S	200	1436	1636	0.00013
Rhizobium_favelukesii	348824	S	30	980	1010	0.00008
Agrobacterium_tumefaciens	358	S	5843	5253	11096	0.00086
Agrobacterium_fabrum	1176649	S	538	686	1224	0.00010
Agrobacterium_fabacearum	1183401	S	119	1484	1603	0.00012
Agrobacterium_vitis	373	S	2850	350	3200	0.00025
Agrobacterium_sp._T29	2580515	S	414	312	726	0.00006
Agrobacterium_sp._RAC06	1842536	S	304	593	897	0.00007
Agrobacterium_sp._MA01	2664893	S	292	558	850	0.00007
Agrobacterium_sp._CGMCC_11546	2579248	S	161	324	485	0.00004
Agrobacterium_sp._S7/73	2820002	S	81	405	486	0.00004
Agrobacterium_vaccinii	2735528	S	1171	161	1332	0.00010
Agrobacterium_larrymoorei	160699	S	861	150	1011	0.00008
Agrobacterium_rubi	28099	S	735	214	949	0.00007
Agrobacterium_salinitolerans	1183413	S	589	211	800	0.00006
Agrobacterium_rhizogenes	359	S	529	1247	1776	0.00014
Neorhizobium_galegae	399	S	7227	1988	9215	0.00072
Neorhizobium_sp._SOG26	2060726	S	2713	558	3271	0.00025
Neorhizobium_sp._NCHU2750	1825976	S	2209	511	2720	0.00021
Pseudorhizobium_flavum	1335061	S	1357	814	2171	0.00017
Pseudorhizobium_banfieldiae	1125847	S	1323	723	2046	0.00016
Sinorhizobium_meliloti	382	S	16247	12733	28980	0.00225
Sinorhizobium_fredii	380	S	8814	10981	19795	0.00154
Sinorhizobium_americanum	194963	S	3257	1175	4432	0.00034
Sinorhizobium_sp._BG8	2613773	S	2529	422	2951	0.00023
Sinorhizobium_sp._CCBAU_05631	794846	S	397	540	937	0.00007
Sinorhizobium_medicae	110321	S	2822	407	3229	0.00025
Ensifer_adhaerens	106592	S	8563	4429	12992	0.00101
Ensifer_mexicanus	375549	S	3787	572	4359	0.00034
Ensifer_sp._PDNC004	2811423	S	2362	972	3334	0.00026
Ensifer_sp._T173	555315	S	371	1509	1880	0.00015
Ensifer_alkalisoli	1752398	S	2659	511	3170	0.00025
Ensifer_sojae	716925	S	2542	902	3444	0.00027
Shinella_sp._HZN7	879274	S	3833	3292	7125	0.00055
Shinella_sp._PSBB067	2715959	S	3009	2254	5263	0.00041
Shinella_sp._XGS7	2877941	S	2429	2396	4825	0.00037
Shinella_sp._H4-D48	2925841	S	1415	550	1965	0.00015
Shinella_oryzae	2871820	S	3303	1427	4730	0.00037
Shinella_zoogloeoides	352475	S	3036	4297	7333	0.00057
Ciceribacter_thiooxidans	1969821	S	2411	480	2891	0.00022
Georhizobium_profundi	2341112	S	2176	476	2652	0.00021
Peteryoungia_desertarenae	1813451	S	857	153	1010	0.00008
Liberibacter_crescens	1273132	S	28	79	107	0.00001
Candidatus_Liberibacter_asiaticus	34021	S	16	23	39	0.00000
Candidatus_Liberibacter_solanacearum	556287	S	16	2	18	0.00000
Candidatus_Liberibacter_americanus	309868	S	14	2	16	0.00000
Mesorhizobium_sp._8	2584466	S	7904	1894	9798	0.00076
Mesorhizobium_sp._J8	2777475	S	7085	2290	9375	0.00073
Mesorhizobium_sp._B2-8-5	2589903	S	5046	1674	6720	0.00052
Mesorhizobium_sp._DCY119	2108445	S	4699	1097	5796	0.00045
Mesorhizobium_sp._Pch-S	2082387	S	4069	560	4629	0.00036
Mesorhizobium_sp._M1B.F.Ca.ET.045.04.1.1	2493673	S	3683	1417	5100	0.00040
Mesorhizobium_sp._M1E.F.Ca.ET.045.02.1.1	2493672	S	3561	1782	5343	0.00041
Mesorhizobium_sp._B2-1-1	2589974	S	3464	793	4257	0.00033
Mesorhizobium_sp._B1-1-8	2589976	S	3463	873	4336	0.00034
