name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	265296	37259	302555	0.02444
Rhodopseudomonas	1073	G	22427	6353	28780	0.00232
Nitrobacter	911	G	12470	1600	14070	0.00114
Tardiphaga	1395974	G	7774	1015	8789	0.00071
Afipia	1033	G	7076	2229	9305	0.00075
Variibacter	1649510	G	4508	342	4850	0.00039
Mesorhizobium	68287	G	167072	30517	197589	0.01596
Aquibium	2911176	G	10431	2512	12943	0.00105
Aminobacter	31988	G	7369	4648	12017	0.00097
Nitratireductor	245876	G	7317	1090	8407	0.00068
Phyllobacterium	28100	G	3802	380	4182	0.00034
Roseitalea	1915401	G	2909	490	3399	0.00027
Hoeflea	274591	G	2295	214	2509	0.00020
Oricola	1594166	G	2100	286	2386	0.00019
Salaquimonas	2712688	G	879	38	917	0.00007
Lentilitoribacter	1649463	G	63	1	64	0.00001
Rhizobium	379	G	83651	41531	125182	0.01011
Agrobacterium	357	G	15300	4973	20273	0.00164
Neorhizobium	1525371	G	8307	1851	10158	0.00082
Pseudorhizobium	1903858	G	2588	477	3065	0.00025
Sinorhizobium	28105	G	31420	18031	49451	0.00399
Ensifer	106591	G	17350	3072	20422	0.00165
Shinella	323620	G	13218	8692	21910	0.00177
Georhizobium	2661800	G	1950	410	2360	0.00019
Ciceribacter	1648508	G	1903	344	2247	0.00018
Peteryoungia	2853332	G	647	102	749	0.00006
Liberibacter	34019	G	119	65	184	0.00001
Methylobacterium	407	G	75278	13844	89122	0.00720
Microvirga	186650	G	44714	5251	49965	0.00404
Methylorubrum	2282523	G	15906	6730	22636	0.00183
Pseudolabrys	556257	G	25411	3861	29272	0.00236
Xanthobacter	279	G	10328	2368	12696	0.00103
Starkeya	152053	G	9758	2575	12333	0.00100
Ancylobacter	99	G	9557	3281	12838	0.00104
Labrys	204476	G	3898	404	4302	0.00035
Azorhizobium	6	G	3359	720	4079	0.00033
Rhodoplanes	29407	G	19047	1858	20905	0.00169
Hyphomicrobium	81	G	13795	845	14640	0.00118
