name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhizobium_sp._BG4	2613770	S	2083	247	2330	0.00042
Rhizobium_sp._WYJ-E13	2849093	S	1720	136	1856	0.00033
Rhizobium_sp._WL3	2603277	S	1633	212	1845	0.00033
Rhizobium_sp._SL42	2806346	S	1597	177	1774	0.00032
Rhizobium_sp._ACO-34A	1571470	S	1595	209	1804	0.00033
Rhizobium_sp._NXC24	2048897	S	1323	122	1445	0.00026
Rhizobium_sp._AB2/73	2795216	S	1047	497	1544	0.00028
Rhizobium_sp._11515TR	2028343	S	962	164	1126	0.00020
Rhizobium_sp._CIAT894	2020312	S	776	222	998	0.00018
Rhizobium_sp._NZLR1	2731096	S	773	171	944	0.00017
Rhizobium_sp._NXC14	1981173	S	697	189	886	0.00016
Rhizobium_sp._K102	2918527	S	613	272	885	0.00016
Rhizobium_sp._NLR16a	2731112	S	611	182	793	0.00014
Rhizobium_sp._C104	2917727	S	579	205	784	0.00014
Rhizobium_sp._L51/94	2819999	S	565	587	1152	0.00021
Rhizobium_sp._X9	2815360	S	508	759	1267	0.00023
Rhizobium_sp._007	2785056	S	230	254	484	0.00009
Rhizobium_sp._Kim5	2020311	S	229	345	574	0.00010
Rhizobium_sp._IE4771	1301032	S	200	276	476	0.00009
Rhizobium_sp._ZX09	2291939	S	183	536	719	0.00013
Rhizobium_sp._TAL182	2020313	S	143	275	418	0.00008
Rhizobium_sp._NIBRBAC000502774	2590777	S	73	343	416	0.00008
Rhizobium_sp._Y9	1914541	S	71	193	264	0.00005
Rhizobium_sp._T136	555319	S	61	1047	1108	0.00020
Rhizobium_sp._B230/85	2819994	S	49	443	492	0.00009
Rhizobium_sp._N324	1703969	S	39	661	700	0.00013
Rhizobium_sp._CCGE531	2364271	S	38	1120	1158	0.00021
Rhizobium_sp._CCGE532	2364272	S	19	1187	1206	0.00022
Rhizobium_sp._B21/90	2819993	S	12	355	367	0.00007
Rhizobium_leguminosarum	384	S	6279	11729	18008	0.00325
Rhizobium_etli	29449	S	2327	1650	3977	0.00072
Rhizobium_pseudoryzae	379684	S	2281	309	2590	0.00047
Rhizobium_jaguaris	1312183	S	1296	102	1398	0.00025
Rhizobium_gallicum	56730	S	1272	1039	2311	0.00042
Rhizobium_rosettiformans	1368430	S	1255	422	1677	0.00030
Rhizobium_phaseoli	396	S	1162	1554	2716	0.00049
Rhizobium_daejeonense	240521	S	1089	195	1284	0.00023
Rhizobium_rhizoryzae	451876	S	1084	89	1173	0.00021
Rhizobium_bangladeshense	1138189	S	1006	151	1157	0.00021
Rhizobium_lentis	1138194	S	938	182	1120	0.00020
Rhizobium_tropici	398	S	910	152	1062	0.00019
Rhizobium_binae	1138190	S	697	163	860	0.00016
Rhizobium_pusense	648995	S	607	1671	2278	0.00041
Rhizobium_indicum	2583231	S	448	250	698	0.00013
Rhizobium_acidisoli	1538158	S	402	209	611	0.00011
Rhizobium_oryzihabitans	2267833	S	319	317	636	0.00011
Rhizobium_laguerreae	1076926	S	184	200	384	0.00007
Rhizobium_hidalgonense	1538159	S	176	256	432	0.00008
Rhizobium_ruizarguesonis	2081791	S	140	653	793	0.00014
Rhizobium_favelukesii	348824	S	15	313	328	0.00006
Agrobacterium_tumefaciens	358	S	4341	3557	7898	0.00142
Agrobacterium_fabrum	1176649	S	450	513	963	0.00017
Agrobacterium_fabacearum	1183401	S	103	1311	1414	0.00026
Agrobacterium_vitis	373	S	2056	161	2217	0.00040
Agrobacterium_sp._T29	2580515	S	351	249	600	0.00011
Agrobacterium_sp._MA01	2664893	S	282	481	763	0.00014
Agrobacterium_sp._RAC06	1842536	S	258	450	708	0.00013
Agrobacterium_sp._CGMCC_11546	2579248	S	122	236	358	0.00006
Agrobacterium_sp._S7/73	2820002	S	63	340	403	0.00007
Agrobacterium_vaccinii	2735528	S	934	92	1026	0.00019
Agrobacterium_larrymoorei	160699	S	782	83	865	0.00016
Agrobacterium_salinitolerans	1183413	S	599	188	787	0.00014
Agrobacterium_rubi	28099	S	524	109	633	0.00011
Agrobacterium_rhizogenes	359	S	353	800	1153	0.00021
