name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces_sp._DSM_40868	2721173	S	19829	8462	28291	0.00214
Streptomyces_sp._CdTB01	1725411	S	10408	3541	13949	0.00106
Streptomyces_sp._SCSIO_64649	2878388	S	8150	1863	10013	0.00076
Streptomyces_sp._SN-593	659352	S	7582	2264	9846	0.00075
Streptomyces_sp._CB01881	2078691	S	7308	1753	9061	0.00069
Streptomyces_sp._A2-16	2781734	S	7295	2647	9942	0.00075
Streptomyces_sp._WAC_01438	2203204	S	7009	2823	9832	0.00074
Streptomyces_sp._So13.3	2136173	S	6666	1560	8226	0.00062
Streptomyces_sp._3214.6	1882757	S	6234	2153	8387	0.00063
Streptomyces_sp._MA3_2.13	2867410	S	6211	1010	7221	0.00055
Streptomyces_sp._ZYC-3	2797636	S	5948	1397	7345	0.00056
Streptomyces_sp._NHF165	2175864	S	5787	1252	7039	0.00053
Streptomyces_sp._AMCC400023	2056258	S	5683	2545	8228	0.00062
Streptomyces_sp._ST1015	1848900	S	5639	1423	7062	0.00053
Streptomyces_sp._NA02950	2742137	S	5511	1339	6850	0.00052
Streptomyces_sp._P3	2135430	S	5441	1621	7062	0.00053
Streptomyces_sp._SCUT-3	2684469	S	5225	2582	7807	0.00059
Streptomyces_sp._BH-MK-02	2880933	S	5221	1369	6590	0.00050
Streptomyces_sp._Z423-1	2730915	S	5088	1750	6838	0.00052
Streptomyces_sp._891-h	2720714	S	4784	1080	5864	0.00044
Streptomyces_sp._LRE541	2931983	S	4637	1254	5891	0.00045
Streptomyces_sp._3025	2923272	S	4622	1017	5639	0.00043
Streptomyces_sp._YIM_121038	2136401	S	4344	1501	5845	0.00044
Streptomyces_sp._MST-110588	2833628	S	4343	1304	5647	0.00043
Streptomyces_sp._BJ20	2930049	S	4322	2076	6398	0.00048
Streptomyces_sp._NEAU-sy36	2751189	S	4312	1896	6208	0.00047
Streptomyces_sp._SAT1	1849967	S	4289	1914	6203	0.00047
Streptomyces_sp._GMY02	1333528	S	4272	932	5204	0.00039
Streptomyces_sp._GQFP	2907545	S	4246	871	5117	0.00039
Streptomyces_sp._A144	2871487	S	3996	16974	20970	0.00159
Streptomyces_sp._HM190	2695266	S	3975	1500	5475	0.00041
Streptomyces_sp._NA04227	2742136	S	3973	1132	5105	0.00039
Streptomyces_sp._GS7	2692234	S	3932	1268	5200	0.00039
