name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	921952	93979	1015931	0.07282
Rhodopseudomonas	1073	G	31738	7479	39217	0.00281
Tardiphaga	1395974	G	11645	959	12604	0.00090
Afipia	1033	G	9073	3482	12555	0.00090
Nitrobacter	911	G	8292	784	9076	0.00065
Variibacter	1649510	G	7147	444	7591	0.00054
Rhizobium	379	G	124079	45414	169493	0.01215
Agrobacterium	357	G	18483	5549	24032	0.00172
Neorhizobium	1525371	G	11164	2060	13224	0.00095
Pseudorhizobium	1903858	G	2725	407	3132	0.00022
Sinorhizobium	28105	G	21891	8705	30596	0.00219
Ensifer	106591	G	19512	3152	22664	0.00162
Shinella	323620	G	15120	9185	24305	0.00174
Ciceribacter	1648508	G	2223	363	2586	0.00019
Georhizobium	2661800	G	1910	339	2249	0.00016
Peteryoungia	2853332	G	697	102	799	0.00006
Liberibacter	34019	G	91	92	183	0.00001
Mesorhizobium	68287	G	179848	31333	211181	0.01514
Aquibium	2911176	G	9219	1846	11065	0.00079
Aminobacter	31988	G	6933	3850	10783	0.00077
Nitratireductor	245876	G	6282	775	7057	0.00051
Phyllobacterium	28100	G	3831	319	4150	0.00030
Roseitalea	1915401	G	2779	390	3169	0.00023
Hoeflea	274591	G	2319	180	2499	0.00018
Oricola	1594166	G	2041	232	2273	0.00016
Salaquimonas	2712688	G	840	31	871	0.00006
Lentilitoribacter	1649463	G	71	1	72	0.00001
Methylobacterium	407	G	90619	14471	105090	0.00753
Microvirga	186650	G	45817	4602	50419	0.00361
Methylorubrum	2282523	G	18818	7251	26069	0.00187
Rhodoplanes	29407	G	68426	5479	73905	0.00530
Hyphomicrobium	81	G	14698	769	15467	0.00111
Methyloceanibacter	1484898	G	4687	272	4959	0.00036
Aquabacter	45402	G	3241	441	3682	0.00026
Methyloligella	1485594	G	2981	303	3284	0.00024
Rhodomicrobium	1068	G	2688	156	2844	0.00020
Caenibius	2827482	G	1867	759	2626	0.00019
Filomicrobium	119044	G	1104	26	1130	0.00008
Pseudolabrys	556257	G	34407	4284	38691	0.00277
Starkeya	152053	G	15192	3541	18733	0.00134
Xanthobacter	279	G	12606	2550	15156	0.00109
Ancylobacter	99	G	11262	3448	14710	0.00105
Labrys	204476	G	7573	662	8235	0.00059
Azorhizobium	6	G	4105	754	4859	0.00035
Bosea	85413	G	43483	5614	49097	0.00352
Devosia	46913	G	26126	1863	27989	0.00201
Youhaiella	1827478	G	2835	635	3470	0.00025
Paradevosia	1573407	G	2773	1000	3773	0.00027
Pelagibacterium	1082930	G	1361	138	1499	0.00011
Maritalea	623276	G	315	9	324	0.00002
Aureimonas	414371	G	15956	2801	18757	0.00134
Martelella	293088	G	8281	1300	9581	0.00069
Aurantimonas	182269	G	4253	1099	5352	0.00038
Nordella	169055	G	12154	566	12720	0.00091
Pseudorhodoplanes	1734920	G	9094	551	9645	0.00069
Terrihabitans	2874214	G	2456	232	2688	0.00019
Candidatus_Hodgkinia	573657	G	33	0	33	0.00000
Methylocystis	133	G	13857	1061	14918	0.00107
Methylosinus	425	G	6447	847	7294	0.00052
Phreatobacter	1632780	G	18269	2614	20883	0.00150
Stappia	152161	G	6743	1097	7840	0.00056
Roseibium	150830	G	3187	380	3567	0.00026
Pannonibacter	227873	G	3136	1883	5019	0.00036
Labrenzia	478070	G	2608	216	2824	0.00020
Pseudovibrio	258255	G	626	29	655	0.00005
Kaustia	2838250	G	5824	485	6309	0.00045
Parvibaculum	256616	G	2818	1777	4595	0.00033
Pyruvatibacter	1742974	G	1905	216	2121	0.00015
Candidatus_Phaeomarinobacter	1541445	G	726	34	760	0.00005
Blastochloris	59282	G	10642	2114	12756	0.00091
Methylocella	120652	G	4926	381	5307	0.00038
Methylovirgula	1156568	G	4082	287	4369	0.00031
Beijerinckia	532	G	1117	75	1192	0.00009
Chelatococcus	28209	G	10227	1921	12148	0.00087
Brucella	234	G	5593	2693	8286	0.00059
Pseudochrobactrum	354349	G	498	78	576	0.00004
Acuticoccus	1904377	G	5743	543	6286	0.00045
Kaistia	166953	G	5403	1120	6523	0.00047
Hartmannibacter	1572860	G	3558	530	4088	0.00029
Lichenihabitans	2723776	G	3517	144	3661	0.00026
Breoghania	1406135	G	3243	365	3608	0.00026
Cohaesibacter	655352	G	689	25	714	0.00005
Bartonella	773	G	662	38	700	0.00005
Sphingomonas	13687	G	378740	42856	421596	0.03022
Sphingobium	165695	G	64239	31556	95795	0.00687
Sphingopyxis	165697	G	45408	9009	54417	0.00390
Novosphingobium	165696	G	31813	10969	42782	0.00307
Rhizorhabdus	1649486	G	15748	7438	23186	0.00166
Sphingosinithalassobacter	2676233	G	6281	1494	7775	0.00056
Allosphingosinicella	2823232	G	6073	727	6800	0.00049
Parasphingopyxis	1234545	G	4054	193	4247	0.00030
Sphingorhabdus	1434046	G	3442	210	3652	0.00026
