name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces_sp._SCSIO_64649	2878388	S	9634	2267	11901	0.00078
Streptomyces_sp._CB01881	2078691	S	8772	2139	10911	0.00071
Streptomyces_sp._SN-593	659352	S	8306	2560	10866	0.00071
Streptomyces_sp._AMCC400023	2056258	S	8137	3780	11917	0.00078
Streptomyces_sp._So13.3	2136173	S	8125	1968	10093	0.00066
Streptomyces_sp._MA3_2.13	2867410	S	7958	1333	9291	0.00061
Streptomyces_sp._CdTB01	1725411	S	7901	2785	10686	0.00070
Streptomyces_sp._WAC_01438	2203204	S	7466	3115	10581	0.00069
Streptomyces_sp._ZYC-3	2797636	S	7347	1789	9136	0.00060
Streptomyces_sp._NHF165	2175864	S	6971	1557	8528	0.00056
Streptomyces_sp._Z423-1	2730915	S	6809	2423	9232	0.00060
Streptomyces_sp._P3	2135430	S	6565	2028	8593	0.00056
Streptomyces_sp._ST1015	1848900	S	6393	1674	8067	0.00053
Streptomyces_sp._SCUT-3	2684469	S	6391	3255	9646	0.00063
Streptomyces_sp._HM190	2695266	S	6386	2500	8886	0.00058
Streptomyces_sp._NA02950	2742137	S	6196	1559	7755	0.00051
Streptomyces_sp._BH-MK-02	2880933	S	5908	1608	7516	0.00049
Streptomyces_sp._3214.6	1882757	S	5769	2066	7835	0.00051
Streptomyces_sp._MG28	2865673	S	5598	2321	7919	0.00052
Streptomyces_sp._891-h	2720714	S	5521	1291	6812	0.00045
Streptomyces_sp._3025	2923272	S	5510	1253	6763	0.00044
Streptomyces_sp._LRE541	2931983	S	5343	1501	6844	0.00045
Streptomyces_sp._GQFP	2907545	S	5190	1104	6294	0.00041
Streptomyces_sp._DSM_40868	2721173	S	5154	2279	7433	0.00049
Streptomyces_sp._MST-110588	2833628	S	5071	1578	6649	0.00043
Streptomyces_sp._A2-16	2781734	S	4988	1871	6859	0.00045
Streptomyces_sp._YIM_121038	2136401	S	4959	1768	6727	0.00044
Streptomyces_sp._GMY02	1333528	S	4839	1094	5933	0.00039
