name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	1292905	253005	1545910	0.12540
Kitasatospora	2063	G	15227	4770	19997	0.00162
Streptacidiphilus	228398	G	12021	3105	15126	0.00123
Yinghuangia	2805681	G	4852	724	5576	0.00045
Microbacterium	33882	G	100709	17671	118380	0.00960
Agromyces	33877	G	29601	7295	36896	0.00299
Curtobacterium	2034	G	18386	3778	22164	0.00180
Rathayibacter	33886	G	16378	3848	20226	0.00164
Leucobacter	55968	G	13239	2285	15524	0.00126
Leifsonia	110932	G	13230	6147	19377	0.00157
Agrococcus	46352	G	12630	3501	16131	0.00131
Clavibacter	1573	G	12558	7781	20339	0.00165
Protaetiibacter	2680004	G	6410	1995	8405	0.00068
Salinibacterium	235888	G	4863	803	5666	0.00046
Cryobacterium	69578	G	4069	575	4644	0.00038
Frondihabitans	447237	G	3667	598	4265	0.00035
Microcella	337004	G	3077	1122	4199	0.00034
Plantibacter	190323	G	3073	404	3477	0.00028
Microterricola	518733	G	3022	763	3785	0.00031
Cnuibacter	1759331	G	2304	520	2824	0.00023
Gryllotalpicola	1195526	G	2271	446	2717	0.00022
Herbiconiux	881616	G	2151	445	2596	0.00021
Frigoribacterium	96492	G	2068	630	2698	0.00022
Mycetocola	76634	G	2005	238	2243	0.00018
Subtercola	120212	G	1791	143	1934	0.00016
Chryseoglobus	1331730	G	1781	382	2163	0.00018
Humibacter	427753	G	1778	411	2189	0.00018
Amnibacterium	1029631	G	1697	421	2118	0.00017
Gulosibacter	256818	G	1503	443	1946	0.00016
Marisediminicola	1230698	G	1468	185	1653	0.00013
Diaminobutyricimonas	1433997	G	1107	212	1319	0.00011
Glaciihabitans	1649454	G	958	78	1036	0.00008
Agreia	110934	G	932	113	1045	0.00008
Rhodoluna	529883	G	167	7	174	0.00001
Aquiluna	529881	G	161	6	167	0.00001
Pseudoclavibacter	255204	G	233	44	277	0.00002
Aurantimicrobium	1705353	G	148	6	154	0.00001
Pontimonas	1434032	G	100	4	104	0.00001
Arthrobacter	1663	G	51039	10717	61756	0.00501
Kocuria	57493	G	12601	3659	16260	0.00132
Pseudarthrobacter	1742993	G	9239	2833	12072	0.00098
Micrococcus	1269	G	5710	4020	9730	0.00079
Sinomonas	596707	G	5171	1330	6501	0.00053
Glutamicibacter	1742989	G	3690	1008	4698	0.00038
Paenarthrobacter	1742992	G	3604	1704	5308	0.00043
Rothia	32207	G	2478	1015	3493	0.00028
Citricoccus	169133	G	2178	575	2753	0.00022
Nesterenkonia	57494	G	705	43	748	0.00006
Paeniglutamicibacter	1742990	G	389	54	443	0.00004
Psychromicrobium	2078575	G	273	29	302	0.00002
Neomicrococcus	1868332	G	249	82	331	0.00003
Auritidibacter	1160973	G	176	18	194	0.00002
Renibacterium	1645	G	155	8	163	0.00001
Cellulomonas	1707	G	47748	17526	65274	0.00529
Actinotalea	458839	G	3041	1195	4236	0.00034
Oerskovia	162491	G	2406	836	3242	0.00026
Pseudactinotalea	1926259	G	2179	336	2515	0.00020
Paraoerskovia	665568	G	1674	467	2141	0.00017
Janibacter	53457	G	8827	2758	11585	0.00094
Phycicoccus	367298	G	7635	2331	9966	0.00081
Pedococcus	2805645	G	4663	1472	6135	0.00050
Tetrasphaera	99479	G	3745	1041	4786	0.00039
Intrasporangium	53357	G	3538	961	4499	0.00036
Arsenicicoccus	267408	G	2911	1189	4100	0.00033
Cellulosimicrobium	157920	G	16132	7429	23561	0.00191
Xylanimonas	186188	G	8076	2794	10870	0.00088
Isoptericola	254250	G	6092	3013	9105	0.00074
Ornithinimicrobium	125287	G	11324	2481	13805	0.00112
Serinicoccus	265976	G	8596	2449	11045	0.00090
Georgenia	154116	G	16611	5037	21648	0.00176
Brachybacterium	43668	G	14382	2437	16819	0.00136
Dermabacter	36739	G	1030	606	1636	0.00013
Devriesea	472568	G	262	14	276	0.00002
