name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	431226	56374	487600	0.02493
Rhodopseudomonas	1073	G	34841	11291	46132	0.00236
Tardiphaga	1395974	G	11872	1768	13640	0.00070
Afipia	1033	G	8162	4160	12322	0.00063
Nitrobacter	911	G	7909	1074	8983	0.00046
Variibacter	1649510	G	7548	602	8150	0.00042
Rhizobium	379	G	117244	83937	201181	0.01029
Agrobacterium	357	G	25152	8239	33391	0.00171
Neorhizobium	1525371	G	13277	3037	16314	0.00083
Pseudorhizobium	1903858	G	4602	867	5469	0.00028
Sinorhizobium	28105	G	49252	21192	70444	0.00360
Ensifer	106591	G	29068	5422	34490	0.00176
Shinella	323620	G	22612	15964	38576	0.00197
Georhizobium	2661800	G	3634	794	4428	0.00023
Ciceribacter	1648508	G	3601	687	4288	0.00022
Peteryoungia	2853332	G	1116	186	1302	0.00007
Liberibacter	34019	G	173	188	361	0.00002
Mesorhizobium	68287	G	207506	42509	250015	0.01278
Aquibium	2911176	G	18143	4628	22771	0.00116
Aminobacter	31988	G	12342	8059	20401	0.00104
Nitratireductor	245876	G	12144	1942	14086	0.00072
Phyllobacterium	28100	G	6023	639	6662	0.00034
Roseitalea	1915401	G	5117	908	6025	0.00031
Hoeflea	274591	G	3971	389	4360	0.00022
Oricola	1594166	G	3917	561	4478	0.00023
Salaquimonas	2712688	G	1638	75	1713	0.00009
Lentilitoribacter	1649463	G	75	1	76	0.00000
Methylobacterium	407	G	129310	24096	153406	0.00784
Microvirga	186650	G	61180	7546	68726	0.00351
Methylorubrum	2282523	G	26688	11280	37968	0.00194
Pseudolabrys	556257	G	26740	4226	30966	0.00158
Xanthobacter	279	G	18774	4456	23230	0.00119
Starkeya	152053	G	18329	5085	23414	0.00120
Ancylobacter	99	G	16924	5971	22895	0.00117
Labrys	204476	G	6320	683	7003	0.00036
Azorhizobium	6	G	5729	1273	7002	0.00036
Rhodoplanes	29407	G	32557	3349	35906	0.00184
Hyphomicrobium	81	G	16938	1238	18176	0.00093
Methyloceanibacter	1484898	G	8200	595	8795	0.00045
Methyloligella	1485594	G	5209	671	5880	0.00030
Aquabacter	45402	G	5174	904	6078	0.00031
Rhodomicrobium	1068	G	4035	291	4326	0.00022
Caenibius	2827482	G	2741	1171	3912	0.00020
Filomicrobium	119044	G	1801	55	1856	0.00009
Devosia	46913	G	41648	3420	45068	0.00230
Youhaiella	1827478	G	4859	1122	5981	0.00031
Paradevosia	1573407	G	4552	1771	6323	0.00032
Pelagibacterium	1082930	G	2354	337	2691	0.00014
Maritalea	623276	G	463	16	479	0.00002
Bosea	85413	G	53212	8521	61733	0.00316
Aureimonas	414371	G	27321	5824	33145	0.00169
Martelella	293088	G	13223	2697	15920	0.00081
Aurantimonas	182269	G	8469	2683	11152	0.00057
Nordella	169055	G	14556	842	15398	0.00079
Pseudorhodoplanes	1734920	G	12024	928	12952	0.00066
Terrihabitans	2874214	G	8570	1010	9580	0.00049
Candidatus_Hodgkinia	573657	G	93	1	94	0.00000
Methylocystis	133	G	20726	1882	22608	0.00116
Methylosinus	425	G	9746	1489	11235	0.00057
Stappia	152161	G	12899	2544	15443	0.00079
Roseibium	150830	G	5396	720	6116	0.00031
Pannonibacter	227873	G	5364	3952	9316	0.00048
Labrenzia	478070	G	4318	391	4709	0.00024
Pseudovibrio	258255	G	1006	55	1061	0.00005
