name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._200	2782665	S	10041	2422	12463	0.00064
Bradyrhizobium_sp._170	2782641	S	8729	2437	11166	0.00057
Bradyrhizobium_sp._CCBAU_51753	1325100	S	8709	2108	10817	0.00055
Bradyrhizobium_sp._CCBAU_051011	858422	S	8288	1760	10048	0.00051
Bradyrhizobium_sp._BTAi1	288000	S	7663	1557	9220	0.00047
Bradyrhizobium_sp._ORS_278	114615	S	7598	1923	9521	0.00049
Bradyrhizobium_sp._A19	2898149	S	7404	1437	8841	0.00045
Bradyrhizobium_sp._ORS_285	115808	S	7266	1813	9079	0.00046
Bradyrhizobium_sp._SK17	2057741	S	5992	2161	8153	0.00042
Bradyrhizobium_sp._186	2782654	S	5214	1522	6736	0.00034
Bradyrhizobium_sp._CCBAU_53421	1325120	S	4701	1615	6316	0.00032
Bradyrhizobium_sp._CCBAU_53338	1325111	S	3976	1790	5766	0.00029
Bradyrhizobium_sp._CCBAU_53340	1325112	S	3880	1657	5537	0.00028
Bradyrhizobium_sp._1(2017)	1404888	S	3842	1313	5155	0.00026
Bradyrhizobium_sp._195	2782662	S	3779	1474	5253	0.00027
Bradyrhizobium_sp._CCBAU_53351	1325114	S	3718	2060	5778	0.00030
Bradyrhizobium_sp._6(2017)	1197460	S	3488	1881	5369	0.00027
Bradyrhizobium_sp._S2-11-2	2840472	S	3362	2707	6069	0.00031
Bradyrhizobium_sp._CCGE-LA001	1223566	S	3061	1253	4314	0.00022
Bradyrhizobium_sp._41S5	1404443	S	2870	2134	5004	0.00026
Bradyrhizobium_sp._S2-20-1	2840469	S	2814	2403	5217	0.00027
Bradyrhizobium_sp._S2-11-4	2840473	S	2650	2486	5136	0.00026
Bradyrhizobium_sp._I71	2590772	S	2606	2404	5010	0.00026
Bradyrhizobium_sp._191	2782659	S	2508	2611	5119	0.00026
Bradyrhizobium_sp._CCBAU_51765	1325102	S	2491	2404	4895	0.00025
Bradyrhizobium_sp._C-145	574727	S	1777	1934	3711	0.00019
Bradyrhizobium_sp.	376	S	1301	4676	5977	0.00031
Bradyrhizobium_sp._40	2782674	S	1044	2459	3503	0.00018
Bradyrhizobium_sp._144S4	2823807	S	1023	2731	3754	0.00019
Bradyrhizobium_sp._4	2782678	S	1006	2653	3659	0.00019
Bradyrhizobium_sp._323S2	1404649	S	880	2401	3281	0.00017
Bradyrhizobium_sp._192	2782660	S	811	2131	2942	0.00015
Bradyrhizobium_sp._LCT2	2493093	S	601	1845	2446	0.00013
Bradyrhizobium_sp._187	2782655	S	388	2007	2395	0.00012
Bradyrhizobium_sp._TM102	2599819	S	339	2495	2834	0.00014
Bradyrhizobium_sp._SG09	2599805	S	335	2585	2920	0.00015
Bradyrhizobium_sp._1S5	2816456	S	224	2614	2838	0.00015
Bradyrhizobium_sp._38S5	2819348	S	215	2726	2941	0.00015
Bradyrhizobium_sp._172	2782643	S	207	2615	2822	0.00014
Bradyrhizobium_sp._CW1	2782686	S	205	3290	3495	0.00018
Bradyrhizobium_sp._131	2782609	S	154	2610	2764	0.00014
Bradyrhizobium_sp._155	2782629	S	86	1608	1694	0.00009
Bradyrhizobium_sp._CCBAU_21365	1325083	S	17	906	923	0.00005
Bradyrhizobium_erythrophlei	1437360	S	23094	2151	25245	0.00129
Bradyrhizobium_diazoefficiens	1355477	S	17670	37756	55426	0.00283
Bradyrhizobium_icense	1274631	S	9813	1592	11405	0.00058
Bradyrhizobium_paxllaeri	190148	S	8356	1759	10115	0.00052
Bradyrhizobium_lablabi	722472	S	7865	10063	17928	0.00092
Bradyrhizobium_oligotrophicum	44255	S	6702	1332	8034	0.00041
Bradyrhizobium_genosp._L	83637	S	6622	1512	8134	0.00042
Bradyrhizobium_japonicum	375	S	6524	10461	16985	0.00087
Bradyrhizobium_canariense	255045	S	6450	11159	17609	0.00090
Bradyrhizobium_arachidis	858423	S	5201	1664	6865	0.00035
