name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	392487	56859	449346	0.03582
Rhodopseudomonas	1073	G	28874	9009	37883	0.00302
Tardiphaga	1395974	G	9539	1165	10704	0.00085
Nitrobacter	911	G	7217	963	8180	0.00065
Afipia	1033	G	7020	3061	10081	0.00080
Variibacter	1649510	G	6592	564	7156	0.00057
Rhizobium	379	G	83242	20229	103471	0.00825
Agrobacterium	357	G	16887	6357	23244	0.00185
Neorhizobium	1525371	G	10994	2940	13934	0.00111
Pseudorhizobium	1903858	G	3023	652	3675	0.00029
Sinorhizobium	28105	G	24266	14509	38775	0.00309
Ensifer	106591	G	18611	3982	22593	0.00180
Shinella	323620	G	14053	11276	25329	0.00202
Ciceribacter	1648508	G	2283	515	2798	0.00022
Georhizobium	2661800	G	2075	506	2581	0.00021
Peteryoungia	2853332	G	747	151	898	0.00007
Liberibacter	34019	G	124	67	191	0.00002
Mesorhizobium	68287	G	125842	26945	152787	0.01218
Aquibium	2911176	G	9693	2627	12320	0.00098
Aminobacter	31988	G	6771	4751	11522	0.00092
Nitratireductor	245876	G	6423	1081	7504	0.00060
Phyllobacterium	28100	G	4021	459	4480	0.00036
Roseitalea	1915401	G	3068	582	3650	0.00029
Hoeflea	274591	G	2416	257	2673	0.00021
Oricola	1594166	G	2386	367	2753	0.00022
Salaquimonas	2712688	G	991	49	1040	0.00008
Lentilitoribacter	1649463	G	59	1	60	0.00000
Methylobacterium	407	G	83469	16710	100179	0.00799
Microvirga	186650	G	31136	4341	35477	0.00283
Methylorubrum	2282523	G	17315	7825	25140	0.00200
Pseudolabrys	556257	G	49072	8704	57776	0.00461
Xanthobacter	279	G	12117	3103	15220	0.00121
Starkeya	152053	G	11573	3459	15032	0.00120
Ancylobacter	99	G	11103	4253	15356	0.00122
Labrys	204476	G	4247	504	4751	0.00038
Azorhizobium	6	G	3903	950	4853	0.00039
Rhodoplanes	29407	G	41052	4612	45664	0.00364
Hyphomicrobium	81	G	12861	988	13849	0.00110
Methyloceanibacter	1484898	G	6281	467	6748	0.00054
Methyloligella	1485594	G	3744	508	4252	0.00034
Aquabacter	45402	G	3421	657	4078	0.00033
Rhodomicrobium	1068	G	2778	212	2990	0.00024
Caenibius	2827482	G	2056	916	2972	0.00024
Filomicrobium	119044	G	1248	38	1286	0.00010
Bosea	85413	G	34565	6087	40652	0.00324
Devosia	46913	G	23776	2156	25932	0.00207
Youhaiella	1827478	G	2819	707	3526	0.00028
Paradevosia	1573407	G	2787	1161	3948	0.00031
Pelagibacterium	1082930	G	1514	259	1773	0.00014
Maritalea	623276	G	297	11	308	0.00002
Aureimonas	414371	G	16656	3832	20488	0.00163
Martelella	293088	G	8427	1684	10111	0.00081
Aurantimonas	182269	G	4682	1612	6294	0.00050
Methylocystis	133	G	14580	1438	16018	0.00128
Methylosinus	425	G	6767	1110	7877	0.00063
Nordella	169055	G	9845	622	10467	0.00083
Pseudorhodoplanes	1734920	G	8642	734	9376	0.00075
Terrihabitans	2874214	G	3066	394	3460	0.00028
Candidatus_Hodgkinia	573657	G	32	0	32	0.00000
Stappia	152161	G	7082	1517	8599	0.00069
Roseibium	150830	G	3538	497	4035	0.00032
Pannonibacter	227873	G	3241	2541	5782	0.00046
Labrenzia	478070	G	2723	266	2989	0.00024
Pseudovibrio	258255	G	660	37	697	0.00006
Phreatobacter	1632780	G	17017	3354	20371	0.00162
Kaustia	2838250	G	6925	773	7698	0.00061
Parvibaculum	256616	G	3222	2571	5793	0.00046
Pyruvatibacter	1742974	G	2108	289	2397	0.00019
Candidatus_Phaeomarinobacter	1541445	G	773	42	815	0.00007
Methylocella	120652	G	5117	518	5635	0.00045
Methylovirgula	1156568	G	4186	390	4576	0.00036
Beijerinckia	532	G	1165	96	1261	0.00010
Chelatococcus	28209	G	10467	2691	13158	0.00105
Blastochloris	59282	G	10391	2817	13208	0.00105
Acuticoccus	1904377	G	6073	757	6830	0.00054
Kaistia	166953	G	5835	1664	7499	0.00060
Brucella	234	G	5174	11465	16639	0.00133
Pseudochrobactrum	354349	G	475	90	565	0.00005
Hartmannibacter	1572860	G	3911	806	4717	0.00038
Breoghania	1406135	G	3719	563	4282	0.00034
Lichenihabitans	2723776	G	3452	190	3642	0.00029
Cohaesibacter	655352	G	712	32	744	0.00006
Bartonella	773	G	700	48	748	0.00006
Sphingomonas	13687	G	379627	50877	430504	0.03432
Sphingobium	165695	G	50589	26605	77194	0.00615
Sphingopyxis	165697	G	47056	10655	57711	0.00460
Novosphingobium	165696	G	33137	12944	46081	0.00367
Rhizorhabdus	1649486	G	15534	8201	23735	0.00189
Allosphingosinicella	2823232	G	8206	1130	9336	0.00074
Sphingosinithalassobacter	2676233	G	6870	1772	8642	0.00069
Parasphingopyxis	1234545	G	4706	259	4965	0.00040
Sphingorhabdus	1434046	G	3856	278	4134	0.00033
Blastomonas	150203	G	3291	641	3932	0.00031
Hankyongella	1763827	G	2737	584	3321	0.00026
Tardibacter	2685927	G	2401	2089	4490	0.00036
Citromicrobium	72173	G	1860	921	2781	0.00022
Novosphingopyxis	2709686	G	1696	1018	2714	0.00022
Parasphingorhabdus	2709685	G	1126	39	1165	0.00009
Aquisediminimonas	2676781	G	1108	48	1156	0.00009
Erythrobacter	1041	G	22726	6285	29011	0.00231
Porphyrobacter	1111	G	6778	2013	8791	0.00070
Qipengyuania	1855416	G	14438	4106	18544	0.00148
