name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._200	2782665	S	3894	981	4875	0.00106
Bradyrhizobium_sp._170	2782641	S	3466	1009	4475	0.00097
Bradyrhizobium_sp._CCBAU_051011	858422	S	3397	747	4144	0.00090
Bradyrhizobium_sp._CCBAU_51753	1325100	S	2641	666	3307	0.00072
Bradyrhizobium_sp._BTAi1	288000	S	2147	457	2604	0.00057
Bradyrhizobium_sp._ORS_285	115808	S	2140	559	2699	0.00059
Bradyrhizobium_sp._ORS_278	114615	S	2124	564	2688	0.00058
Bradyrhizobium_sp._A19	2898149	S	2072	421	2493	0.00054
Bradyrhizobium_sp._SK17	2057741	S	1815	686	2501	0.00054
Bradyrhizobium_sp._186	2782654	S	1487	452	1939	0.00042
Bradyrhizobium_sp._CCBAU_53421	1325120	S	1446	515	1961	0.00043
Bradyrhizobium_sp._CCBAU_53338	1325111	S	1237	572	1809	0.00039
Bradyrhizobium_sp._1(2017)	1404888	S	1123	398	1521	0.00033
Bradyrhizobium_sp._CCBAU_53340	1325112	S	1100	483	1583	0.00034
Bradyrhizobium_sp._195	2782662	S	1083	438	1521	0.00033
Bradyrhizobium_sp._CCBAU_53351	1325114	S	1080	615	1695	0.00037
Bradyrhizobium_sp._S2-11-2	2840472	S	1017	859	1876	0.00041
Bradyrhizobium_sp._6(2017)	1197460	S	983	544	1527	0.00033
Bradyrhizobium_sp._CCGE-LA001	1223566	S	895	378	1273	0.00028
Bradyrhizobium_sp._41S5	1404443	S	872	666	1538	0.00033
Bradyrhizobium_sp._S2-20-1	2840469	S	854	765	1619	0.00035
Bradyrhizobium_sp._S2-11-4	2840473	S	845	832	1677	0.00036
Bradyrhizobium_sp._CCBAU_51765	1325102	S	773	778	1551	0.00034
Bradyrhizobium_sp._I71	2590772	S	734	708	1442	0.00031
Bradyrhizobium_sp._191	2782659	S	718	782	1500	0.00033
Bradyrhizobium_sp._C-145	574727	S	489	543	1032	0.00022
Bradyrhizobium_sp.	376	S	407	1491	1898	0.00041
Bradyrhizobium_sp._4	2782678	S	299	824	1123	0.00024
Bradyrhizobium_sp._40	2782674	S	290	713	1003	0.00022
Bradyrhizobium_sp._144S4	2823807	S	281	769	1050	0.00023
Bradyrhizobium_sp._323S2	1404649	S	267	746	1013	0.00022
Bradyrhizobium_sp._192	2782660	S	227	610	837	0.00018
Bradyrhizobium_sp._LCT2	2493093	S	169	528	697	0.00015
Bradyrhizobium_sp._SG09	2599805	S	98	774	872	0.00019
Bradyrhizobium_sp._187	2782655	S	95	507	602	0.00013
Bradyrhizobium_sp._TM102	2599819	S	93	702	795	0.00017
Bradyrhizobium_sp._CW1	2782686	S	68	1130	1198	0.00026
Bradyrhizobium_sp._1S5	2816456	S	52	629	681	0.00015
Bradyrhizobium_sp._131	2782609	S	51	894	945	0.00021
Bradyrhizobium_sp._172	2782643	S	50	653	703	0.00015
Bradyrhizobium_sp._38S5	2819348	S	50	656	706	0.00015
Bradyrhizobium_sp._155	2782629	S	20	387	407	0.00009
Bradyrhizobium_erythrophlei	1437360	S	6708	651	7359	0.00160
Bradyrhizobium_diazoefficiens	1355477	S	5171	9452	14623	0.00317
Bradyrhizobium_icense	1274631	S	3432	577	4009	0.00087
Bradyrhizobium_paxllaeri	190148	S	3045	661	3706	0.00080
Bradyrhizobium_lablabi	722472	S	2237	2917	5154	0.00112
Bradyrhizobium_genosp._L	83637	S	2012	477	2489	0.00054
Bradyrhizobium_canariense	255045	S	1992	3505	5497	0.00119
Bradyrhizobium_oligotrophicum	44255	S	1897	393	2290	0.00050
Bradyrhizobium_japonicum	375	S	1796	3043	4839	0.00105
Bradyrhizobium_arachidis	858423	S	1428	469	1897	0.00041
Bradyrhizobium_guangdongense	1325090	S	1395	589	1984	0.00043
Bradyrhizobium_vignae	1549949	S	1240	338	1578	0.00034
Bradyrhizobium_cosmicum	1404864	S	1191	445	1636	0.00036
Bradyrhizobium_quebecense	2748629	S	1150	739	1889	0.00041
Bradyrhizobium_genosp._B	83627	S	1140	283	1423	0.00031
Bradyrhizobium_guangzhouense	1325095	S	1137	492	1629	0.00035
Bradyrhizobium_septentrionale	1404411	S	1052	728	1780	0.00039
Bradyrhizobium_guangxiense	1325115	S	1027	508	1535	0.00033
Bradyrhizobium_daqingense	993502	S	823	506	1329	0.00029
Bradyrhizobium_amphicarpaeae	1404768	S	758	360	1118	0.00024
Bradyrhizobium_betae	244734	S	735	479	1214	0.00026
Bradyrhizobium_symbiodeficiens	1404367	S	612	1030	1642	0.00036
Bradyrhizobium_zhanjiangense	1325107	S	476	533	1009	0.00022
Bradyrhizobium_elkanii	29448	S	351	1331	1682	0.00037
Bradyrhizobium_ottawaense	931866	S	265	1847	2112	0.00046
Rhodopseudomonas_palustris	1076	S	7312	2772	10084	0.00219
Rhodopseudomonas_boonkerdii	475937	S	985	298	1283	0.00028
Rhodopseudomonas_sp._SK50-23	340268	S	963	223	1186	0.00026
Tardiphaga_sp._37S4	1404741	S	530	428	958	0.00021
Tardiphaga_sp._vice154	2592814	S	39	615	654	0.00014
Tardiphaga_sp._vice278	2592815	S	29	718	747	0.00016
Tardiphaga_sp._vice304	2592817	S	20	386	406	0.00009
Tardiphaga_robiniae	943830	S	519	373	892	0.00019
Afipia_carboxidovorans	40137	S	1384	607	1991	0.00043
Afipia_sp._GAS231	1882747	S	903	750	1653	0.00036
Nitrobacter_hamburgensis	912	S	1180	240	1420	0.00031
Nitrobacter_winogradskyi	913	S	965	195	1160	0.00025
Variibacter_gotjawalensis	1333996	S	2226	213	2439	0.00053
Rhizobium_sp._BG4	2613770	S	830	187	1017	0.00022
Rhizobium_sp._WYJ-E13	2849093	S	723	107	830	0.00018
Rhizobium_sp._NXC24	2048897	S	660	111	771	0.00017
Rhizobium_sp._ACO-34A	1571470	S	550	137	687	0.00015
Rhizobium_sp._SL42	2806346	S	531	113	644	0.00014
Rhizobium_sp._WL3	2603277	S	498	112	610	0.00013
Rhizobium_sp._11515TR	2028343	S	480	121	601	0.00013
Rhizobium_sp._AB2/73	2795216	S	463	276	739	0.00016
Rhizobium_sp._NXC14	1981173	S	382	173	555	0.00012
Rhizobium_sp._NLR16a	2731112	S	354	172	526	0.00011
Rhizobium_sp._CIAT894	2020312	S	346	169	515	0.00011
Rhizobium_sp._NZLR1	2731096	S	336	129	465	0.00010
Rhizobium_sp._C104	2917727	S	316	190	506	0.00011
Rhizobium_sp._K102	2918527	S	287	215	502	0.00011
Rhizobium_sp._L51/94	2819999	S	249	306	555	0.00012
Rhizobium_sp._X9	2815360	S	145	355	500	0.00011
Rhizobium_sp._007	2785056	S	117	233	350	0.00008
Rhizobium_sp._Kim5	2020311	S	114	271	385	0.00008
Rhizobium_sp._TAL182	2020313	S	100	312	412	0.00009
Rhizobium_sp._IE4771	1301032	S	96	210	306	0.00007
Rhizobium_sp._NIBRBAC000502774	2590777	S	45	229	274	0.00006
Rhizobium_sp._ZX09	2291939	S	33	163	196	0.00004
Rhizobium_sp._Y9	1914541	S	28	120	148	0.00003
Rhizobium_sp._N324	1703969	S	21	426	447	0.00010
Rhizobium_sp._CCGE531	2364271	S	19	646	665	0.00014
Rhizobium_sp._B230/85	2819994	S	18	184	202	0.00004
Rhizobium_sp._B21/90	2819993	S	13	433	446	0.00010
Rhizobium_leguminosarum	384	S	3398	5136	8534	0.00185
Rhizobium_etli	29449	S	1013	1396	2409	0.00052
Rhizobium_jaguaris	1312183	S	759	113	872	0.00019
Rhizobium_pseudoryzae	379684	S	715	180	895	0.00019
Rhizobium_gallicum	56730	S	634	939	1573	0.00034
Rhizobium_phaseoli	396	S	575	1326	1901	0.00041
Rhizobium_bangladeshense	1138189	S	516	144	660	0.00014
Rhizobium_lentis	1138194	S	469	169	638	0.00014
Rhizobium_tropici	398	S	409	125	534	0.00012
Rhizobium_binae	1138190	S	366	157	523	0.00011
Rhizobium_daejeonense	240521	S	363	138	501	0.00011
Rhizobium_rosettiformans	1368430	S	343	187	530	0.00012
