name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._200	2782665	S	5860	1380	7240	0.00060
Bradyrhizobium_sp._170	2782641	S	5208	1418	6626	0.00055
Bradyrhizobium_sp._CCBAU_051011	858422	S	4970	1026	5996	0.00050
Bradyrhizobium_sp._CCBAU_51753	1325100	S	4703	1089	5792	0.00048
Bradyrhizobium_sp._A19	2898149	S	3995	734	4729	0.00040
Bradyrhizobium_sp._ORS_278	114615	S	3959	951	4910	0.00041
Bradyrhizobium_sp._BTAi1	288000	S	3955	762	4717	0.00039
Bradyrhizobium_sp._ORS_285	115808	S	3904	927	4831	0.00040
Bradyrhizobium_sp._SK17	2057741	S	3117	1095	4212	0.00035
Bradyrhizobium_sp._186	2782654	S	2822	806	3628	0.00030
Bradyrhizobium_sp._CCBAU_53421	1325120	S	2611	874	3485	0.00029
Bradyrhizobium_sp._CCBAU_53338	1325111	S	2293	1021	3314	0.00028
Bradyrhizobium_sp._1(2017)	1404888	S	2242	748	2990	0.00025
Bradyrhizobium_sp._CCBAU_53340	1325112	S	2220	938	3158	0.00026
Bradyrhizobium_sp._195	2782662	S	2206	845	3051	0.00025
Bradyrhizobium_sp._CCBAU_53351	1325114	S	2099	1151	3250	0.00027
Bradyrhizobium_sp._6(2017)	1197460	S	1928	1030	2958	0.00025
Bradyrhizobium_sp._CCGE-LA001	1223566	S	1881	758	2639	0.00022
Bradyrhizobium_sp._S2-11-2	2840472	S	1593	1272	2865	0.00024
Bradyrhizobium_sp._CCBAU_51765	1325102	S	1520	1463	2983	0.00025
Bradyrhizobium_sp._S2-20-1	2840469	S	1495	1269	2764	0.00023
Bradyrhizobium_sp._I71	2590772	S	1493	1370	2863	0.00024
Bradyrhizobium_sp._41S5	1404443	S	1487	1098	2585	0.00022
Bradyrhizobium_sp._191	2782659	S	1486	1536	3022	0.00025
Bradyrhizobium_sp._S2-11-4	2840473	S	1392	1299	2691	0.00022
Bradyrhizobium_sp._C-145	574727	S	981	1073	2054	0.00017
Bradyrhizobium_sp.	376	S	803	2917	3720	0.00031
Bradyrhizobium_sp._4	2782678	S	571	1514	2085	0.00017
Bradyrhizobium_sp._144S4	2823807	S	568	1529	2097	0.00018
Bradyrhizobium_sp._40	2782674	S	566	1340	1906	0.00016
Bradyrhizobium_sp._323S2	1404649	S	519	1428	1947	0.00016
Bradyrhizobium_sp._192	2782660	S	438	1159	1597	0.00013
Bradyrhizobium_sp._LCT2	2493093	S	327	1012	1339	0.00011
Bradyrhizobium_sp._187	2782655	S	200	1045	1245	0.00010
Bradyrhizobium_sp._TM102	2599819	S	185	1374	1559	0.00013
Bradyrhizobium_sp._SG09	2599805	S	183	1426	1609	0.00013
Bradyrhizobium_sp._CW1	2782686	S	116	1881	1997	0.00017
Bradyrhizobium_sp._1S5	2816456	S	107	1260	1367	0.00011
Bradyrhizobium_sp._172	2782643	S	100	1276	1376	0.00011
Bradyrhizobium_sp._38S5	2819348	S	98	1254	1352	0.00011
Bradyrhizobium_sp._131	2782609	S	62	1062	1124	0.00009
Bradyrhizobium_sp._155	2782629	S	55	1038	1093	0.00009
Bradyrhizobium_sp._CCBAU_21365	1325083	S	15	809	824	0.00007
Bradyrhizobium_erythrophlei	1437360	S	12341	1085	13426	0.00112
Bradyrhizobium_diazoefficiens	1355477	S	9660	15929	25589	0.00214
Bradyrhizobium_icense	1274631	S	4963	765	5728	0.00048
Bradyrhizobium_paxllaeri	190148	S	4711	961	5672	0.00047
Bradyrhizobium_lablabi	722472	S	4130	5310	9440	0.00079
Bradyrhizobium_japonicum	375	S	3744	5944	9688	0.00081
Bradyrhizobium_oligotrophicum	44255	S	3688	691	4379	0.00037
Bradyrhizobium_canariense	255045	S	3542	6193	9735	0.00081
Bradyrhizobium_genosp._L	83637	S	3522	766	4288	0.00036
Bradyrhizobium_arachidis	858423	S	2928	919	3847	0.00032
Bradyrhizobium_guangdongense	1325090	S	2624	1063	3687	0.00031
Bradyrhizobium_vignae	1549949	S	2477	635	3112	0.00026
Bradyrhizobium_genosp._B	83627	S	2298	533	2831	0.00024
Bradyrhizobium_quebecense	2748629	S	2242	1396	3638	0.00030
Bradyrhizobium_cosmicum	1404864	S	2222	789	3011	0.00025
Bradyrhizobium_guangzhouense	1325095	S	2125	887	3012	0.00025
Bradyrhizobium_guangxiense	1325115	S	2112	1008	3120	0.00026
Bradyrhizobium_septentrionale	1404411	S	1803	1212	3015	0.00025
Bradyrhizobium_daqingense	993502	S	1648	980	2628	0.00022
Bradyrhizobium_betae	244734	S	1516	936	2452	0.00020
Bradyrhizobium_amphicarpaeae	1404768	S	1393	634	2027	0.00017
Bradyrhizobium_symbiodeficiens	1404367	S	1282	2129	3411	0.00029
Bradyrhizobium_zhanjiangense	1325107	S	942	1042	1984	0.00017
Bradyrhizobium_elkanii	29448	S	586	2589	3175	0.00027
Bradyrhizobium_ottawaense	931866	S	453	3132	3585	0.00030
Rhodopseudomonas_palustris	1076	S	14060	4975	19035	0.00159
Rhodopseudomonas_sp._SK50-23	340268	S	1941	412	2353	0.00020
Rhodopseudomonas_boonkerdii	475937	S	1906	534	2440	0.00020
Tardiphaga_sp._37S4	1404741	S	1031	744	1775	0.00015
Tardiphaga_sp._vice154	2592814	S	86	1501	1587	0.00013
Tardiphaga_sp._vice278	2592815	S	38	1043	1081	0.00009
Tardiphaga_sp._vice304	2592817	S	28	599	627	0.00005
Tardiphaga_robiniae	943830	S	1115	717	1832	0.00015
Nitrobacter_hamburgensis	912	S	2423	446	2869	0.00024
Nitrobacter_winogradskyi	913	S	1757	322	2079	0.00017
Afipia_carboxidovorans	40137	S	2508	651	3159	0.00026
Afipia_sp._GAS231	1882747	S	1787	1411	3198	0.00027
Variibacter_gotjawalensis	1333996	S	3838	321	4159	0.00035
Rhizobium_sp._WYJ-E13	2849093	S	2340	303	2643	0.00022
Rhizobium_sp._BG4	2613770	S	1883	366	2249	0.00019
Rhizobium_sp._NXC24	2048897	S	1484	217	1701	0.00014
Rhizobium_sp._WL3	2603277	S	1341	261	1602	0.00013
Rhizobium_sp._ACO-34A	1571470	S	1322	287	1609	0.00013
Rhizobium_sp._AB2/73	2795216	S	1110	587	1697	0.00014
Rhizobium_sp._SL42	2806346	S	1109	202	1311	0.00011
Rhizobium_sp._11515TR	2028343	S	988	219	1207	0.00010
Rhizobium_sp._NXC14	1981173	S	873	354	1227	0.00010
Rhizobium_sp._NZLR1	2731096	S	850	293	1143	0.00010
Rhizobium_sp._CIAT894	2020312	S	810	354	1164	0.00010
Rhizobium_sp._C104	2917727	S	702	380	1082	0.00009
Rhizobium_sp._NLR16a	2731112	S	689	302	991	0.00008
Rhizobium_sp._K102	2918527	S	602	407	1009	0.00008
Rhizobium_sp._L51/94	2819999	S	543	584	1127	0.00009
Rhizobium_sp._007	2785056	S	405	740	1145	0.00010
Rhizobium_sp._X9	2815360	S	341	744	1085	0.00009
Rhizobium_sp._Kim5	2020311	S	250	540	790	0.00007
Rhizobium_sp._IE4771	1301032	S	208	413	621	0.00005
Rhizobium_sp._TAL182	2020313	S	185	526	711	0.00006
Rhizobium_sp._NIBRBAC000502774	2590777	S	110	497	607	0.00005
Rhizobium_sp._ZX09	2291939	S	96	423	519	0.00004
Rhizobium_sp._Y9	1914541	S	88	345	433	0.00004
Rhizobium_sp._B230/85	2819994	S	59	531	590	0.00005
Rhizobium_sp._CCGE531	2364271	S	49	1469	1518	0.00013
Rhizobium_sp._N324	1703969	S	38	682	720	0.00006
Rhizobium_sp._T136	555319	S	20	580	600	0.00005
Rhizobium_sp._B21/90	2819993	S	16	469	485	0.00004
Rhizobium_sp._CCGE532	2364272	S	14	887	901	0.00008
Rhizobium_leguminosarum	384	S	7880	10641	18521	0.00155
Rhizobium_etli	29449	S	2307	2884	5191	0.00043
Rhizobium_pseudoryzae	379684	S	1666	364	2030	0.00017
Rhizobium_jaguaris	1312183	S	1647	214	1861	0.00016
Rhizobium_gallicum	56730	S	1420	1898	3318	0.00028
Rhizobium_phaseoli	396	S	1286	2711	3997	0.00033
Rhizobium_bangladeshense	1138189	S	1218	304	1522	0.00013
Rhizobium_rosettiformans	1368430	S	1048	494	1542	0.00013
Rhizobium_lentis	1138194	S	981	316	1297	0.00011
Rhizobium_tropici	398	S	978	268	1246	0.00010
Rhizobium_binae	1138190	S	854	330	1184	0.00010
Rhizobium_daejeonense	240521	S	806	271	1077	0.00009
Rhizobium_rhizoryzae	451876	S	752	103	855	0.00007
Rhizobium_pusense	648995	S	561	2283	2844	0.00024
Rhizobium_indicum	2583231	S	550	506	1056	0.00009
Rhizobium_acidisoli	1538158	S	440	378	818	0.00007
Rhizobium_oryzihabitans	2267833	S	283	395	678	0.00006
Rhizobium_hidalgonense	1538159	S	179	430	609	0.00005
Rhizobium_laguerreae	1076926	S	175	314	489	0.00004
Rhizobium_ruizarguesonis	2081791	S	136	1047	1183	0.00010
Rhizobium_favelukesii	348824	S	30	1052	1082	0.00009
Agrobacterium_tumefaciens	358	S	4154	3894	8048	0.00067
Agrobacterium_fabrum	1176649	S	472	588	1060	0.00009
Agrobacterium_fabacearum	1183401	S	68	934	1002	0.00008
Agrobacterium_vitis	373	S	2055	261	2316	0.00019
Agrobacterium_sp._T29	2580515	S	326	248	574	0.00005
Agrobacterium_sp._MA01	2664893	S	278	550	828	0.00007
Agrobacterium_sp._RAC06	1842536	S	267	539	806	0.00007
Agrobacterium_sp._CGMCC_11546	2579248	S	111	218	329	0.00003
Agrobacterium_sp._S7/73	2820002	S	59	312	371	0.00003
Agrobacterium_vaccinii	2735528	S	877	121	998	0.00008
