name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	104524	13256	117780	0.04176
Rhodopseudomonas	1073	G	5804	1790	7594	0.00269
Nitrobacter	911	G	2503	306	2809	0.00100
Tardiphaga	1395974	G	2053	256	2309	0.00082
Afipia	1033	G	1540	497	2037	0.00072
Variibacter	1649510	G	1447	108	1555	0.00055
Rhizobium	379	G	21654	5797	27451	0.00973
Agrobacterium	357	G	4328	1590	5918	0.00210
Neorhizobium	1525371	G	2345	541	2886	0.00102
Pseudorhizobium	1903858	G	850	155	1005	0.00036
Sinorhizobium	28105	G	9352	6106	15458	0.00548
Ensifer	106591	G	4630	825	5455	0.00193
Shinella	323620	G	3495	2334	5829	0.00207
Georhizobium	2661800	G	642	136	778	0.00028
Ciceribacter	1648508	G	489	89	578	0.00021
Peteryoungia	2853332	G	176	28	204	0.00007
Liberibacter	34019	G	24	2	26	0.00001
Mesorhizobium	68287	G	38635	7817	46452	0.01647
Aquibium	2911176	G	2672	646	3318	0.00118
Aminobacter	31988	G	2265	1367	3632	0.00129
Nitratireductor	245876	G	1718	266	1984	0.00070
Phyllobacterium	28100	G	902	90	992	0.00035
Roseitalea	1915401	G	690	117	807	0.00029
Hoeflea	274591	G	574	52	626	0.00022
Oricola	1594166	G	464	63	527	0.00019
Salaquimonas	2712688	G	195	8	203	0.00007
Lentilitoribacter	1649463	G	10	0	10	0.00000
Methylobacterium	407	G	18310	3310	21620	0.00767
Microvirga	186650	G	17034	1899	18933	0.00671
Methylorubrum	2282523	G	3656	1559	5215	0.00185
Devosia	46913	G	14017	1147	15164	0.00538
Paradevosia	1573407	G	901	337	1238	0.00044
Youhaiella	1827478	G	877	191	1068	0.00038
Pelagibacterium	1082930	G	417	77	494	0.00018
Maritalea	623276	G	76	2	78	0.00003
Pseudolabrys	556257	G	6618	1012	7630	0.00271
Starkeya	152053	G	2477	685	3162	0.00112
Xanthobacter	279	G	2332	547	2879	0.00102
Ancylobacter	99	G	2142	773	2915	0.00103
Labrys	204476	G	808	83	891	0.00032
Azorhizobium	6	G	760	166	926	0.00033
Rhodoplanes	29407	G	7251	729	7980	0.00283
Hyphomicrobium	81	G	2837	208	3045	0.00108
Methyloceanibacter	1484898	G	1513	110	1623	0.00058
Methyloligella	1485594	G	909	118	1027	0.00036
Aquabacter	45402	G	667	113	780	0.00028
Rhodomicrobium	1068	G	528	37	565	0.00020
Caenibius	2827482	G	369	156	525	0.00019
Filomicrobium	119044	G	282	9	291	0.00010
Bosea	85413	G	8953	1399	10352	0.00367
Aureimonas	414371	G	3675	736	4411	0.00156
Martelella	293088	G	1741	308	2049	0.00073
Aurantimonas	182269	G	1130	349	1479	0.00052
Pseudorhodoplanes	1734920	G	2225	167	2392	0.00085
Nordella	169055	G	1467	83	1550	0.00055
Terrihabitans	2874214	G	614	72	686	0.00024
Methylocystis	133	G	2539	231	2770	0.00098
Methylosinus	425	G	1251	195	1446	0.00051
Stappia	152161	G	1565	291	1856	0.00066
Pannonibacter	227873	G	766	554	1320	0.00047
Roseibium	150830	G	700	91	791	0.00028
Labrenzia	478070	G	546	49	595	0.00021
Pseudovibrio	258255	G	140	6	146	0.00005
Phreatobacter	1632780	G	3692	639	4331	0.00154
Chelatococcus	28209	G	2352	528	2880	0.00102
Kaustia	2838250	G	1250	122	1372	0.00049
Parvibaculum	256616	G	540	379	919	0.00033
Pyruvatibacter	1742974	G	350	43	393	0.00014
Candidatus_Phaeomarinobacter	1541445	G	151	7	158	0.00006
Blastochloris	59282	G	1981	463	2444	0.00087
Methylocella	120652	G	909	83	992	0.00035
Methylovirgula	1156568	G	762	63	825	0.00029
Beijerinckia	532	G	202	15	217	0.00008
Brucella	234	G	1211	586	1797	0.00064
Pseudochrobactrum	354349	G	125	17	142	0.00005
Kaistia	166953	G	1185	295	1480	0.00052
Acuticoccus	1904377	G	1139	121	1260	0.00045
Hartmannibacter	1572860	G	792	143	935	0.00033
Breoghania	1406135	G	732	97	829	0.00029
Lichenihabitans	2723776	G	667	30	697	0.00025
Cohaesibacter	655352	G	144	5	149	0.00005
Bartonella	773	G	116	6	122	0.00004
Sphingomonas	13687	G	63477	7915	71392	0.02532
Sphingobium	165695	G	10526	5346	15872	0.00563
Sphingopyxis	165697	G	8490	1800	10290	0.00365
Novosphingobium	165696	G	6624	2250	8874	0.00315
Rhizorhabdus	1649486	G	3082	1595	4677	0.00166
Allosphingosinicella	2823232	G	1953	243	2196	0.00078
Sphingosinithalassobacter	2676233	G	1203	302	1505	0.00053
Parasphingopyxis	1234545	G	828	40	868	0.00031
Sphingorhabdus	1434046	G	759	44	803	0.00028
Blastomonas	150203	G	661	107	768	0.00027
Tardibacter	2685927	G	465	391	856	0.00030
Citromicrobium	72173	G	424	203	627	0.00022
Hankyongella	1763827	G	392	79	471	0.00017
Novosphingopyxis	2709686	G	323	187	510	0.00018
Parasphingorhabdus	2709685	G	219	6	225	0.00008
Aquisediminimonas	2676781	G	181	6	187	0.00007
Erythrobacter	1041	G	4637	1221	5858	0.00208
Porphyrobacter	1111	G	1406	395	1801	0.00064
Qipengyuania	1855416	G	2966	828	3794	0.00135
Altererythrobacter	361177	G	1973	577	2550	0.00090
Tsuneonella	2800686	G	1927	390	2317	0.00082
Croceicoccus	1295327	G	1393	886	2279	0.00081
Croceibacterium	2676755	G	376	175	551	0.00020
Pelagerythrobacter	2800685	G	354	50	404	0.00014
Aurantiacibacter	2800681	G	333	55	388	0.00014
Paraurantiacibacter	2800682	G	330	43	373	0.00013
Sphingosinicella	335405	G	3271	345	3616	0.00128
Polymorphobacter	1508451	G	920	36	956	0.00034
Sandaracinobacter	56358	G	378	26	404	0.00014
Zymomonas	541	G	26	12	38	0.00001
Skermanella	204447	G	16433	2451	18884	0.00670
Azospirillum	191	G	11633	1355	12988	0.00461
Nitrospirillum	1543705	G	713	72	785	0.00028
Indioceanicola	2478349	G	685	81	766	0.00027
Niveispirillum	1543704	G	325	32	357	0.00013
Roseomonas	125216	G	7624	1032	8656	0.00307
Rhodovastum	504465	G	1180	108	1288	0.00046
Roseococcus	35812	G	1055	92	1147	0.00041
Komagataeibacter	1434011	G	824	386	1210	0.00043
Acidiphilium	522	G	779	428	1207	0.00043
Sediminicoccus	1706033	G	684	33	717	0.00025
Acidibrevibacterium	2603324	G	499	43	542	0.00019
Lichenicola	2804525	G	493	21	514	0.00018
Acetobacter	434	G	416	140	556	0.00020
Gluconobacter	441	G	346	87	433	0.00015
Gluconacetobacter	89583	G	324	68	392	0.00014
Granulibacter	364409	G	230	18	248	0.00009
Asaia	91914	G	144	23	167	0.00006
Neoasaia	320496	G	110	22	132	0.00005
Kozakia	153497	G	86	31	117	0.00004
Novacetimonas	2919364	G	76	34	110	0.00004
Oecophyllibacter	2791118	G	59	1	60	0.00002
Parasaccharibacter	1602345	G	47	1	48	0.00002
Swingsia	1649499	G	46	1	47	0.00002
Neokomagataea	1223423	G	22	3	25	0.00001
Hypericibacter	2705399	G	3552	207	3759	0.00133
Magnetospirillum	13134	G	1989	37527	39516	0.01401
Ferrovibrio	1231242	G	1423	88	1511	0.00054
Rhodospirillum	1081	G	1271	141	1412	0.00050
Tistrella	171436	G	795	348	1143	0.00041
Defluviicoccus	111830	G	478	41	519	0.00018
Pararhodospirillum	1612157	G	270	18	288	0.00010
Haematospirillum	1804663	G	45	3	48	0.00002
Candidatus_Endolissoclinum	1263978	G	21	0	21	0.00001
Stella	93	G	1961	131	2092	0.00074
Elioraea	457933	G	870	40	910	0.00032
Thalassospira	168934	G	347	25	372	0.00013
Magnetospira	1182780	G	181	5	186	0.00007
Terasakiella	196080	G	25	0	25	0.00001
Paracoccus	265	G	7212	1261	8473	0.00300
Cereibacter	1653176	G	1771	702	2473	0.00088
Rhodobacter	1060	G	1753	602	2355	0.00084
Rhodovulum	34008	G	964	229	1193	0.00042
Paroceanicella	2683599	G	879	251	1130	0.00040
Polymorphum	991903	G	711	182	893	0.00032
Pontivivens	1844015	G	605	48	653	0.00023
Pikeienuella	2831955	G	603	61	664	0.00024
Silicimonas	1955420	G	550	36	586	0.00021
Thioclava	285107	G	491	69	560	0.00020
Pelagovum	2795377	G	471	64	535	0.00019
Frigidibacter	1775705	G	401	184	585	0.00021
Pukyongiella	2831925	G	325	88	413	0.00015
Brevirhabdus	1855413	G	320	168	488	0.00017
Tabrizicola	1443919	G	278	28	306	0.00011
Fuscovulum	2818469	G	274	39	313	0.00011
Haematobacter	366614	G	251	110	361	0.00013
Falsirhodobacter	1434002	G	246	39	285	0.00010
Gymnodinialimonas	2937410	G	241	25	266	0.00009
Gemmobacter	204456	G	232	48	280	0.00010
Pseudopuniceibacterium	2613960	G	212	18	230	0.00008
Monaibacterium	2029873	G	197	51	248	0.00009
Pacificitalea	2846749	G	193	48	241	0.00009
Pseudooceanicola	1679449	G	172	18	190	0.00007
