name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	361882	41922	403804	0.03158
Rhodopseudomonas	1073	G	19312	5287	24599	0.00192
Tardiphaga	1395974	G	6983	820	7803	0.00061
Nitrobacter	911	G	6149	735	6884	0.00054
Afipia	1033	G	4903	1896	6799	0.00053
Variibacter	1649510	G	4376	318	4694	0.00037
Rhizobium	379	G	81817	34932	116749	0.00913
Agrobacterium	357	G	16369	5046	21415	0.00167
Neorhizobium	1525371	G	12583	2660	15243	0.00119
Pseudorhizobium	1903858	G	10002	2164	12166	0.00095
Sinorhizobium	28105	G	42061	25897	67958	0.00531
Ensifer	106591	G	19694	3287	22981	0.00180
Shinella	323620	G	13475	8812	22287	0.00174
Ciceribacter	1648508	G	1963	342	2305	0.00018
Georhizobium	2661800	G	1885	380	2265	0.00018
Peteryoungia	2853332	G	773	117	890	0.00007
Liberibacter	34019	G	79	64	143	0.00001
Microvirga	186650	G	83302	9072	92374	0.00722
Methylobacterium	407	G	81473	14668	96141	0.00752
Methylorubrum	2282523	G	17428	7491	24919	0.00195
Mesorhizobium	68287	G	126705	23365	150070	0.01174
Aquibium	2911176	G	9772	2336	12108	0.00095
Aminobacter	31988	G	7217	4599	11816	0.00092
Nitratireductor	245876	G	6407	954	7361	0.00058
Phyllobacterium	28100	G	3417	337	3754	0.00029
Roseitalea	1915401	G	2699	448	3147	0.00025
Hoeflea	274591	G	2111	191	2302	0.00018
Oricola	1594166	G	1990	266	2256	0.00018
Salaquimonas	2712688	G	808	35	843	0.00007
Lentilitoribacter	1649463	G	42	0	42	0.00000
Pseudolabrys	556257	G	17695	2569	20264	0.00158
Starkeya	152053	G	11406	2935	14341	0.00112
Xanthobacter	279	G	10411	2310	12721	0.00099
Ancylobacter	99	G	9351	3049	12400	0.00097
Labrys	204476	G	3820	383	4203	0.00033
Azorhizobium	6	G	3323	686	4009	0.00031
Rhodoplanes	29407	G	17520	1658	19178	0.00150
Hyphomicrobium	81	G	10328	695	11023	0.00086
Methyloceanibacter	1484898	G	4823	344	5167	0.00040
Methyloligella	1485594	G	3178	394	3572	0.00028
Aquabacter	45402	G	2818	450	3268	0.00026
Rhodomicrobium	1068	G	2257	157	2414	0.00019
Caenibius	2827482	G	1793	795	2588	0.00020
Filomicrobium	119044	G	912	28	940	0.00007
Devosia	46913	G	28287	2218	30505	0.00239
Youhaiella	1827478	G	2856	634	3490	0.00027
Paradevosia	1573407	G	2639	1001	3640	0.00028
Pelagibacterium	1082930	G	1330	149	1479	0.00012
Maritalea	623276	G	247	8	255	0.00002
Bosea	85413	G	32857	4880	37737	0.00295
Aureimonas	414371	G	14583	2925	17508	0.00137
Martelella	293088	G	7408	1337	8745	0.00068
Aurantimonas	182269	G	4454	1322	5776	0.00045
Pseudorhodoplanes	1734920	G	7430	524	7954	0.00062
Nordella	169055	G	7261	390	7651	0.00060
Terrihabitans	2874214	G	2832	310	3142	0.00025
Candidatus_Hodgkinia	573657	G	48	0	48	0.00000
Methylocystis	133	G	10656	938	11594	0.00091
Methylosinus	425	G	5132	766	5898	0.00046
Stappia	152161	G	6503	1188	7691	0.00060
Roseibium	150830	G	2875	355	3230	0.00025
Pannonibacter	227873	G	2846	1965	4811	0.00038
Labrenzia	478070	G	2201	184	2385	0.00019
Pseudovibrio	258255	G	535	27	562	0.00004
Phreatobacter	1632780	G	14635	2444	17079	0.00134
Chelatococcus	28209	G	10754	2349	13103	0.00102
Kaustia	2838250	G	5990	572	6562	0.00051
Parvibaculum	256616	G	2234	1606	3840	0.00030
Pyruvatibacter	1742974	G	1512	192	1704	0.00013
Candidatus_Phaeomarinobacter	1541445	G	608	31	639	0.00005
Blastochloris	59282	G	8202	1889	10091	0.00079
Methylocella	120652	G	3621	323	3944	0.00031
Methylovirgula	1156568	G	2950	238	3188	0.00025
Beijerinckia	532	G	850	65	915	0.00007
Acuticoccus	1904377	G	5595	602	6197	0.00048
Brucella	234	G	5075	9997	15072	0.00118
Pseudochrobactrum	354349	G	396	65	461	0.00004
Kaistia	166953	G	4776	1144	5920	0.00046
Hartmannibacter	1572860	G	3322	574	3896	0.00030
Breoghania	1406135	G	3087	400	3487	0.00027
Lichenihabitans	2723776	G	2773	133	2906	0.00023
Cohaesibacter	655352	G	563	23	586	0.00005
Bartonella	773	G	415	25	440	0.00003
Sphingomonas	13687	G	385735	49368	435103	0.03403
Sphingobium	165695	G	46049	23921	69970	0.00547
Sphingopyxis	165697	G	45454	9913	55367	0.00433
Novosphingobium	165696	G	35007	12725	47732	0.00373
Rhizorhabdus	1649486	G	15043	7915	22958	0.00180
Allosphingosinicella	2823232	G	8509	1117	9626	0.00075
Sphingosinithalassobacter	2676233	G	6549	1596	8145	0.00064
Parasphingopyxis	1234545	G	4361	228	4589	0.00036
Blastomonas	150203	G	3640	664	4304	0.00034
Sphingorhabdus	1434046	G	3566	233	3799	0.00030
Tardibacter	2685927	G	2392	2099	4491	0.00035
Hankyongella	1763827	G	2240	463	2703	0.00021
Citromicrobium	72173	G	2040	945	2985	0.00023
Novosphingopyxis	2709686	G	1647	924	2571	0.00020
Aquisediminimonas	2676781	G	1001	40	1041	0.00008
Parasphingorhabdus	2709685	G	941	30	971	0.00008
Erythrobacter	1041	G	29736	7811	37547	0.00294
Porphyrobacter	1111	G	8850	2411	11261	0.00088
Qipengyuania	1855416	G	15937	4259	20196	0.00158
Altererythrobacter	361177	G	10122	2892	13014	0.00102
Tsuneonella	2800686	G	9432	1943	11375	0.00089
Croceicoccus	1295327	G	7364	4477	11841	0.00093
Aurantiacibacter	2800681	G	1818	299	2117	0.00017
Pelagerythrobacter	2800685	G	1807	260	2067	0.00016
Croceibacterium	2676755	G	1731	762	2493	0.00019
Paraurantiacibacter	2800682	G	1575	212	1787	0.00014
Sphingosinicella	335405	G	15252	1646	16898	0.00132
Polymorphobacter	1508451	G	4845	201	5046	0.00039
Sandaracinobacter	56358	G	2167	158	2325	0.00018
Zymomonas	541	G	126	122	248	0.00002
Azospirillum	191	G	58952	7827	66779	0.00522
Skermanella	204447	G	27372	4025	31397	0.00246
Nitrospirillum	1543705	G	3957	476	4433	0.00035
Indioceanicola	2478349	G	3523	503	4026	0.00031
Niveispirillum	1543704	G	1662	189	1851	0.00014
Roseomonas	125216	G	37510	5576	43086	0.00337
Rhodovastum	504465	G	6118	608	6726	0.00053
Roseococcus	35812	G	4968	456	5424	0.00042
Komagataeibacter	1434011	G	4083	1876	5959	0.00047
Acidiphilium	522	G	3937	2146	6083	0.00048
Sediminicoccus	1706033	G	3345	170	3515	0.00027
Acidibrevibacterium	2603324	G	2636	239	2875	0.00022
Lichenicola	2804525	G	2537	121	2658	0.00021
Acetobacter	434	G	2182	860	3042	0.00024
Gluconacetobacter	89583	G	1662	342	2004	0.00016
Gluconobacter	441	G	1629	427	2056	0.00016
Granulibacter	364409	G	1052	88	1140	0.00009
Asaia	91914	G	699	115	814	0.00006
Neoasaia	320496	G	689	137	826	0.00006
Novacetimonas	2919364	G	439	202	641	0.00005
Kozakia	153497	G	438	151	589	0.00005
Oecophyllibacter	2791118	G	351	11	362	0.00003
Swingsia	1649499	G	219	9	228	0.00002
Parasaccharibacter	1602345	G	219	7	226	0.00002
Entomobacter	2811380	G	64	4	68	0.00001
Neokomagataea	1223423	G	57	9	66	0.00001
Commensalibacter	1079922	G	31	0	31	0.00000
Bombella	1654741	G	18	2	20	0.00000
Hypericibacter	2705399	G	20651	1293	21944	0.00172
Magnetospirillum	13134	G	10061	183517	193578	0.01514
Rhodospirillum	1081	G	6568	809	7377	0.00058
Ferrovibrio	1231242	G	5925	391	6316	0.00049
Tistrella	171436	G	4375	2018	6393	0.00050
Defluviicoccus	111830	G	2439	227	2666	0.00021
Pararhodospirillum	1612157	G	1361	105	1466	0.00011
Haematospirillum	1804663	G	284	24	308	0.00002
Candidatus_Endolissoclinum	1263978	G	143	1	144	0.00001
Stella	93	G	10221	740	10961	0.00086
Elioraea	457933	G	4817	249	5066	0.00040
Thalassospira	168934	G	1575	136	1711	0.00013
Magnetospira	1182780	G	915	30	945	0.00007
Terasakiella	196080	G	107	2	109	0.00001
Paracoccus	265	G	30801	5690	36491	0.00285
Cereibacter	1653176	G	7990	2513	10503	0.00082
Rhodobacter	1060	G	7723	2616	10339	0.00081
Rhodovulum	34008	G	4157	969	5126	0.00040
Paroceanicella	2683599	G	3598	1035	4633	0.00036
Polymorphum	991903	G	3233	857	4090	0.00032
Pikeienuella	2831955	G	2536	263	2799	0.00022
Silicimonas	1955420	G	2320	153	2473	0.00019
Pontivivens	1844015	G	2317	191	2508	0.00020
Thioclava	285107	G	2180	302	2482	0.00019
Pelagovum	2795377	G	2013	277	2290	0.00018
Frigidibacter	1775705	G	1518	699	2217	0.00017
Brevirhabdus	1855413	G	1347	701	2048	0.00016
Pukyongiella	2831925	G	1321	354	1675	0.00013
Fuscovulum	2818469	G	1126	160	1286	0.00010
Gymnodinialimonas	2937410	G	1120	117	1237	0.00010
Haematobacter	366614	G	1109	487	1596	0.00012
Falsirhodobacter	1434002	G	997	158	1155	0.00009
Gemmobacter	204456	G	967	212	1179	0.00009
Pseudopuniceibacterium	2613960	G	959	83	1042	0.00008
Tabrizicola	1443919	G	935	95	1030	0.00008
Pacificitalea	2846749	G	875	214	1089	0.00009
Pseudooceanicola	1679449	G	813	89	902	0.00007
Monaibacterium	2029873	G	736	191	927	0.00007
Roseicitreum	1209946	G	715	41	756	0.00006
Tritonibacter	2083206	G	539	272	811	0.00006
Yoonia	2211641	G	491	123	614	0.00005
Qingshengfaniella	2816884	G	480	28	508	0.00004
Rhodophyticola	2680018	G	445	14	459	0.00004
Pseudohalocynthiibacter	1759417	G	395	88	483	0.00004
Profundibacter	2778525	G	353	13	366	0.00003
Rhodobaca	119541	G	330	16	346	0.00003
Parasedimentitalea	2738399	G	268	13	281	0.00002
Pseudorhodobacter	238783	G	261	18	279	0.00002
Cognatishimia	2211635	G	248	12	260	0.00002
Aestuarium	2820509	G	246	111	357	0.00003
Planktomarina	1284657	G	128	3	131	0.00001
Roseovarius	74030	G	7646	1274	8920	0.00070
Sulfitobacter	60136	G	6851	1468	8319	0.00065
Salipiger	263377	G	5569	1957	7526	0.00059
Roseivivax	93682	G	4681	721	5402	0.00042
Celeribacter	875170	G	3089	1309	4398	0.00034
Phaeobacter	302485	G	2474	519	2993	0.00023
Leisingera	191028	G	2470	343	2813	0.00022
Ruegeria	97050	G	2360	380	2740	0.00021
Sagittula	58842	G	2056	922	2978	0.00023
Yangia	2919626	G	1990	360	2350	0.00018
Pseudosulfitobacter	2854186	G	1853	552	2405	0.00019
Ponticoccus	983507	G	1452	235	1687	0.00013
Mameliella	1434019	G	1427	287	1714	0.00013
Dinoroseobacter	309512	G	1278	504	1782	0.00014
Roseobacter	2433	G	1186	33	1219	0.00010
Ketogulonicigenium	92944	G	1111	133	1244	0.00010
Oceanicola	252301	G	1041	57	1098	0.00009
Roseibacterium	159345	G	1000	90	1090	0.00009
Octadecabacter	53945	G	983	74	1057	0.00008
Actibacterium	1433986	G	935	492	1427	0.00011
Maribius	387095	G	738	40	778	0.00006
Thalassococcus	436357	G	732	20	752	0.00006
Tateyamaria	299261	G	729	26	755	0.00006
Jannaschia	188905	G	641	18	659	0.00005
Antarctobacter	74032	G	596	33	629	0.00005
Thalassobius	335927	G	348	20	368	0.00003
Falsihalocynthiibacter	2854182	G	129	4	133	0.00001
Caulobacter	75	G	37271	5855	43126	0.00337
Brevundimonas	41275	G	34548	4985	39533	0.00309
Phenylobacterium	20	G	22394	3841	26235	0.00205
Terricaulis	2768684	G	2645	93	2738	0.00021
Asticcacaulis	76890	G	2147	165	2312	0.00018
Marinicauda	1649466	G	2516	450	2966	0.00023
Maricaulis	74317	G	836	56	892	0.00007
Glycocaulis	1433402	G	724	40	764	0.00006
Hyphobacterium	2004661	G	510	21	531	0.00004
Hyphomonas	85	G	2502	121	2623	0.00021
Candidatus_Viadribacter	2892997	G	1532	41	1573	0.00012
Hirschia	2723	G	47	1	48	0.00000
Aquisalinus	1795639	G	1006	51	1057	0.00008
Parvularcula	208215	G	427	55	482	0.00004
Micavibrio	213485	G	635	8	643	0.00005
Candidatus_Puniceispirillum	767891	G	69	2	71	0.00001
Anaplasma	768	G	155	19	174	0.00001
Wolbachia	953	G	80	4	84	0.00001
Neorickettsia	33993	G	49	0	49	0.00000
Ehrlichia	943	G	27	3	30	0.00000
Rickettsia	780	G	202	17	219	0.00002
Orientia	69474	G	17	0	17	0.00000
Candidatus_Sneabacter	2601645	G	12	1	13	0.00000
Candidatus_Phycorickettsia	2115980	G	47	2	49	0.00000
Candidatus_Midichloria	411566	G	19	1	20	0.00000
Candidatus_Fokinia	1802983	G	14	20	34	0.00000
Luteithermobacter	2813803	G	358	62	420	0.00003
Paremcibacter	2813804	G	326	10	336	0.00003
Candidatus_Cytomitobacter	2601574	G	48	2	50	0.00000
Candidatus_Hydrogenosomobacter	2654634	G	34	26	60	0.00000
Candidatus_Nesciobacter	2601651	G	20	1	21	0.00000
Candidatus_Gromoviella	2900571	G	16	0	16	0.00000
Candidatus_Nucleicultrix	1509243	G	47	2	49	0.00000
Candidatus_Paracaedibacter	1521255	G	46	2	48	0.00000
Magnetococcus	162171	G	187	4	191	0.00002
Candidatus_Pelagibacter	198251	G	56	1	57	0.00000
Candidatus_Fonsibacter	2045213	G	28	1	29	0.00000
Kordiimonas	288021	G	64	1	65	0.00001
Burkholderia	32008	G	95890	101009	196899	0.01540
Cupriavidus	106589	G	61493	19528	81021	0.00634
Paraburkholderia	1822464	G	50644	5081	55725	0.00436
Ralstonia	48736	G	15505	35130	50635	0.00396
Pandoraea	93217	G	14603	2263	16866	0.00132
Caballeronia	1827195	G	13887	1561	15448	0.00121
Lautropia	47670	G	1389	246	1635	0.00013
Polynucleobacter	44013	G	1380	36	1416	0.00011
Mycetohabitans	2571159	G	1017	66	1083	0.00008
Chitinimonas	240411	G	894	69	963	0.00008
Mycoavidus	1810868	G	240	11	251	0.00002
Limnobacter	131079	G	180	8	188	0.00001
Candidatus_Vallotia	2018044	G	140	16	156	0.00001
Ephemeroptericola	2680021	G	104	6	110	0.00001
Variovorax	34072	G	69720	24730	94450	0.00739
Hydrogenophaga	47420	G	30352	14271	44623	0.00349
Acidovorax	12916	G	26276	14504	40780	0.00319
Ramlibacter	174951	G	25230	10813	36043	0.00282
Comamonas	283	G	14164	6729	20893	0.00163
Rhodoferax	28065	G	13198	3271	16469	0.00129
Schlegelella	215579	G	12969	4293	17262	0.00135
Diaphorobacter	238749	G	7859	8628	16487	0.00129
Delftia	80865	G	6790	7090	13880	0.00109
Polaromonas	52972	G	6670	695	7365	0.00058
Kinneretia	683756	G	5533	3271	8804	0.00069
Ottowia	219181	G	4552	832	5384	0.00042
Alicycliphilus	201096	G	3989	7113	11102	0.00087
Melaminivora	1649468	G	3542	3450	6992	0.00055
Serpentinimonas	2490452	G	2396	584	2980	0.00023
Verminephrobacter	364316	G	1797	232	2029	0.00016
Hylemonella	232523	G	1789	264	2053	0.00016
Pulveribacter	2678886	G	1488	823	2311	0.00018
Simplicispira	352450	G	1169	465	1634	0.00013
Limnohabitans	665874	G	770	78	848	0.00007
Curvibacter	281915	G	567	42	609	0.00005
Candidatus_Symbiobacter	1436289	G	492	17	509	0.00004
Massilia	149698	G	55955	9836	65791	0.00515
Duganella	75654	G	4497	1581	6078	0.00048
Herbaspirillum	963	G	9753	1813	11566	0.00090
Janthinobacterium	29580	G	9471	1940	11411	0.00089
Collimonas	202907	G	4076	473	4549	0.00036
Noviherbaspirillum	1344552	G	3125	537	3662	0.00029
Undibacterium	401469	G	532	35	567	0.00004
Herminiimonas	303379	G	272	46	318	0.00002
Glaciimonas	1229970	G	228	15	243	0.00002
Oxalobacter	846	G	140	13	153	0.00001
Bordetella	517	G	35285	15779	51064	0.00399
Achromobacter	222	G	29760	13635	43395	0.00339
Pigmentiphaga	152267	G	4508	515	5023	0.00039
Orrella	1921582	G	2149	718	2867	0.00022
Castellaniella	359336	G	2125	1551	3676	0.00029
Alcaligenes	507	G	1276	332	1608	0.00013
Pusillimonas_(ex_Stolz_et_al._2005)	305976	G	991	203	1194	0.00009
Paralcaligenes	1148163	G	665	28	693	0.00005
Kerstersia	257820	G	600	133	733	0.00006
Advenella	290425	G	526	16	542	0.00004
Oligella	90243	G	78	30	108	0.00001
Paenalcaligenes	1100891	G	41	2	43	0.00000
Taylorella	29574	G	23	1	24	0.00000
Basilea	1472344	G	23	2	25	0.00000
Pelistega	106146	G	12	1	13	0.00000
Rhizobacter	212743	G	13049	3016	16065	0.00126
Sphaerotilus	34102	G	7623	4096	11719	0.00092
Methylibium	316612	G	6343	1954	8297	0.00065
Rubrivivax	28067	G	6341	2105	8446	0.00066
Aquincola	391952	G	5548	2030	7578	0.00059
Thiomonas	32012	G	4375	283	4658	0.00036
Leptothrix	88	G	4287	1447	5734	0.00045
Mitsuaria	65047	G	3987	842	4829	0.00038
Xylophilus	54066	G	2762	794	3556	0.00028
Ideonella	36862	G	2487	1520	4007	0.00031
Tepidimonas	114248	G	2318	869	3187	0.00025
Aquabacterium	92793	G	1987	536	2523	0.00020
Roseateles	93681	G	1766	358	2124	0.00017
Inhella	644355	G	1256	206	1462	0.00011
Paucibacter	318147	G	994	171	1165	0.00009
Candidatus_Ichthyocystis	2929841	G	27	0	27	0.00000
Sutterella	40544	G	1471	136	1607	0.00013
Turicimonas	1918598	G	85	6	91	0.00001
Thauera	33057	G	13196	8543	21739	0.00170
Azoarcus	12960	G	11643	3738	15381	0.00120
Nitrogeniibacter	2891294	G	3541	568	4109	0.00032
Aromatoleum	551759	G	11892	3519	15411	0.00121
Azospira	146937	G	7109	3380	10489	0.00082
Niveibacterium	1769726	G	1735	253	1988	0.00016
Oryzomicrobium	1911577	G	1306	344	1650	0.00013
Rugosibacter	1914449	G	362	62	424	0.00003
Dechloromonas	73029	G	3018	549	3567	0.00028
Ferribacterium	88875	G	2581	464	3045	0.00024
Quatrionicoccus	138117	G	1111	346	1457	0.00011
Fluviibacter	2808942	G	175	63	238	0.00002
Usitatibacter	2803845	G	18812	1487	20299	0.00159
Nitrosospira	35798	G	13180	371	13551	0.00106
Nitrosomonas	914	G	3608	157	3765	0.00029
Denitratisoma	311181	G	2607	1337	3944	0.00031
Sulfuritalea	1054211	G	2081	307	2388	0.00019
Methyloversatilis	378210	G	1871	252	2123	0.00017
Sterolibacterium	157591	G	1375	402	1777	0.00014
Thiobacillus	919	G	2578	523	3101	0.00024
Sulfuritortus	1938335	G	1808	779	2587	0.00020
Sideroxydans	314343	G	1771	247	2018	0.00016
Ferrigenium	2249462	G	1180	248	1428	0.00011
Ferriphaselus	1443590	G	398	54	452	0.00004
Candidatus_Nitrotoga	453161	G	394	25	419	0.00003
