name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	663218	96665	759883	0.04267
Rhodopseudomonas	1073	G	45364	12701	58065	0.00326
Tardiphaga	1395974	G	15163	1821	16984	0.00095
Variibacter	1649510	G	11036	858	11894	0.00067
Afipia	1033	G	10730	3617	14347	0.00081
Nitrobacter	911	G	10258	1322	11580	0.00065
Rhizobium	379	G	149177	46605	195782	0.01099
Neorhizobium	1525371	G	34867	8535	43402	0.00244
Agrobacterium	357	G	30719	10996	41715	0.00234
Pseudorhizobium	1903858	G	5880	1169	7049	0.00040
Sinorhizobium	28105	G	44392	18370	62762	0.00352
Ensifer	106591	G	30560	6071	36631	0.00206
Shinella	323620	G	25720	18738	44458	0.00250
Ciceribacter	1648508	G	3566	732	4298	0.00024
Georhizobium	2661800	G	3156	702	3858	0.00022
Peteryoungia	2853332	G	1265	235	1500	0.00008
Liberibacter	34019	G	142	66	208	0.00001
Mesorhizobium	68287	G	223516	42549	266065	0.01494
Aquibium	2911176	G	15489	3888	19377	0.00109
Aminobacter	31988	G	11254	7170	18424	0.00103
Nitratireductor	245876	G	10749	1681	12430	0.00070
Phyllobacterium	28100	G	6310	651	6961	0.00039
Roseitalea	1915401	G	4412	770	5182	0.00029
Hoeflea	274591	G	3838	368	4206	0.00024
Oricola	1594166	G	3471	488	3959	0.00022
Salaquimonas	2712688	G	1370	61	1431	0.00008
Lentilitoribacter	1649463	G	93	1	94	0.00001
Methylobacterium	407	G	118017	21652	139669	0.00784
Microvirga	186650	G	53491	6614	60105	0.00338
Methylorubrum	2282523	G	24892	10489	35381	0.00199
Pseudolabrys	556257	G	91466	14614	106080	0.00596
Starkeya	152053	G	18842	5154	23996	0.00135
Xanthobacter	279	G	18679	4413	23092	0.00130
Ancylobacter	99	G	17191	6134	23325	0.00131
Labrys	204476	G	6837	730	7567	0.00042
Azorhizobium	6	G	6082	1344	7426	0.00042
Rhodoplanes	29407	G	98644	9955	108599	0.00610
Hyphomicrobium	81	G	18577	1256	19833	0.00111
Methyloceanibacter	1484898	G	7691	518	8209	0.00046
Aquabacter	45402	G	5245	905	6150	0.00035
Methyloligella	1485594	G	5178	631	5809	0.00033
Rhodomicrobium	1068	G	3885	264	4149	0.00023
Caenibius	2827482	G	3284	1500	4784	0.00027
Filomicrobium	119044	G	1628	45	1673	0.00009
Devosia	46913	G	50752	4239	54991	0.00309
Youhaiella	1827478	G	5736	1389	7125	0.00040
Paradevosia	1573407	G	5534	2201	7735	0.00043
Pelagibacterium	1082930	G	2370	276	2646	0.00015
Maritalea	623276	G	527	17	544	0.00003
Bosea	85413	G	56446	8975	65421	0.00367
Aureimonas	414371	G	24508	5147	29655	0.00167
Martelella	293088	G	13248	2530	15778	0.00089
Aurantimonas	182269	G	7147	2235	9382	0.00053
Pseudorhodoplanes	1734920	G	15515	1191	16706	0.00094
Nordella	169055	G	14490	837	15327	0.00086
Terrihabitans	2874214	G	5139	609	5748	0.00032
Candidatus_Hodgkinia	573657	G	65	0	65	0.00000
Methylocystis	133	G	20918	1923	22841	0.00128
Methylosinus	425	G	10079	1569	11648	0.00065
Phreatobacter	1632780	G	26803	4746	31549	0.00177
Stappia	152161	G	10781	2079	12860	0.00072
Pannonibacter	227873	G	5206	3806	9012	0.00051
Roseibium	150830	G	5095	670	5765	0.00032
Labrenzia	478070	G	4041	360	4401	0.00025
Pseudovibrio	258255	G	987	51	1038	0.00006
Kaustia	2838250	G	9627	977	10604	0.00060
Parvibaculum	256616	G	4594	3293	7887	0.00044
Pyruvatibacter	1742974	G	3096	433	3529	0.00020
Candidatus_Phaeomarinobacter	1541445	G	1158	70	1228	0.00007
Chelatococcus	28209	G	15894	3697	19591	0.00110
Methylocella	120652	G	7115	668	7783	0.00044
Methylovirgula	1156568	G	6285	533	6818	0.00038
Beijerinckia	532	G	1638	129	1767	0.00010
Blastochloris	59282	G	15217	3732	18949	0.00106
Kaistia	166953	G	9389	2407	11796	0.00066
Brucella	234	G	7959	13009	20968	0.00118
Pseudochrobactrum	354349	G	800	134	934	0.00005
Acuticoccus	1904377	G	8620	962	9582	0.00054
Hartmannibacter	1572860	G	5909	1100	7009	0.00039
Breoghania	1406135	G	5554	760	6314	0.00035
Lichenihabitans	2723776	G	5231	253	5484	0.00031
Cohaesibacter	655352	G	969	39	1008	0.00006
Bartonella	773	G	955	105	1060	0.00006
Sphingomonas	13687	G	512078	67892	579970	0.03257
Sphingobium	165695	G	80360	38468	118828	0.00667
Sphingopyxis	165697	G	70858	14877	85735	0.00481
Novosphingobium	165696	G	57886	21077	78963	0.00443
Rhizorhabdus	1649486	G	24156	12156	36312	0.00204
Allosphingosinicella	2823232	G	12413	1564	13977	0.00078
Sphingosinithalassobacter	2676233	G	11359	2714	14073	0.00079
Parasphingopyxis	1234545	G	6757	337	7094	0.00040
Sphingorhabdus	1434046	G	5684	355	6039	0.00034
Blastomonas	150203	G	5106	900	6006	0.00034
Hankyongella	1763827	G	4077	813	4890	0.00027
Tardibacter	2685927	G	3476	2860	6336	0.00036
Citromicrobium	72173	G	3008	1375	4383	0.00025
Novosphingopyxis	2709686	G	2572	1423	3995	0.00022
Aquisediminimonas	2676781	G	1612	62	1674	0.00009
Parasphingorhabdus	2709685	G	1543	47	1590	0.00009
Erythrobacter	1041	G	37304	9732	47036	0.00264
Porphyrobacter	1111	G	11012	3066	14078	0.00079
Qipengyuania	1855416	G	23288	6163	29451	0.00165
Altererythrobacter	361177	G	16321	4805	21126	0.00119
Tsuneonella	2800686	G	14658	2928	17586	0.00099
Croceicoccus	1295327	G	11941	7303	19244	0.00108
Croceibacterium	2676755	G	3292	1448	4740	0.00027
Aurantiacibacter	2800681	G	2996	500	3496	0.00020
Pelagerythrobacter	2800685	G	2830	401	3231	0.00018
Paraurantiacibacter	2800682	G	2605	344	2949	0.00017
Sphingosinicella	335405	G	22798	2392	25190	0.00141
Polymorphobacter	1508451	G	7750	307	8057	0.00045
Sandaracinobacter	56358	G	3581	253	3834	0.00022
Zymomonas	541	G	249	970	1219	0.00007
Azospirillum	191	G	92574	11999	104573	0.00587
Skermanella	204447	G	31311	4392	35703	0.00200
Nitrospirillum	1543705	G	7729	961	8690	0.00049
Indioceanicola	2478349	G	6065	898	6963	0.00039
Niveispirillum	1543704	G	3329	383	3712	0.00021
Roseomonas	125216	G	50335	7005	57340	0.00322
Rhodovastum	504465	G	9311	896	10207	0.00057
Komagataeibacter	1434011	G	7346	3260	10606	0.00060
Acidiphilium	522	G	6540	3268	9808	0.00055
Roseococcus	35812	G	6425	575	7000	0.00039
Sediminicoccus	1706033	G	4840	240	5080	0.00029
Acidibrevibacterium	2603324	G	4318	383	4701	0.00026
Lichenicola	2804525	G	4286	199	4485	0.00025
Acetobacter	434	G	4080	1401	5481	0.00031
Gluconobacter	441	G	2967	765	3732	0.00021
Gluconacetobacter	89583	G	2900	592	3492	0.00020
Granulibacter	364409	G	1996	170	2166	0.00012
Asaia	91914	G	1384	224	1608	0.00009
Neoasaia	320496	G	1138	226	1364	0.00008
Kozakia	153497	G	813	282	1095	0.00006
Novacetimonas	2919364	G	778	366	1144	0.00006
Oecophyllibacter	2791118	G	645	20	665	0.00004
Parasaccharibacter	1602345	G	366	15	381	0.00002
Swingsia	1649499	G	300	12	312	0.00002
Neokomagataea	1223423	G	143	22	165	0.00001
Entomobacter	2811380	G	78	5	83	0.00000
Commensalibacter	1079922	G	54	2	56	0.00000
Bombella	1654741	G	43	4	47	0.00000
Hypericibacter	2705399	G	49121	2997	52118	0.00293
Magnetospirillum	13134	G	19510	341642	361152	0.02028
Ferrovibrio	1231242	G	17186	1104	18290	0.00103
Rhodospirillum	1081	G	11614	1372	12986	0.00073
