name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._CCBAU_53351	1325114	S	20855	10145	31000	0.00174
Bradyrhizobium_sp._195	2782662	S	12558	4394	16952	0.00095
Bradyrhizobium_sp._200	2782665	S	12132	2683	14815	0.00083
Bradyrhizobium_sp._CCBAU_51753	1325100	S	11644	2574	14218	0.00080
Bradyrhizobium_sp._170	2782641	S	10999	2810	13809	0.00078
Bradyrhizobium_sp._CCBAU_051011	858422	S	10850	2080	12930	0.00073
Bradyrhizobium_sp._A19	2898149	S	10422	1864	12286	0.00069
Bradyrhizobium_sp._CCBAU_51765	1325102	S	10409	9060	19469	0.00109
Bradyrhizobium_sp._BTAi1	288000	S	10228	1921	12149	0.00068
Bradyrhizobium_sp._ORS_278	114615	S	10207	2384	12591	0.00071
Bradyrhizobium_sp._ORS_285	115808	S	10052	2310	12362	0.00069
Bradyrhizobium_sp._SK17	2057741	S	8210	2734	10944	0.00061
Bradyrhizobium_sp._186	2782654	S	8082	2137	10219	0.00057
Bradyrhizobium_sp._1(2017)	1404888	S	7849	2407	10256	0.00058
Bradyrhizobium_sp._191	2782659	S	7418	7012	14430	0.00081
Bradyrhizobium_sp._I71	2590772	S	7203	6029	13232	0.00074
Bradyrhizobium_sp._CCBAU_53340	1325112	S	7160	2681	9841	0.00055
Bradyrhizobium_sp._CCBAU_53338	1325111	S	7099	2804	9903	0.00056
Bradyrhizobium_sp._CCBAU_53421	1325120	S	6513	2011	8524	0.00048
Bradyrhizobium_sp._CCGE-LA001	1223566	S	6324	2296	8620	0.00048
Bradyrhizobium_sp._6(2017)	1197460	S	4618	2179	6797	0.00038
Bradyrhizobium_sp._S2-11-2	2840472	S	4354	3216	7570	0.00043
Bradyrhizobium_sp._S2-20-1	2840469	S	3779	2959	6738	0.00038
Bradyrhizobium_sp._41S5	1404443	S	3752	2445	6197	0.00035
Bradyrhizobium_sp._S2-11-4	2840473	S	3626	3120	6746	0.00038
Bradyrhizobium_sp._C-145	574727	S	2597	2426	5023	0.00028
Bradyrhizobium_sp.	376	S	2215	6807	9022	0.00051
Bradyrhizobium_sp._4	2782678	S	1630	3884	5514	0.00031
Bradyrhizobium_sp._40	2782674	S	1587	3372	4959	0.00028
Bradyrhizobium_sp._192	2782660	S	1577	3581	5158	0.00029
Bradyrhizobium_sp._144S4	2823807	S	1519	3513	5032	0.00028
Bradyrhizobium_sp._323S2	1404649	S	1400	3303	4703	0.00026
Bradyrhizobium_sp._LCT2	2493093	S	871	2282	3153	0.00018
Bradyrhizobium_sp._SG09	2599805	S	832	5544	6376	0.00036
Bradyrhizobium_sp._TM102	2599819	S	812	5176	5988	0.00034
Bradyrhizobium_sp._187	2782655	S	518	2350	2868	0.00016
Bradyrhizobium_sp._1S5	2816456	S	270	2795	3065	0.00017
Bradyrhizobium_sp._38S5	2819348	S	210	2356	2566	0.00014
Bradyrhizobium_sp._172	2782643	S	204	2276	2480	0.00014
Bradyrhizobium_sp._131	2782609	S	197	2948	3145	0.00018
Bradyrhizobium_sp._CW1	2782686	S	193	2738	2931	0.00016
Bradyrhizobium_sp._155	2782629	S	112	1849	1961	0.00011
Bradyrhizobium_sp._CCBAU_21365	1325083	S	14	634	648	0.00004
Bradyrhizobium_diazoefficiens	1355477	S	30707	53035	83742	0.00470
Bradyrhizobium_erythrophlei	1437360	S	30565	2625	33190	0.00186
Bradyrhizobium_guangxiense	1325115	S	12447	5232	17679	0.00099
Bradyrhizobium_icense	1274631	S	10702	1579	12281	0.00069
Bradyrhizobium_paxllaeri	190148	S	10043	1898	11941	0.00067
Bradyrhizobium_lablabi	722472	S	9828	10974	20802	0.00117
Bradyrhizobium_japonicum	375	S	9564	12891	22455	0.00126
Bradyrhizobium_genosp._L	83637	S	9180	1908	11088	0.00062
Bradyrhizobium_oligotrophicum	44255	S	9082	1647	10729	0.00060
Bradyrhizobium_canariense	255045	S	9071	13357	22428	0.00126
Bradyrhizobium_arachidis	858423	S	8712	2452	11164	0.00063
Bradyrhizobium_vignae	1549949	S	7639	1797	9436	0.00053
Bradyrhizobium_guangdongense	1325090	S	7536	2703	10239	0.00058
