name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	284597	30765	315362	0.02680
Nitrobacter	911	G	66591	6731	73322	0.00623
Rhodopseudomonas	1073	G	17015	3543	20558	0.00175
Tardiphaga	1395974	G	5802	608	6410	0.00054
Afipia	1033	G	4170	1588	5758	0.00049
Variibacter	1649510	G	3595	199	3794	0.00032
Rhizobium	379	G	82431	51620	134051	0.01139
Agrobacterium	357	G	18076	4828	22904	0.00195
Neorhizobium	1525371	G	16576	2690	19266	0.00164
Pseudorhizobium	1903858	G	4975	707	5682	0.00048
Sinorhizobium	28105	G	101773	45349	147122	0.01250
Ensifer	106591	G	19102	2175	21277	0.00181
Shinella	323620	G	15228	7786	23014	0.00196
Ciceribacter	1648508	G	2168	266	2434	0.00021
Georhizobium	2661800	G	1844	272	2116	0.00018
Peteryoungia	2853332	G	764	80	844	0.00007
Liberibacter	34019	G	128	12	140	0.00001
Mesorhizobium	68287	G	129647	19076	148723	0.01264
Aquibium	2911176	G	10709	2098	12807	0.00109
Aminobacter	31988	G	7800	4243	12043	0.00102
Nitratireductor	245876	G	7069	861	7930	0.00067
Phyllobacterium	28100	G	3316	249	3565	0.00030
Roseitalea	1915401	G	2540	336	2876	0.00024
Oricola	1594166	G	2101	222	2323	0.00020
Hoeflea	274591	G	2082	145	2227	0.00019
Salaquimonas	2712688	G	662	22	684	0.00006
Lentilitoribacter	1649463	G	53	0	53	0.00000
Microvirga	186650	G	81784	6930	88714	0.00754
Methylobacterium	407	G	68551	10252	78803	0.00670
Methylorubrum	2282523	G	14270	5242	19512	0.00166
Devosia	46913	G	46687	2974	49661	0.00422
Youhaiella	1827478	G	4048	891	4939	0.00042
Paradevosia	1573407	G	3812	1329	5141	0.00044
Pelagibacterium	1082930	G	1781	165	1946	0.00017
Maritalea	623276	G	217	6	223	0.00002
Pseudolabrys	556257	G	12447	1318	13765	0.00117
Xanthobacter	279	G	8762	1562	10324	0.00088
Starkeya	152053	G	8442	1740	10182	0.00087
Ancylobacter	99	G	8035	2177	10212	0.00087
Labrys	204476	G	2969	222	3191	0.00027
Azorhizobium	6	G	2825	452	3277	0.00028
Rhodoplanes	29407	G	12200	857	13057	0.00111
Hyphomicrobium	81	G	7488	415	7903	0.00067
Methyloceanibacter	1484898	G	3262	201	3463	0.00029
Aquabacter	45402	G	2437	284	2721	0.00023
Methyloligella	1485594	G	2123	217	2340	0.00020
Rhodomicrobium	1068	G	1747	99	1846	0.00016
Caenibius	2827482	G	1577	626	2203	0.00019
Filomicrobium	119044	G	898	25	923	0.00008
Bosea	85413	G	28131	3065	31196	0.00265
Aureimonas	414371	G	13519	2099	15618	0.00133
Martelella	293088	G	7131	962	8093	0.00069
Aurantimonas	182269	G	4234	964	5198	0.00044
Stappia	152161	G	5543	790	6333	0.00054
Roseibium	150830	G	2700	294	2994	0.00025
Pannonibacter	227873	G	2639	1388	4027	0.00034
Labrenzia	478070	G	2022	152	2174	0.00018
Pseudovibrio	258255	G	507	21	528	0.00004
Methylocystis	133	G	9060	619	9679	0.00082
Methylosinus	425	G	4302	509	4811	0.00041
Pseudorhodoplanes	1734920	G	4927	251	5178	0.00044
Terrihabitans	2874214	G	4233	336	4569	0.00039
Nordella	169055	G	4204	165	4369	0.00037
Candidatus_Hodgkinia	573657	G	45	0	45	0.00000
Phreatobacter	1632780	G	12104	1522	13626	0.00116
Chelatococcus	28209	G	9084	1474	10558	0.00090
Kaustia	2838250	G	4911	354	5265	0.00045
Parvibaculum	256616	G	1892	1105	2997	0.00025
Pyruvatibacter	1742974	G	1355	143	1498	0.00013
Candidatus_Phaeomarinobacter	1541445	G	522	23	545	0.00005
Blastochloris	59282	G	6761	1158	7919	0.00067
Methylocella	120652	G	3131	211	3342	0.00028
Methylovirgula	1156568	G	2420	146	2566	0.00022
Beijerinckia	532	G	761	45	806	0.00007
Acuticoccus	1904377	G	4795	394	5189	0.00044
Brucella	234	G	4133	7242	11375	0.00097
Pseudochrobactrum	354349	G	434	53	487	0.00004
Kaistia	166953	G	4266	754	5020	0.00043
Hartmannibacter	1572860	G	3051	388	3439	0.00029
Breoghania	1406135	G	2785	271	3056	0.00026
Lichenihabitans	2723776	G	2238	78	2316	0.00020
Cohaesibacter	655352	G	526	16	542	0.00005
Bartonella	773	G	468	21	489	0.00004
Sphingomonas	13687	G	260984	33196	294180	0.02500
Sphingobium	165695	G	49448	21161	70609	0.00600
Sphingopyxis	165697	G	41202	8340	49542	0.00421
Novosphingobium	165696	G	40061	13564	53625	0.00456
Rhizorhabdus	1649486	G	14066	6409	20475	0.00174
Allosphingosinicella	2823232	G	9880	1116	10996	0.00093
Sphingosinithalassobacter	2676233	G	5667	1280	6947	0.00059
Parasphingopyxis	1234545	G	3749	166	3915	0.00033
Sphingorhabdus	1434046	G	3452	181	3633	0.00031
Blastomonas	150203	G	3304	630	3934	0.00033
Tardibacter	2685927	G	2189	1635	3824	0.00032
Hankyongella	1763827	G	1848	336	2184	0.00019
Citromicrobium	72173	G	1583	696	2279	0.00019
Novosphingopyxis	2709686	G	1384	737	2121	0.00018
Aquisediminimonas	2676781	G	815	27	842	0.00007
Parasphingorhabdus	2709685	G	811	21	832	0.00007
Erythrobacter	1041	G	19097	4739	23836	0.00203
Porphyrobacter	1111	G	5889	1535	7424	0.00063
Qipengyuania	1855416	G	11832	3003	14835	0.00126
Altererythrobacter	361177	G	8108	2255	10363	0.00088
Tsuneonella	2800686	G	7080	1339	8419	0.00072
Croceicoccus	1295327	G	6710	3949	10659	0.00091
Pelagerythrobacter	2800685	G	1509	199	1708	0.00015
Croceibacterium	2676755	G	1466	627	2093	0.00018
Aurantiacibacter	2800681	G	1420	231	1651	0.00014
Paraurantiacibacter	2800682	G	1246	151	1397	0.00012
Sphingosinicella	335405	G	17611	1672	19283	0.00164
Polymorphobacter	1508451	G	3867	138	4005	0.00034
Sandaracinobacter	56358	G	1797	114	1911	0.00016
Zymomonas	541	G	141	123	264	0.00002
Azospirillum	191	G	53161	5752	58913	0.00501
Skermanella	204447	G	44293	5642	49935	0.00424
Indioceanicola	2478349	G	3401	388	3789	0.00032
Nitrospirillum	1543705	G	3286	317	3603	0.00031
Niveispirillum	1543704	G	1430	134	1564	0.00013
Roseomonas	125216	G	34774	4412	39186	0.00333
Rhodovastum	504465	G	4943	418	5361	0.00046
Roseococcus	35812	G	4710	382	5092	0.00043
Komagataeibacter	1434011	G	3432	1575	5007	0.00043
Acidiphilium	522	G	3099	1473	4572	0.00039
Sediminicoccus	1706033	G	2944	132	3076	0.00026
Acidibrevibacterium	2603324	G	2043	158	2201	0.00019
Lichenicola	2804525	G	2014	83	2097	0.00018
Acetobacter	434	G	1814	634	2448	0.00021
Gluconacetobacter	89583	G	1396	276	1672	0.00014
Gluconobacter	441	G	1353	350	1703	0.00014
Granulibacter	364409	G	809	61	870	0.00007
Asaia	91914	G	553	83	636	0.00005
Neoasaia	320496	G	493	96	589	0.00005
Kozakia	153497	G	370	128	498	0.00004
Novacetimonas	2919364	G	302	147	449	0.00004
Oecophyllibacter	2791118	G	262	7	269	0.00002
Parasaccharibacter	1602345	G	179	8	187	0.00002
Swingsia	1649499	G	138	6	144	0.00001
Neokomagataea	1223423	G	57	8	65	0.00001
Entomobacter	2811380	G	56	3	59	0.00001
Commensalibacter	1079922	G	27	0	27	0.00000
Bombella	1654741	G	17	1	18	0.00000
Hypericibacter	2705399	G	14041	752	14793	0.00126
Magnetospirillum	13134	G	8543	134840	143383	0.01219
Ferrovibrio	1231242	G	6247	349	6596	0.00056
Rhodospirillum	1081	G	5628	590	6218	0.00053
Tistrella	171436	G	3553	1341	4894	0.00042
Defluviicoccus	111830	G	2116	167	2283	0.00019
Pararhodospirillum	1612157	G	1125	72	1197	0.00010
Haematospirillum	1804663	G	212	14	226	0.00002
Candidatus_Endolissoclinum	1263978	G	83	0	83	0.00001
Stella	93	G	7652	467	8119	0.00069
Elioraea	457933	G	3795	163	3958	0.00034
Thalassospira	168934	G	1368	100	1468	0.00012
Magnetospira	1182780	G	755	21	776	0.00007
Terasakiella	196080	G	85	1	86	0.00001
Paracoccus	265	G	30015	5050	35065	0.00298
Cereibacter	1653176	G	8099	2340	10439	0.00089
Rhodobacter	1060	G	7672	2436	10108	0.00086
Rhodovulum	34008	G	3922	903	4825	0.00041
Paroceanicella	2683599	G	3270	908	4178	0.00036
Polymorphum	991903	G	2852	667	3519	0.00030
Pontivivens	1844015	G	2315	176	2491	0.00021
Pikeienuella	2831955	G	2209	208	2417	0.00021
Silicimonas	1955420	G	2188	138	2326	0.00020
Pelagovum	2795377	G	2175	284	2459	0.00021
Thioclava	285107	G	2041	278	2319	0.00020
Frigidibacter	1775705	G	1587	682	2269	0.00019
Pukyongiella	2831925	G	1343	360	1703	0.00014
Brevirhabdus	1855413	G	1326	688	2014	0.00017
Tabrizicola	1443919	G	1177	118	1295	0.00011
Haematobacter	366614	G	1117	458	1575	0.00013
Fuscovulum	2818469	G	1112	156	1268	0.00011
Gymnodinialimonas	2937410	G	1076	108	1184	0.00010
Falsirhodobacter	1434002	G	1034	159	1193	0.00010
Gemmobacter	204456	G	981	192	1173	0.00010
Pseudopuniceibacterium	2613960	G	843	71	914	0.00008
Pacificitalea	2846749	G	823	202	1025	0.00009
Pseudooceanicola	1679449	G	795	84	879	0.00007
Monaibacterium	2029873	G	680	177	857	0.00007
Roseicitreum	1209946	G	643	36	679	0.00006
Yoonia	2211641	G	507	129	636	0.00005
Tritonibacter	2083206	G	473	240	713	0.00006
Qingshengfaniella	2816884	G	437	24	461	0.00004
Pseudohalocynthiibacter	1759417	G	403	91	494	0.00004
Rhodophyticola	2680018	G	379	12	391	0.00003
Rhodobaca	119541	G	352	16	368	0.00003
Profundibacter	2778525	G	335	12	347	0.00003
