name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium_sp._1(2017)	1404888	S	5671	1373	7044	0.00060
Bradyrhizobium_sp._I71	2590772	S	5558	3765	9323	0.00079
Bradyrhizobium_sp._CCBAU_51765	1325102	S	5479	3855	9334	0.00079
Bradyrhizobium_sp._191	2782659	S	5068	3856	8924	0.00076
Bradyrhizobium_sp._CCGE-LA001	1223566	S	4978	1432	6410	0.00055
Bradyrhizobium_sp._195	2782662	S	4867	1347	6214	0.00053
Bradyrhizobium_sp._CCBAU_53351	1325114	S	4697	1815	6512	0.00055
Bradyrhizobium_sp._200	2782665	S	4624	810	5434	0.00046
Bradyrhizobium_sp._170	2782641	S	4292	861	5153	0.00044
Bradyrhizobium_sp._CCBAU_51753	1325100	S	4274	735	5009	0.00043
Bradyrhizobium_sp._186	2782654	S	4190	873	5063	0.00043
Bradyrhizobium_sp._CCBAU_051011	858422	S	4057	606	4663	0.00040
Bradyrhizobium_sp._BTAi1	288000	S	3950	576	4526	0.00038
Bradyrhizobium_sp._A19	2898149	S	3941	547	4488	0.00038
Bradyrhizobium_sp._ORS_278	114615	S	3860	701	4561	0.00039
Bradyrhizobium_sp._ORS_285	115808	S	3767	673	4440	0.00038
Bradyrhizobium_sp._SK17	2057741	S	3291	882	4173	0.00035
Bradyrhizobium_sp._CCBAU_53338	1325111	S	3273	1025	4298	0.00037
Bradyrhizobium_sp._CCBAU_53340	1325112	S	3228	958	4186	0.00036
Bradyrhizobium_sp._CCBAU_53421	1325120	S	2521	614	3135	0.00027
Bradyrhizobium_sp._6(2017)	1197460	S	1724	646	2370	0.00020
Bradyrhizobium_sp._S2-11-2	2840472	S	1562	931	2493	0.00021
Bradyrhizobium_sp._C-145	574727	S	1547	1158	2705	0.00023
Bradyrhizobium_sp._41S5	1404443	S	1488	772	2260	0.00019
Bradyrhizobium_sp._S2-20-1	2840469	S	1479	937	2416	0.00021
Bradyrhizobium_sp._S2-11-4	2840473	S	1403	978	2381	0.00020
Bradyrhizobium_sp.	376	S	1086	2687	3773	0.00032
Bradyrhizobium_sp._144S4	2823807	S	875	1631	2506	0.00021
Bradyrhizobium_sp._40	2782674	S	844	1463	2307	0.00020
Bradyrhizobium_sp._4	2782678	S	808	1572	2380	0.00020
Bradyrhizobium_sp._192	2782660	S	752	1374	2126	0.00018
Bradyrhizobium_sp._323S2	1404649	S	751	1427	2178	0.00019
Bradyrhizobium_sp._LCT2	2493093	S	467	981	1448	0.00012
Bradyrhizobium_sp._SG09	2599805	S	400	2151	2551	0.00022
Bradyrhizobium_sp._TM102	2599819	S	340	1751	2091	0.00018
Bradyrhizobium_sp._187	2782655	S	299	1102	1401	0.00012
Bradyrhizobium_sp._131	2782609	S	217	2647	2864	0.00024
Bradyrhizobium_sp._CW1	2782686	S	154	1781	1935	0.00016
Bradyrhizobium_sp._38S5	2819348	S	145	1324	1469	0.00012
Bradyrhizobium_sp._172	2782643	S	115	1045	1160	0.00010
Bradyrhizobium_sp._1S5	2816456	S	108	909	1017	0.00009
Bradyrhizobium_sp._155	2782629	S	95	1277	1372	0.00012
Bradyrhizobium_diazoefficiens	1355477	S	13833	23129	36962	0.00314
Bradyrhizobium_erythrophlei	1437360	S	11535	760	12295	0.00105
Bradyrhizobium_icense	1274631	S	6519	731	7250	0.00062
Bradyrhizobium_vignae	1549949	S	6176	1134	7310	0.00062
Bradyrhizobium_japonicum	375	S	4452	5161	9613	0.00082
Bradyrhizobium_guangxiense	1325115	S	4156	1384	5540	0.00047
Bradyrhizobium_paxllaeri	190148	S	3924	575	4499	0.00038
Bradyrhizobium_guangdongense	1325090	S	3857	1104	4961	0.00042
Bradyrhizobium_lablabi	722472	S	3828	3407	7235	0.00062
Bradyrhizobium_arachidis	858423	S	3813	843	4656	0.00040
Bradyrhizobium_canariense	255045	S	3495	4136	7631	0.00065
Bradyrhizobium_oligotrophicum	44255	S	3441	480	3921	0.00033
Bradyrhizobium_daqingense	993502	S	3172	1308	4480	0.00038
Bradyrhizobium_cosmicum	1404864	S	3160	796	3956	0.00034
Bradyrhizobium_genosp._L	83637	S	3139	505	3644	0.00031
Bradyrhizobium_genosp._B	83627	S	2695	450	3145	0.00027
Bradyrhizobium_guangzhouense	1325095	S	2640	769	3409	0.00029
Bradyrhizobium_amphicarpaeae	1404768	S	2553	817	3370	0.00029
Bradyrhizobium_symbiodeficiens	1404367	S	2239	2536	4775	0.00041
Bradyrhizobium_betae	244734	S	2140	931	3071	0.00026
Bradyrhizobium_quebecense	2748629	S	2082	899	2981	0.00025
Bradyrhizobium_septentrionale	1404411	S	1704	791	2495	0.00021
Bradyrhizobium_zhanjiangense	1325107	S	1136	855	1991	0.00017
Bradyrhizobium_elkanii	29448	S	585	2063	2648	0.00023
Bradyrhizobium_ottawaense	931866	S	552	2608	3160	0.00027
Nitrobacter_winogradskyi	913	S	41447	5670	47117	0.00401
Nitrobacter_hamburgensis	912	S	23752	3186	26938	0.00229
Rhodopseudomonas_palustris	1076	S	13098	3458	16556	0.00141
Rhodopseudomonas_boonkerdii	475937	S	1853	433	2286	0.00019
Rhodopseudomonas_sp._SK50-23	340268	S	1775	326	2101	0.00018
Tardiphaga_sp._37S4	1404741	S	939	648	1587	0.00013
Tardiphaga_sp._vice154	2592814	S	79	1037	1116	0.00009
Tardiphaga_sp._vice304	2592817	S	46	741	787	0.00007
Tardiphaga_sp._vice278	2592815	S	45	929	974	0.00008
Tardiphaga_sp._vice352	2592816	S	14	360	374	0.00003
Tardiphaga_robiniae	943830	S	1011	624	1635	0.00014
Afipia_carboxidovorans	40137	S	2603	808	3411	0.00029
Afipia_sp._GAS231	1882747	S	1564	930	2494	0.00021
Variibacter_gotjawalensis	1333996	S	3595	228	3823	0.00033
Rhizobium_sp._BG4	2613770	S	2334	347	2681	0.00023
Rhizobium_sp._WL3	2603277	S	2194	343	2537	0.00022
Rhizobium_sp._WYJ-E13	2849093	S	2021	201	2222	0.00019
Rhizobium_sp._SL42	2806346	S	1822	255	2077	0.00018
Rhizobium_sp._ACO-34A	1571470	S	1791	304	2095	0.00018
Rhizobium_sp._NXC24	2048897	S	1683	193	1876	0.00016
Rhizobium_sp._AB2/73	2795216	S	1257	633	1890	0.00016
Rhizobium_sp._11515TR	2028343	S	1221	243	1464	0.00012
Rhizobium_sp._NZLR1	2731096	S	987	286	1273	0.00011
Rhizobium_sp._CIAT894	2020312	S	960	355	1315	0.00011
Rhizobium_sp._NLR16a	2731112	S	933	357	1290	0.00011
Rhizobium_sp._NXC14	1981173	S	910	321	1231	0.00010
Rhizobium_sp._K102	2918527	S	786	460	1246	0.00011
Rhizobium_sp._C104	2917727	S	748	350	1098	0.00009
Rhizobium_sp._L51/94	2819999	S	650	727	1377	0.00012
Rhizobium_sp._X9	2815360	S	453	813	1266	0.00011
Rhizobium_sp._007	2785056	S	392	617	1009	0.00009
Rhizobium_sp._IE4771	1301032	S	298	541	839	0.00007
Rhizobium_sp._Kim5	2020311	S	262	518	780	0.00007
Rhizobium_sp._TAL182	2020313	S	198	512	710	0.00006
Rhizobium_sp._ZX09	2291939	S	87	338	425	0.00004
Rhizobium_sp._NIBRBAC000502774	2590777	S	87	409	496	0.00004
Rhizobium_sp._Y9	1914541	S	85	306	391	0.00003
Rhizobium_sp._B230/85	2819994	S	74	710	784	0.00007
Rhizobium_sp._N324	1703969	S	47	872	919	0.00008
Rhizobium_sp._T136	555319	S	44	1082	1126	0.00010
Rhizobium_sp._CCGE531	2364271	S	38	1200	1238	0.00011
Rhizobium_sp._B21/90	2819993	S	26	816	842	0.00007
Rhizobium_sp._CCGE532	2364272	S	14	936	950	0.00008
Rhizobium_leguminosarum	384	S	8682	10145	18827	0.00160
Rhizobium_etli	29449	S	3250	3433	6683	0.00057
Rhizobium_pseudoryzae	379684	S	2441	408	2849	0.00024
Rhizobium_gallicum	56730	S	1717	1992	3709	0.00032
Rhizobium_jaguaris	1312183	S	1691	167	1858	0.00016
Rhizobium_rosettiformans	1368430	S	1505	583	2088	0.00018
Rhizobium_phaseoli	396	S	1494	2860	4354	0.00037
Rhizobium_bangladeshense	1138189	S	1491	303	1794	0.00015
Rhizobium_rhizoryzae	451876	S	1377	153	1530	0.00013
Rhizobium_daejeonense	240521	S	1278	285	1563	0.00013
Rhizobium_lentis	1138194	S	1230	324	1554	0.00013
Rhizobium_tropici	398	S	1193	267	1460	0.00012
Rhizobium_binae	1138190	S	999	320	1319	0.00011
Rhizobium_pusense	648995	S	675	2394	3069	0.00026
Rhizobium_indicum	2583231	S	646	514	1160	0.00010
Rhizobium_acidisoli	1538158	S	558	412	970	0.00008
Rhizobium_oryzihabitans	2267833	S	343	419	762	0.00006
Rhizobium_laguerreae	1076926	S	235	369	604	0.00005
Rhizobium_hidalgonense	1538159	S	226	477	703	0.00006
Rhizobium_ruizarguesonis	2081791	S	179	1215	1394	0.00012
Rhizobium_favelukesii	348824	S	27	818	845	0.00007
Agrobacterium_tumefaciens	358	S	4957	4448	9405	0.00080
Agrobacterium_fabrum	1176649	S	541	653	1194	0.00010
Agrobacterium_fabacearum	1183401	S	120	1489	1609	0.00014
Agrobacterium_vitis	373	S	2724	268	2992	0.00025
Agrobacterium_sp._T29	2580515	S	391	285	676	0.00006
Agrobacterium_sp._MA01	2664893	S	373	718	1091	0.00009
Agrobacterium_sp._RAC06	1842536	S	355	698	1053	0.00009
Agrobacterium_sp._CGMCC_11546	2579248	S	141	273	414	0.00004
Agrobacterium_sp._S7/73	2820002	S	88	476	564	0.00005
Agrobacterium_vaccinii	2735528	S	970	113	1083	0.00009
Agrobacterium_larrymoorei	160699	S	860	122	982	0.00008
Agrobacterium_rubi	28099	S	664	169	833	0.00007
Agrobacterium_salinitolerans	1183413	S	621	209	830	0.00007
Agrobacterium_rhizogenes	359	S	463	1047	1510	0.00013
Neorhizobium_galegae	399	S	11456	2589	14045	0.00119
Neorhizobium_sp._SOG26	2060726	S	2806	492	3298	0.00028
Neorhizobium_sp._NCHU2750	1825976	S	2002	436	2438	0.00021
Pseudorhizobium_flavum	1335061	S	2039	1082	3121	0.00027
Pseudorhizobium_banfieldiae	1125847	S	1807	885	2692	0.00023
Sinorhizobium_meliloti	382	S	79836	47535	127371	0.01083
Sinorhizobium_fredii	380	S	8451	7578	16029	0.00136
Sinorhizobium_medicae	110321	S	3971	478	4449	0.00038
Sinorhizobium_americanum	194963	S	3080	833	3913	0.00033
Sinorhizobium_sp._BG8	2613773	S	1787	223	2010	0.00017
Sinorhizobium_sp._CCBAU_05631	794846	S	408	394	802	0.00007
Ensifer_adhaerens	106592	S	5210	2583	7793	0.00066
Ensifer_mexicanus	375549	S	4708	526	5234	0.00045
Ensifer_alkalisoli	1752398	S	2210	316	2526	0.00021
Ensifer_sojae	716925	S	2132	489	2621	0.00022
Ensifer_sp._PDNC004	2811423	S	1445	493	1938	0.00016
Ensifer_sp._T173	555315	S	309	1195	1504	0.00013
Shinella_sp._HZN7	879274	S	3466	2345	5811	0.00049
Shinella_sp._PSBB067	2715959	S	2606	1469	4075	0.00035
Shinella_sp._XGS7	2877941	S	2226	1752	3978	0.00034
Shinella_sp._H4-D48	2925841	S	1046	332	1378	0.00012
Shinella_zoogloeoides	352475	S	3049	3457	6506	0.00055
Shinella_oryzae	2871820	S	1549	539	2088	0.00018
Ciceribacter_thiooxidans	1969821	S	2168	310	2478	0.00021
Georhizobium_profundi	2341112	S	1844	319	2163	0.00018
Peteryoungia_desertarenae	1813451	S	764	93	857	0.00007
Candidatus_Liberibacter_africanus	34020	S	65	18	83	0.00001
Liberibacter_crescens	1273132	S	15	2	17	0.00000
Candidatus_Liberibacter_asiaticus	34021	S	13	2	15	0.00000
Candidatus_Liberibacter_americanus	309868	S	13	2	15	0.00000
Mesorhizobium_sp._8	2584466	S	5503	1138	6641	0.00056
Mesorhizobium_sp._DCY119	2108445	S	4750	978	5728	0.00049
Mesorhizobium_sp._Pch-S	2082387	S	3229	382	3611	0.00031
Mesorhizobium_sp._M3A.F.Ca.ET.080.04.2.1	2493676	S	2744	791	3535	0.00030
Mesorhizobium_sp._B1-1-8	2589976	S	2611	609	3220	0.00027
Mesorhizobium_sp._J8	2777475	S	2607	800	3407	0.00029
Mesorhizobium_sp._B2-1-1	2589974	S	2575	533	3108	0.00026
Mesorhizobium_sp._L-2-11	2744521	S	2568	934	3502	0.00030
Mesorhizobium_sp._M1B.F.Ca.ET.045.04.1.1	2493673	S	2503	933	3436	0.00029
Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1	2493680	S	2499	786	3285	0.00028
Mesorhizobium_sp._M1E.F.Ca.ET.045.02.1.1	2493672	S	2418	1189	3607	0.00031
Mesorhizobium_sp._M1D.F.Ca.ET.043.01.1.1	2493669	S	2404	1437	3841	0.00033
Mesorhizobium_sp._M9A.F.Ca.ET.002.03.1.2	2493668	S	2378	1084	3462	0.00029
Mesorhizobium_sp._B2-8-5	2589903	S	2306	723	3029	0.00026
Mesorhizobium_sp._PAMC28654	2880934	S	2289	390	2679	0.00023
Mesorhizobium_sp._131-2-1	2744518	S	2289	1179	3468	0.00029
Mesorhizobium_sp._M4B.F.Ca.ET.058.02.1.1	2493675	S	2258	924	3182	0.00027
Mesorhizobium_sp._INR15	2654248	S	2246	294	2540	0.00022
Mesorhizobium_sp._M6A.T.Cr.TU.016.01.1.1	2493677	S	1937	624	2561	0.00022
Mesorhizobium_sp._B4-1-4	2589888	S	1822	408	2230	0.00019
Mesorhizobium_sp._B2-1-8	2589967	S	1603	470	2073	0.00018
Mesorhizobium_sp._L-8-10	2744523	S	1528	5284	6812	0.00058
Mesorhizobium_sp._M7D.F.Ca.US.005.01.1.1	2493678	S	1526	504	2030	0.00017
Mesorhizobium_sp._NBSH29	2654249	S	1480	96	1576	0.00013
Mesorhizobium_sp._M8A.F.Ca.ET.057.01.1.1	2493679	S	1469	553	2022	0.00017
Mesorhizobium_sp._M7A.F.Ce.TU.012.03.2.1	2493681	S	1333	481	1814	0.00015
Mesorhizobium_sp._M2A.F.Ca.ET.043.05.1.1	2493671	S	1329	1174	2503	0.00021
Mesorhizobium_sp._NZP2077	2483404	S	1310	420	1730	0.00015
Mesorhizobium_sp._L-8-3	2744522	S	1301	4614	5915	0.00050
Mesorhizobium_sp._113-3-3	2744516	S	1274	697	1971	0.00017
Mesorhizobium_sp._113-1-2	2744515	S	1126	549	1675	0.00014
Mesorhizobium_sp._AA22	1854057	S	1000	622	1622	0.00014
Mesorhizobium_sp._NZP2298	2483403	S	941	571	1512	0.00013
Mesorhizobium_sp._113-3-9	2744517	S	878	674	1552	0.00013
Mesorhizobium_sp._M2A.F.Ca.ET.046.03.2.1	2493674	S	774	2222	2996	0.00025
Mesorhizobium_sp._M2A.F.Ca.ET.043.02.1.1	2493670	S	668	1823	2491	0.00021
Mesorhizobium_sp._WSM1497	278153	S	350	730	1080	0.00009
Mesorhizobium_sp._131-3-5	2744520	S	219	705	924	0.00008
Mesorhizobium_sp._NZP2234	2483402	S	149	555	704	0.00006
Mesorhizobium_sp._131-2-5	2744519	S	111	785	896	0.00008
Mesorhizobium_terrae	2725666	S	3053	843	3896	0.00033
Mesorhizobium_opportunistum	593909	S	2454	932	3386	0.00029
Mesorhizobium_amorphae	71433	S	2216	466	2682	0.00023
Mesorhizobium_ciceri	39645	S	1528	3762	5290	0.00045
Mesorhizobium_loti	381	S	1401	11743	13144	0.00112
Mesorhizobium_australicum	536018	S	1345	395	1740	0.00015
Mesorhizobium_huakuii	28104	S	1311	971	2282	0.00019
Mesorhizobium_erdmanii	1777866	S	1219	319	1538	0.00013
Mesorhizobium_japonicum	2066070	S	1072	734	1806	0.00015
Aquibium_microcysteis	675281	S	5999	1557	7556	0.00064
Aquibium_oceanicum	1670800	S	4527	987	5514	0.00047
Aminobacter_sp._MSH1	374606	S	3223	1797	5020	0.00043
Aminobacter_sp._SR38	2774562	S	706	2793	3499	0.00030
Aminobacter_sp._MDW-2	2666139	S	375	1824	2199	0.00019
Aminobacter_aminovorans	83263	S	367	1295	1662	0.00014
Nitratireductor_sp._SY7	2599600	S	3954	679	4633	0.00039
Nitratireductor_sp._OM-1	1756988	S	1839	288	2127	0.00018
Nitratireductor_kimnyeongensis	430679	S	1131	152	1283	0.00011
Phyllobacterium_sp._T1018	555316	S	1104	123	1227	0.00010
Phyllobacterium_sp._628	2718938	S	518	66	584	0.00005
Phyllobacterium_sp._T1293	555317	S	513	57	570	0.00005
Phyllobacterium_zundukense	1867719	S	1088	133	1221	0.00010
Roseitalea_porphyridii	1852022	S	2540	381	2921	0.00025
Oricola_thermophila	2742145	S	2101	252	2353	0.00020
Hoeflea_sp._IMCC20628	1620421	S	1074	91	1165	0.00010
Hoeflea_phototrophica	244596	S	980	103	1083	0.00009
Salaquimonas_pukyongi	2712698	S	662	25	687	0.00006
Lentilitoribacter_sp._Alg239-R112	2305987	S	53	0	53	0.00000
Microvirga_sp._VF16	2807101	S	29862	4413	34275	0.00291
Microvirga_sp._17_mud_1-3	2082949	S	9315	1871	11186	0.00095
Microvirga_ossetica	1882682	S	25657	4203	29860	0.00254
Microvirga_thermotolerans	2651334	S	11491	2868	14359	0.00122
Methylobacterium_nodulans	114616	S	7025	802	7827	0.00067
