name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetia	1760	C	6414193	385792	6799985	0.44431
Rubrobacteria	84995	C	158829	13290	172119	0.01125
Thermoleophilia	1497346	C	137414	21837	159251	0.01041
Acidimicrobiia	84992	C	100964	13569	114533	0.00748
Coriobacteriia	84998	C	21597	4096	25693	0.00168
Nitriliruptoria	908620	C	21544	2319	23863	0.00156
Bacilli	91061	C	110991	74124	185115	0.01210
Clostridia	186801	C	45505	10413	55918	0.00365
Negativicutes	909932	C	5773	754	6527	0.00043
Limnochordia	1676648	C	3936	203	4139	0.00027
Tissierellia	1737404	C	766	626	1392	0.00009
Erysipelotrichia	526524	C	680	603	1283	0.00008
Deinococci	188787	C	49924	41761	91685	0.00599
Gloeobacteria	307596	C	5605	6616	12221	0.00080
Thermomicrobia	189775	C	12598	598	13196	0.00086
Chloroflexia	32061	C	9349	390	9739	0.00064
Ardenticatenia	1382928	C	5646	143	5789	0.00038
Tepidiformia	2682225	C	5245	276	5521	0.00036
Anaerolineae	292625	C	3425	79	3504	0.00023
Caldilineae	475962	C	2624	193	2817	0.00018
Dehalococcoidia	301297	C	1705	34	1739	0.00011
Ktedonobacteria	388447	C	1440	1401	2841	0.00019
Candidatus Thermofonsia	2364196	C	1009	12	1021	0.00007
Fimbriimonadia	1663419	C	2964	21	2985	0.00020
Chthonomonadetes	1077257	C	860	9	869	0.00006
Mollicutes	31969	C	679	161	840	0.00005
Alphaproteobacteria	28211	C	2725163	318960	3044123	0.19890
Betaproteobacteria	28216	C	1265597	311792	1577389	0.10307
Gammaproteobacteria	1236	C	1003848	298932	1302780	0.08512
Deltaproteobacteria	28221	C	566595	42157	608752	0.03978
Epsilonproteobacteria	29547	C	4342	270	4612	0.00030
Acidithiobacillia	1807140	C	2295	251	2546	0.00017
Oligoflexia	1553900	C	967	16	983	0.00006
Hydrogenophilalia	2008785	C	743	180	923	0.00006
Zetaproteobacteria	580370	C	525	19	544	0.00004
Planctomycetia	203683	C	541063	10915	551978	0.03607
Phycisphaerae	666505	C	18126	688	18814	0.00123
Candidatus Brocadiia	2517206	C	192	1	193	0.00001
Candidatus Uabimicrobiia	2897345	C	128	2	130	0.00001
Opitutae	414999	C	24335	1159	25494	0.00167
Verrucomicrobiae	203494	C	13906	2245	16151	0.00106
Methylacidiphilae	1955630	C	131	5	136	0.00001
Spartobacteria	134549	C	124	9	133	0.00001
Kiritimatiellae	1921781	C	1183	1439	2622	0.00017
Tichowtungiia	2907184	C	434	16	450	0.00003
Chlamydiia	204429	C	409	418	827	0.00005
Cytophagia	768503	C	39311	15985	55296	0.00361
Bacteroidia	200643	C	12508	2797	15305	0.00100
Chitinophagia	1853228	C	11296	192	11488	0.00075
Flavobacteriia	117743	C	8922	811	9733	0.00064
Sphingobacteriia	117747	C	4409	482	4891	0.00032
Saprospiria	1937959	C	354	85	439	0.00003
Chlorobia	191410	C	4860	554	5414	0.00035
Ignavibacteria	795747	C	257	6	263	0.00002
Gemmatimonadetes	219685	C	98888	7298	106186	0.00694
Fibrobacteria	204430	C	185	88	273	0.00002
Vicinamibacteria	1813735	C	90569	6234	96803	0.00633
Acidobacteriia	204432	C	42971	827	43798	0.00286
Blastocatellia	1562566	C	4942	309	5251	0.00034
Holophagae	533205	C	2881	69	2950	0.00019
Nitrospira	203693	C	18360	334	18694	0.00122
Thermodesulfovibrionia	2811502	C	288	8	296	0.00002
Spirochaetia	203692	C	4088	226	4314	0.00028
Synergistia	649775	C	4079	427	4506	0.00029
Thermotogae	188708	C	1258	1073	2331	0.00015
Candidatus Saccharimonia	2093818	C	92	128	220	0.00001
Candidatus Babeliae	2497643	C	72	86	158	0.00001
Aquificae	187857	C	906	16	922	0.00006
Thermodesulfobacteria	67799	C	744	17	761	0.00005
Calditrichia	1962850	C	427	5	432	0.00003
Deferribacteres	68337	C	415	18	433	0.00003
Chrysiogenetes	118001	C	377	212	589	0.00004
Fusobacteriia	203490	C	318	60	378	0.00002
Elusimicrobia	641853	C	137	1	138	0.00001
Endomicrobia	447830	C	108	1	109	0.00001
Coprothermobacteria	2138243	C	149	39	188	0.00001
Dictyoglomia	203486	C	141	0	141	0.00001
Caldisericia	693071	C	114	0	114	0.00001
Atribacteria	2847774	C	109	3	112	0.00001
Sordariomycetes	147550	C	29231	647	29878	0.00195
Leotiomycetes	147548	C	174	1	175	0.00001
Eurotiomycetes	147545	C	5321	191	5512	0.00036
Dothideomycetes	147541	C	1019	139	1158	0.00008
Saccharomycetes	4891	C	1106	139	1245	0.00008
Schizosaccharomycetes	147554	C	36	0	36	0.00000
Ustilaginomycetes	5257	C	2382	43	2425	0.00016
Malasseziomycetes	1538075	C	157	22	179	0.00001
Agaricomycetes	155619	C	562	7	569	0.00004
Tremellomycetes	155616	C	145	5973	6118	0.00040
