name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1480483	400380	1880863	0.12290
Microbacteriaceae	85023	F	395154	65173	460327	0.03008
Micrococcaceae	1268	F	161472	45805	207277	0.01354
Cellulomonadaceae	85016	F	76129	31029	107158	0.00700
Intrasporangiaceae	85021	F	44785	15261	60046	0.00392
Promicromonosporaceae	85017	F	37095	17433	54528	0.00356
Ornithinimicrobiaceae	2805590	F	32849	8599	41448	0.00271
Dermabacteraceae	85020	F	22407	5417	27824	0.00182
Brevibacteriaceae	85019	F	21959	5580	27539	0.00180
Bogoriellaceae	145358	F	17867	6803	24670	0.00161
Ruaniaceae	1331736	F	14631	2251	16882	0.00110
Dermacoccaceae	145357	F	13308	3872	17180	0.00112
Beutenbergiaceae	125316	F	9112	15980	25092	0.00164
Sanguibacteraceae	145360	F	5833	2266	8099	0.00053
Dermatophilaceae	85018	F	3126	383	3509	0.00023
Kytococcaceae	2805426	F	2956	1373	4329	0.00028
Demequinaceae	1042322	F	1158	118	1276	0.00008
Jonesiaceae	85022	F	223	51	274	0.00002
Tropherymataceae	2805591	F	64	0	64	0.00000
Micromonosporaceae	28056	F	862710	160126	1022836	0.06683
Mycobacteriaceae	1762	F	336953	55664	392617	0.02565
Nocardiaceae	85025	F	199470	48905	248375	0.01623
Corynebacteriaceae	1653	F	59655	18017	77672	0.00508
Gordoniaceae	85026	F	46666	12435	59101	0.00386
Tsukamurellaceae	85028	F	14318	4607	18925	0.00124
Dietziaceae	85029	F	8984	9234	18218	0.00119
Segniliparaceae	316606	F	1329	94	1423	0.00009
Lawsonellaceae	2805586	F	284	41	325	0.00002
Pseudonocardiaceae	2070	F	610272	119186	729458	0.04766
Nocardioidaceae	85015	F	335063	87167	422230	0.02759
Propionibacteriaceae	31957	F	83283	19634	102917	0.00672
Kribbellaceae	2726069	F	48847	10046	58893	0.00385
Actinopolymorphaceae	2805400	F	9303	1410	10713	0.00070
Streptosporangiaceae	2004	F	121316	25884	147200	0.00962
Thermomonosporaceae	2012	F	110341	28148	138489	0.00905
Nocardiopsaceae	83676	F	46344	9965	56309	0.00368
Geodermatophilaceae	85030	F	75572	24834	100406	0.00656
Frankiaceae	74712	F	45166	5632	50798	0.00332
Actinomycetaceae	2049	F	40568	7368	47936	0.00313
Jiangellaceae	1217100	F	34680	7776	42456	0.00277
Nakamurellaceae	85031	F	15654	2703	18357	0.00120
Bifidobacteriaceae	31953	F	15418	5011	20429	0.00133
Catenulisporaceae	414877	F	8984	1706	10690	0.00070
Jatrophihabitantaceae	2805416	F	7386	842	8228	0.00054
Glycomycetaceae	85034	F	7262	763	8025	0.00052
Kineosporiaceae	83778	F	5073	1826	6899	0.00045
Actinopolysporaceae	622451	F	3204	427	3631	0.00024
Sporichthyaceae	85033	F	3020	1891	4911	0.00032
Acidothermaceae	85032	F	2429	161	2590	0.00017
Candidatus Nanopelagicaceae	2162846	F	511	12	523	0.00003
Rubrobacteraceae	84997	F	126650	6909	133559	0.00873
Baekduiaceae	2600303	F	32033	6526	38559	0.00252
Conexibacteraceae	320583	F	102605	17882	120487	0.00787
Miltoncostaeaceae	2843199	F	33481	5282	38763	0.00253
Iamiaceae	633392	F	90767	13601	104368	0.00682
Ilumatobacteraceae	2448023	F	6734	480	7214	0.00047
Acidimicrobiaceae	84994	F	2705	245	2950	0.00019
Eggerthellaceae	1643826	F	11859	2325	14184	0.00093
Atopobiaceae	1643824	F	6440	1743	8183	0.00053
Coriobacteriaceae	84107	F	2593	732	3325	0.00022
Egicoccaceae	1755824	F	7417	1402	8819	0.00058
Euzebyaceae	908622	F	7093	730	7823	0.00051
Egibacteraceae	1747769	F	6728	492	7220	0.00047
Paenibacillaceae	186822	F	47449	5137	52586	0.00344
Bacillaceae	186817	F	40207	60430	100637	0.00658
Alicyclobacillaceae	186823	F	6423	1302	7725	0.00050
Thermoactinomycetaceae	186824	F	2145	334	2479	0.00016
Planococcaceae	186818	F	2059	2571	4630	0.00030
Staphylococcaceae	90964	F	935	4325	5260	0.00034
Listeriaceae	186820	F	271	1657	1928	0.00013
Sporolactobacillaceae	186821	F	106	21	127	0.00001
Lactobacillaceae	33958	F	3356	1615	4971	0.00032
Streptococcaceae	1300	F	1475	1653	3128	0.00020
Enterococcaceae	81852	F	542	441	983	0.00006
Aerococcaceae	186827	F	261	91	352	0.00002
Carnobacteriaceae	186828	F	210	95	305	0.00002
Clostridiales Family XVII. Incertae Sedis	539000	F	9555	2142	11697	0.00076
Eubacteriales Family XIII. Incertae Sedis	543314	F	327	482	809	0.00005
Clostridiales Family XVI. Incertae Sedis	543347	F	146	49	195	0.00001
Oscillospiraceae	216572	F	9490	4243	13733	0.00090
Symbiobacteriaceae	543349	F	3596	390	3986	0.00026
Lachnospiraceae	186803	F	2896	1303	4199	0.00027
