name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	4148974	325927	4474901	0.27964
Betaproteobacteria	28216	C	1496441	252542	1748983	0.10929
Gammaproteobacteria	1236	C	1384497	299604	1684101	0.10524
Deltaproteobacteria	28221	C	715448	50645	766093	0.04787
Epsilonproteobacteria	29547	C	4623	223	4846	0.00030
Acidithiobacillia	1807140	C	2481	230	2711	0.00017
Oligoflexia	1553900	C	1454	15	1469	0.00009
Hydrogenophilalia	2008785	C	830	145	975	0.00006
Zetaproteobacteria	580370	C	594	15	609	0.00004
Actinomycetia	1760	C	4977879	229964	5207843	0.32544
Thermoleophilia	1497346	C	107259	14025	121284	0.00758
Acidimicrobiia	84992	C	65695	7266	72961	0.00456
Rubrobacteria	84995	C	53120	5474	58594	0.00366
Coriobacteriia	84998	C	18717	3049	21766	0.00136
Nitriliruptoria	908620	C	12514	1116	13630	0.00085
Bacilli	91061	C	254062	189281	443343	0.02770
Clostridia	186801	C	37526	5967	43493	0.00272
Negativicutes	909932	C	5329	515	5844	0.00037
Limnochordia	1676648	C	2603	98	2701	0.00017
Tissierellia	1737404	C	701	419	1120	0.00007
Erysipelotrichia	526524	C	675	438	1113	0.00007
Deinococci	188787	C	43733	40751	84484	0.00528
Gloeobacteria	307596	C	4197	1217	5414	0.00034
Thermomicrobia	189775	C	9183	383	9566	0.00060
Tepidiformia	2682225	C	7435	304	7739	0.00048
Chloroflexia	32061	C	6445	250	6695	0.00042
Ardenticatenia	1382928	C	4035	78	4113	0.00026
Caldilineae	475962	C	1985	140	2125	0.00013
Anaerolineae	292625	C	1769	37	1806	0.00011
Dehalococcoidia	301297	C	1357	28	1385	0.00009
Ktedonobacteria	388447	C	1042	999	2041	0.00013
Candidatus Thermofonsia	2364196	C	802	9	811	0.00005
Fimbriimonadia	1663419	C	2729	14	2743	0.00017
Chthonomonadetes	1077257	C	595	4	599	0.00004
Mollicutes	31969	C	878	166	1044	0.00007
Planctomycetia	203683	C	485045	6875	491920	0.03074
Phycisphaerae	666505	C	23291	776	24067	0.00150
Candidatus Brocadiia	2517206	C	158	0	158	0.00001
Candidatus Uabimicrobiia	2897345	C	96	1	97	0.00001
Opitutae	414999	C	74016	2635	76651	0.00479
Verrucomicrobiae	203494	C	20224	2226	22450	0.00140
Spartobacteria	134549	C	244	16	260	0.00002
Methylacidiphilae	1955630	C	199	6	205	0.00001
Kiritimatiellae	1921781	C	1179	1347	2526	0.00016
Tichowtungiia	2907184	C	434	18	452	0.00003
Chlamydiia	204429	C	858	319	1177	0.00007
Cytophagia	768503	C	48297	1087	49384	0.00309
Chitinophagia	1853228	C	30465	426	30891	0.00193
Flavobacteriia	117743	C	25509	19492	45001	0.00281
Sphingobacteriia	117747	C	16481	2975	19456	0.00122
Bacteroidia	200643	C	15173	3334	18507	0.00116
Saprospiria	1937959	C	492	190	682	0.00004
Chlorobia	191410	C	4568	570	5138	0.00032
Ignavibacteria	795747	C	294	6	300	0.00002
Gemmatimonadetes	219685	C	133961	7002	140963	0.00881
Fibrobacteria	204430	C	197	75	272	0.00002
Vicinamibacteria	1813735	C	75959	3949	79908	0.00499
Acidobacteriia	204432	C	40876	570	41446	0.00259
Blastocatellia	1562566	C	3682	149	3831	0.00024
Holophagae	533205	C	2446	42	2488	0.00016
Nitrospira	203693	C	17501	215	17716	0.00111
Thermodesulfovibrionia	2811502	C	191	4	195	0.00001
Spirochaetia	203692	C	4480	197	4677	0.00029
Synergistia	649775	C	3382	244	3626	0.00023
Candidatus Saccharimonia	2093818	C	570	1585	2155	0.00013
Candidatus Babeliae	2497643	C	54	43	97	0.00001
Thermotogae	188708	C	847	49	896	0.00006
Aquificae	187857	C	841	10	851	0.00005
Thermodesulfobacteria	67799	C	501	8	509	0.00003
Calditrichia	1962850	C	422	3	425	0.00003
Deferribacteres	68337	C	397	10	407	0.00003
Fusobacteriia	203490	C	360	43	403	0.00003
Chrysiogenetes	118001	C	319	134	453	0.00003
Endomicrobia	447830	C	140	3	143	0.00001
Elusimicrobia	641853	C	108	2	110	0.00001
Coprothermobacteria	2138243	C	123	22	145	0.00001
Caldisericia	693071	C	115	0	115	0.00001
Dictyoglomia	203486	C	82	0	82	0.00001
Atribacteria	2847774	C	51	1	52	0.00000
Sordariomycetes	147550	C	70377	1454	71831	0.00449
Leotiomycetes	147548	C	313	2	315	0.00002
Eurotiomycetes	147545	C	14295	560	14855	0.00093
Dothideomycetes	147541	C	1743	257	2000	0.00013
Saccharomycetes	4891	C	1830	133	1963	0.00012
Schizosaccharomycetes	147554	C	88	2	90	0.00001
Ustilaginomycetes	5257	C	2455	58	2513	0.00016
Malasseziomycetes	1538075	C	137	24	161	0.00001
Agaricomycetes	155619	C	734	16	750	0.00005
Tremellomycetes	155616	C	178	7485	7663	0.00048
