name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	2013225	114995	2128220	0.13299
Sphingomonadales	204457	O	1138444	92656	1231100	0.07693
Rhodospirillales	204441	O	352898	297381	650279	0.04064
Rhodobacterales	204455	O	243930	16520	260450	0.01628
Caulobacterales	204458	O	167052	15570	182622	0.01141
Maricaulales	2800059	O	7091	692	7783	0.00049
Hyphomonadales	2800060	O	6866	246	7112	0.00044
Parvularculales	255473	O	2157	137	2294	0.00014
Rickettsiales	766	O	1491	1192	2683	0.00017
Emcibacterales	2066490	O	1071	98	1169	0.00007
Holosporales	1921002	O	501	13	514	0.00003
Pelagibacterales	54526	O	279	4	283	0.00002
Magnetococcales	1191478	O	262	5	267	0.00002
Kordiimonadales	362534	O	117	2	119	0.00001
Burkholderiales	80840	O	1232835	253459	1486294	0.09288
Rhodocyclales	206389	O	90958	26226	117184	0.00732
Nitrosomonadales	32003	O	73692	9480	83172	0.00520
Neisseriales	206351	O	49517	12787	62304	0.00389
Xanthomonadales	135614	O	584733	91342	676075	0.04225
Pseudomonadales	72274	O	332527	101796	434323	0.02714
Enterobacterales	91347	O	92558	132352	224910	0.01405
Chromatiales	135613	O	74057	5523	79580	0.00497
Oceanospirillales	135619	O	60005	7345	67350	0.00421
Cellvibrionales	1706369	O	40849	1230	42079	0.00263
Methylococcales	135618	O	22818	997	23815	0.00149
Aeromonadales	135624	O	20428	14202	34630	0.00216
Nevskiales	1775403	O	17558	3372	20930	0.00131
Acidiferrobacterales	1692040	O	15223	710	15933	0.00100
Alteromonadales	135622	O	12861	1524	14385	0.00090
Legionellales	118969	O	8113	350	8463	0.00053
Vibrionales	135623	O	7364	4253	11617	0.00073
Moraxellales	2887326	O	4947	6545	11492	0.00072
Immundisolibacterales	1934945	O	3601	657	4258	0.00027
Thiotrichales	72273	O	3328	333	3661	0.00023
Pasteurellales	135625	O	2450	1538	3988	0.00025
Salinisphaerales	742030	O	2327	2204	4531	0.00028
Cardiobacteriales	135615	O	1412	192	1604	0.00010
Kangiellales	2887327	O	298	19	317	0.00002
Orbales	1240482	O	126	23	149	0.00001
Myxococcales	29	O	607393	50840	658233	0.04113
Desulfuromonadales	69541	O	44181	3439	47620	0.00298
Desulfovibrionales	213115	O	29434	2224	31658	0.00198
Desulfobacterales	213118	O	10826	887	11713	0.00073
Bradymonadales	1779134	O	8691	227	8918	0.00056
Syntrophobacterales	213462	O	2482	533	3015	0.00019
Desulfarculales	453227	O	2082	1113	3195	0.00020
Syntrophales	2914038	O	1265	420	1685	0.00011
Desulfurellales	213113	O	49	2	51	0.00000
Campylobacterales	213849	O	4205	237	4442	0.00028
Nautiliales	235899	O	377	26	403	0.00003
Acidithiobacillales	225057	O	2481	230	2711	0.00017
Bdellovibrionales	213481	O	1145	15	1160	0.00007
Bacteriovoracales	2024979	O	217	2	219	0.00001
Silvanigrellales	2024973	O	88	1	89	0.00001
Hydrogenophilales	119069	O	830	145	975	0.00006
Mariprofundales	580371	O	594	15	609	0.00004
Streptomycetales	85011	O	1261583	270927	1532510	0.09577
Micrococcales	85006	O	718313	100786	819099	0.05119
Corynebacteriales	85007	O	607304	71559	678863	0.04242
Pseudonocardiales	85010	O	544223	78836	623059	0.03893
Propionibacteriales	85009	O	447092	82777	529869	0.03311
Streptosporangiales	85012	O	368092	63976	432068	0.02700
Micromonosporales	85008	O	328316	45686	374002	0.02337
Geodermatophilales	1643682	O	61888	16149	78037	0.00488
Actinomycetales	2037	O	29218	4282	33500	0.00209
Frankiales	85013	O	26150	2576	28726	0.00180
Jiangellales	1217098	O	19745	3649	23394	0.00146
Bifidobacteriales	85004	O	12257	3239	15496	0.00097
Nakamurellales	1643684	O	8771	1156	9927	0.00062
Catenulisporales	414714	O	6066	913	6979	0.00044
Jatrophihabitantales	2805415	O	4475	402	4877	0.00030
Glycomycetales	85014	O	4061	331	4392	0.00027
Kineosporiales	622452	O	3394	969	4363	0.00027
Actinopolysporales	622450	O	2841	298	3139	0.00020
Sporichthyales	2495578	O	2300	1162	3462	0.00022
Acidothermales	1643683	O	1511	75	1586	0.00010
Candidatus Nanopelagicales	2039638	O	477	8	485	0.00003
Solirubrobacterales	588673	O	83550	12104	95654	0.00598
Miltoncostaeales	2843198	O	22718	2911	25629	0.00160
Acidimicrobiales	84993	O	65695	7266	72961	0.00456
Rubrobacterales	84996	O	53120	5474	58594	0.00366
Eggerthellales	1643822	O	10443	1791	12234	0.00076
Coriobacteriales	84999	O	7870	1661	9531	0.00060
Egicoccales	1755823	O	4321	675	4996	0.00031
Egibacterales	1747768	O	4148	249	4397	0.00027
Euzebyales	908621	O	3906	330	4236	0.00026
Bacillales	1385	O	246093	186612	432705	0.02704
Lactobacillales	186826	O	6770	3867	10637	0.00066
Eubacteriales	186802	O	32258	5860	38118	0.00238
Thermoanaerobacterales	68295	O	3943	539	4482	0.00028
Halanaerobiales	53433	O	399	16	415	0.00003
Thermosediminibacterales	2770089	O	253	11	264	0.00002
Natranaerobiales	485256	O	117	4	121	0.00001
Koleobacterales	2786987	O	84	7	91	0.00001
Selenomonadales	909929	O	3787	190	3977	0.00025
Veillonellales	1843489	O	987	295	1282	0.00008
Acidaminococcales	1843488	O	490	94	584	0.00004
Limnochordales	1676649	O	2603	98	2701	0.00017
Tissierellales	1737405	O	580	540	1120	0.00007
Erysipelotrichales	526525	O	675	438	1113	0.00007
Deinococcales	118964	O	28243	1335	29578	0.00185
Thermales	68933	O	12304	711	13015	0.00081
Trueperales	2762275	O	2656	146	2802	0.00018
Synechococcales	1890424	O	18247	1159	19406	0.00121
Nostocales	1161	O	7560	747	8307	0.00052
Pseudanabaenales	2881377	O	5592	325	5917	0.00037
Oscillatoriales	1150	O	3794	379	4173	0.00026
Chroococcales	1118	O	1325	188	1513	0.00009
Gloeobacterales	307595	O	4197	85	4282	0.00027
Chroococcidiopsidales	1890505	O	544	85	629	0.00004
Pleurocapsales	52604	O	232	25	257	0.00002
Gloeomargaritales	1955042	O	129	4	133	0.00001
Thermostichales	2881383	O	70	41	111	0.00001
Sphaerobacterales	85001	O	7366	471	7837	0.00049
Thermomicrobiales	189776	O	1690	38	1728	0.00011
Tepidiformales	2682226	O	7435	304	7739	0.00048
Chloroflexales	32064	O	6445	250	6695	0.00042
Ardenticatenales	1382929	O	4035	78	4113	0.00026
Caldilineales	475963	O	1985	140	2125	0.00013
Anaerolineales	292629	O	1769	985	2754	0.00017
Dehalococcoidales	1202465	O	419	18	437	0.00003
Ktedonobacterales	388448	O	1042	999	2041	0.00013
Phototrophicales	2364208	O	802	9	811	0.00005
Fimbriimonadales	1663425	O	2729	14	2743	0.00017
Chthonomonadales	1077263	O	595	4	599	0.00004
Mycoplasmatales	2085	O	492	102	594	0.00004
Entomoplasmatales	186328	O	191	23	214	0.00001
Acholeplasmatales	186329	O	156	12	168	0.00001
