name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomycetaceae	2062	F	1336881	249727	1586608	0.12870
Microbacteriaceae	85023	F	293855	38998	332853	0.02700
Micrococcaceae	1268	F	103354	21404	124758	0.01012
Cellulomonadaceae	85016	F	57687	19722	77409	0.00628
Intrasporangiaceae	85021	F	32249	8824	41073	0.00333
Promicromonosporaceae	85017	F	30978	12559	43537	0.00353
Ornithinimicrobiaceae	2805590	F	20490	4361	24851	0.00202
Bogoriellaceae	145358	F	16611	5037	21648	0.00176
Dermabacteraceae	85020	F	15722	3010	18732	0.00152
Brevibacteriaceae	85019	F	14647	3089	17736	0.00144
Dermacoccaceae	145357	F	9469	2304	11773	0.00095
Ruaniaceae	1331736	F	9039	10153	19192	0.00156
Beutenbergiaceae	125316	F	6519	2194	8713	0.00071
Sanguibacteraceae	145360	F	4476	1449	5925	0.00048
Dermatophilaceae	85018	F	1950	182	2132	0.00017
Kytococcaceae	2805426	F	1864	716	2580	0.00021
Demequinaceae	1042322	F	745	60	805	0.00007
Jonesiaceae	85022	F	91	16	107	0.00001
Tropherymataceae	2805591	F	35	0	35	0.00000
Mycobacteriaceae	1762	F	346654	38204	384858	0.03122
Nocardiaceae	85025	F	140096	31213	171309	0.01390
Corynebacteriaceae	1653	F	40219	8194	48413	0.00393
Gordoniaceae	85026	F	32456	6517	38973	0.00316
Tsukamurellaceae	85028	F	10077	2461	12538	0.00102
Dietziaceae	85029	F	6253	5817	12070	0.00098
Segniliparaceae	316606	F	929	49	978	0.00008
Lawsonellaceae	2805586	F	162	16	178	0.00001
Nocardioidaceae	85015	F	323138	63776	386914	0.03139
Propionibacteriaceae	31957	F	48622	13509	62131	0.00504
Kribbellaceae	2726069	F	12301	1923	14224	0.00115
Actinopolymorphaceae	2805400	F	5843	678	6521	0.00053
Micromonosporaceae	28056	F	389205	55029	444234	0.03603
Pseudonocardiaceae	2070	F	359327	51954	411281	0.03336
Thermomonosporaceae	2012	F	168102	35923	204025	0.01655
Streptosporangiaceae	2004	F	105683	17073	122756	0.00996
Nocardiopsaceae	83676	F	29781	4716	34497	0.00280
Geodermatophilaceae	85030	F	85422	21464	106886	0.00867
Actinomycetaceae	2049	F	26198	3557	29755	0.00241
Frankiaceae	74712	F	24729	2363	27092	0.00220
Jiangellaceae	1217100	F	14607	2577	17184	0.00139
Bifidobacteriaceae	31953	F	10035	2401	12436	0.00101
Nakamurellaceae	85031	F	8435	1078	9513	0.00077
Catenulisporaceae	414877	F	5447	790	6237	0.00051
Jatrophihabitantaceae	2805416	F	4598	391	4989	0.00040
Glycomycetaceae	85034	F	3530	277	3807	0.00031
Kineosporiaceae	83778	F	3262	894	4156	0.00034
Sporichthyaceae	85033	F	2120	1066	3186	0.00026
Actinopolysporaceae	622451	F	1749	175	1924	0.00016
Acidothermaceae	85032	F	1376	60	1436	0.00012
Candidatus Nanopelagicaceae	2162846	F	346	5	351	0.00003
Conexibacteraceae	320583	F	122351	17146	139497	0.01132
Miltoncostaeaceae	2843199	F	29998	3539	33537	0.00272
Baekduiaceae	2600303	F	38508	6344	44852	0.00364
Rubrobacteraceae	84997	F	20538	736	21274	0.00173
Iamiaceae	633392	F	37432	4653	42085	0.00341
Ilumatobacteraceae	2448023	F	3921	237	4158	0.00034
Acidimicrobiaceae	84994	F	1590	117	1707	0.00014
Eggerthellaceae	1643826	F	9283	1354	10637	0.00086
Atopobiaceae	1643824	F	4832	1011	5843	0.00047
Coriobacteriaceae	84107	F	2057	476	2533	0.00021
Egibacteraceae	1747769	F	4369	259	4628	0.00038
Egicoccaceae	1755824	F	4065	630	4695	0.00038
Euzebyaceae	908622	F	3563	298	3861	0.00031
Bacillaceae	186817	F	406218	343495	749713	0.06081
Paenibacillaceae	186822	F	81338	4883	86221	0.00699
Planococcaceae	186818	F	6397	1473	7870	0.00064
Alicyclobacillaceae	186823	F	6178	669	6847	0.00056
Staphylococcaceae	90964	F	3673	2230	5903	0.00048
Thermoactinomycetaceae	186824	F	1793	1609	3402	0.00028
Listeriaceae	186820	F	979	228	1207	0.00010
Sporolactobacillaceae	186821	F	169	16	185	0.00002
Lactobacillaceae	33958	F	3372	943	4315	0.00035
Streptococcaceae	1300	F	1644	1780	3424	0.00028
Enterococcaceae	81852	F	1211	867	2078	0.00017
Carnobacteriaceae	186828	F	572	214	786	0.00006
Aerococcaceae	186827	F	221	68	289	0.00002
Clostridiales Family XVII. Incertae Sedis	539000	F	6003	820	6823	0.00055
Eubacteriales Family XIII. Incertae Sedis	543314	F	260	461	721	0.00006
Clostridiales Family XVI. Incertae Sedis	543347	F	104	37	141	0.00001
Oscillospiraceae	216572	F	6895	1934	8829	0.00072
Clostridiaceae	31979	F	3444	415	3859	0.00031
Symbiobacteriaceae	543349	F	2479	153	2632	0.00021
Lachnospiraceae	186803	F	2324	630	2954	0.00024
Peptococcaceae	186807	F	1511	106	1617	0.00013
Desulfitobacteriaceae	2937909	F	814	60	874	0.00007
Christensenellaceae	990719	F	724	221	945	0.00008
Heliobacteriaceae	31984	F	705	271	976	0.00008
Eubacteriaceae	186806	F	586	91	677	0.00005
Peptostreptococcaceae	186804	F	312	950	1262	0.00010
Syntrophomonadaceae	68298	F	223	7	230	0.00002
Desulfallaceae	2867375	F	152	9	161	0.00001
Thermincolaceae	2937911	F	82	6	88	0.00001
Vallitaleaceae	2603322	F	78	4	82	0.00001
Desulfotomaculaceae	2937910	F	67	24	91	0.00001
Thermohalobacteraceae	2848916	F	61	6	67	0.00001
Proteinivoraceae	1491775	F	34	3	37	0.00000
Thermoanaerobacteraceae	186814	F	3017	337	3354	0.00027
Thermoanaerobacterales Family III. Incertae Sedis	543371	F	245	34	279	0.00002
Zhaonellaceae	2748673	F	95	12	107	0.00001
Thermoanaerobacterales Family IV. Incertae Sedis	543372	F	93	36	129	0.00001
Thermodesulfobiaceae	227387	F	65	0	65	0.00001
Halanaerobiaceae	972	F	163	11	174	0.00001
Halobacteroidaceae	53434	F	79	83	162	0.00001
Thermosediminibacteraceae	2770093	F	139	9	148	0.00001
Tepidanaerobacteraceae	2770092	F	110	4	114	0.00001
Natranaerofabaceae	2807496	F	78	3	81	0.00001
Natranaerobiaceae	485255	F	33	4	37	0.00000
Koleobacteraceae	2786988	F	86	7	93	0.00001
Selenomonadaceae	1843491	F	2741	100	2841	0.00023
Sporomusaceae	1843490	F	399	22	421	0.00003
Veillonellaceae	31977	F	867	183	1050	0.00009
Acidaminococcaceae	909930	F	418	52	470	0.00004
Limnochordaceae	1676650	F	2436	69	2505	0.00020
Peptoniphilaceae	1570339	F	341	145	486	0.00004
Tissierellaceae	1737406	F	141	16	157	0.00001
Gottschalkiaceae	2042895	F	77	200	277	0.00002
Erysipelotrichaceae	128827	F	533	113	646	0.00005
Turicibacteraceae	2810281	F	93	200	293	0.00002
Nostocaceae	1162	F	10103	1203	11306	0.00092
Aphanizomenonaceae	1892259	F	5712	1129	6841	0.00055
Calotrichaceae	2661849	F	1663	92	1755	0.00014
Scytonemataceae	1182	F	483	31	514	0.00004
