name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces sp. BJ20	2930049	S	33502	12827	46329	0.00376
Streptomyces sp. Go 40/10	2825844	S	14762	6118	20880	0.00169
Streptomyces sp. CdTB01	1725411	S	9946	2697	12643	0.00103
Streptomyces sp. jing01	2726118	S	9382	4924	14306	0.00116
Streptomyces sp. HM190	2695266	S	9343	2789	12132	0.00098
Streptomyces sp. DSM 40868	2721173	S	9195	3168	12363	0.00100
Streptomyces sp. P3	2135430	S	9166	2186	11352	0.00092
Streptomyces sp. AMCC400023	2056258	S	8827	3455	12282	0.00100
Streptomyces sp. SAT1	1849967	S	8753	3061	11814	0.00096
Streptomyces sp. 3214.6	1882757	S	8544	2368	10912	0.00089
Streptomyces sp. WAC 01438	2203204	S	7840	2508	10348	0.00084
Streptomyces sp. Z423-1	2730915	S	7186	2005	9191	0.00075
Streptomyces sp. Go-475	2072505	S	6336	2782	9118	0.00074
Streptomyces sp. MG62	2838015	S	6312	2222	8534	0.00069
Streptomyces sp. NEAU-sy36	2751189	S	6305	2242	8547	0.00069
Streptomyces sp. SCSIO 64649	2878388	S	6280	1117	7397	0.00060
Streptomyces sp. ZYC-3	2797636	S	6215	1177	7392	0.00060
Streptomyces sp. ST1015	1848900	S	6181	1218	7399	0.00060
Streptomyces sp. SN-593	659352	S	6006	1358	7364	0.00060
Streptomyces sp. A2-16	2781734	S	5947	1774	7721	0.00063
Streptomyces sp. JB150	2714844	S	5557	1870	7427	0.00060
Streptomyces sp. MG28	2865673	S	5531	1864	7395	0.00060
Streptomyces sp. 891-h	2720714	S	5392	934	6326	0.00051
Streptomyces sp. CB01881	2078691	S	5371	1033	6404	0.00052
Streptomyces sp. BH-MK-02	2880933	S	5138	1032	6170	0.00050
Streptomyces sp. So13.3	2136173	S	4904	865	5769	0.00047
Streptomyces sp. GQFP	2907545	S	4866	791	5657	0.00046
Streptomyces sp. NA02950	2742137	S	4772	901	5673	0.00046
Streptomyces sp. NHF165	2175864	S	4724	791	5515	0.00045
Streptomyces sp. HP-A2021	2927875	S	4708	2431	7139	0.00058
Streptomyces sp. LRE541	2931983	S	4679	1003	5682	0.00046
Streptomyces sp. RTd22	1841249	S	4519	1790	6309	0.00051
Streptomyces sp. MA3_2.13	2867410	S	4485	564	5049	0.00041
Streptomyces sp. Rer75	2750011	S	4421	1940	6361	0.00052
Streptomyces sp. SCUT-3	2684469	S	4393	1662	6055	0.00049
Streptomyces sp. 3025	2923272	S	4253	726	4979	0.00040
Streptomyces sp. RPA4-2	2721244	S	3967	1112	5079	0.00041
Streptomyces sp. YIM 121038	2136401	S	3719	1049	4768	0.00039
Streptomyces sp. MBT27	1488356	S	3622	978	4600	0.00037
Streptomyces sp. SYP-A7193	2662065	S	3471	1923	5394	0.00044
Streptomyces sp. NA04227	2742136	S	3469	748	4217	0.00034
Streptomyces sp. C8S0	2585716	S	3456	940	4396	0.00036
Streptomyces sp. W1SF4	2305220	S	3342	1129	4471	0.00036
Streptomyces sp. QHH-9511	2684468	S	3341	875	4216	0.00034
Streptomyces sp. GMY02	1333528	S	3264	539	3803	0.00031
Streptomyces sp. MST-110588	2833628	S	3249	743	3992	0.00032
Streptomyces sp. GS7	2692234	S	3173	823	3996	0.00032
Streptomyces sp. CCM_MD2014	1561022	S	3156	2607	5763	0.00047
Streptomyces sp. HSG2	2797167	S	2892	565	3457	0.00028
Streptomyces sp. SUK 48	2582831	S	2850	1639	4489	0.00036
Streptomyces sp. 135	2838850	S	2827	885	3712	0.00030
Streptomyces sp. EAS-AB2608	2779671	S	2818	4267	7085	0.00058
Streptomyces sp. BHT-5-2	2866715	S	2779	834	3613	0.00029
Streptomyces sp. CB09001	2083284	S	2767	1698	4465	0.00036
Streptomyces sp. SirexAA-E	862751	S	2746	772	3518	0.00029
Streptomyces sp. PBH53	1577075	S	2687	3885	6572	0.00053
Streptomyces sp. SM18	1736046	S	2676	696	3372	0.00027
Streptomyces sp. CMB-StM0423	2059884	S	2597	1168	3765	0.00031
Streptomyces sp. HF10	2692233	S	2543	1648	4191	0.00034
Streptomyces sp. Tu 2975	2676871	S	2541	765	3306	0.00027
Streptomyces sp. S1D4-11	2721246	S	2442	1677	4119	0.00033
Streptomyces sp. WAC 01529	2203205	S	2393	803	3196	0.00026
Streptomyces sp. fd1-xmd	1812480	S	2319	947	3266	0.00027
Streptomyces sp. TN58	234612	S	2180	926	3106	0.00025
Streptomyces sp. INR7	2607753	S	2171	1028	3199	0.00026
Streptomyces sp. S4.7	2705439	S	2083	653	2736	0.00022
Streptomyces sp. WAC 06738	2203210	S	1689	1558	3247	0.00026
Streptomyces sp. YPW6	2840373	S	1563	756	2319	0.00019
Streptomyces sp. Mg1	465541	S	1478	1280	2758	0.00022
Streptomyces sp. WY228	2855836	S	1445	729	2174	0.00018
Streptomyces sp. CNQ-509	444103	S	1442	1304	2746	0.00022
Streptomyces sp. ADI95-16	1522758	S	1402	1143	2545	0.00021
Streptomyces sp. 769	1262452	S	1313	941	2254	0.00018
Streptomyces sp. AgN23	1188315	S	1286	1096	2382	0.00019
Streptomyces sp. RPA4-5	2721245	S	1162	713	1875	0.00015
Streptomyces sp. 2323.1	1938841	S	1162	673	1835	0.00015
Streptomyces sp. S8	1837283	S	1023	821	1844	0.00015
Streptomyces sp. NA02536	2742133	S	1022	2583	3605	0.00029
Streptomyces sp. 3211	1964449	S	1000	1213	2213	0.00018
Streptomyces sp. RLB1-33	2721243	S	989	2824	3813	0.00031
Streptomyces sp. S063	2005885	S	954	616	1570	0.00013
Streptomyces sp. XC 2026	2782004	S	918	774	1692	0.00014
Streptomyces sp. NEAU-S7GS2	2202000	S	874	684	1558	0.00013
Streptomyces sp. ID38640	1265399	S	843	587	1430	0.00012
Streptomyces sp. HNA39	2850561	S	832	888	1720	0.00014
Streptomyces sp. WA6-1-16	2879427	S	820	784	1604	0.00013
Streptomyces sp. MOE7	1961713	S	796	910	1706	0.00014
Streptomyces sp. Sge12	1972846	S	789	1176	1965	0.00016
Streptomyces sp. 11-1-2	1851167	S	737	1345	2082	0.00017
Streptomyces sp. M2	646637	S	716	3839	4555	0.00037
Streptomyces sp. Tue 6075	1661694	S	631	683	1314	0.00011
Streptomyces sp. CRSS-Y-16	2906474	S	597	3386	3983	0.00032
Streptomyces sp. SS52	2563602	S	592	2789	3381	0.00027
Streptomyces sp. A144	2871487	S	590	2650	3240	0.00026
Streptomyces sp. CFMR 7	1649184	S	587	959	1546	0.00013
Streptomyces sp. SGAir0924	2109593	S	557	2718	3275	0.00027
Streptomyces sp. CB00271	2750025	S	548	714	1262	0.00010
Streptomyces sp. NA03103	2742134	S	544	3461	4005	0.00033
Streptomyces sp. M56	1495638	S	530	1387	1917	0.00016
Streptomyces sp. V17-9	2831149	S	513	2382	2895	0.00023
Streptomyces sp. BSE6.1	2605730	S	509	2310	2819	0.00023
Streptomyces sp. endophyte_N2	2153485	S	507	1411	1918	0.00016
Streptomyces sp. WAC00303	2933779	S	499	686	1185	0.00010
Streptomyces sp. CLI2509	1984801	S	462	1572	2034	0.00017
Streptomyces sp. Tu6071	355249	S	451	1370	1821	0.00015
Streptomyces sp. CB09030	2913412	S	424	1376	1800	0.00015
Streptomyces sp. CB04723	2748873	S	414	703	1117	0.00009
Streptomyces sp. VN1	1821625	S	395	1623	2018	0.00016
Streptomyces sp. HU2014	2939414	S	386	1286	1672	0.00014
Streptomyces sp. PAMC 26508	1265601	S	348	1246	1594	0.00013
Streptomyces sp. KPB2	2305221	S	338	2721	3059	0.00025
Streptomyces sp. S501	2420135	S	321	1244	1565	0.00013
Streptomyces sp. LBUM 1480	2609808	S	317	3143	3460	0.00028
Streptomyces sp. WAC00288	2094021	S	299	1209	1508	0.00012
Streptomyces sp. 2114.2	1881022	S	271	1633	1904	0.00015
Streptomyces sp. S1A1-7	2594459	S	269	2593	2862	0.00023
Streptomyces sp. WA1-19	2884220	S	265	1358	1623	0.00013
Streptomyces sp. LBUM 1482	2609809	S	224	5746	5970	0.00048
Streptomyces sp. R527F	1664033	S	219	1216	1435	0.00012
Streptomyces sp. A1-5	2738410	S	199	909	1108	0.00009
Streptomyces sp. RLB3-17	2594455	S	187	3006	3193	0.00026
Streptomyces sp. GF20	2692235	S	183	991	1174	0.00010
Streptomyces sp. CA-256286	2801033	S	169	1026	1195	0.00010
Streptomyces sp. LBUM 1475	2609807	S	149	4484	4633	0.00038
Streptomyces sp. 604F	1476754	S	137	1214	1351	0.00011
Streptomyces sp. CC0208	2306165	S	134	3565	3699	0.00030
Streptomyces sp. FR-008	206662	S	123	971	1094	0.00009
Streptomyces sp. RLB3-6	2594457	S	123	3979	4102	0.00033
Streptomyces sp. NBU3104	2911367	S	117	740	857	0.00007
Streptomyces sp. PLM4	2929798	S	108	861	969	0.00008
Streptomyces sp. OUCMDZ-3434	1535304	S	99	1016	1115	0.00009
Streptomyces sp. S1D4-20	2594462	S	99	2772	2871	0.00023
Streptomyces sp. RLB1-9	2594454	S	89	5055	5144	0.00042
Streptomyces sp. GBA 94-10	1218177	S	85	1067	1152	0.00009
Streptomyces sp. PVA_94-07	1225337	S	73	1058	1131	0.00009
Streptomyces sp. A10(2020)	2782013	S	72	811	883	0.00007
Streptomyces sp. S1D4-14	2594461	S	54	3632	3686	0.00030
Streptomyces sp. S1D4-23	2594463	S	53	2924	2977	0.00024
Streptomyces sp. ICC4	2099584	S	28	1958	1986	0.00016
Streptomyces sp. ICC1	2099583	S	24	1450	1474	0.00012
Streptomyces sp. SM17	565560	S	20	797	817	0.00007
Streptomyces cyanogenus	80860	S	25081	9723	34804	0.00282
Streptomyces hygroscopicus	1912	S	15076	19802	34878	0.00283
Streptomyces rapamycinicus	1226757	S	3588	782	4370	0.00035
Streptomyces yatensis	155177	S	1422	920	2342	0.00019
Streptomyces violaceusniger	68280	S	1386	809	2195	0.00018
Streptomyces malaysiensis	92644	S	337	968	1305	0.00011
Streptomyces venezuelae	54571	S	18359	6027	24386	0.00198
Streptomyces cadmiisoli	2184053	S	5070	1099	6169	0.00050
Streptomyces qaidamensis	1783515	S	3939	1472	5411	0.00044
Streptomyces aurantiacus	47760	S	3752	776	4528	0.00037
Streptomyces alboniger	132473	S	2154	711	2865	0.00023
Streptomyces koyangensis	188770	S	1403	1272	2675	0.00022
Streptomyces harbinensis	1176198	S	15616	3810	19426	0.00158
Streptomyces griseorubiginosus	67304	S	11689	3346	15035	0.00122
Streptomyces chartreusis	1969	S	11481	4871	16352	0.00133
Streptomyces actuosus	1885	S	11168	4091	15259	0.00124
Streptomyces griseochromogenes	68214	S	10876	2621	13497	0.00110
Streptomyces incarnatus	665007	S	9225	2543	11768	0.00095
Streptomyces collinus	42684	S	9131	4756	13887	0.00113
Streptomyces capitiformicae	2014920	S	8176	1203	9379	0.00076
Streptomyces seoulensis	73044	S	7593	2523	10116	0.00082
Streptomyces davaonensis	348043	S	7528	1811	9339	0.00076
Streptomyces bingchenggensis	379067	S	7294	1228	8522	0.00069
Streptomyces asoensis	249586	S	7262	1872	9134	0.00074
Streptomyces griseus	1911	S	2745	2157	4902	0.00040
Streptomyces sp. M54	2759525	S	322	776	1098	0.00009
Streptomyces anulatus	1892	S	2001	1926	3927	0.00032
Streptomyces microflavus	1919	S	1043	4304	5347	0.00043
Streptomyces globisporus	1908	S	845	5776	6621	0.00054
Streptomyces albus	1888	S	7052	3187	10239	0.00083
Streptomyces viridosporus	67581	S	6997	2529	9526	0.00077
Streptomyces fodineus	1904616	S	6945	2145	9090	0.00074
Streptomyces tendae	1932	S	6730	2420	9150	0.00074
Streptomyces aquilus	2548456	S	6604	1690	8294	0.00067
Streptomyces cyaneochromogenes	2496836	S	6551	1675	8226	0.00067
Streptomyces galilaeus	33899	S	6527	1871	8398	0.00068
Streptomyces broussonetiae	2686304	S	6524	1711	8235	0.00067
