name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	4338921	452149	4791070	0.24499
Betaproteobacteria	28216	C	1808010	318197	2126207	0.10872
Gammaproteobacteria	1236	C	1471196	392055	1863251	0.09528
Deltaproteobacteria	28221	C	824317	48828	873145	0.04465
Epsilonproteobacteria	29547	C	6090	272	6362	0.00033
Acidithiobacillia	1807140	C	3326	350	3676	0.00019
Oligoflexia	1553900	C	1474	20	1494	0.00008
Hydrogenophilalia	2008785	C	1146	236	1382	0.00007
Zetaproteobacteria	580370	C	683	20	703	0.00004
Actinomycetia	1760	C	7032885	372487	7405372	0.37867
Rubrobacteria	84995	C	151716	10790	162506	0.00831
Thermoleophilia	1497346	C	131512	18923	150435	0.00769
Acidimicrobiia	84992	C	117115	14361	131476	0.00672
Coriobacteriia	84998	C	27729	4928	32657	0.00167
Nitriliruptoria	908620	C	25682	2556	28238	0.00144
Bacilli	91061	C	253491	157090	410581	0.02099
Clostridia	186801	C	58387	17302	75689	0.00387
Negativicutes	909932	C	7643	746	8389	0.00043
Limnochordia	1676648	C	4759	203	4962	0.00025
Erysipelotrichia	526524	C	957	220	1177	0.00006
Tissierellia	1737404	C	914	787	1701	0.00009
Deinococci	188787	C	63784	43866	107650	0.00550
Gloeobacteria	307596	C	6622	14382	21004	0.00107
Thermomicrobia	189775	C	17817	735	18552	0.00095
Chloroflexia	32061	C	8475	305	8780	0.00045
Tepidiformia	2682225	C	8242	364	8606	0.00044
Ardenticatenia	1382928	C	6512	138	6650	0.00034
Caldilineae	475962	C	3131	196	3327	0.00017
Anaerolineae	292625	C	2755	54	2809	0.00014
Dehalococcoidia	301297	C	2077	36	2113	0.00011
Ktedonobacteria	388447	C	1146	1338	2484	0.00013
Candidatus Thermofonsia	2364196	C	1125	12	1137	0.00006
Fimbriimonadia	1663419	C	3113	18	3131	0.00016
Chthonomonadetes	1077257	C	858	7	865	0.00004
Mollicutes	31969	C	948	207	1155	0.00006
Planctomycetia	203683	C	621988	10168	632156	0.03233
Phycisphaerae	666505	C	22703	857	23560	0.00120
Candidatus Brocadiia	2517206	C	259	1	260	0.00001
Candidatus Uabimicrobiia	2897345	C	194	3	197	0.00001
Opitutae	414999	C	36040	1524	37564	0.00192
Verrucomicrobiae	203494	C	17768	3079	20847	0.00107
Methylacidiphilae	1955630	C	227	9	236	0.00001
Spartobacteria	134549	C	114	8	122	0.00001
Kiritimatiellae	1921781	C	1606	1900	3506	0.00018
Tichowtungiia	2907184	C	526	19	545	0.00003
Chlamydiia	204429	C	639	568	1207	0.00006
Cytophagia	768503	C	56562	24492	81054	0.00414
Bacteroidia	200643	C	17238	3837	21075	0.00108
Chitinophagia	1853228	C	13106	209	13315	0.00068
Flavobacteriia	117743	C	12226	1040	13266	0.00068
Sphingobacteriia	117747	C	5894	600	6494	0.00033
Saprospiria	1937959	C	473	147	620	0.00003
Chlorobia	191410	C	6419	762	7181	0.00037
Ignavibacteria	795747	C	337	7	344	0.00002
Gemmatimonadetes	219685	C	113830	6918	120748	0.00617
Fibrobacteria	204430	C	274	121	395	0.00002
Vicinamibacteria	1813735	C	119960	7091	127051	0.00650
Acidobacteriia	204432	C	56720	929	57649	0.00295
Blastocatellia	1562566	C	5693	220	5913	0.00030
Holophagae	533205	C	4040	82	4122	0.00021
Nitrospira	203693	C	24850	371	25221	0.00129
Thermodesulfovibrionia	2811502	C	378	10	388	0.00002
Spirochaetia	203692	C	5668	368	6036	0.00031
Synergistia	649775	C	5253	1507	6760	0.00035
Candidatus Saccharimonia	2093818	C	184	272	456	0.00002
Candidatus Babeliae	2497643	C	222	130	352	0.00002
Thermotogae	188708	C	1519	82	1601	0.00008
Aquificae	187857	C	1114	18	1132	0.00006
Thermodesulfobacteria	67799	C	828	16	844	0.00004
Calditrichia	1962850	C	610	6	616	0.00003
Deferribacteres	68337	C	567	18	585	0.00003
Chrysiogenetes	118001	C	471	228	699	0.00004
Fusobacteriia	203490	C	416	80	496	0.00003
Elusimicrobia	641853	C	184	4	188	0.00001
Endomicrobia	447830	C	140	3	143	0.00001
Coprothermobacteria	2138243	C	201	43	244	0.00001
Dictyoglomia	203486	C	161	0	161	0.00001
Caldisericia	693071	C	156	0	156	0.00001
Atribacteria	2847774	C	115	3	118	0.00001
Sordariomycetes	147550	C	38531	642	39173	0.00200
Leotiomycetes	147548	C	323	2	325	0.00002
Eurotiomycetes	147545	C	7440	264	7704	0.00039
Dothideomycetes	147541	C	1638	237	1875	0.00010
Saccharomycetes	4891	C	1563	150	1713	0.00009
Schizosaccharomycetes	147554	C	52	1	53	0.00000
Ustilaginomycetes	5257	C	3290	59	3349	0.00017
Malasseziomycetes	1538075	C	205	31	236	0.00001
Agaricomycetes	155619	C	945	15	960	0.00005
Tremellomycetes	155616	C	230	6187	6417	0.00033
