name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	525327	51502	576829	0.02950
Rhizobiaceae	82115	F	295628	114619	410247	0.02098
Phyllobacteriaceae	69277	F	279880	50711	330591	0.01690
Methylobacteriaceae	119045	F	226132	33968	260100	0.01330
Xanthobacteraceae	335928	F	96572	17942	114514	0.00586
Hyphomicrobiaceae	45401	F	77415	7519	84934	0.00434
Devosiaceae	2831106	F	55615	4929	60544	0.00310
Boseaceae	2831100	F	53212	8521	61733	0.00316
Aurantimonadaceae	255475	F	49647	48596	98243	0.00502
Methylocystaceae	31993	F	31098	2746	33844	0.00173
Stappiaceae	2821832	F	29643	7005	36648	0.00187
Phreatobacteraceae	2843305	F	25808	4689	30497	0.00156
Parvibaculaceae	2813035	F	23625	5433	29058	0.00149
Chelatococcaceae	2036754	F	19219	4637	23856	0.00122
Blastochloridaceae	2831090	F	15065	3744	18809	0.00096
Beijerinckiaceae	45404	F	14468	1115	15583	0.00080
Amorphaceae	2685818	F	10595	1207	11802	0.00060
Kaistiaceae	2831111	F	8945	2321	11266	0.00058
Brucellaceae	118882	F	8228	5560	13788	0.00071
Breoghaniaceae	2831104	F	6079	841	6920	0.00035
Pleomorphomonadaceae	2843308	F	6053	1137	7190	0.00037
Lichenihabitantaceae	2723775	F	5055	252	5307	0.00027
Cohaesibacteraceae	655351	F	987	41	1028	0.00005
Bartonellaceae	772	F	815	56	871	0.00004
Sphingomonadaceae	41297	F	854272	106624	960896	0.04913
Erythrobacteraceae	335929	F	110012	21060	131072	0.00670
Sphingosinicellaceae	2820280	F	38912	3490	42402	0.00217
Zymomonadaceae	2844881	F	291	224	515	0.00003
Azospirillaceae	2829815	F	167351	17105	184456	0.00943
Acetobacteraceae	433	F	131574	16254	147828	0.00756
Rhodospirillaceae	41295	F	108879	410716	519595	0.02657
Stellaceae	2844601	F	21494	1538	23032	0.00118
Elioraeaceae	2690195	F	8952	458	9410	0.00048
Thalassospiraceae	2844866	F	4980	316	5296	0.00027
Terasakiellaceae	2813951	F	219	5	224	0.00001
Rhodobacteraceae	31989	F	165778	22988	188766	0.00965
Roseobacteraceae	2854170	F	111003	13380	124383	0.00636
Caulobacteraceae	76892	F	161344	16192	177536	0.00908
Hyphomonadaceae	69657	F	11495	400	11895	0.00061
Maricaulaceae	2800061	F	9621	996	10617	0.00054
Parvularculaceae	255474	F	3185	210	3395	0.00017
Anaplasmataceae	942	F	776	11	787	0.00004
Rickettsiaceae	775	F	563	32	595	0.00003
Candidatus Midichloriaceae	1328881	F	71	67	138	0.00001
Candidatus Deianiraeaceae	2603433	F	38	0	38	0.00000
Emcibacteraceae	2066491	F	1362	1375	2737	0.00014
Holosporaceae	44746	F	233	4	237	0.00001
Caedimonadaceae	2100208	F	132	9	141	0.00001
Candidatus Paracaedibacteraceae	1777752	F	121	9	130	0.00001
Magnetococcaceae	1191479	F	358	9	367	0.00002
Pelagibacteraceae	1655514	F	102	90	192	0.00001
Kordiimonadaceae	1331809	F	161	3	164	0.00001
Burkholderiaceae	119060	F	523611	143818	667429	0.03413
Comamonadaceae	80864	F	398831	154352	553183	0.02829
Oxalobacteraceae	75682	F	157237	23720	180957	0.00925
Alcaligenaceae	506	F	147491	202299	349790	0.01789
Sutterellaceae	995019	F	3304	315	3619	0.00019
Zoogloeaceae	2008794	F	60442	28452	88894	0.00455
Rhodocyclaceae	75787	F	47861	18199	66060	0.00338
Azonexaceae	2008795	F	14242	1842	16084	0.00082
Fluviibacteraceae	2808923	F	332	126	458	0.00002
Usitatibacteraceae	2803844	F	39435	3755	43190	0.00221
Sterolibacteriaceae	2008793	F	18570	6226	24796	0.00127
Nitrosomonadaceae	206379	F	10524	510	11034	0.00056
Thiobacillaceae	2008790	F	10361	3727	14088	0.00072
Gallionellaceae	90627	F	9401	1373	10774	0.00055
