name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	2098149	146061	2244210	0.11476
Sphingomonadales	204457	O	1042452	92434	1134886	0.05803
Rhodospirillales	204441	O	461551	428293	889844	0.04550
Rhodobacterales	204455	O	292752	20398	313150	0.01601
Caulobacterales	204458	O	161344	16192	177536	0.00908
Hyphomonadales	2800060	O	11495	400	11895	0.00061
Maricaulales	2800059	O	9621	996	10617	0.00054
Parvularculales	255473	O	3185	210	3395	0.00017
Rickettsiales	766	O	1535	25	1560	0.00008
Emcibacterales	2066490	O	1362	1375	2737	0.00014
Holosporales	1921002	O	495	14	509	0.00003
Magnetococcales	1191478	O	358	9	367	0.00002
Pelagibacterales	54526	O	189	3	192	0.00001
Kordiimonadales	362534	O	161	3	164	0.00001
Burkholderiales	80840	O	1447722	307258	1754980	0.08974
Rhodocyclales	206389	O	128699	42799	171498	0.00877
Nitrosomonadales	32003	O	100179	15046	115225	0.00589
Neisseriales	206351	O	65448	19040	84488	0.00432
Xanthomonadales	135614	O	478492	78756	557248	0.02849
Pseudomonadales	72274	O	432271	131640	563911	0.02884
Enterobacterales	91347	O	111369	206656	318025	0.01626
Chromatiales	135613	O	103308	8636	111944	0.00572
Oceanospirillales	135619	O	79811	11161	90972	0.00465
Methylococcales	135618	O	32549	1634	34183	0.00175
Aeromonadales	135624	O	28378	21106	49484	0.00253
Nevskiales	1775403	O	28322	5472	33794	0.00173
Acidiferrobacterales	1692040	O	22953	1216	24169	0.00124
Cellvibrionales	1706369	O	17608	1147	18755	0.00096
Alteromonadales	135622	O	13888	2373	16261	0.00083
Vibrionales	135623	O	7684	2293	9977	0.00051
Immundisolibacterales	1934945	O	5200	5867	11067	0.00057
Moraxellales	2887326	O	3923	1939	5862	0.00030
Thiotrichales	72273	O	3398	237	3635	0.00019
Salinisphaerales	742030	O	3102	139	3241	0.00017
Legionellales	118969	O	2846	3114	5960	0.00030
Cardiobacteriales	135615	O	1706	248	1954	0.00010
Pasteurellales	135625	O	1579	774	2353	0.00012
Kangiellales	2887327	O	274	20	294	0.00002
Orbales	1240482	O	129	23	152	0.00001
Myxococcales	29	O	661955	45864	707819	0.03619
Desulfuromonadales	69541	O	65669	6006	71675	0.00367
Desulfovibrionales	213115	O	45554	3932	49486	0.00253
Desulfobacterales	213118	O	16899	1728	18627	0.00095
Bradymonadales	1779134	O	11573	358	11931	0.00061
Syntrophobacterales	213462	O	3911	1001	4912	0.00025
Desulfarculales	453227	O	3664	2326	5990	0.00031
Syntrophales	2914038	O	1942	673	2615	0.00013
Desulfurellales	213113	O	82	4	86	0.00000
Campylobacterales	213849	O	5547	303	5850	0.00030
Nautiliales	235899	O	465	47	512	0.00003
Acidithiobacillales	225057	O	3326	350	3676	0.00019
Bdellovibrionales	213481	O	1224	18	1242	0.00006
Bacteriovoracales	2024979	O	174	1	175	0.00001
Silvanigrellales	2024973	O	74	1	75	0.00000
Hydrogenophilales	119069	O	1146	236	1382	0.00007
Mariprofundales	580371	O	683	20	703	0.00004
Streptomycetales	85011	O	1745619	416001	2161620	0.11053
Micrococcales	85006	O	1052454	168116	1220570	0.06241
Corynebacteriales	85007	O	822528	115489	938017	0.04796
Propionibacteriales	85009	O	691592	146465	838057	0.04285
Micromonosporales	85008	O	607031	101237	708268	0.03622
Pseudonocardiales	85010	O	604224	103145	707369	0.03617
Streptosporangiales	85012	O	400566	72491	473057	0.02419
Geodermatophilales	1643682	O	90320	26882	117202	0.00599
Actinomycetales	2037	O	48161	7800	55961	0.00286
Frankiales	85013	O	46371	5153	51524	0.00263
Jiangellales	1217098	O	34203	7009	41212	0.00211
Bifidobacteriales	85004	O	18716	6619	25335	0.00130
Nakamurellales	1643684	O	16708	2626	19334	0.00099
Catenulisporales	414714	O	9478	1624	11102	0.00057
Jatrophihabitantales	2805415	O	7465	765	8230	0.00042
Glycomycetales	85014	O	6950	651	7601	0.00039
Kineosporiales	622452	O	5941	1929	7870	0.00040
Actinopolysporales	622450	O	3696	443	4139	0.00021
