name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	2997773	307052	3304825	0.26344
Betaproteobacteria	28216	C	1292946	252558	1545504	0.12320
Gammaproteobacteria	1236	C	987433	274016	1261449	0.10056
Deltaproteobacteria	28221	C	610239	57681	667920	0.05324
Epsilonproteobacteria	29547	C	4577	268	4845	0.00039
Acidithiobacillia	1807140	C	2288	244	2532	0.00020
Oligoflexia	1553900	C	1215	18	1233	0.00010
Hydrogenophilalia	2008785	C	780	177	957	0.00008
Zetaproteobacteria	580370	C	488	16	504	0.00004
Actinomycetia	1760	C	3876920	225850	4102770	0.32705
Thermoleophilia	1497346	C	94813	14921	109734	0.00875
Rubrobacteria	84995	C	62952	6580	69532	0.00554
Acidimicrobiia	84992	C	50112	6693	56805	0.00453
Coriobacteriia	84998	C	18693	3654	22347	0.00178
Nitriliruptoria	908620	C	14417	1554	15971	0.00127
Bacilli	91061	C	130609	92436	223045	0.01778
Clostridia	186801	C	39450	11272	50722	0.00404
Negativicutes	909932	C	5558	626	6184	0.00049
Limnochordia	1676648	C	2908	137	3045	0.00024
Tissierellia	1737404	C	826	513	1339	0.00011
Erysipelotrichia	526524	C	660	38135	38795	0.00309
Gloeobacteria	307596	C	4502	5708	10210	0.00081
Deinococci	188787	C	40941	2008	42949	0.00342
Thermomicrobia	189775	C	9104	401	9505	0.00076
Chloroflexia	32061	C	6661	261	6922	0.00055
Tepidiformia	2682225	C	6060	296	6356	0.00051
Ardenticatenia	1382928	C	4231	99	4330	0.00035
Anaerolineae	292625	C	2432	51	2483	0.00020
Caldilineae	475962	C	2196	149	2345	0.00019
Dehalococcoidia	301297	C	1388	26	1414	0.00011
Ktedonobacteria	388447	C	1299	932	2231	0.00018
Candidatus Thermofonsia	2364196	C	758	8	766	0.00006
Fimbriimonadia	1663419	C	2359	15	2374	0.00019
Chthonomonadetes	1077257	C	657	6	663	0.00005
Mollicutes	31969	C	720	165	885	0.00007
Planctomycetia	203683	C	398152	7055	405207	0.03230
Phycisphaerae	666505	C	15151	576	15727	0.00125
Candidatus Brocadiia	2517206	C	173	0	173	0.00001
Candidatus Uabimicrobiia	2897345	C	117	2	119	0.00001
Opitutae	414999	C	34241	1556	35797	0.00285
Verrucomicrobiae	203494	C	12439	2292	14731	0.00117
Spartobacteria	134549	C	212	17	229	0.00002
Methylacidiphilae	1955630	C	212	9	221	0.00002
Kiritimatiellae	1921781	C	1118	1317	2435	0.00019
Tichowtungiia	2907184	C	353	15	368	0.00003
Chlamydiia	204429	C	719	435	1154	0.00009
Cytophagia	768503	C	40092	1042	41134	0.00328
Chitinophagia	1853228	C	26845	14490	41335	0.00330
Bacteroidia	200643	C	12703	3145	15848	0.00126
Flavobacteriia	117743	C	11909	1160	13069	0.00104
Sphingobacteriia	117747	C	5445	631	6076	0.00048
Saprospiria	1937959	C	396	131	527	0.00004
Chlorobia	191410	C	4634	590	5224	0.00042
Ignavibacteria	795747	C	253	6	259	0.00002
Gemmatimonadetes	219685	C	118812	8024	126836	0.01011
Fibrobacteria	204430	C	196	83	279	0.00002
Vicinamibacteria	1813735	C	87325	5765	93090	0.00742
Acidobacteriia	204432	C	55345	995	56340	0.00449
Blastocatellia	1562566	C	4560	202	4762	0.00038
Holophagae	533205	C	2622	60	2682	0.00021
Nitrospira	203693	C	18453	306	18759	0.00150
Thermodesulfovibrionia	2811502	C	250	6	256	0.00002
Spirochaetia	203692	C	4208	249	4457	0.00036
Synergistia	649775	C	3577	1139	4716	0.00038
Candidatus Saccharimonia	2093818	C	158	199	357	0.00003
Candidatus Babeliae	2497643	C	115	88	203	0.00002
Thermotogae	188708	C	996	64	1060	0.00008
Aquificae	187857	C	776	13	789	0.00006
Thermodesulfobacteria	67799	C	608	13	621	0.00005
Calditrichia	1962850	C	458	5	463	0.00004
Deferribacteres	68337	C	401	15	416	0.00003
Chrysiogenetes	118001	C	328	172	500	0.00004
Fusobacteriia	203490	C	313	83	396	0.00003
Endomicrobia	447830	C	135	3	138	0.00001
Elusimicrobia	641853	C	129	2	131	0.00001
Dictyoglomia	203486	C	132	0	132	0.00001
Coprothermobacteria	2138243	C	118	28	146	0.00001
Caldisericia	693071	C	111	0	111	0.00001
Atribacteria	2847774	C	76	2	78	0.00001
Sordariomycetes	147550	C	26485	583	27068	0.00216
Leotiomycetes	147548	C	190	1	191	0.00002
Eurotiomycetes	147545	C	5354	193	5547	0.00044
Dothideomycetes	147541	C	1017	158	1175	0.00009
Saccharomycetes	4891	C	1191	115	1306	0.00010
Schizosaccharomycetes	147554	C	14	0	14	0.00000
Ustilaginomycetes	5257	C	2015	41	2056	0.00016
Malasseziomycetes	1538075	C	158	25	183	0.00001
Agaricomycetes	155619	C	664	12	676	0.00005
Tremellomycetes	155616	C	133	5463	5596	0.00045
