name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	471483	51869	523352	0.04172
Rhizobiaceae	82115	F	193110	44383	237493	0.01893
Phyllobacteriaceae	69277	F	166528	32264	198792	0.01585
Methylobacteriaceae	119045	F	137585	23212	160797	0.01282
Xanthobacteraceae	335928	F	94639	18351	112990	0.00901
Hyphomicrobiaceae	45401	F	74013	7830	81843	0.00652
Boseaceae	2831100	F	34565	6087	40652	0.00324
Devosiaceae	2831106	F	32309	3181	35490	0.00283
Aurantimonadaceae	255475	F	30135	6758	36893	0.00294
Methylocystaceae	31993	F	21790	25442	47232	0.00377
Stappiaceae	2821832	F	17670	4434	22104	0.00176
Phreatobacteraceae	2843305	F	17017	3354	20371	0.00162
Parvibaculaceae	2813035	F	13113	3592	16705	0.00133
Beijerinckiaceae	45404	F	10581	892	11473	0.00091
Chelatococcaceae	2036754	F	10467	2691	13158	0.00105
Blastochloridaceae	2831090	F	10391	2817	13208	0.00105
Amorphaceae	2685818	F	6073	757	6830	0.00054
Kaistiaceae	2831111	F	5835	1664	7499	0.00060
Brucellaceae	118882	F	5669	11535	17204	0.00137
Pleomorphomonadaceae	2843308	F	3911	806	4717	0.00038
Breoghaniaceae	2831104	F	3719	563	4282	0.00034
Lichenihabitantaceae	2723775	F	3452	190	3642	0.00029
Cohaesibacteraceae	655351	F	712	32	744	0.00006
Bartonellaceae	772	F	700	48	748	0.00006
Sphingomonadaceae	41297	F	604143	77726	681869	0.05435
Erythrobacteraceae	335929	F	81958	16074	98032	0.00781
Sphingosinicellaceae	2820280	F	23560	2102	25662	0.00205
Zymomonadaceae	2844881	F	233	188	421	0.00003
Azospirillaceae	2829815	F	95712	10563	106275	0.00847
Acetobacteraceae	433	F	78728	10314	89042	0.00710
Rhodospirillaceae	41295	F	64410	269994	334404	0.02666
Stellaceae	2844601	F	11914	899	12813	0.00102
Elioraeaceae	2690195	F	5167	283	5450	0.00043
Thalassospiraceae	2844866	F	3159	223	3382	0.00027
Terasakiellaceae	2813951	F	125	3	128	0.00001
