name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	1522715	95516	1618231	0.12900
Sphingomonadales	204457	O	736473	69513	805986	0.06425
Rhodospirillales	204441	O	269510	281986	551496	0.04396
Rhodobacterales	204455	O	167506	12415	179921	0.01434
Caulobacterales	204458	O	117896	11943	129839	0.01035
Hyphomonadales	2800060	O	6708	257	6965	0.00056
Maricaulales	2800059	O	5890	630	6520	0.00052
Parvularculales	255473	O	1867	132	1999	0.00016
Rickettsiales	766	O	1067	20	1087	0.00009
Emcibacterales	2066490	O	914	975	1889	0.00015
Holosporales	1921002	O	358	11	369	0.00003
Magnetococcales	1191478	O	253	7	260	0.00002
Pelagibacterales	54526	O	133	2	135	0.00001
Kordiimonadales	362534	O	120	2	122	0.00001
Burkholderiales	80840	O	1052350	245948	1298298	0.10349
Rhodocyclales	206389	O	82126	27832	109958	0.00877
Nitrosomonadales	32003	O	70050	10321	80371	0.00641
Neisseriales	206351	O	43926	12928	56854	0.00453
Xanthomonadales	135614	O	366559	66927	433486	0.03455
Pseudomonadales	72274	O	250590	81665	332255	0.02649
Enterobacterales	91347	O	79365	141781	221146	0.01763
Chromatiales	135613	O	64092	5844	69936	0.00557
Oceanospirillales	135619	O	49466	7738	57204	0.00456
Methylococcales	135618	O	20668	1107	21775	0.00174
Aeromonadales	135624	O	17856	14175	32031	0.00255
Nevskiales	1775403	O	17073	3645	20718	0.00165
Acidiferrobacterales	1692040	O	14491	837	15328	0.00122
Cellvibrionales	1706369	O	10755	658	11413	0.00091
Alteromonadales	135622	O	10363	1580	11943	0.00095
Vibrionales	135623	O	6324	1233	7557	0.00060
Moraxellales	2887326	O	3450	1932	5382	0.00043
Immundisolibacterales	1934945	O	3272	3868	7140	0.00057
Thiotrichales	72273	O	2521	386	2907	0.00023
Legionellales	118969	O	2468	111	2579	0.00021
Salinisphaerales	742030	O	2024	1923	3947	0.00031
Pasteurellales	135625	O	1652	1395	3047	0.00024
Cardiobacteriales	135615	O	1150	178	1328	0.00011
Kangiellales	2887327	O	180	13	193	0.00002
