name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. 200	2782665	S	10469	2504	12973	0.00103
Bradyrhizobium sp. 170	2782641	S	9065	2500	11565	0.00092
Bradyrhizobium sp. CCBAU 051011	858422	S	8494	1729	10223	0.00082
Bradyrhizobium sp. CCBAU 51753	1325100	S	8085	1895	9980	0.00080
Bradyrhizobium sp. A19	2898149	S	6643	1262	7905	0.00063
Bradyrhizobium sp. BTAi1	288000	S	6524	1300	7824	0.00062
Bradyrhizobium sp. ORS 278	114615	S	6406	1596	8002	0.00064
Bradyrhizobium sp. ORS 285	115808	S	6375	1564	7939	0.00063
Bradyrhizobium sp. CCBAU 53351	1325114	S	5445	2845	8290	0.00066
Bradyrhizobium sp. SK17	2057741	S	5143	1802	6945	0.00055
Bradyrhizobium sp. 186	2782654	S	4843	1389	6232	0.00050
Bradyrhizobium sp. CCBAU 53421	1325120	S	4392	1454	5846	0.00047
Bradyrhizobium sp. 195	2782662	S	4125	1561	5686	0.00045
Bradyrhizobium sp. CCBAU 53340	1325112	S	3923	1575	5498	0.00044
Bradyrhizobium sp. CCBAU 53338	1325111	S	3900	1651	5551	0.00044
Bradyrhizobium sp. 1(2017)	1404888	S	3767	1242	5009	0.00040
Bradyrhizobium sp. 6(2017)	1197460	S	3211	1626	4837	0.00039
Bradyrhizobium sp. S2-11-2	2840472	S	2967	2426	5393	0.00043
Bradyrhizobium sp. CCGE-LA001	1223566	S	2961	1155	4116	0.00033
Bradyrhizobium sp. S2-20-1	2840469	S	2623	2279	4902	0.00039
Bradyrhizobium sp. 41S5	1404443	S	2538	1780	4318	0.00034
Bradyrhizobium sp. CCBAU 51765	1325102	S	2495	2401	4896	0.00039
Bradyrhizobium sp. I71	2590772	S	2493	2314	4807	0.00038
Bradyrhizobium sp. 191	2782659	S	2433	2548	4981	0.00040
Bradyrhizobium sp. S2-11-4	2840473	S	2393	2287	4680	0.00037
Bradyrhizobium sp. C-145	574727	S	1822	1835	3657	0.00029
Bradyrhizobium sp.	376	S	1288	4278	5566	0.00044
Bradyrhizobium sp. 4	2782678	S	949	2529	3478	0.00028
Bradyrhizobium sp. 40	2782674	S	903	2143	3046	0.00024
Bradyrhizobium sp. 144S4	2823807	S	815	2052	2867	0.00023
Bradyrhizobium sp. 323S2	1404649	S	799	2050	2849	0.00023
Bradyrhizobium sp. 192	2782660	S	715	1762	2477	0.00020
Bradyrhizobium sp. LCT2	2493093	S	506	1427	1933	0.00015
Bradyrhizobium sp. SG09	2599805	S	348	2524	2872	0.00023
Bradyrhizobium sp. 187	2782655	S	313	1563	1876	0.00015
Bradyrhizobium sp. TM102	2599819	S	304	2111	2415	0.00019
Bradyrhizobium sp. 172	2782643	S	154	1902	2056	0.00016
Bradyrhizobium sp. 1S5	2816456	S	154	1764	1918	0.00015
Bradyrhizobium sp. 38S5	2819348	S	152	1888	2040	0.00016
Bradyrhizobium sp. CW1	2782686	S	130	2044	2174	0.00017
Bradyrhizobium sp. 131	2782609	S	124	2056	2180	0.00017
Bradyrhizobium sp. 155	2782629	S	71	1298	1369	0.00011
Bradyrhizobium sp. CCBAU 21365	1325083	S	18	878	896	0.00007
Bradyrhizobium erythrophlei	1437360	S	20902	1875	22777	0.00182
Bradyrhizobium diazoefficiens	1355477	S	16573	33225	49798	0.00397
Bradyrhizobium icense	1274631	S	8279	1277	9556	0.00076
Bradyrhizobium paxllaeri	190148	S	7806	1548	9354	0.00075
Bradyrhizobium lablabi	722472	S	7010	8266	15276	0.00122
Bradyrhizobium canariense	255045	S	6174	9785	15959	0.00127
Bradyrhizobium genosp. L	83637	S	6135	1340	7475	0.00060
Bradyrhizobium oligotrophicum	44255	S	5742	1096	6838	0.00055
Bradyrhizobium japonicum	375	S	5723	8203	13926	0.00111
Bradyrhizobium guangxiense	1325115	S	4918	2208	7126	0.00057
Bradyrhizobium arachidis	858423	S	4780	1430	6210	0.00050
Bradyrhizobium guangdongense	1325090	S	4272	1640	5912	0.00047
Bradyrhizobium vignae	1549949	S	3988	994	4982	0.00040
Bradyrhizobium genosp. B	83627	S	3780	858	4638	0.00037
Bradyrhizobium quebecense	2748629	S	3659	2132	5791	0.00046
Bradyrhizobium cosmicum	1404864	S	3637	1239	4876	0.00039
Bradyrhizobium guangzhouense	1325095	S	3536	1389	4925	0.00039
Bradyrhizobium septentrionale	1404411	S	3106	1948	5054	0.00040
Bradyrhizobium daqingense	993502	S	2535	1413	3948	0.00031
Bradyrhizobium amphicarpaeae	1404768	S	2358	1019	3377	0.00027
Bradyrhizobium betae	244734	S	2286	1356	3642	0.00029
Bradyrhizobium symbiodeficiens	1404367	S	2131	3239	5370	0.00043
Bradyrhizobium zhanjiangense	1325107	S	1904	1926	3830	0.00031
Bradyrhizobium elkanii	29448	S	964	3312	4276	0.00034
Bradyrhizobium ottawaense	931866	S	790	4968	5758	0.00046
Rhodopseudomonas palustris	1076	S	22535	8819	31354	0.00250
Rhodopseudomonas sp. SK50-23	340268	S	2969	672	3641	0.00029
Rhodopseudomonas boonkerdii	475937	S	2882	835	3717	0.00030
