name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	512709	29244	541953	0.12872
Sphingomonadales	204457	O	294177	25749	319926	0.07599
Rhodospirillales	204441	O	76297	65514	141811	0.03368
Caulobacterales	204458	O	71829	7109	78938	0.01875
Rhodobacterales	204455	O	45702	3658	49360	0.01172
Hyphomonadales	2800060	O	2002	76	2078	0.00049
Maricaulales	2800059	O	1797	197	1994	0.00047
Parvularculales	255473	O	506	35	541	0.00013
Emcibacterales	2066490	O	293	29	322	0.00008
Rickettsiales	766	O	231	230	461	0.00011
Holosporales	1921002	O	77	2	79	0.00002
Pelagibacterales	54526	O	69	1	70	0.00002
Magnetococcales	1191478	O	68	1	69	0.00002
Kordiimonadales	362534	O	27	0	27	0.00001
Burkholderiales	80840	O	336017	71851	407868	0.09688
Nitrosomonadales	32003	O	31137	3631	34768	0.00826
Rhodocyclales	206389	O	22655	7011	29666	0.00705
Neisseriales	206351	O	12012	3361	15373	0.00365
Xanthomonadales	135614	O	102899	17569	120468	0.02861
Pseudomonadales	72274	O	66269	19476	85745	0.02037
Enterobacterales	91347	O	19804	33258	53062	0.01260
Chromatiales	135613	O	14801	1214	16015	0.00380
Oceanospirillales	135619	O	11869	1588	13457	0.00320
Methylococcales	135618	O	4445	213	4658	0.00111
Aeromonadales	135624	O	4423	2875	7298	0.00173
Nevskiales	1775403	O	4030	638	4668	0.00111
Acidiferrobacterales	1692040	O	3354	173	3527	0.00084
Alteromonadales	135622	O	2277	302	2579	0.00061
Cellvibrionales	1706369	O	2265	126	2391	0.00057
Vibrionales	135623	O	1217	380	1597	0.00038
Legionellales	118969	O	831	38	869	0.00021
Immundisolibacterales	1934945	O	770	851	1621	0.00039
Moraxellales	2887326	O	652	237	889	0.00021
Thiotrichales	72273	O	540	33	573	0.00014
Pasteurellales	135625	O	495	523	1018	0.00024
Salinisphaerales	742030	O	478	441	919	0.00022
Cardiobacteriales	135615	O	290	39	329	0.00008
Kangiellales	2887327	O	44	3	47	0.00001
Orbales	1240482	O	15	2	17	0.00000
Myxococcales	29	O	98883	33344	132227	0.03141
Desulfuromonadales	69541	O	10048	685	10733	0.00255
Desulfovibrionales	213115	O	6366	376	6742	0.00160
Desulfobacterales	213118	O	2383	140	2523	0.00060
Bradymonadales	1779134	O	1783	47	1830	0.00043
Syntrophobacterales	213462	O	511	69	580	0.00014
Desulfarculales	453227	O	457	145	602	0.00014
Syntrophales	2914038	O	261	84	345	0.00008
Desulfurellales	213113	O	12	0	12	0.00000
Campylobacterales	213849	O	844	56	900	0.00021
Nautiliales	235899	O	86	9	95	0.00002
Acidithiobacillales	225057	O	498	54	552	0.00013
Bdellovibrionales	213481	O	256	4	260	0.00006
Bacteriovoracales	2024979	O	22	0	22	0.00001
Silvanigrellales	2024973	O	14	0	14	0.00000
Hydrogenophilales	119069	O	166	32	198	0.00005
Mariprofundales	580371	O	122	3	125	0.00003
Streptomycetales	85011	O	362670	84204	446874	0.10614
Micromonosporales	85008	O	238128	42840	280968	0.06674
Micrococcales	85006	O	200623	30805	231428	0.05497
Corynebacteriales	85007	O	158461	26906	185367	0.04403
Pseudonocardiales	85010	O	119462	20537	139999	0.03325
Propionibacteriales	85009	O	103279	23576	126855	0.03013
Streptosporangiales	85012	O	75576	13647	89223	0.02119
Geodermatophilales	1643682	O	16191	4726	20917	0.00497
Frankiales	85013	O	10260	1111	11371	0.00270
Actinomycetales	2037	O	8597	1357	9954	0.00236
Jiangellales	1217098	O	5641	1140	6781	0.00161
Bifidobacteriales	85004	O	3390	852	4242	0.00101
Nakamurellales	1643684	O	3326	501	3827	0.00091
Catenulisporales	414714	O	2207	374	2581	0.00061
Jatrophihabitantales	2805415	O	1864	185	2049	0.00049
Glycomycetales	85014	O	1482	136	1618	0.00038
