name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteobacteria	1224	P	1972265	132583	2104848	0.49994
Actinobacteria	201174	P	1586498	68163	1654661	0.39301
Firmicutes	1239	P	109343	36149	145492	0.03456
Chloroflexi	200795	P	11864	205	12069	0.00287
Deinococcus-Thermus	1297	P	11185	609	11794	0.00280
Cyanobacteria	1117	P	9216	261	9477	0.00225
Armatimonadetes	67819	P	897	5	902	0.00021
Tenericutes	544448	P	229	11	240	0.00006
Gemmatimonadetes	142182	P	94577	5476	100053	0.02376
Bacteroidetes	976	P	30102	610	30712	0.00729
Chlorobi	1090	P	1111	38	1149	0.00027
Balneolaeota	1936987	P	89	8	97	0.00002
Ignavibacteriae	1134404	P	50	1	51	0.00001
Candidatus Cloacimonetes	456828	P	56	1	57	0.00001
Fibrobacteres	65842	P	26	0	26	0.00001
Planctomycetes	203682	P	66377	889	67266	0.01598
Verrucomicrobia	74201	P	13067	364	13431	0.00319
Kiritimatiellaeota	134625	P	327	265	592	0.00014
Chlamydiae	204428	P	187	11	198	0.00005
Candidatus Omnitrophica	67812	P	66	0	66	0.00002
Acidobacteria	57723	P	31861	874	32735	0.00778
Nitrospirae	40117	P	3784	55	3839	0.00091
Spirochaetes	203691	P	938	48	986	0.00023
Synergistetes	508458	P	835	69	904	0.00021
Candidatus Saccharibacteria	95818	P	273	17	290	0.00007
Candidatus Bipolaricaulota	67810	P	172	36	208	0.00005
Candidatus Absconditabacteria	221235	P	12	0	12	0.00000
Thermotogae	200918	P	217	16	233	0.00006
Aquificae	200783	P	138	2	140	0.00003
Thermodesulfobacteria	200940	P	120	2	122	0.00003
Calditrichaeota	1930617	P	96	0	96	0.00002
Deferribacteres	200930	P	83	2	85	0.00002
Chrysiogenetes	200938	P	70	32	102	0.00002
Fusobacteria	32066	P	66	8	74	0.00002
Elusimicrobia	74152	P	52	0	52	0.00001
Coprothermobacterota	2138240	P	26	5	31	0.00001
Dictyoglomi	68297	P	22	0	22	0.00001
Caldiserica	67814	P	20	0	20	0.00000
Atribacterota	67818	P	10	0	10	0.00000
Ascomycota	4890	P	14942	210	15152	0.00360
Basidiomycota	5204	P	764	25	789	0.00019
Oomycota	4762	P	997	132	1129	0.00027
