name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	1080258	112156	1192414	0.25831
Betaproteobacteria	28216	C	495582	101039	596621	0.12924
Gammaproteobacteria	1236	C	362916	103069	465985	0.10094
Deltaproteobacteria	28221	C	203423	24402	227825	0.04935
Epsilonproteobacteria	29547	C	1432	72	1504	0.00033
Acidithiobacillia	1807140	C	798	90	888	0.00019
Oligoflexia	1553900	C	387	5	392	0.00009
Hydrogenophilalia	2008785	C	265	60	325	0.00007
Zetaproteobacteria	580370	C	162	5	167	0.00004
Actinomycetia	1760	C	1482360	83927	1566287	0.33930
Thermoleophilia	1497346	C	23667	3736	27403	0.00594
Acidimicrobiia	84992	C	18750	2471	21221	0.00460
Rubrobacteria	84995	C	16150	1698	17848	0.00387
Coriobacteriia	84998	C	5528	1086	6614	0.00143
Nitriliruptoria	908620	C	4467	483	4950	0.00107
Bacilli	91061	C	47408	38679	86087	0.01865
Clostridia	186801	C	13032	4774	17806	0.00386
Negativicutes	909932	C	1699	199	1898	0.00041
Limnochordia	1676648	C	1250	59	1309	0.00028
Tissierellia	1737404	C	270	171	441	0.00010
Erysipelotrichia	526524	C	208	150	358	0.00008
Thermomicrobia	189775	C	6901	263	7164	0.00155
Chloroflexia	32061	C	2128	61	2189	0.00047
Tepidiformia	2682225	C	1787	80	1867	0.00040
Ardenticatenia	1382928	C	1424	31	1455	0.00032
Anaerolineae	292625	C	708	10	718	0.00016
Caldilineae	475962	C	658	30	688	0.00015
Dehalococcoidia	301297	C	405	5	410	0.00009
Candidatus Thermofonsia	2364196	C	305	2	307	0.00007
Ktedonobacteria	388447	C	286	10690	10976	0.00238
Gloeobacteria	307596	C	1344	1781	3125	0.00068
Deinococci	188787	C	13135	840	13975	0.00303
Fimbriimonadia	1663419	C	737	4	741	0.00016
Chthonomonadetes	1077257	C	198	1	199	0.00004
Mollicutes	31969	C	192	37	229	0.00005
Planctomycetia	203683	C	149144	2686	151830	0.03289
Phycisphaerae	666505	C	5355	211	5566	0.00121
Candidatus Brocadiia	2517206	C	68	0	68	0.00001
Candidatus Uabimicrobiia	2897345	C	44	0	44	0.00001
Opitutae	414999	C	11770	528	12298	0.00266
Verrucomicrobiae	203494	C	5148	725	5873	0.00127
Spartobacteria	134549	C	53	4	57	0.00001
Methylacidiphilae	1955630	C	48	1	49	0.00001
Kiritimatiellae	1921781	C	350	454	804	0.00017
Tichowtungiia	2907184	C	152	5	157	0.00003
Chlamydiia	204429	C	177	140	317	0.00007
Cytophagia	768503	C	14728	418	15146	0.00328
Chitinophagia	1853228	C	5908	4762	10670	0.00231
Bacteroidia	200643	C	4249	1190	5439	0.00118
Flavobacteriia	117743	C	3956	393	4349	0.00094
Sphingobacteriia	117747	C	2021	308	2329	0.00050
Saprospiria	1937959	C	143	37	180	0.00004
Chlorobia	191410	C	1478	64	1542	0.00033
Ignavibacteria	795747	C	83	95	178	0.00004
Gemmatimonadetes	219685	C	33078	2209	35287	0.00764
Fibrobacteria	204430	C	62	29	91	0.00002
Vicinamibacteria	1813735	C	34626	2215	36841	0.00798
Acidobacteriia	204432	C	15299	268	15567	0.00337
Blastocatellia	1562566	C	1463	52	1515	0.00033
Holophagae	533205	C	886	19	905	0.00020
Nitrospira	203693	C	5555	91	5646	0.00122
Thermodesulfovibrionia	2811502	C	79	2	81	0.00002
Spirochaetia	203692	C	1271	79	1350	0.00029
Synergistia	649775	C	1058	388	1446	0.00031
Candidatus Saccharimonia	2093818	C	50	44	94	0.00002
Candidatus Babeliae	2497643	C	41	39	80	0.00002
Thermotogae	188708	C	310	27	337	0.00007
Aquificae	187857	C	276	5	281	0.00006
Thermodesulfobacteria	67799	C	176	4	180	0.00004
Calditrichia	1962850	C	126	1	127	0.00003
Deferribacteres	68337	C	109	4	113	0.00002
Fusobacteriia	203490	C	102	19	121	0.00003
Chrysiogenetes	118001	C	93	50	143	0.00003
Elusimicrobia	641853	C	41	1	42	0.00001
Endomicrobia	447830	C	39	1	40	0.00001
Coprothermobacteria	2138243	C	61	14	75	0.00002
Caldisericia	693071	C	30	0	30	0.00001
Dictyoglomia	203486	C	28	0	28	0.00001
Atribacteria	2847774	C	23	0	23	0.00001
Sordariomycetes	147550	C	10963	148	11111	0.00241
Leotiomycetes	147548	C	80	0	80	0.00002
Eurotiomycetes	147545	C	2264	93	2357	0.00051
Dothideomycetes	147541	C	297	45	342	0.00007
Saccharomycetes	4891	C	353	32	385	0.00008
Schizosaccharomycetes	147554	C	10	0	10	0.00000
Ustilaginomycetes	5257	C	634	13	647	0.00014
Malasseziomycetes	1538075	C	49	8	57	0.00001
Agaricomycetes	155619	C	174	3	177	0.00004
Tremellomycetes	155616	C	35	1286	1321	0.00029
