name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	155163	17389	172552	0.03738
Rhizobiaceae	82115	F	73893	19208	93101	0.02017
Phyllobacteriaceae	69277	F	69703	14031	83734	0.01814
Methylobacteriaceae	119045	F	51854	9060	60914	0.01320
Xanthobacteraceae	335928	F	25631	5537	31168	0.00675
Hyphomicrobiaceae	45401	F	22765	2537	25302	0.00548
Devosiaceae	2831106	F	15290	1560	16850	0.00365
Boseaceae	2831100	F	12842	2464	15306	0.00332
Aurantimonadaceae	255475	F	11483	12275	23758	0.00515
Methylocystaceae	31993	F	7681	789	8470	0.00183
Stappiaceae	2821832	F	6706	1775	8481	0.00184
Phreatobacteraceae	2843305	F	6178	1331	7509	0.00163
Parvibaculaceae	2813035	F	5091	1422	6513	0.00141
Chelatococcaceae	2036754	F	4339	1233	5572	0.00121
Blastochloridaceae	2831090	F	3637	1068	4705	0.00102
Beijerinckiaceae	45404	F	3571	321	3892	0.00084
Amorphaceae	2685818	F	2231	295	2526	0.00055
Kaistiaceae	2831111	F	2176	670	2846	0.00062
Brucellaceae	118882	F	2131	2115	4246	0.00092
Pleomorphomonadaceae	2843308	F	1375	307	1682	0.00036
Breoghaniaceae	2831104	F	1338	218	1556	0.00034
Lichenihabitantaceae	2723775	F	1186	68	1254	0.00027
Cohaesibacteraceae	655351	F	243	11	254	0.00006
Bartonellaceae	772	F	235	17	252	0.00005
Sphingomonadaceae	41297	F	208278	27615	235893	0.05110
Erythrobacteraceae	335929	F	27628	5576	33204	0.00719
Sphingosinicellaceae	2820280	F	8321	773	9094	0.00197
Zymomonadaceae	2844881	F	71	44	115	0.00003
Azospirillaceae	2829815	F	36525	4103	40628	0.00880
Acetobacteraceae	433	F	28926	3837	32763	0.00710
Rhodospirillaceae	41295	F	25430	103323	128753	0.02789
Stellaceae	2844601	F	5025	397	5422	0.00117
Elioraeaceae	2690195	F	1983	112	2095	0.00045
Thalassospiraceae	2844866	F	1154	83	1237	0.00027
Terasakiellaceae	2813951	F	59	1	60	0.00001
Rhodobacteraceae	31989	F	35163	5318	40481	0.00877
Roseobacteraceae	2854170	F	23642	3050	26692	0.00578
Caulobacteraceae	76892	F	41694	4272	45966	0.00996
Hyphomonadaceae	69657	F	2907	109	3016	0.00065
Maricaulaceae	2800061	F	2198	248	2446	0.00053
Parvularculaceae	255474	F	654	408	1062	0.00023
Rickettsiaceae	775	F	157	9	166	0.00004
Anaplasmataceae	942	F	156	3	159	0.00003
Candidatus Midichloriaceae	1328881	F	16	15	31	0.00001
Emcibacteraceae	2066491	F	338	38	376	0.00008
Holosporaceae	44746	F	62	1	63	0.00001
Candidatus Paracaedibacteraceae	1777752	F	29	4	33	0.00001
Caedimonadaceae	2100208	F	27	2	29	0.00001
Magnetococcaceae	1191479	F	73	2	75	0.00002
Pelagibacteraceae	1655514	F	31	19	50	0.00001
Kordiimonadaceae	1331809	F	38	0	38	0.00001
Burkholderiaceae	119060	F	138747	45425	184172	0.03990
Comamonadaceae	80864	F	115918	46697	162615	0.03523
Oxalobacteraceae	75682	F	42920	6789	49709	0.01077
Alcaligenaceae	506	F	39715	59175	98890	0.02142
Sutterellaceae	995019	F	880	89	969	0.00021
Zoogloeaceae	2008794	F	15843	8015	23858	0.00517
Rhodocyclaceae	75787	F	12645	5192	17837	0.00386
Azonexaceae	2008795	F	3790	531	4321	0.00094
Fluviibacteraceae	2808923	F	114	47	161	0.00004
Usitatibacteraceae	2803844	F	11480	1174	12654	0.00274
Sterolibacteriaceae	2008793	F	5038	1845	6883	0.00149
Thiobacillaceae	2008790	F	2804	1081	3885	0.00084
Gallionellaceae	90627	F	2677	420	3097	0.00067
Nitrosomonadaceae	206379	F	2495	140	2635	0.00057
Sulfuricellaceae	2772226	F	2097	345	2442	0.00053
Methylophilaceae	32011	F	711	92	803	0.00017
Chromobacteriaceae	1499392	F	11270	2831	14101	0.00305
Neisseriaceae	481	F	4936	1247	6183	0.00134
Casimicrobiaceae	2705999	F	854	540	1394	0.00030
Xanthomonadaceae	32033	F	108227	29648	137875	0.02987
Rhodanobacteraceae	1775411	F	19476	3802	23278	0.00504
Pseudomonadaceae	135621	F	88126	27504	115630	0.02505
Marinobacteraceae	2887365	F	2314	245	2559	0.00055
Enterobacteriaceae	543	F	12399	49915	62314	0.01350
Yersiniaceae	1903411	F	4623	2273	6896	0.00149
Erwiniaceae	1903409	F	3485	678	4163	0.00090
Pectobacteriaceae	1903410	F	2318	428	2746	0.00059
Hafniaceae	1903412	F	664	184	848	0.00018
Morganellaceae	1903414	F	607	334	941	0.00020
Bruguierivoracaceae	2812006	F	421	33	454	0.00010
Budviciaceae	1903416	F	97	15	112	0.00002
Ectothiorhodospiraceae	72276	F	12078	1495	13573	0.00294
Chromatiaceae	1046	F	7918	670	8588	0.00186
Wenzhouxiangellaceae	1676141	F	1211	1242	2453	0.00053
Thioalkalibacteraceae	2035710	F	785	231	1016	0.00022
Thioalkalispiraceae	1096778	F	779	377	1156	0.00025
Halothiobacillaceae	255526	F	450	46	496	0.00011
Woeseiaceae	1738654	F	447	9	456	0.00010
Granulosicoccaceae	449719	F	270	8	278	0.00006
Halomonadaceae	28256	F	14606	1988	16594	0.00359
Alcanivoracaceae	224372	F	1523	829	2352	0.00051
Oceanospirillaceae	135620	F	981	133	1114	0.00024
Hahellaceae	224379	F	322	16	338	0.00007
Saccharospirillaceae	255527	F	309	19	328	0.00007
Litoricolaceae	449732	F	98	5	103	0.00002
Oleiphilaceae	191033	F	52	5	57	0.00001
Zooshikellaceae	2898533	F	41	1	42	0.00001
Endozoicomonadaceae	2066474	F	35	2	37	0.00001
Sinobacteraceae	568386	F	4777	725	5502	0.00119
Steroidobacteraceae	2689614	F	3773	1366	5139	0.00111
Methylococcaceae	403	F	7832	436	8268	0.00179
Aeromonadaceae	84642	F	6394	7183	13577	0.00294
Succinivibrionaceae	83763	F	18	1	19	0.00000
Acidiferrobacteraceae	1692041	F	5642	336	5978	0.00130
Microbulbiferaceae	1706373	F	2040	135	2175	0.00047
Cellvibrionaceae	1706371	F	1601	56	1657	0.00036
Halieaceae	1706372	F	843	106	949	0.00021
Spongiibacteraceae	1706375	F	374	33	407	0.00009
Shewanellaceae	267890	F	1782	394	2176	0.00047
Alteromonadaceae	72275	F	850	124	974	0.00021
Pseudoalteromonadaceae	267888	F	487	80	567	0.00012
Ferrimonadaceae	267892	F	243	36	279	0.00006
Idiomarinaceae	267893	F	88	11	99	0.00002
Colwelliaceae	267889	F	86	9	95	0.00002
Moritellaceae	267891	F	42	10	52	0.00001
Psychromonadaceae	267894	F	29	4	33	0.00001
Vibrionaceae	641	F	1907	374	2281	0.00049
Immundisolibacteraceae	1934946	F	1365	1463	2828	0.00061
Celerinatantimonadaceae	412032	F	17	30	47	0.00001
Moraxellaceae	468	F	991	394	1385	0.00030
Legionellaceae	444	F	622	51	673	0.00015
Coxiellaceae	118968	F	309	7	316	0.00007
Piscirickettsiaceae	135616	F	387	44	431	0.00009
Thiotrichaceae	135617	F	370	12	382	0.00008
Francisellaceae	34064	F	62	4	66	0.00001
Salinisphaeraceae	742031	F	774	813	1587	0.00034
Pasteurellaceae	712	F	437	151	588	0.00013
Cardiobacteriaceae	868	F	432	70	502	0.00011
Kangiellaceae	1920240	F	74	6	80	0.00002
Orbaceae	1240483	F	40	10	50	0.00001
Archangiaceae	39	F	30006	1460	31466	0.00682
Myxococcaceae	31	F	25440	24417	49857	0.01080
Anaeromyxobacteraceae	1524215	F	22153	1734	23887	0.00517
Vulgatibacteraceae	1524213	F	2514	207	2721	0.00059
Polyangiaceae	49	F	51295	4193	55488	0.01202
Sandaracinaceae	1055686	F	13735	818	14553	0.00315
Labilitrichaceae	1524216	F	4983	245	5228	0.00113
Kofleriaceae	224464	F	6047	336	6383	0.00138
Geobacteraceae	213422	F	11236	1191	12427	0.00269
Desulfuromonadaceae	213421	F	3520	588	4108	0.00089
Syntrophotaleaceae	2812024	F	563	72	635	0.00014
Desulfovibrionaceae	194924	F	9285	853	10138	0.00220
Desulfomicrobiaceae	213116	F	591	75	666	0.00014
Desulfohalobiaceae	213117	F	147	8	155	0.00003
Desulfobacteraceae	213119	F	2368	226	2594	0.00056
Desulfobulbaceae	213121	F	1054	147	1201	0.00026
Desulfosudaceae	2904715	F	298	14	312	0.00007
Desulfocapsaceae	2886822	F	172	16	188	0.00004
Bradymonadaceae	1779135	F	2453	344	2797	0.00061
Syntrophobacteraceae	213465	F	936	202	1138	0.00025
Desulfarculaceae	453228	F	803	442	1245	0.00027
Syntrophaceae	213468	F	473	88	561	0.00012
Candidatus Desulfofervidaceae	1902584	F	38	1	39	0.00001
Desulfurellaceae	117942	F	24	1	25	0.00001
Campylobacteraceae	72294	F	379	40	419	0.00009
Thiovulaceae	2771471	F	264	19	283	0.00006
Helicobacteraceae	72293	F	254	13	267	0.00006
Sulfurovaceae	2771472	F	171	14	185	0.00004
Hydrogenimonaceae	292630	F	96	9	105	0.00002
Sulfurospirillaceae	2932623	F	70	3	73	0.00002
Arcobacteraceae	2808963	F	60	8	68	0.00001
Nitratiruptoraceae	2795691	F	55	5	60	0.00001
Nautiliaceae	224467	F	35	5	40	0.00001
Acidithiobacillaceae	225058	F	798	90	888	0.00019
Bdellovibrionaceae	213483	F	338	5	343	0.00007
Bacteriovoracaceae	263369	F	18	7	25	0.00001
Silvanigrellaceae	2024974	F	16	0	16	0.00000
Hydrogenophilaceae	206349	F	265	60	325	0.00007
Mariprofundaceae	580372	F	162	5	167	0.00004
Streptomycetaceae	2062	F	334368	91079	425447	0.09216
Microbacteriaceae	85023	F	90548	16578	107126	0.02321
Micrococcaceae	1268	F	33500	9917	43417	0.00941
Cellulomonadaceae	85016	F	17743	7179	24922	0.00540
Intrasporangiaceae	85021	F	9985	3460	13445	0.00291
Promicromonosporaceae	85017	F	8577	4054	12631	0.00274
Ornithinimicrobiaceae	2805590	F	7547	1976	9523	0.00206
Dermabacteraceae	85020	F	5282	1268	6550	0.00142
Brevibacteriaceae	85019	F	5103	1304	6407	0.00139
Bogoriellaceae	145358	F	4073	1549	5622	0.00122
Ruaniaceae	1331736	F	3174	489	3663	0.00079
Dermacoccaceae	145357	F	3039	3720	6759	0.00146
Beutenbergiaceae	125316	F	2010	824	2834	0.00061
Sanguibacteraceae	145360	F	1385	541	1926	0.00042
Dermatophilaceae	85018	F	739	89	828	0.00018
Kytococcaceae	2805426	F	675	316	991	0.00021
Demequinaceae	1042322	F	277	28	305	0.00007
Jonesiaceae	85022	F	55	12	67	0.00001
Tropherymataceae	2805591	F	14	0	14	0.00000
Mycobacteriaceae	1762	F	85488	15646	101134	0.02191
Nocardiaceae	85025	F	44563	10924	55487	0.01202
Corynebacteriaceae	1653	F	14244	4174	18418	0.00399
Gordoniaceae	85026	F	11165	2894	14059	0.00305
Tsukamurellaceae	85028	F	3463	1109	4572	0.00099
Dietziaceae	85029	F	2057	2142	4199	0.00091
Segniliparaceae	316606	F	325	22	347	0.00008
Lawsonellaceae	2805586	F	71	10	81	0.00002
Micromonosporaceae	28056	F	155876	29533	185409	0.04016
Pseudonocardiaceae	2070	F	130965	24258	155223	0.03363
Nocardioidaceae	85015	F	90378	23543	113921	0.02468
Propionibacteriaceae	31957	F	18553	4432	22985	0.00498
Kribbellaceae	2726069	F	4717	976	5693	0.00123
Actinopolymorphaceae	2805400	F	2211	340	2551	0.00055
Streptosporangiaceae	2004	F	56435	11571	68006	0.01473
Thermomonosporaceae	2012	F	43388	10758	54146	0.01173
Nocardiopsaceae	83676	F	14210	2681	16891	0.00366
Geodermatophilaceae	85030	F	16548	5491	22039	0.00477
Frankiaceae	74712	F	9548	1177	10725	0.00232
Actinomycetaceae	2049	F	9504	1686	11190	0.00242
Jiangellaceae	1217100	F	5872	1342	7214	0.00156
Bifidobacteriaceae	31953	F	3830	1204	5034	0.00109
Nakamurellaceae	85031	F	3482	610	4092	0.00089
Catenulisporaceae	414877	F	2043	390	2433	0.00053
Jatrophihabitantaceae	2805416	F	1665	190	1855	0.00040
Glycomycetaceae	85034	F	1510	158	1668	0.00036
Kineosporiaceae	83778	F	1150	416	1566	0.00034
Sporichthyaceae	85033	F	796	509	1305	0.00028
Actinopolysporaceae	622451	F	757	101	858	0.00019
Acidothermaceae	85032	F	529	33	562	0.00012
Candidatus Nanopelagicaceae	2162846	F	124	2	126	0.00003
Conexibacteraceae	320583	F	18039	3132	21171	0.00459
Miltoncostaeaceae	2843199	F	5398	833	6231	0.00135
