name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium	374	G	128978	19436	148414	0.03216
Rhodopseudomonas	1073	G	9397	2770	12167	0.00264
Tardiphaga	1395974	G	3176	432	3608	0.00078
Afipia	1033	G	2288	1105	3393	0.00074
Nitrobacter	911	G	2230	310	2540	0.00055
Variibacter	1649510	G	2226	203	2429	0.00053
Rhizobium	379	G	30130	7626	37756	0.00818
Agrobacterium	357	G	6214	2401	8615	0.00187
Neorhizobium	1525371	G	3591	992	4583	0.00099
Pseudorhizobium	1903858	G	1182	277	1459	0.00032
Sinorhizobium	28105	G	11520	8046	19566	0.00424
Ensifer	106591	G	7236	1611	8847	0.00192
Shinella	323620	G	5359	4447	9806	0.00212
Ciceribacter	1648508	G	836	196	1032	0.00022
Georhizobium	2661800	G	829	217	1046	0.00023
Peteryoungia	2853332	G	286	59	345	0.00007
Liberibacter	34019	G	35	8	43	0.00001
Mesorhizobium	68287	G	52535	11589	64124	0.01389
Aquibium	2911176	G	4270	1249	5519	0.00120
Aminobacter	31988	G	2931	2163	5094	0.00110
Nitratireductor	245876	G	2890	526	3416	0.00074
Phyllobacterium	28100	G	1499	184	1683	0.00036
Roseitalea	1915401	G	1145	235	1380	0.00030
Oricola	1594166	G	911	151	1062	0.00023
Hoeflea	274591	G	902	102	1004	0.00022
Salaquimonas	2712688	G	397	21	418	0.00009
Lentilitoribacter	1649463	G	31	0	31	0.00001
Methylobacterium	407	G	29602	6293	35895	0.00778
Microvirga	186650	G	14146	2073	16219	0.00351
Methylorubrum	2282523	G	5925	2875	8800	0.00191
Pseudolabrys	556257	G	8632	1628	10260	0.00222
Starkeya	152053	G	4585	1449	6034	0.00131
Xanthobacter	279	G	4502	1205	5707	0.00124
Ancylobacter	99	G	4091	1645	5736	0.00124
Labrys	204476	G	1491	190	1681	0.00036
Azorhizobium	6	G	1388	360	1748	0.00038
Rhodoplanes	29407	G	10736	1307	12043	0.00261
Hyphomicrobium	81	G	5129	424	5553	0.00120
Methyloceanibacter	1484898	G	2092	164	2256	0.00049
Methyloligella	1485594	G	1282	185	1467	0.00032
Aquabacter	45402	G	1116	233	1349	0.00029
Rhodomicrobium	1068	G	1005	81	1086	0.00024
Caenibius	2827482	G	693	322	1015	0.00022
Filomicrobium	119044	G	514	16	530	0.00012
Devosia	46913	G	11442	1084	12526	0.00271
Youhaiella	1827478	G	1367	341	1708	0.00037
Paradevosia	1573407	G	1284	549	1833	0.00040
Pelagibacterium	1082930	G	582	77	659	0.00014
Maritalea	623276	G	118	4	122	0.00003
Bosea	85413	G	12842	2464	15306	0.00332
Aureimonas	414371	G	6374	1602	7976	0.00173
Martelella	293088	G	3102	645	3747	0.00081
Aurantimonas	182269	G	1865	684	2549	0.00055
Nordella	169055	G	3528	241	3769	0.00082
Pseudorhodoplanes	1734920	G	3356	309	3665	0.00079
Terrihabitans	2874214	G	1783	248	2031	0.00044
Candidatus Hodgkinia	573657	G	17	0	17	0.00000
Methylocystis	133	G	5107	534	5641	0.00122
Methylosinus	425	G	2404	424	2828	0.00061
Stappia	152161	G	2818	647	3465	0.00075
Roseibium	150830	G	1298	191	1489	0.00032
Pannonibacter	227873	G	1146	969	2115	0.00046
Labrenzia	478070	G	1053	104	1157	0.00025
Pseudovibrio	258255	G	240	14	254	0.00006
Phreatobacter	1632780	G	6178	1331	7509	0.00163
Kaustia	2838250	G	2694	323	3017	0.00065
Parvibaculum	256616	G	1185	994	2179	0.00047
Pyruvatibacter	1742974	G	834	124	958	0.00021
Candidatus Phaeomarinobacter	1541445	G	339	20	359	0.00008
Chelatococcus	28209	G	4339	1233	5572	0.00121
Blastochloris	59282	G	3637	1068	4705	0.00102
Methylocella	120652	G	1664	182	1846	0.00040
Methylovirgula	1156568	G	1456	146	1602	0.00035
Beijerinckia	532	G	408	36	444	0.00010
Acuticoccus	1904377	G	2231	295	2526	0.00055
Kaistia	166953	G	2176	670	2846	0.00062
Brucella	234	G	1925	2094	4019	0.00087
Pseudochrobactrum	354349	G	186	41	227	0.00005
Hartmannibacter	1572860	G	1375	307	1682	0.00036
Breoghania	1406135	G	1338	218	1556	0.00034
Lichenihabitans	2723776	G	1186	68	1254	0.00027
Cohaesibacter	655352	G	243	11	254	0.00006
Bartonella	773	G	235	17	252	0.00005
Sphingomonas	13687	G	129413	17638	147051	0.03186
Sphingobium	165695	G	16912	9221	26133	0.00566
Sphingopyxis	165697	G	16248	3842	20090	0.00435
Novosphingobium	165696	G	11430	4567	15997	0.00347
Rhizorhabdus	1649486	G	6234	3433	9667	0.00209
Allosphingosinicella	2823232	G	3098	438	3536	0.00077
Sphingosinithalassobacter	2676233	G	2333	623	2956	0.00064
Parasphingopyxis	1234545	G	1579	89	1668	0.00036
Sphingorhabdus	1434046	G	1366	99	1465	0.00032
Blastomonas	150203	G	1220	245	1465	0.00032
Hankyongella	1763827	G	1073	237	1310	0.00028
Tardibacter	2685927	G	843	757	1600	0.00035
Citromicrobium	72173	G	697	358	1055	0.00023
Novosphingopyxis	2709686	G	650	405	1055	0.00023
Parasphingorhabdus	2709685	G	441	15	456	0.00010
Aquisediminimonas	2676781	G	368	16	384	0.00008
Erythrobacter	1041	G	7599	2165	9764	0.00212
Porphyrobacter	1111	G	2263	715	2978	0.00065
Qipengyuania	1855416	G	4896	1452	6348	0.00138
Tsuneonella	2800686	G	2974	666	3640	0.00079
Altererythrobacter	361177	G	2824	849	3673	0.00080
Croceicoccus	1295327	G	2542	1683	4225	0.00092
Pelagerythrobacter	2800685	G	569	88	657	0.00014
