name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	2113997	136094	2250091	0.33307
Gammaproteobacteria	1236	C	772331	174575	946906	0.14017
Betaproteobacteria	28216	C	744334	115267	859601	0.12724
Deltaproteobacteria	28221	C	235761	10619	246380	0.03647
Epsilonproteobacteria	29547	C	1802	69	1871	0.00028
Acidithiobacillia	1807140	C	880	61	941	0.00014
Oligoflexia	1553900	C	822	8	830	0.00012
Hydrogenophilalia	2008785	C	334	55	389	0.00006
Zetaproteobacteria	580370	C	250	6	256	0.00004
Actinomycetia	1760	C	1653945	80057	1734002	0.25668
Thermoleophilia	1497346	C	22607	3154	25761	0.00381
Acidimicrobiia	84992	C	18263	2188	20451	0.00303
Rubrobacteria	84995	C	15299	1378	16677	0.00247
Coriobacteriia	84998	C	7089	1186	8275	0.00122
Nitriliruptoria	908620	C	4661	455	5116	0.00076
Bacilli	91061	C	53689	51992	105681	0.01564
Clostridia	186801	C	14057	3364	17421	0.00258
Negativicutes	909932	C	2138	188	2326	0.00034
Limnochordia	1676648	C	926	34	960	0.00014
Erysipelotrichia	526524	C	282	75	357	0.00005
Tissierellia	1737404	C	258	207	465	0.00007
Deinococci	188787	C	16943	12605	29548	0.00437
Gloeobacteria	307596	C	1586	1943	3529	0.00052
Thermomicrobia	189775	C	2914	116	3030	0.00045
Chloroflexia	32061	C	2381	89	2470	0.00037
Ardenticatenia	1382928	C	1526	29	1555	0.00023
Tepidiformia	2682225	C	1520	61	1581	0.00023
Anaerolineae	292625	C	1091	22	1113	0.00016
Caldilineae	475962	C	789	53	842	0.00012
Dehalococcoidia	301297	C	450	9	459	0.00007
Candidatus Thermofonsia	2364196	C	441	4	445	0.00007
Ktedonobacteria	388447	C	317	322	639	0.00009
Fimbriimonadia	1663419	C	1712	8	1720	0.00025
Chthonomonadetes	1077257	C	236	1	237	0.00004
Mollicutes	31969	C	377	62	439	0.00006
Planctomycetia	203683	C	142977	1973	144950	0.02146
Phycisphaerae	666505	C	6691	222	6913	0.00102
Candidatus Brocadiia	2517206	C	60	0	60	0.00001
Candidatus Uabimicrobiia	2897345	C	31	0	31	0.00000
Opitutae	414999	C	25467	893	26360	0.00390
Verrucomicrobiae	203494	C	7082	763	7845	0.00116
Methylacidiphilae	1955630	C	57	2	59	0.00001
Spartobacteria	134549	C	52	3	55	0.00001
Kiritimatiellae	1921781	C	409	443	852	0.00013
Tichowtungiia	2907184	C	145	8	153	0.00002
Chlamydiia	204429	C	356	150	506	0.00008
Gemmatimonadetes	219685	C	114490	6037	120527	0.01784
Cytophagia	768503	C	18279	417	18696	0.00277
Flavobacteriia	117743	C	11035	848	11883	0.00176
Chitinophagia	1853228	C	10726	7451	18177	0.00269
Bacteroidia	200643	C	5847	1497	7344	0.00109
Sphingobacteriia	117747	C	3148	372	3520	0.00052
Saprospiria	1937959	C	176	51	227	0.00003
Chlorobia	191410	C	1973	265	2238	0.00033
Ignavibacteria	795747	C	89	2	91	0.00001
Fibrobacteria	204430	C	73	64	137	0.00002
Vicinamibacteria	1813735	C	40449	2088	42537	0.00630
Acidobacteriia	204432	C	19838	279	20117	0.00298
Blastocatellia	1562566	C	1567	45	1612	0.00024
Holophagae	533205	C	1103	18	1121	0.00017
Nitrospira	203693	C	3191	43	3234	0.00048
Thermodesulfovibrionia	2811502	C	75	1	76	0.00001
Spirochaetia	203692	C	1722	100	1822	0.00027
Synergistia	649775	C	1252	97	1349	0.00020
Candidatus Saccharimonia	2093818	C	211	696	907	0.00013
Candidatus Babeliae	2497643	C	39	17	56	0.00001
Thermotogae	188708	C	375	42	417	0.00006
Aquificae	187857	C	315	4	319	0.00005
Deferribacteres	68337	C	189	4	193	0.00003
Thermodesulfobacteria	67799	C	186	3	189	0.00003
Calditrichia	1962850	C	165	1	166	0.00002
Fusobacteriia	203490	C	158	29	187	0.00003
Chrysiogenetes	118001	C	102	42	144	0.00002
Endomicrobia	447830	C	43	0	43	0.00001
Elusimicrobia	641853	C	42	0	42	0.00001
Dictyoglomia	203486	C	35	0	35	0.00001
Caldisericia	693071	C	31	0	31	0.00000
Coprothermobacteria	2138243	C	30	5	35	0.00001
Atribacteria	2847774	C	25	0	25	0.00000
Sordariomycetes	147550	C	12384	206	12590	0.00186
Leotiomycetes	147548	C	73	0	73	0.00001
Eurotiomycetes	147545	C	1156	40	1196	0.00018
Dothideomycetes	147541	C	388	64	452	0.00007
Saccharomycetes	4891	C	441	32	473	0.00007
Ustilaginomycetes	5257	C	921	26	947	0.00014
Malasseziomycetes	1538075	C	52	10	62	0.00001
Agaricomycetes	155619	C	212	4	216	0.00003
Tremellomycetes	155616	C	49	1773	1822	0.00027
