name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobiaceae	41294	F	243899	21439	265338	0.03928
Phyllobacteriaceae	69277	F	170548	25925	196473	0.02908
Rhizobiaceae	82115	F	137836	44133	181969	0.02694
Methylobacteriaceae	119045	F	73547	9918	83465	0.01236
Xanthobacteraceae	335928	F	61041	9507	70548	0.01044
Devosiaceae	2831106	F	45990	3515	49505	0.00733
Hyphomicrobiaceae	45401	F	39516	3561	43077	0.00638
Boseaceae	2831100	F	20046	2912	22958	0.00340
Aurantimonadaceae	255475	F	18118	16993	35111	0.00520
Methylocystaceae	31993	F	12148	960	13108	0.00194
Stappiaceae	2821832	F	10285	2323	12608	0.00187
Phreatobacteraceae	2843305	F	9463	1536	10999	0.00163
Parvibaculaceae	2813035	F	7067	1547	8614	0.00128
Chelatococcaceae	2036754	F	6031	1303	7334	0.00109
Blastochloridaceae	2831090	F	5721	1277	6998	0.00104
Beijerinckiaceae	45404	F	5689	393	6082	0.00090
Brucellaceae	118882	F	4273	1641	5914	0.00088
Kaistiaceae	2831111	F	3553	832	4385	0.00065
Amorphaceae	2685818	F	3086	313	3399	0.00050
Pleomorphomonadaceae	2843308	F	2168	369	2537	0.00038
Breoghaniaceae	2831104	F	2098	262	2360	0.00035
Lichenihabitantaceae	2723775	F	1801	79	1880	0.00028
Cohaesibacteraceae	655351	F	408	15	423	0.00006
Bartonellaceae	772	F	383	44	427	0.00006
Sphingomonadaceae	41297	F	545642	58313	603955	0.08940
Erythrobacteraceae	335929	F	66398	10968	77366	0.01145
Sphingosinicellaceae	2820280	F	17870	1414	19284	0.00285
Zymomonadaceae	2844881	F	124	62	186	0.00003
Azospirillaceae	2829815	F	48113	4293	52406	0.00776
Acetobacteraceae	433	F	44410	4398	48808	0.00723
Rhodospirillaceae	41295	F	36749	109951	146700	0.02172
Stellaceae	2844601	F	6065	382	6447	0.00095
Elioraeaceae	2690195	F	2645	120	2765	0.00041
Thalassospiraceae	2844866	F	1704	95	1799	0.00027
Terasakiellaceae	2813951	F	92	2	94	0.00001
Caulobacteraceae	76892	F	138211	11776	149987	0.02220
Rhodobacteraceae	31989	F	49248	6415	55663	0.00824
Roseobacteraceae	2854170	F	32744	3929	36673	0.00543
Hyphomonadaceae	69657	F	4683	148	4831	0.00072
Maricaulaceae	2800061	F	3406	1705	5111	0.00076
Parvularculaceae	255474	F	962	58	1020	0.00015
Emcibacteraceae	2066491	F	515	46	561	0.00008
Anaplasmataceae	942	F	222	2	224	0.00003
Rickettsiaceae	775	F	182	8	190	0.00003
Candidatus Midichloriaceae	1328881	F	32	18	50	0.00001
Candidatus Deianiraeaceae	2603433	F	12	0	12	0.00000
Holosporaceae	44746	F	90	1	91	0.00001
Caedimonadaceae	2100208	F	54	2	56	0.00001
Candidatus Paracaedibacteraceae	1777752	F	35	2	37	0.00001
Magnetococcaceae	1191479	F	96	2	98	0.00001
Pelagibacteraceae	1655514	F	63	23	86	0.00001
Kordiimonadaceae	1331809	F	55	0	55	0.00001
Xanthomonadaceae	32033	F	246469	36955	283424	0.04195
Rhodanobacteraceae	1775411	F	53934	7190	61124	0.00905
Pseudomonadaceae	135621	F	286551	103046	389597	0.05767
Marinobacteraceae	2887365	F	2949	183	3132	0.00046
Enterobacteriaceae	543	F	16390	43122	59512	0.00881
Yersiniaceae	1903411	F	6346	8519	14865	0.00220
Erwiniaceae	1903409	F	4885	652	5537	0.00082
Pectobacteriaceae	1903410	F	3128	337	3465	0.00051
Hafniaceae	1903412	F	920	327	1247	0.00018
Morganellaceae	1903414	F	785	314	1099	0.00016
Bruguierivoracaceae	2812006	F	551	30	581	0.00009
Budviciaceae	1903416	F	130	13	143	0.00002
Ectothiorhodospiraceae	72276	F	13255	1110	14365	0.00213
Chromatiaceae	1046	F	9025	544	9569	0.00142
Wenzhouxiangellaceae	1676141	F	1563	1461	3024	0.00045
Thioalkalispiraceae	1096778	F	920	293	1213	0.00018
Thioalkalibacteraceae	2035710	F	908	201	1109	0.00016
Halothiobacillaceae	255526	F	606	45	651	0.00010
Woeseiaceae	1738654	F	502	7	509	0.00008
Granulosicoccaceae	449719	F	334	7	341	0.00005
Halomonadaceae	28256	F	18407	1609	20016	0.00296
Alcanivoracaceae	224372	F	2009	812	2821	0.00042
Oceanospirillaceae	135620	F	1222	115	1337	0.00020
Hahellaceae	224379	F	393	12	405	0.00006
Saccharospirillaceae	255527	F	385	16	401	0.00006
Litoricolaceae	449732	F	129	5	134	0.00002
Endozoicomonadaceae	2066474	F	45	2	47	0.00001
Oleiphilaceae	191033	F	31	2	33	0.00000
Zooshikellaceae	2898533	F	31	0	31	0.00000
Sinobacteraceae	568386	F	8606	781	9387	0.00139
Steroidobacteraceae	2689614	F	2953	634	3587	0.00053
Methylococcaceae	403	F	8934	325	9259	0.00137
Aeromonadaceae	84642	F	8161	5293	13454	0.00199
Succinivibrionaceae	83763	F	21	0	21	0.00000
Acidiferrobacteraceae	1692041	F	6194	249	6443	0.00095
Microbulbiferaceae	1706373	F	2463	114	2577	0.00038
Cellvibrionaceae	1706371	F	1485	42	1527	0.00023
Halieaceae	1706372	F	1075	81	1156	0.00017
Spongiibacteraceae	1706375	F	434	28	462	0.00007
Shewanellaceae	267890	F	2189	334	2523	0.00037
Alteromonadaceae	72275	F	1061	115	1176	0.00017
Pseudoalteromonadaceae	267888	F	640	69	709	0.00010
Ferrimonadaceae	267892	F	265	27	292	0.00004
Colwelliaceae	267889	F	149	11	160	0.00002
Idiomarinaceae	267893	F	127	10	137	0.00002
Moritellaceae	267891	F	40	6	46	0.00001
Psychromonadaceae	267894	F	34	3	37	0.00001
Vibrionaceae	641	F	2615	325	2940	0.00044
Immundisolibacteraceae	1934946	F	1534	1619	3153	0.00047
Celerinatantimonadaceae	412032	F	13	40	53	0.00001
Legionellaceae	444	F	866	41	907	0.00013
Coxiellaceae	118968	F	516	14	530	0.00008
Moraxellaceae	468	F	1386	359	1745	0.00026
Piscirickettsiaceae	135616	F	557	42	599	0.00009
Thiotrichaceae	135617	F	466	11	477	0.00007
Francisellaceae	34064	F	85	4	89	0.00001
Salinisphaeraceae	742031	F	1001	869	1870	0.00028
Pasteurellaceae	712	F	714	337	1051	0.00016
Cardiobacteriaceae	868	F	552	56	608	0.00009
Kangiellaceae	1920240	F	107	6	113	0.00002
Orbaceae	1240483	F	47	9	56	0.00001
Burkholderiaceae	119060	F	241682	78512	320194	0.04740
Comamonadaceae	80864	F	191920	49187	241107	0.03569
Oxalobacteraceae	75682	F	63711	6672	70383	0.01042
Alcaligenaceae	506	F	57138	61134	118272	0.01751
Sutterellaceae	995019	F	1083	75	1158	0.00017
Zoogloeaceae	2008794	F	17893	6057	23950	0.00355
Rhodocyclaceae	75787	F	13851	3851	17702	0.00262
Azonexaceae	2008795	F	4306	418	4724	0.00070
Fluviibacteraceae	2808923	F	137	41	178	0.00003
Usitatibacteraceae	2803844	F	15107	1078	16185	0.00240
Sterolibacteriaceae	2008793	F	5650	1332	6982	0.00103
Nitrosomonadaceae	206379	F	3036	106	3142	0.00047
Thiobacillaceae	2008790	F	2956	752	3708	0.00055
Gallionellaceae	90627	F	2924	328	3252	0.00048
Sulfuricellaceae	2772226	F	2263	266	2529	0.00037
Methylophilaceae	32011	F	1053	94	1147	0.00017
