name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hyphomicrobiales	356	O	980971	54553	1035524	0.15329
Sphingomonadales	204457	O	651145	49647	700792	0.10374
Rhodospirillales	204441	O	145414	113607	259021	0.03834
Caulobacterales	204458	O	138211	11776	149987	0.02220
Rhodobacterales	204455	O	86811	5525	92336	0.01367
Hyphomonadales	2800060	O	4683	148	4831	0.00072
Maricaulales	2800059	O	3406	1705	5111	0.00076
Parvularculales	255473	O	962	58	1020	0.00015
Emcibacterales	2066490	O	515	46	561	0.00008
Rickettsiales	766	O	471	7	478	0.00007
Holosporales	1921002	O	181	5	186	0.00003
Magnetococcales	1191478	O	96	2	98	0.00001
Pelagibacterales	54526	O	85	1	86	0.00001
Kordiimonadales	362534	O	55	0	55	0.00001
Xanthomonadales	135614	O	306979	37569	344548	0.05100
Pseudomonadales	72274	O	289848	102881	392729	0.05813
Enterobacterales	91347	O	36226	50227	86453	0.01280
Chromatiales	135613	O	28962	1823	30785	0.00456
Oceanospirillales	135619	O	22799	2429	25228	0.00373
Nevskiales	1775403	O	11569	1406	12975	0.00192
Methylococcales	135618	O	8934	325	9259	0.00137
Aeromonadales	135624	O	8183	5293	13476	0.00199
Acidiferrobacterales	1692040	O	6194	249	6443	0.00095
Cellvibrionales	1706369	O	5506	218	5724	0.00085
Alteromonadales	135622	O	4606	477	5083	0.00075
Vibrionales	135623	O	2615	325	2940	0.00044
Immundisolibacterales	1934945	O	1534	1672	3206	0.00047
Legionellales	118969	O	1394	44	1438	0.00021
Moraxellales	2887326	O	1386	359	1745	0.00026
Thiotrichales	72273	O	1112	54	1166	0.00017
Salinisphaerales	742030	O	1001	869	1870	0.00028
Pasteurellales	135625	O	714	337	1051	0.00016
Cardiobacteriales	135615	O	552	56	608	0.00009
Kangiellales	2887327	O	107	6	113	0.00002
Orbales	1240482	O	47	9	56	0.00001
Burkholderiales	80840	O	631409	119707	751116	0.11119
Rhodocyclales	206389	O	37832	8723	46555	0.00689
Nitrosomonadales	32003	O	33622	3327	36949	0.00547
Neisseriales	206351	O	20589	4379	24968	0.00370
Myxococcales	29	O	192991	10308	203299	0.03009
Desulfuromonadales	69541	O	18046	1505	19551	0.00289
Desulfovibrionales	213115	O	11468	998	12466	0.00185
Desulfobacterales	213118	O	3918	403	4321	0.00064
Bradymonadales	1779134	O	3479	95	3574	0.00053
Syntrophobacterales	213462	O	940	261	1201	0.00018
Desulfarculales	453227	O	788	550	1338	0.00020
Syntrophales	2914038	O	469	126	595	0.00009
Desulfurellales	213113	O	29	1	30	0.00000
Campylobacterales	213849	O	1652	79	1731	0.00026
Nautiliales	235899	O	129	10	139	0.00002
Acidithiobacillales	225057	O	880	61	941	0.00014
Bdellovibrionales	213481	O	711	10	721	0.00011
Bacteriovoracales	2024979	O	72	0	72	0.00001
Silvanigrellales	2024973	O	36	0	36	0.00001
Hydrogenophilales	119069	O	334	55	389	0.00006
Mariprofundales	580371	O	250	6	256	0.00004
Streptomycetales	85011	O	351238	79631	430869	0.06378
Micromonosporales	85008	O	292986	51309	344295	0.05097
Micrococcales	85006	O	247819	35975	283794	0.04201
Corynebacteriales	85007	O	183642	24215	207857	0.03077
Pseudonocardiales	85010	O	123093	19714	142807	0.02114
Propionibacteriales	85009	O	109520	29887	139407	0.02064
Streptosporangiales	85012	O	103929	17975	121904	0.01805
Geodermatophilales	1643682	O	10806	3113	13919	0.00206
Actinomycetales	2037	O	10318	1657	11975	0.00177
Frankiales	85013	O	9535	1020	10555	0.00156
Jiangellales	1217098	O	5604	1118	6722	0.00100
Bifidobacteriales	85004	O	4672	1309	5981	0.00089
Nakamurellales	1643684	O	3063	436	3499	0.00052
Catenulisporales	414714	O	2231	369	2600	0.00038
Glycomycetales	85014	O	1651	148	1799	0.00027
Jatrophihabitantales	2805415	O	1598	156	1754	0.00026
Kineosporiales	622452	O	1088	341	1429	0.00021
Sporichthyales	2495578	O	831	466	1297	0.00019
Actinopolysporales	622450	O	679	78	757	0.00011
Acidothermales	1643683	O	530	28	558	0.00008
Candidatus Nanopelagicales	2039638	O	210	3	213	0.00003
Solirubrobacterales	588673	O	16358	2527	18885	0.00280
Miltoncostaeales	2843198	O	6050	826	6876	0.00102
Acidimicrobiales	84993	O	18263	2188	20451	0.00303
Rubrobacterales	84996	O	15299	1378	16677	0.00247
Eggerthellales	1643822	O	3943	683	4626	0.00068
Coriobacteriales	84999	O	3036	613	3649	0.00054
Egicoccales	1755823	O	1609	270	1879	0.00028
Egibacterales	1747768	O	1523	97	1620	0.00024
Euzebyales	908621	O	1483	132	1615	0.00024
Bacillales	1385	O	50902	45301	96203	0.01424
Lactobacillales	186826	O	2401	7077	9478	0.00140
Eubacteriales	186802	O	12090	3354	15444	0.00229
Thermoanaerobacterales	68295	O	1463	185	1648	0.00024
Halanaerobiales	53433	O	167	6	173	0.00003
Thermosediminibacterales	2770089	O	95	4	99	0.00001
Natranaerobiales	485256	O	30	1	31	0.00000
Koleobacterales	2786987	O	23	1	24	0.00000
Selenomonadales	909929	O	1540	75	1615	0.00024
Veillonellales	1843489	O	365	100	465	0.00007
Acidaminococcales	1843488	O	199	45	244	0.00004
Limnochordales	1676649	O	926	34	960	0.00014
