name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. CCBAU 51753	1325100	S	3813	868	4681	0.00069
Bradyrhizobium sp. BTAi1	288000	S	3525	671	4196	0.00062
Bradyrhizobium sp. ORS 278	114615	S	3457	825	4282	0.00063
Bradyrhizobium sp. A19	2898149	S	3394	616	4010	0.00059
Bradyrhizobium sp. ORS 285	115808	S	3390	802	4192	0.00062
Bradyrhizobium sp. 200	2782665	S	3366	807	4173	0.00062
Bradyrhizobium sp. 170	2782641	S	2999	831	3830	0.00057
Bradyrhizobium sp. CCBAU 051011	858422	S	2777	561	3338	0.00049
Bradyrhizobium sp. SK17	2057741	S	2641	902	3543	0.00053
Bradyrhizobium sp. 186	2782654	S	2502	713	3215	0.00048
Bradyrhizobium sp. CCBAU 53338	1325111	S	2394	1002	3396	0.00050
Bradyrhizobium sp. CCBAU 53351	1325114	S	2272	1174	3446	0.00051
Bradyrhizobium sp. 195	2782662	S	2136	802	2938	0.00044
Bradyrhizobium sp. CCBAU 53421	1325120	S	2050	668	2718	0.00040
Bradyrhizobium sp. 1(2017)	1404888	S	1943	628	2571	0.00038
Bradyrhizobium sp. CCBAU 53340	1325112	S	1940	770	2710	0.00040
Bradyrhizobium sp. CCGE-LA001	1223566	S	1674	644	2318	0.00034
Bradyrhizobium sp. S2-11-2	2840472	S	1497	1243	2740	0.00041
Bradyrhizobium sp. I71	2590772	S	1467	1375	2842	0.00042
Bradyrhizobium sp. 6(2017)	1197460	S	1459	734	2193	0.00033
Bradyrhizobium sp. 191	2782659	S	1362	1441	2803	0.00042
Bradyrhizobium sp. CCBAU 51765	1325102	S	1319	1283	2602	0.00039
Bradyrhizobium sp. S2-20-1	2840469	S	1317	1165	2482	0.00037
Bradyrhizobium sp. 41S5	1404443	S	1197	835	2032	0.00030
Bradyrhizobium sp. S2-11-4	2840473	S	1114	1084	2198	0.00033
Bradyrhizobium sp. C-145	574727	S	739	743	1482	0.00022
Bradyrhizobium sp.	376	S	637	2123	2760	0.00041
Bradyrhizobium sp. 40	2782674	S	473	1145	1618	0.00024
Bradyrhizobium sp. 4	2782678	S	461	1254	1715	0.00025
Bradyrhizobium sp. 144S4	2823807	S	417	1058	1475	0.00022
Bradyrhizobium sp. 323S2	1404649	S	415	1072	1487	0.00022
Bradyrhizobium sp. 192	2782660	S	392	970	1362	0.00020
Bradyrhizobium sp. LCT2	2493093	S	272	768	1040	0.00015
Bradyrhizobium sp. SG09	2599805	S	178	1300	1478	0.00022
Bradyrhizobium sp. 187	2782655	S	163	826	989	0.00015
Bradyrhizobium sp. TM102	2599819	S	145	1014	1159	0.00017
Bradyrhizobium sp. 1S5	2816456	S	81	946	1027	0.00015
Bradyrhizobium sp. 38S5	2819348	S	78	986	1064	0.00016
Bradyrhizobium sp. 172	2782643	S	68	854	922	0.00014
Bradyrhizobium sp. CW1	2782686	S	59	944	1003	0.00015
Bradyrhizobium sp. 131	2782609	S	57	962	1019	0.00015
Bradyrhizobium sp. 155	2782629	S	41	762	803	0.00012
Bradyrhizobium erythrophlei	1437360	S	10913	944	11857	0.00176
Bradyrhizobium diazoefficiens	1355477	S	8505	19190	27695	0.00410
Bradyrhizobium lablabi	722472	S	3309	4029	7338	0.00109
Bradyrhizobium canariense	255045	S	3162	5021	8183	0.00121
Bradyrhizobium oligotrophicum	44255	S	3096	560	3656	0.00054
Bradyrhizobium icense	1274631	S	3054	458	3512	0.00052
Bradyrhizobium japonicum	375	S	2913	4295	7208	0.00107
Bradyrhizobium genosp. L	83637	S	2901	611	3512	0.00052
Bradyrhizobium paxllaeri	190148	S	2631	516	3147	0.00047
Bradyrhizobium guangdongense	1325090	S	2459	922	3381	0.00050
Bradyrhizobium arachidis	858423	S	2391	701	3092	0.00046
Bradyrhizobium guangxiense	1325115	S	2208	976	3184	0.00047
Bradyrhizobium vignae	1549949	S	2139	517	2656	0.00039
Bradyrhizobium cosmicum	1404864	S	1919	639	2558	0.00038
Bradyrhizobium genosp. B	83627	S	1892	416	2308	0.00034
Bradyrhizobium quebecense	2748629	S	1803	1040	2843	0.00042
Bradyrhizobium guangzhouense	1325095	S	1711	662	2373	0.00035
Bradyrhizobium septentrionale	1404411	S	1470	914	2384	0.00035
Bradyrhizobium amphicarpaeae	1404768	S	1401	595	1996	0.00030
Bradyrhizobium betae	244734	S	1322	781	2103	0.00031
Bradyrhizobium daqingense	993502	S	1296	711	2007	0.00030
Bradyrhizobium symbiodeficiens	1404367	S	1153	1748	2901	0.00043
Bradyrhizobium zhanjiangense	1325107	S	783	789	1572	0.00023
Bradyrhizobium elkanii	29448	S	503	1970	2473	0.00037
Bradyrhizobium ottawaense	931866	S	369	2366	2735	0.00041
Rhodopseudomonas palustris	1076	S	12883	4817	17700	0.00262
Rhodopseudomonas sp. SK50-23	340268	S	1795	408	2203	0.00033
Rhodopseudomonas boonkerdii	475937	S	1784	538	2322	0.00034
Nitrobacter hamburgensis	912	S	4901	918	5819	0.00086
Nitrobacter winogradskyi	913	S	2444	445	2889	0.00043
Tardiphaga sp. 37S4	1404741	S	954	788	1742	0.00026
Tardiphaga sp. vice154	2592814	S	53	833	886	0.00013
Tardiphaga sp. vice278	2592815	S	39	963	1002	0.00015
Tardiphaga sp. vice304	2592817	S	24	462	486	0.00007
Tardiphaga sp. vice352	2592816	S	19	584	603	0.00009
Tardiphaga robiniae	943830	S	1006	742	1748	0.00026
Afipia carboxidovorans	40137	S	3010	523	3533	0.00052
Afipia sp. GAS231	1882747	S	1491	1280	2771	0.00041
Variibacter gotjawalensis	1333996	S	3865	314	4179	0.00062
Mesorhizobium sp. J8	2777475	S	11898	3799	15697	0.00233
Mesorhizobium sp. B2-8-5	2589903	S	7099	2328	9427	0.00140
Mesorhizobium sp. 8	2584466	S	6112	1499	7611	0.00113
Mesorhizobium sp. DCY119	2108445	S	3525	847	4372	0.00065
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	S	3189	2594	5783	0.00086
Mesorhizobium sp. B1-1-8	2589976	S	3043	768	3811	0.00056
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	3034	1142	4176	0.00062
Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	S	2939	893	3832	0.00057
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1	2493680	S	2853	904	3757	0.00056
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	2832	1381	4213	0.00062
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	2804	1633	4437	0.00066
Mesorhizobium sp. Pch-S	2082387	S	2704	379	3083	0.00046
Mesorhizobium sp. B2-1-1	2589974	S	2434	559	2993	0.00044
Mesorhizobium sp. 131-2-1	2744518	S	2222	1160	3382	0.00050
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	2074	867	2941	0.00044
Mesorhizobium sp. PAMC28654	2880934	S	2020	384	2404	0.00036
Mesorhizobium sp. INR15	2654248	S	1963	285	2248	0.00033
Mesorhizobium sp. L-2-11	2744521	S	1916	743	2659	0.00039
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	1871	841	2712	0.00040
Mesorhizobium sp. B4-1-4	2589888	S	1725	421	2146	0.00032
Mesorhizobium sp. B2-1-8	2589967	S	1659	510	2169	0.00032
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	1552	520	2072	0.00031
Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	2493670	S	1550	3682	5232	0.00078
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	S	1503	3752	5255	0.00078
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	2493679	S	1416	538	1954	0.00029
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	2493678	S	1413	493	1906	0.00028
Mesorhizobium sp. 113-3-3	2744516	S	1224	679	1903	0.00028
Mesorhizobium sp. NZP2077	2483404	S	1204	403	1607	0.00024
Mesorhizobium sp. NBSH29	2654249	S	1168	84	1252	0.00019
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	1107	416	1523	0.00023
Mesorhizobium sp. L-8-10	2744523	S	1078	3165	4243	0.00063
Mesorhizobium sp. 113-1-2	2744515	S	1040	520	1560	0.00023
Mesorhizobium sp. L-8-3	2744522	S	1032	3114	4146	0.00061
Mesorhizobium sp. 113-3-9	2744517	S	909	673	1582	0.00023
Mesorhizobium sp. NZP2298	2483403	S	864	514	1378	0.00020
Mesorhizobium sp. AA22	1854057	S	788	518	1306	0.00019
Mesorhizobium sp. WSM1497	278153	S	272	598	870	0.00013
Mesorhizobium sp. 131-3-5	2744520	S	109	365	474	0.00007
Mesorhizobium sp. NZP2234	2483402	S	93	360	453	0.00007
Mesorhizobium sp. 131-2-5	2744519	S	86	623	709	0.00011
Mesorhizobium terrae	2725666	S	2763	956	3719	0.00055
Mesorhizobium opportunistum	593909	S	2222	987	3209	0.00048
Mesorhizobium amorphae	71433	S	1842	464	2306	0.00034
Mesorhizobium australicum	536018	S	1189	393	1582	0.00023
Mesorhizobium loti	381	S	1160	10265	11425	0.00169
Mesorhizobium ciceri	39645	S	1128	3132	4260	0.00063
Mesorhizobium erdmanii	1777866	S	1061	319	1380	0.00020
Mesorhizobium huakuii	28104	S	955	772	1727	0.00026
Mesorhizobium japonicum	2066070	S	922	700	1622	0.00024
Aquibium microcysteis	675281	S	4480	1331	5811	0.00086
Aquibium oceanicum	1670800	S	3455	859	4314	0.00064
Aminobacter sp. MSH1	374606	S	2302	1333	3635	0.00054
Aminobacter sp. SR38	2774562	S	433	1782	2215	0.00033
Aminobacter sp. MDW-2	2666139	S	315	1642	1957	0.00029
Aminobacter aminovorans	83263	S	269	1015	1284	0.00019
Nitratireductor sp. SY7	2599600	S	3146	622	3768	0.00056
Nitratireductor sp. OM-1	1756988	S	1507	276	1783	0.00026
Nitratireductor kimnyeongensis	430679	S	869	132	1001	0.00015
Phyllobacterium sp. T1018	555316	S	931	129	1060	0.00016
Phyllobacterium sp. 628	2718938	S	440	69	509	0.00008
Phyllobacterium sp. T1293	555317	S	438	61	499	0.00007
Phyllobacterium zundukense	1867719	S	874	137	1011	0.00015
Roseitalea porphyridii	1852022	S	1946	343	2289	0.00034
Oricola thermophila	2742145	S	1553	221	1774	0.00026
Hoeflea sp. IMCC20628	1620421	S	770	85	855	0.00013
Hoeflea phototrophica	244596	S	731	100	831	0.00012
Salaquimonas pukyongi	2712698	S	574	25	599	0.00009
Lentilitoribacter sp. Alg239-R112	2305987	S	44	0	44	0.00001
Rhizobium sp. WYJ-E13	2849093	S	1879	239	2118	0.00031
Rhizobium sp. BG4	2613770	S	1602	304	1906	0.00028
Rhizobium sp. NXC24	2048897	S	1127	164	1291	0.00019
Rhizobium sp. SL42	2806346	S	953	168	1121	0.00017
Rhizobium sp. ACO-34A	1571470	S	950	199	1149	0.00017
Rhizobium sp. NLR16a	2731112	S	939	441	1380	0.00020
Rhizobium sp. NXC14	1981173	S	919	394	1313	0.00019
Rhizobium sp. AB2/73	2795216	S	891	525	1416	0.00021
Rhizobium sp. WL3	2603277	S	888	169	1057	0.00016
Rhizobium sp. 11515TR	2028343	S	835	222	1057	0.00016
Rhizobium sp. CIAT894	2020312	S	827	373	1200	0.00018
Rhizobium sp. NZLR1	2731096	S	727	255	982	0.00015
Rhizobium sp. K102	2918527	S	582	408	990	0.00015
Rhizobium sp. C104	2917727	S	547	306	853	0.00013
Rhizobium sp. L51/94	2819999	S	452	728	1180	0.00017
Rhizobium sp. X9	2815360	S	279	596	875	0.00013
Rhizobium sp. 007	2785056	S	212	371	583	0.00009
Rhizobium sp. Kim5	2020311	S	200	473	673	0.00010
Rhizobium sp. IE4771	1301032	S	173	375	548	0.00008
Rhizobium sp. TAL182	2020313	S	162	489	651	0.00010
Rhizobium sp. ZX09	2291939	S	98	423	521	0.00008
Rhizobium sp. Y9	1914541	S	93	360	453	0.00007
Rhizobium sp. NIBRBAC000502774	2590777	S	62	296	358	0.00005
Rhizobium sp. B230/85	2819994	S	48	670	718	0.00011
Rhizobium sp. N324	1703969	S	26	683	709	0.00011
Rhizobium sp. T136	555319	S	16	444	460	0.00007
Rhizobium sp. B21/90	2819993	S	13	592	605	0.00009
Rhizobium sp. CCGE531	2364271	S	12	547	559	0.00008
Rhizobium leguminosarum	384	S	6032	8108	14140	0.00210
Rhizobium etli	29449	S	2104	2548	4652	0.00069
Rhizobium jaguaris	1312183	S	1293	162	1455	0.00022
Rhizobium rhizoryzae	451876	S	1292	170	1462	0.00022
Rhizobium pseudoryzae	379684	S	1261	266	1527	0.00023
