name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alphaproteobacteria	28211	C	2708142	196302	2904444	0.24252
Betaproteobacteria	28216	C	1659636	260462	1920098	0.16033
Gammaproteobacteria	1236	C	1379211	305697	1684908	0.14069
Deltaproteobacteria	28221	C	487993	42083	530076	0.04426
Epsilonproteobacteria	29547	C	3692	172	3864	0.00032
Acidithiobacillia	1807140	C	2883	372	3255	0.00027
Oligoflexia	1553900	C	2631	30	2661	0.00022
Hydrogenophilalia	2008785	C	593	107	700	0.00006
Zetaproteobacteria	580370	C	395	10	405	0.00003
Actinomycetia	1760	C	3479173	176531	3655704	0.30525
Thermoleophilia	1497346	C	95026	14155	109181	0.00912
Rubrobacteria	84995	C	52999	5321	58320	0.00487
Acidimicrobiia	84992	C	41293	5210	46503	0.00388
Coriobacteriia	84998	C	15079	2851	17930	0.00150
Nitriliruptoria	908620	C	10943	1134	12077	0.00101
Bacilli	91061	C	125008	76738	201746	0.01685
Clostridia	186801	C	30793	6354	37147	0.00310
Negativicutes	909932	C	4065	472	4537	0.00038
Limnochordia	1676648	C	2316	104	2420	0.00020
Tissierellia	1737404	C	544	368	912	0.00008
Erysipelotrichia	526524	C	487	356	843	0.00007
Deinococci	188787	C	33762	1579	35341	0.00295
Thermomicrobia	189775	C	8005	382	8387	0.00070
Chloroflexia	32061	C	7042	308	7350	0.00061
Tepidiformia	2682225	C	4696	222	4918	0.00041
Ardenticatenia	1382928	C	3805	85	3890	0.00032
Anaerolineae	292625	C	3009	78	3087	0.00026
Caldilineae	475962	C	1882	151	2033	0.00017
Dehalococcoidia	301297	C	1181	27	1208	0.00010
Candidatus Thermofonsia	2364196	C	931	12	943	0.00008
Ktedonobacteria	388447	C	891	26806	27697	0.00231
Gloeobacteria	307596	C	3321	4378	7699	0.00064
Fimbriimonadia	1663419	C	2233	13	2246	0.00019
Chthonomonadetes	1077257	C	712	6	718	0.00006
Mollicutes	31969	C	448	114	562	0.00005
Planctomycetia	203683	C	261735	3932	265667	0.02218
Phycisphaerae	666505	C	12630	505	13135	0.00110
Candidatus Brocadiia	2517206	C	112	0	112	0.00001
Candidatus Uabimicrobiia	2897345	C	102	2	104	0.00001
Opitutae	414999	C	23098	893	23991	0.00200
Verrucomicrobiae	203494	C	11874	1549	13423	0.00112
Methylacidiphilae	1955630	C	104	3	107	0.00001
Spartobacteria	134549	C	100	7	107	0.00001
Kiritimatiellae	1921781	C	714	932	1646	0.00014
Tichowtungiia	2907184	C	254	10	264	0.00002
Chlamydiia	204429	C	376	184	560	0.00005
Gemmatimonadetes	219685	C	99487	5561	105048	0.00877
Cytophagia	768503	C	33198	835	34033	0.00284
Chitinophagia	1853228	C	14522	11840	26362	0.00220
Flavobacteriia	117743	C	10980	1004	11984	0.00100
Bacteroidia	200643	C	9953	2529	12482	0.00104
Sphingobacteriia	117747	C	5421	672	6093	0.00051
Saprospiria	1937959	C	296	95	391	0.00003
Chlorobia	191410	C	3402	378	3780	0.00032
Ignavibacteria	795747	C	166	3	169	0.00001
Fibrobacteria	204430	C	128	66	194	0.00002
Vicinamibacteria	1813735	C	63510	3435	66945	0.00559
Acidobacteriia	204432	C	25841	382	26223	0.00219
Blastocatellia	1562566	C	2789	81	2870	0.00024
Holophagae	533205	C	1899	34	1933	0.00016
Nitrospira	203693	C	16087	220	16307	0.00136
Thermodesulfovibrionia	2811502	C	351	8	359	0.00003
Spirochaetia	203692	C	3256	232	3488	0.00029
Synergistia	649775	C	2623	208	2831	0.00024
Candidatus Saccharimonia	2093818	C	293	1043	1336	0.00011
Candidatus Babeliae	2497643	C	66	41	107	0.00001
Thermotogae	188708	C	765	32	797	0.00007
Aquificae	187857	C	651	8	659	0.00006
Thermodesulfobacteria	67799	C	471	8	479	0.00004
Calditrichia	1962850	C	324	3	327	0.00003
Deferribacteres	68337	C	305	8	313	0.00003
Chrysiogenetes	118001	C	245	116	361	0.00003
Fusobacteriia	203490	C	216	35	251	0.00002
Endomicrobia	447830	C	90	2	92	0.00001
Elusimicrobia	641853	C	75	1	76	0.00001
Caldisericia	693071	C	123	0	123	0.00001
Dictyoglomia	203486	C	114	0	114	0.00001
Coprothermobacteria	2138243	C	88	17	105	0.00001
Atribacteria	2847774	C	60	1	61	0.00001
Sordariomycetes	147550	C	15613	291	15904	0.00133
Leotiomycetes	147548	C	190	1	191	0.00002
Eurotiomycetes	147545	C	3069	113	3182	0.00027
Dothideomycetes	147541	C	720	113	833	0.00007
Saccharomycetes	4891	C	764	67	831	0.00007
Schizosaccharomycetes	147554	C	32	1	33	0.00000
Ustilaginomycetes	5257	C	1627	42	1669	0.00014
Malasseziomycetes	1538075	C	76	14	90	0.00001
Agaricomycetes	155619	C	406	9	415	0.00003
Tremellomycetes	155616	C	115	3053	3168	0.00026
